time,open,high,low,close,volume,ticker
2012-03-20,9750,9750,9520,9560,14460,AAM
2012-03-21,9670,9750,9560,9670,8950,AAM
2012-03-22,9600,9600,9600,9600,8180,AAM
2012-03-23,9750,9750,9480,9600,1990,AAM
2012-03-26,9600,10020,9600,9830,3470,AAM
2012-03-27,9560,9750,9520,9670,3280,AAM
2012-03-28,9670,9830,9670,9710,1000,AAM
2012-03-29,9710,9750,9710,9750,360,AAM
2012-03-30,9750,9750,9520,9560,1360,AAM
2012-04-03,9560,9750,9560,9600,6260,AAM
2012-04-04,9710,9750,9560,9600,24030,AAM
2012-04-05,9600,9600,9600,9600,670,AAM
2012-04-06,9670,9670,9600,9600,130,AAM
2012-04-09,9670,9670,9600,9600,2790,AAM
2012-04-10,9640,9750,9640,9750,7320,AAM
2012-04-11,9640,9980,9640,9940,2600,AAM
2012-04-12,10060,10060,9750,10060,5660,AAM
2012-04-13,9790,10060,9790,10060,3340,AAM
2012-04-16,9870,10060,9870,10060,15340,AAM
2012-04-17,10100,10210,9940,10210,24920,AAM
2012-04-18,10210,10440,10210,10370,43230,AAM
2012-04-19,10440,10440,10290,10370,26380,AAM
2012-04-20,10370,10440,10330,10400,16550,AAM
2012-04-23,10370,10400,10330,10400,50200,AAM
2012-04-24,10370,10520,10370,10520,50820,AAM
2012-04-25,10320,10840,10320,10600,18940,AAM
2012-04-26,10720,10720,10440,10600,12180,AAM
2012-04-27,10560,10560,10320,10320,5430,AAM
2012-05-02,10440,10520,10440,10440,3700,AAM
2012-05-03,10320,10440,10280,10440,3480,AAM
2012-05-04,10600,10640,10240,10600,23770,AAM
2012-05-07,10600,11080,10600,10840,44650,AAM
2012-05-08,10840,11200,10800,11160,53220,AAM
2012-05-09,10840,11080,10840,11080,32310,AAM
2012-05-10,10880,10960,10680,10840,39460,AAM
2012-05-11,10640,10800,10440,10800,16310,AAM
2012-05-14,10840,10840,10320,10640,23340,AAM
2012-05-15,10160,10800,10160,10800,48010,AAM
2012-05-16,10480,10600,10480,10600,1500,AAM
2012-05-17,11120,11120,10240,10800,240,AAM
2012-05-18,10280,10800,10280,10800,1070,AAM
2012-05-21,10640,10880,10640,10880,6670,AAM
2012-05-22,10880,10880,10880,10880,0,AAM
2012-05-23,10840,10840,10520,10520,4500,AAM
2012-05-24,10560,10560,10560,10560,2800,AAM
2012-05-25,10560,10840,10560,10840,3780,AAM
2012-05-28,10560,10640,10560,10640,650,AAM
2012-05-29,10840,10840,10800,10800,20,AAM
2012-05-30,10760,10760,10760,10760,3000,AAM
2012-05-31,10600,10800,10560,10800,14760,AAM
2012-06-01,10360,10760,10360,10760,5540,AAM
2012-06-04,10640,10800,10560,10800,610,AAM
2012-06-05,10720,10720,10560,10640,4370,AAM
2012-06-06,10640,10640,10600,10640,1850,AAM
2012-06-07,10640,10720,10640,10640,8200,AAM
2012-06-08,10840,10840,10640,10640,5150,AAM
2012-06-11,10840,10840,10640,10720,6180,AAM
2012-06-12,10640,10640,10640,10640,4840,AAM
2012-06-13,10640,10680,10640,10680,6700,AAM
2012-06-14,10680,10680,10680,10680,0,AAM
2012-06-15,10640,10680,10640,10640,15120,AAM
2012-06-18,10640,10640,10640,10640,2660,AAM
2012-06-19,10400,10400,10400,10400,1490,AAM
2012-06-20,10440,10440,10440,10440,230,AAM
2012-06-21,10320,10640,10320,10640,1010,AAM
2012-06-22,10640,10640,10640,10640,0,AAM
2012-06-25,10640,10640,10480,10520,4330,AAM
2012-06-26,10520,10520,10520,10520,0,AAM
2012-06-27,10520,10520,10520,10520,0,AAM
2012-06-28,10520,10640,10520,10640,1260,AAM
2012-06-29,10440,10640,10440,10640,1300,AAM
2012-07-02,10640,10640,10640,10640,0,AAM
2012-07-03,10600,10640,10440,10600,13130,AAM
2012-07-04,10600,10600,10480,10480,3500,AAM
2012-07-05,10440,10560,10440,10560,1010,AAM
2012-07-06,10560,10560,10560,10560,150,AAM
2012-07-09,10440,10560,10440,10560,5690,AAM
2012-07-10,10640,11080,10640,10760,3160,AAM
2012-07-11,10960,10960,10960,10960,10,AAM
2012-07-12,11000,11000,11000,11000,10,AAM
2012-07-13,11000,11000,10560,10880,30,AAM
2012-07-16,10800,10840,10800,10840,510,AAM
2012-07-17,10440,10880,10440,10880,6560,AAM
2012-07-18,10840,10840,10800,10840,23050,AAM
2012-07-19,10840,10840,10840,10840,0,AAM
2012-07-20,10800,10880,10800,10800,26480,AAM
2012-07-23,10440,10640,10440,10640,14220,AAM
2012-07-24,10440,10600,10440,10480,5440,AAM
2012-07-25,10760,10760,10760,10760,350,AAM
2012-07-26,10760,10760,10760,10760,10,AAM
2012-07-27,10760,10800,10760,10760,850,AAM
2012-07-30,10640,10680,10640,10680,11000,AAM
2012-07-31,10720,10720,10720,10720,500,AAM
2012-08-01,10720,10720,10440,10720,2980,AAM
2012-08-02,10720,10720,10720,10720,1000,AAM
2012-08-03,10760,10760,10760,10760,10,AAM
2012-08-06,10520,10760,10520,10760,900,AAM
2012-08-07,10680,10680,10680,10680,1300,AAM
2012-08-08,10720,10720,10720,10720,10,AAM
2012-08-09,10720,10720,10720,10720,0,AAM
2012-08-10,10640,10640,10640,10640,2000,AAM
2012-08-13,10640,10640,10600,10600,2590,AAM
2012-08-14,10640,11120,10640,10840,4170,AAM
2012-08-15,10760,10760,10760,10760,50,AAM
2012-08-16,10720,10720,10720,10720,100,AAM
2012-08-17,10720,10840,10680,10840,8600,AAM
2012-08-20,10760,10760,10760,10760,400,AAM
2012-08-21,10760,10760,10680,10680,10010,AAM
2012-08-22,10560,10640,10560,10640,3010,AAM
2012-08-23,10200,10600,10120,10120,6700,AAM
2012-08-24,10440,10560,9960,10560,31950,AAM
2012-08-27,10160,10240,10040,10080,7020,AAM
2012-08-28,10560,10560,9760,10440,13180,AAM
2012-08-29,10440,10440,10040,10440,7800,AAM
2012-08-30,10440,10440,10440,10440,0,AAM
2012-08-31,10440,10440,10040,10440,3760,AAM
2012-09-04,9960,10520,9960,10520,2190,AAM
2012-09-05,10480,10480,10480,10480,110,AAM
2012-09-06,10520,10520,10520,10520,910,AAM
2012-09-07,10520,10520,10520,10520,0,AAM
2012-09-10,10000,10520,10000,10520,7680,AAM
2012-09-11,10520,10520,10520,10520,0,AAM
2012-09-12,10120,10120,10120,10120,900,AAM
2012-09-13,10040,10480,10040,10480,610,AAM
2012-09-14,10240,10480,10240,10480,690,AAM
2012-09-17,10000,10440,9960,10440,21250,AAM
2012-09-18,9960,10000,9920,9920,8500,AAM
2012-09-19,10040,10040,9480,10040,17820,AAM
2012-09-20,10160,10160,9600,9600,3910,AAM
2012-09-21,10000,10040,10000,10040,6720,AAM
2012-09-24,10360,10360,10240,10360,860,AAM
2012-09-25,10040,10280,10040,10280,3600,AAM
2012-09-26,10120,10120,9840,9840,3800,AAM
2012-09-27,10120,10120,9920,10000,5640,AAM
2012-09-28,10080,10080,10080,10080,5020,AAM
2012-10-01,10080,10080,10080,10080,0,AAM
2012-10-02,9640,10000,9640,10000,70,AAM
