time,open,high,low,close,volume,ticker
2021-03-24,9500,9500,9350,9500,1568200,AAT
2021-03-25,10060,10060,8860,9140,981400,AAT
2021-03-26,8600,8980,8500,8500,231300,AAT
2021-03-29,8010,8500,7940,8230,1741400,AAT
2021-03-30,8230,8790,8200,8790,761500,AAT
2021-03-31,9400,9400,9350,9400,320300,AAT
2021-04-01,9880,10030,9430,10030,947500,AAT
2021-04-02,10480,10550,9580,9730,498100,AAT
2021-04-05,9660,9800,9430,9430,523800,AAT
2021-04-06,9430,10060,9430,10060,425300,AAT
2021-04-07,10370,10630,9950,10110,798300,AAT
2021-04-08,10110,10630,9800,9880,792900,AAT
2021-04-09,9840,10550,9840,10550,1336500,AAT
2021-04-12,10740,11260,10740,11260,942700,AAT
2021-04-13,11860,11900,11300,11710,1149700,AAT
2021-04-14,11600,11860,11600,11640,997300,AAT
2021-04-15,11680,12130,11520,11900,770300,AAT
2021-04-16,12350,12350,11900,12350,370600,AAT
2021-04-19,12650,12650,11970,12130,509900,AAT
2021-04-20,11970,12950,11940,12580,771600,AAT
2021-04-22,12870,13320,11970,11970,730200,AAT
2021-04-23,11900,12800,11900,12800,878100,AAT
2021-04-26,13170,13360,12350,12580,858400,AAT
2021-04-27,12580,13100,12420,12580,282200,AAT
2021-04-28,12230,12870,12230,12650,375200,AAT
2021-04-29,12650,12720,12540,12540,213900,AAT
2021-05-04,12130,12540,12050,12350,386700,AAT
2021-05-05,12270,13210,12160,13210,610300,AAT
2021-05-06,13810,14070,13100,13920,945200,AAT
2021-05-07,14040,14070,13170,13620,800100,AAT
2021-05-10,13170,13920,13030,13470,320500,AAT
2021-05-11,13470,13660,13400,13620,184700,AAT
2021-05-12,13320,14070,13320,13550,533400,AAT
2021-05-13,13470,14490,13240,14490,1265900,AAT
2021-05-14,15120,15270,14440,15230,1472100,AAT
2021-05-17,15570,15570,14490,14820,887800,AAT
2021-05-18,14440,15050,14440,14670,738100,AAT
2021-05-19,14490,15570,14490,15530,774900,AAT
2021-05-20,15530,16320,15010,16090,972900,AAT
2021-05-21,16020,16020,15570,15720,470100,AAT
2021-05-24,15410,15720,15150,15530,522200,AAT
2021-05-25,15600,15640,15080,15460,404300,AAT
2021-05-26,15340,15460,15010,15150,476100,AAT
2021-05-27,15340,15570,14110,14590,2030100,AAT
2021-05-28,14670,14890,14220,14820,594000,AAT
2021-05-31,14820,15120,14370,14590,335800,AAT
2021-06-01,14590,14750,14220,14590,249500,AAT
2021-06-02,14220,14520,14140,14440,392100,AAT
2021-06-03,14440,14750,14440,14590,260700,AAT
2021-06-04,14260,14590,14220,14560,460400,AAT
2021-06-07,14370,14670,13920,14670,687900,AAT
2021-06-08,14670,14930,14040,14820,710200,AAT
2021-06-09,14930,14970,14560,14930,458500,AAT
2021-06-10,14930,14970,14700,14860,382500,AAT
2021-06-11,14670,15640,14670,15570,921000,AAT
2021-06-14,15570,15720,15150,15410,504000,AAT
2021-06-15,15190,15530,15080,15500,477000,AAT
2021-06-16,15640,15720,15080,15340,398900,AAT
2021-06-17,15010,15380,14970,15270,426800,AAT
2021-06-18,15340,15410,14970,15340,505100,AAT
2021-06-21,15270,15270,14860,15150,347500,AAT
2021-06-22,15150,15190,14590,15190,630500,AAT
2021-06-23,15120,15120,14700,15120,346400,AAT
2021-06-24,15120,15190,14750,15050,402600,AAT
2021-06-25,14670,15150,14630,15150,604500,AAT
2021-06-28,15190,15190,14820,14930,245500,AAT
2021-06-29,14630,15050,14590,14930,535100,AAT
2021-06-30,14930,14930,14670,14780,245000,AAT
2021-07-01,15080,15080,14180,14860,1041900,AAT
2021-07-02,14590,14860,14490,14820,374700,AAT
2021-07-05,14750,14780,14180,14750,691500,AAT
2021-07-06,14750,14750,14220,14490,436800,AAT
2021-07-07,13850,14220,13810,14220,772700,AAT
2021-07-08,14140,14370,13850,13920,533300,AAT
2021-07-09,13920,14000,13360,13920,1442100,AAT
2021-07-12,13850,13850,12950,13320,504900,AAT
2021-07-13,13100,13320,12720,13100,450800,AAT
2021-07-14,13100,13140,12580,12580,455100,AAT
2021-07-15,12210,12580,12090,12350,523200,AAT
2021-07-16,12430,13220,12430,12610,319400,AAT
2021-07-19,12580,12580,12090,12430,284800,AAT
2021-07-20,12430,13180,12140,13180,588100,AAT
2021-07-21,13520,13560,13140,13480,266800,AAT
2021-07-22,13480,13670,13250,13560,192200,AAT
2021-07-23,13520,13560,13100,13320,331300,AAT
2021-07-26,13320,13320,12920,13100,349400,AAT
2021-07-27,13030,13250,12880,13250,550400,AAT
2021-07-28,13290,13410,13060,13180,316000,AAT
2021-07-29,13220,13360,12800,13180,607500,AAT
2021-07-30,13180,13290,12990,13180,513500,AAT
2021-08-02,13220,13560,13100,13410,543700,AAT
2021-08-03,13410,13480,13180,13410,435800,AAT
2021-08-04,13360,13480,13060,13320,582000,AAT
2021-08-05,13320,14080,12990,14080,1063300,AAT
2021-08-06,14190,14230,13850,13850,611100,AAT
2021-08-09,13850,13850,13620,13850,294800,AAT
2021-08-10,13820,13850,13360,13620,722400,AAT
2021-08-11,13560,14570,13180,14490,2440200,AAT
2021-08-12,14520,14570,14190,14410,589900,AAT
2021-08-13,14310,14680,14080,14680,1607800,AAT
2021-08-16,14680,14900,14310,14830,1383700,AAT
2021-08-17,14750,14830,14370,14830,846700,AAT
2021-08-18,14790,14900,14490,14600,609100,AAT
2021-08-19,14600,14860,14230,14830,1311600,AAT
2021-08-20,14830,14830,14150,14600,646100,AAT
2021-08-23,14370,14600,14110,14370,636300,AAT
2021-08-24,14370,14490,14150,14410,515200,AAT
2021-08-25,14520,14520,14340,14450,231800,AAT
2021-08-26,14570,15200,14230,15200,2210500,AAT
2021-08-27,15170,15580,14970,15580,919800,AAT
2021-08-30,15650,15870,15430,15430,1290500,AAT
2021-08-31,15270,15500,15200,15230,779400,AAT
2021-09-01,15090,15650,14970,15390,997900,AAT
2021-09-06,15460,16440,15390,16440,3467600,AAT
2021-09-07,16440,16850,16059,16320,945500,AAT
2021-09-08,16239,16400,15980,16239,515200,AAT
2021-09-09,16170,16850,16100,16239,890300,AAT
2021-09-10,16170,17180,16170,17180,1719500,AAT
2021-09-13,17180,17230,16590,16800,1074700,AAT
2021-09-14,16770,17070,16480,16700,912100,AAT
2021-09-15,16320,17230,16239,17070,1087900,AAT
2021-09-16,17070,17590,16540,16880,1291300,AAT
2021-09-17,17300,17300,16920,17230,930700,AAT
2021-09-20,17230,17450,16740,17000,846200,AAT
2021-09-21,16700,16800,16400,16480,816300,AAT
2021-09-22,16400,17140,16059,16920,1821100,AAT
2021-09-23,17000,17110,16540,16850,784800,AAT
2021-09-24,16850,16920,16540,16740,367700,AAT
2021-09-27,16740,16800,15870,16400,1049900,AAT
2021-09-28,15950,16400,15840,16239,750500,AAT
2021-09-29,16100,16620,15800,16540,1063200,AAT
2021-09-30,16540,16700,16320,16480,452600,AAT
2021-10-01,16480,16480,16100,16480,668200,AAT
2021-10-04,16620,16850,16239,16620,590100,AAT
2021-10-05,16620,16770,16400,16590,493900,AAT
2021-10-06,16770,17000,16320,16920,993800,AAT
2021-10-07,16920,17490,16740,17490,2063500,AAT
2021-10-08,17520,17630,17230,17370,939200,AAT
