time,open,high,low,close,volume,ticker
2012-03-20,12180,12180,12180,12180,19200,ABT
2012-03-21,12180,12180,11690,11790,62860,ABT
2012-03-22,11690,11760,11590,11590,49210,ABT
2012-03-23,11590,11590,11590,11590,126540,ABT
2012-03-26,11590,11620,11590,11590,82230,ABT
2012-03-27,11850,11850,11760,11760,19100,ABT
2012-03-28,11190,11920,11190,11760,1710,ABT
2012-03-29,11760,11760,11760,11760,0,ABT
2012-03-30,11590,11690,11590,11690,6030,ABT
2012-04-03,11590,11810,11590,11620,12060,ABT
2012-04-04,11650,11650,11590,11590,1860,ABT
2012-04-05,11590,11760,11590,11760,1630,ABT
2012-04-06,11590,11790,11590,11720,1350,ABT
2012-04-09,11810,11850,11810,11850,2230,ABT
2012-04-10,11850,11920,11850,11850,10260,ABT
2012-04-11,11920,12220,11920,12110,4950,ABT
2012-04-12,12080,12590,12080,12180,14890,ABT
2012-04-13,12550,12550,12180,12180,2990,ABT
2012-04-16,12110,12590,12110,12550,5930,ABT
2012-04-17,13150,13150,12680,12680,2970,ABT
2012-04-18,12680,12680,12590,12590,4680,ABT
2012-04-19,12590,12750,12510,12640,20330,ABT
2012-04-20,12640,12750,12640,12680,8660,ABT
2012-04-23,12710,12710,12680,12680,6100,ABT
2012-04-24,12710,12910,12710,12810,11000,ABT
2012-04-25,13250,13250,13120,13120,9660,ABT
2012-04-26,13680,13680,13190,13190,5820,ABT
2012-04-27,13400,13400,13190,13400,5270,ABT
2012-05-02,13400,13400,13400,13400,20,ABT
2012-05-03,13250,13250,13250,13250,180,ABT
2012-05-04,12750,12910,12750,12910,310,ABT
2012-05-07,13250,13430,13120,13120,2180,ABT
2012-05-08,13160,13250,13160,13190,1920,ABT
2012-05-09,13250,13290,13230,13290,14050,ABT
2012-05-10,13190,13500,13080,13500,21210,ABT
2012-05-11,13080,13250,13080,13250,7050,ABT
2012-05-14,13290,13430,13250,13290,33730,ABT
2012-05-15,13430,13430,13080,13290,1820,ABT
2012-05-16,13370,13400,13290,13400,2270,ABT
2012-05-17,12750,13430,12750,13080,6610,ABT
2012-05-18,12750,13080,12750,12910,5310,ABT
2012-05-21,12580,13430,12580,13290,58820,ABT
2012-05-22,13080,13290,13080,13290,6300,ABT
2012-05-23,12770,13290,12770,13290,320,ABT
2012-05-24,13250,13250,12750,12750,2260,ABT
2012-05-25,13080,13080,13080,13080,50,ABT
2012-05-28,12940,13430,12940,13050,110,ABT
2012-05-29,13250,13250,13080,13080,40,ABT
2012-05-30,13080,13120,13080,13080,7050,ABT
2012-05-31,13080,13080,13080,13080,3540,ABT
2012-06-01,13080,13080,13080,13080,100,ABT
2012-06-04,12770,12770,12770,12770,50,ABT
2012-06-05,13080,13080,13080,13080,40,ABT
2012-06-06,13080,13080,13080,13080,0,ABT
2012-06-07,13250,13250,13190,13250,4400,ABT
2012-06-08,13290,13290,13290,13290,10,ABT
2012-06-11,13080,13250,13080,13250,6960,ABT
2012-06-12,13250,13250,13080,13080,6000,ABT
2012-06-13,13080,13190,13080,13080,4670,ABT
2012-06-14,13080,13080,13080,13080,740,ABT
2012-06-15,12750,13400,12750,13400,120,ABT
2012-06-18,13400,13430,13080,13250,3610,ABT
2012-06-19,13080,13080,13080,13080,1420,ABT
2012-06-20,13430,13430,13430,13430,900,ABT
2012-06-21,13250,13250,13250,13250,1020,ABT
2012-06-22,13250,13250,13250,13250,5000,ABT
2012-06-25,13120,13120,13080,13080,670,ABT
2012-06-26,13080,13250,13080,13160,5000,ABT
2012-06-27,13430,13430,13160,13160,1520,ABT
2012-06-28,13120,13120,13120,13120,2610,ABT
2012-06-29,13250,13430,13250,13430,2520,ABT
2012-07-02,13080,13430,13080,13430,740,ABT
2012-07-03,13120,13250,13080,13250,3550,ABT
2012-07-04,13880,13880,13120,13120,230,ABT
2012-07-05,12750,13080,12750,13080,1490,ABT
2012-07-06,13720,13720,13160,13430,170,ABT
2012-07-09,13400,13400,13400,13400,360,ABT
2012-07-10,13120,13430,13080,13080,4080,ABT
2012-07-11,13370,13370,13370,13370,10,ABT
2012-07-12,13250,13400,13250,13400,6100,ABT
2012-07-13,13430,13430,13120,13400,1980,ABT
2012-07-16,13770,13770,13770,13770,10,ABT
2012-07-17,13950,13950,13250,13290,2340,ABT
2012-07-18,13290,13810,13290,13810,5210,ABT
2012-07-19,13810,13810,13810,13810,0,ABT
2012-07-20,13810,13810,13770,13770,1900,ABT
2012-07-23,14120,14120,13770,13770,2180,ABT
2012-07-24,13950,14470,13920,14300,19010,ABT
2012-07-25,14470,14470,13770,13770,1430,ABT
2012-07-26,14470,14470,13950,14350,150,ABT
2012-07-27,14530,14530,14470,14470,850,ABT
2012-07-30,14640,14640,13740,13740,3900,ABT
2012-07-31,13290,14300,13290,14260,2790,ABT
2012-08-01,14490,14630,14360,14490,1810,ABT
2012-08-02,14630,14630,14110,14490,5370,ABT
2012-08-03,14780,14780,13810,13810,1210,ABT
2012-08-06,14140,14140,14030,14110,400,ABT
2012-08-07,14310,14450,14310,14450,1010,ABT
2012-08-08,14450,14450,14450,14450,40,ABT
2012-08-09,14400,14400,14310,14310,1360,ABT
2012-08-10,14310,14450,14110,14360,140,ABT
2012-08-13,14140,14450,14110,14450,2120,ABT
2012-08-14,14450,14630,14450,14630,20,ABT
2012-08-15,14630,14630,14310,14310,520,ABT
2012-08-16,14520,14520,14140,14140,1060,ABT
2012-08-17,14310,14310,14110,14110,800,ABT
2012-08-20,14110,14450,14110,14360,9220,ABT
2012-08-21,14490,14490,13930,14360,1030,ABT
2012-08-22,13740,14310,13740,14310,2340,ABT
2012-08-23,13740,14220,13590,13590,9460,ABT
2012-08-24,13070,14070,13070,14070,5140,ABT
2012-08-27,13560,14260,13560,14260,210,ABT
2012-08-28,14260,14260,13740,13740,5420,ABT
2012-08-29,14260,14360,13770,13770,3300,ABT
2012-08-30,14310,14400,13930,14110,3250,ABT
2012-08-31,14110,14140,14110,14110,4040,ABT
2012-09-04,14310,14310,14310,14310,10,ABT
2012-09-05,14030,14360,14030,14360,110,ABT
2012-09-06,13930,14360,13930,14360,30,ABT
2012-09-07,14110,14310,14110,14310,4510,ABT
2012-09-10,14110,14140,14110,14110,7250,ABT
2012-09-11,14310,14310,14310,14310,30000,ABT
2012-09-12,13620,14140,13620,14140,320,ABT
2012-09-13,14220,14220,14140,14220,11910,ABT
2012-09-14,14330,14330,14310,14310,10020,ABT
2012-09-17,13740,14360,13740,14310,5400,ABT
2012-09-18,14310,14490,14310,14310,2040,ABT
2012-09-19,14310,14490,14310,14310,6740,ABT
2012-09-20,14310,14310,14310,14310,0,ABT
2012-09-21,14450,14450,14450,14450,200,ABT
2012-09-24,14450,14490,14450,14490,210,ABT
2012-09-25,14850,14850,14310,14490,320,ABT
2012-09-26,14360,14360,14330,14330,440,ABT
2012-09-27,14310,14310,14310,14310,500,ABT
2012-09-28,14360,14360,14110,14360,2920,ABT
2012-10-01,14110,14220,14110,14110,1025620,ABT
2012-10-02,14310,14310,14310,14310,100,ABT
2012-10-03,14520,14520,13740,14490,721010,ABT
2012-10-04,14490,14490,14490,14490,0,ABT
2012-10-05,14490,14490,14490,14490,0,ABT
