time,open,high,low,close,volume,ticker
2012-03-20,5840,5900,5710,5780,9140,ACL
2012-03-21,5810,5870,5740,5780,43800,ACL
2012-03-22,5780,5780,5680,5710,31420,ACL
2012-03-23,5810,5900,5780,5810,98800,ACL
2012-03-26,5840,5840,5550,5740,86080,ACL
2012-03-27,5740,5740,5610,5610,38260,ACL
2012-03-28,5710,5710,5580,5650,13610,ACL
2012-03-29,5680,5740,5520,5550,28680,ACL
2012-03-30,5490,5580,5490,5490,19380,ACL
2012-04-03,5490,5650,5490,5650,12000,ACL
2012-04-04,5650,5650,5450,5520,33770,ACL
2012-04-05,5490,5580,5490,5580,13930,ACL
2012-04-06,5580,5610,5550,5580,34360,ACL
2012-04-09,5580,5610,5520,5610,6560,ACL
2012-04-10,5680,5740,5610,5680,51940,ACL
2012-04-11,5610,5840,5490,5780,46300,ACL
2012-04-12,5840,5840,5710,5710,82000,ACL
2012-04-13,5740,5780,5610,5710,45510,ACL
2012-04-16,5710,5810,5610,5810,75300,ACL
2012-04-17,5810,5940,5650,5940,163930,ACL
2012-04-18,5970,5970,5710,5840,218230,ACL
2012-04-19,5940,6130,5870,6130,400370,ACL
2012-04-20,6420,6420,6130,6420,401310,ACL
2012-04-23,6670,6740,6450,6550,205430,ACL
2012-04-24,6510,6550,6220,6550,169780,ACL
2012-04-25,6550,6640,6420,6550,282860,ACL
2012-04-26,6550,6550,6260,6420,143090,ACL
2012-04-27,6350,6420,6260,6320,169200,ACL
2012-05-02,6290,6290,6030,6030,336350,ACL
2012-05-03,5900,6030,5740,6030,164930,ACL
2012-05-04,6060,6320,6030,6260,178750,ACL
2012-05-07,6350,6350,6100,6220,81530,ACL
2012-05-08,6260,6510,6220,6420,356430,ACL
2012-05-09,6420,6550,6320,6450,198240,ACL
2012-05-10,6580,6580,6190,6260,169900,ACL
2012-05-11,6260,6260,6030,6060,257670,ACL
2012-05-14,6060,6060,5840,5840,185440,ACL
2012-05-15,5780,5840,5740,5740,72150,ACL
2012-05-16,5740,5870,5710,5810,36670,ACL
2012-05-17,5810,5970,5740,5740,26820,ACL
2012-05-18,5740,5740,5490,5550,86530,ACL
2012-05-21,5490,5810,5490,5810,53490,ACL
2012-05-22,5810,5810,5610,5740,28630,ACL
2012-05-23,5740,5740,5580,5580,144840,ACL
2012-05-24,5550,5610,5450,5550,30440,ACL
2012-05-25,5610,5810,5610,5780,34940,ACL
2012-05-28,5780,5900,5680,5780,36580,ACL
2012-05-29,5580,5780,5580,5780,12170,ACL
2012-05-30,5840,5840,5740,5780,16260,ACL
2012-05-31,5780,5780,5580,5610,24410,ACL
2012-06-01,5740,5740,5450,5450,73260,ACL
2012-06-04,5520,5550,5290,5420,27570,ACL
2012-06-05,5550,5550,5450,5450,5200,ACL
2012-06-06,5610,5610,5390,5390,24420,ACL
2012-06-07,5490,5550,5420,5450,32970,ACL
2012-06-08,5450,5610,5450,5450,23010,ACL
2012-06-11,5450,5580,5390,5550,20550,ACL
2012-06-12,5450,5580,5360,5360,31730,ACL
2012-06-13,5390,5520,5390,5450,7340,ACL
2012-06-14,5520,5520,5290,5290,22710,ACL
2012-06-15,5360,5450,5360,5420,5470,ACL
2012-06-18,5450,5550,5450,5490,12770,ACL
2012-06-19,5390,5490,5390,5390,1210,ACL
2012-06-20,5390,5450,5390,5450,1120,ACL
2012-06-21,5420,5450,5390,5390,29270,ACL
2012-06-22,5420,5450,5290,5330,16070,ACL
2012-06-25,5390,5520,5260,5360,7060,ACL
2012-06-26,5290,5330,5200,5200,25050,ACL
2012-06-27,5260,5290,5200,5200,33840,ACL
2012-06-28,5260,5260,5040,5070,47320,ACL
2012-06-29,5130,5170,5130,5170,14400,ACL
2012-07-02,5170,5260,5070,5070,10550,ACL
2012-07-03,5070,5100,5040,5040,11470,ACL
2012-07-04,5100,5230,5100,5130,8840,ACL
2012-07-05,5130,5130,5100,5100,2600,ACL
2012-07-06,5130,5170,5130,5170,1300,ACL
2012-07-09,5200,5230,5100,5170,10760,ACL
2012-07-10,5130,5130,5070,5130,8130,ACL
2012-07-11,5200,5290,5070,5130,22000,ACL
2012-07-12,5230,5230,5130,5130,3820,ACL
2012-07-13,5130,5390,5130,5330,8430,ACL
2012-07-16,5420,5420,5100,5170,7230,ACL
2012-07-17,5200,5260,5170,5260,28700,ACL
2012-07-18,5260,5290,5260,5260,27130,ACL
2012-07-19,5260,5360,5230,5360,17950,ACL
2012-07-20,5420,5420,5360,5420,18960,ACL
2012-07-23,5420,5420,5290,5390,2050,ACL
2012-07-24,5290,5390,5260,5330,8100,ACL
2012-07-25,5260,5260,5230,5260,650,ACL
2012-07-26,5330,5360,5230,5290,12870,ACL
2012-07-27,5420,5420,5260,5290,36550,ACL
2012-07-30,5390,5390,5290,5360,710,ACL
2012-07-31,5170,5390,5170,5330,50050,ACL
2012-08-01,5360,5360,5200,5260,24680,ACL
2012-08-02,5200,5260,5200,5260,10920,ACL
2012-08-03,5390,5390,5390,5390,14700,ACL
2012-08-06,5390,5390,5260,5260,4360,ACL
2012-08-07,5260,5360,5260,5360,110,ACL
2012-08-08,5260,5360,5260,5330,5620,ACL
2012-08-09,5290,5390,5290,5290,5380,ACL
2012-08-10,5260,5330,5260,5330,1010,ACL
2012-08-13,5130,5330,5130,5330,1970,ACL
2012-08-14,5330,5330,5290,5330,2540,ACL
2012-08-15,5360,5360,5260,5260,21730,ACL
2012-08-16,5330,5360,5330,5360,30,ACL
2012-08-17,5290,5360,5260,5360,550,ACL
2012-08-20,5330,5330,5260,5260,3140,ACL
2012-08-21,5130,5130,5010,5040,47100,ACL
2012-08-22,5040,5040,4970,4970,21900,ACL
2012-08-23,4840,4880,4750,4750,90670,ACL
2012-08-24,4520,4970,4520,4970,12900,ACL
2012-08-27,4810,5070,4750,5070,22120,ACL
2012-08-28,4940,5010,4940,5010,3510,ACL
2012-08-29,5070,5130,5070,5070,24210,ACL
2012-08-30,5130,5130,5070,5070,2500,ACL
2012-08-31,5070,5070,5010,5010,9110,ACL
2012-09-04,5010,5130,5010,5130,2010,ACL
2012-09-05,5130,5130,4910,4910,2140,ACL
2012-09-06,4940,5010,4840,4840,20620,ACL
2012-09-07,4840,4910,4840,4910,10310,ACL
2012-09-10,5070,5070,4810,5010,360,ACL
2012-09-11,5010,5010,4810,5010,4870,ACL
2012-09-12,5100,5100,5010,5100,13680,ACL
2012-09-13,5070,5070,4910,4910,2800,ACL
2012-09-14,5130,5130,4970,5070,2330,ACL
2012-09-17,4910,5070,4910,5070,310,ACL
2012-09-18,5070,5070,4840,4840,17330,ACL
2012-09-19,4880,4880,4810,4840,11600,ACL
2012-09-20,4810,4810,4780,4810,2600,ACL
2012-09-21,4840,4840,4720,4720,1530,ACL
2012-09-24,4720,4810,4720,4720,7040,ACL
2012-09-25,4750,4750,4680,4680,2120,ACL
2012-09-26,4720,4750,4650,4680,5800,ACL
2012-09-27,4590,4720,4590,4680,5250,ACL
2012-09-28,4650,4680,4650,4650,1050,ACL
2012-10-01,4780,4780,4650,4650,680,ACL
2012-10-02,4490,4650,4490,4650,1010,ACL
2012-10-03,4810,4810,4620,4650,4230,ACL
2012-10-04,4650,4650,4650,4650,4080,ACL
2012-10-05,4650,4680,4620,4680,4680,ACL
2012-10-08,4810,4810,4680,4810,130,ACL
2012-10-09,4750,4810,4720,4720,2360,ACL
2012-10-10,4680,4750,4620,4750,1030,ACL
2012-10-11,4810,4810,4720,4720,2820,ACL
2012-10-12,4620,4780,4620,4780,20,ACL
2012-10-15,4650,4780,4650,4650,6140,ACL
2012-10-16,4780,4780,4680,4780,10180,ACL
2012-10-17,4780,4780,4780,4780,2420,ACL
2012-10-18,4750,4750,4750,4750,150,ACL
2012-10-19,4620,4750,4520,4520,18980,ACL
2012-10-22,4490,4490,4490,4490,13660,ACL
2012-10-23,4400,4490,4400,4490,4630,ACL
2012-10-24,4490,4490,4270,4430,6360,ACL
2012-10-25,4330,4360,4240,4360,3700,ACL
2012-10-26,4360,4360,4360,4360,550,ACL
2012-10-29,4400,4400,4400,4400,3000,ACL
