time,open,high,low,close,volume,ticker
2012-03-20,8194,8567,8194,8360,19760,AGF
2012-03-21,8443,8650,8443,8650,17730,AGF
2012-03-22,8691,8691,8650,8650,17860,AGF
2012-03-23,8608,8650,8608,8650,4480,AGF
2012-03-26,8857,9064,8815,9064,68540,AGF
2012-03-27,8691,9064,8691,9064,2930,AGF
2012-03-28,8691,9064,8691,9064,17110,AGF
2012-03-29,9022,9229,8981,9188,45290,AGF
2012-03-30,9146,9519,9146,9436,21560,AGF
2012-04-03,9519,9891,9395,9891,114650,AGF
2012-04-04,9891,9891,9602,9891,12160,AGF
2012-04-05,9850,10140,9850,10098,45450,AGF
2012-04-06,10140,10140,9850,9850,9090,AGF
2012-04-09,10016,10305,10016,10305,52920,AGF
2012-04-10,10347,10802,10347,10802,45600,AGF
2012-04-11,10719,10719,10471,10471,2100,AGF
2012-04-12,10471,10761,9974,9974,54000,AGF
2012-04-13,10264,10471,9602,9602,16440,AGF
2012-04-16,10057,10057,10057,10057,5510,AGF
2012-04-17,10554,10554,10554,10554,12740,AGF
2012-04-18,10057,10926,10057,10719,16390,AGF
2012-04-19,10719,10967,10719,10719,31030,AGF
2012-04-20,10719,10719,10512,10636,1270,AGF
2012-04-23,10761,11133,10761,10885,54270,AGF
2012-04-24,10885,11381,10885,11381,11210,AGF
2012-04-25,11630,11919,11381,11423,192430,AGF
2012-04-26,11919,11919,11423,11423,540,AGF
2012-04-27,11423,11671,11257,11506,3390,AGF
2012-05-02,11506,11506,11381,11464,106180,AGF
2012-05-03,11381,11630,11174,11174,24150,AGF
2012-05-04,11381,11547,11257,11547,3900,AGF
2012-05-07,11878,12044,11671,12044,65540,AGF
2012-05-08,12416,12582,12168,12209,121870,AGF
2012-05-09,12747,12747,11630,11630,29220,AGF
2012-05-10,12044,12126,11712,12126,19170,AGF
2012-05-11,12706,12706,11588,12126,15440,AGF
2012-05-14,12126,12209,11588,11795,56570,AGF
2012-05-15,11837,12044,11216,11216,163980,AGF
2012-05-16,11216,11754,11216,11754,28150,AGF
2012-05-17,12002,12085,11216,11216,35000,AGF
2012-05-18,11588,11754,11588,11754,55510,AGF
2012-05-21,12002,12333,11878,12333,276410,AGF
2012-05-22,12416,12830,12416,12416,22150,AGF
2012-05-23,11837,12416,11837,11919,3660,AGF
2012-05-24,11588,11671,11423,11423,9030,AGF
2012-05-25,10926,11961,10926,11961,239220,AGF
2012-05-28,12540,12540,12002,12002,154800,AGF
2012-05-29,12209,12209,11795,11795,8170,AGF
2012-05-30,12209,12209,11630,11630,910,AGF
2012-05-31,12126,12126,11795,11795,3450,AGF
2012-06-01,11299,12333,11299,12085,17400,AGF
2012-06-04,11837,12085,11795,11878,38520,AGF
2012-06-05,11919,11919,11919,11919,200,AGF
2012-06-06,12375,12375,11961,11961,1510,AGF
2012-06-07,11919,12002,11919,11961,4020,AGF
2012-06-08,11837,12002,11837,11878,23820,AGF
2012-06-11,12044,12375,11588,11588,19490,AGF
2012-06-12,12168,12168,11381,11837,7300,AGF
2012-06-13,12002,12416,11919,12416,14030,AGF
2012-06-14,12457,12830,12416,12457,58900,AGF
2012-06-15,12623,12830,12044,12044,3040,AGF
2012-06-18,12623,12623,12623,12623,3490,AGF
2012-06-19,12830,13244,12830,12830,44880,AGF
2012-06-20,12830,13451,12830,12830,81500,AGF
2012-06-21,13037,13451,12830,13451,238610,AGF
2012-06-22,13451,13451,12830,13244,2870,AGF
2012-06-25,12830,13244,12830,13037,7390,AGF
2012-06-26,13451,13451,12540,12540,61120,AGF
2012-06-27,12830,13037,12830,13037,3020,AGF
2012-06-28,13037,13037,13037,13037,30,AGF
2012-06-29,13451,13451,13451,13451,30,AGF
2012-07-02,13451,13451,13451,13451,60010,AGF
2012-07-03,12789,13451,12789,12789,540,AGF
2012-07-04,13327,13327,13327,13327,10,AGF
2012-07-05,13202,13202,13202,13202,60000,AGF
2012-07-06,13202,13202,13202,13202,10,AGF
2012-07-09,13120,13120,13120,13120,10,AGF
2012-07-10,12499,12499,12499,12499,1760,AGF
2012-07-11,11878,12499,11878,11878,1820,AGF
2012-07-12,11381,12416,11340,12416,950,AGF
2012-07-13,11795,12416,11795,12416,6100,AGF
2012-07-16,11919,11919,11795,11795,1200,AGF
2012-07-17,12085,12085,12085,12085,10,AGF
2012-07-18,11588,12209,11506,12209,4680,AGF
2012-07-19,11630,11961,11630,11961,2420,AGF
2012-07-20,11464,11506,11423,11423,8130,AGF
2012-07-23,11423,11588,11588,11588,10,AGF
2012-07-24,11174,11464,11174,11174,4080,AGF
2012-07-25,11630,11630,11630,11630,20,AGF
2012-07-26,11588,11588,11588,11588,1120,AGF
2012-07-27,11588,11588,11588,11588,0,AGF
2012-07-30,11588,11588,11588,11588,0,AGF
2012-07-31,11588,11588,11340,11588,1010,AGF
2012-08-01,11588,11588,11588,11588,0,AGF
2012-08-02,11588,11588,11009,11547,4500,AGF
2012-08-03,11092,11092,11092,11092,10,AGF
2012-08-06,11009,11588,11009,11588,20,AGF
2012-08-07,11588,11588,11588,11588,0,AGF
2012-08-08,11092,11092,11092,11092,110,AGF
2012-08-09,10885,11506,10885,11050,1520,AGF
2012-08-10,11506,11506,11050,11050,860,AGF
2012-08-13,11050,11050,11050,11050,0,AGF
2012-08-14,11381,11381,11381,11381,20,AGF
2012-08-15,11257,11257,10843,10843,290,AGF
2012-08-16,10967,11257,10885,11257,510,AGF
2012-08-17,11174,11174,11092,11133,600,AGF
2012-08-20,10678,10678,10678,10678,6730,AGF
2012-08-21,10554,10678,10554,10595,3610,AGF
2012-08-22,10595,10595,10595,10595,0,AGF
2012-08-23,11009,11009,10595,10595,660,AGF
2012-08-24,10595,10967,10595,10967,40,AGF
2012-08-27,10678,10926,10678,10926,20,AGF
2012-08-28,10761,11009,10761,11009,110,AGF
2012-08-29,10471,10471,10471,10471,310,AGF
2012-08-30,10595,10595,10595,10595,160,AGF
2012-08-31,11092,11092,11092,11092,10,AGF
2012-09-04,10554,11050,10554,11050,1410,AGF
2012-09-05,10554,10554,10512,10512,1720,AGF
2012-09-06,10181,10181,10181,10181,1000,AGF
2012-09-07,9809,10554,9684,9726,210,AGF
2012-09-10,9643,9767,9560,9643,3300,AGF
2012-09-11,10057,10057,9643,9643,560,AGF
2012-09-12,9643,9974,9643,9974,2150,AGF
2012-09-13,9974,9974,9974,9974,0,AGF
2012-09-14,9560,9560,9477,9477,780,AGF
2012-09-17,9312,9353,9312,9312,90,AGF
2012-09-18,9105,9105,9105,9105,100,AGF
2012-09-19,9105,9105,8691,8691,2010,AGF
2012-09-20,8401,8401,8401,8401,10,AGF
2012-09-21,8401,8401,8401,8401,13470,AGF
2012-09-24,8815,8815,8815,8815,150,AGF
2012-09-25,9064,9064,9064,9064,20,AGF
2012-09-26,9395,9395,8650,8650,2660,AGF
2012-09-27,8360,8898,8360,8898,20,AGF
2012-09-28,9105,9105,8691,8691,120,AGF
2012-10-01,8277,8939,8277,8939,20,AGF
2012-10-02,8939,8939,8939,8939,0,AGF
2012-10-03,8526,8567,8526,8526,3020,AGF
2012-10-04,8277,8319,8112,8112,9010,AGF
2012-10-05,8443,8443,8443,8443,10,AGF
2012-10-08,8857,8857,8443,8857,220,AGF
2012-10-09,8443,8443,8443,8443,250,AGF
2012-10-10,8029,8443,8029,8443,3490,AGF
2012-10-11,8526,8526,8484,8484,1630,AGF
2012-10-12,8567,8567,8112,8112,410,AGF
2012-10-15,7863,7863,7863,7863,200,AGF
2012-10-16,8070,8236,8070,8236,160,AGF
2012-10-17,8484,8484,8484,8484,20,AGF
2012-10-18,8691,8732,8112,8112,390,AGF
2012-10-19,8484,8484,8484,8484,160,AGF
2012-10-22,8774,8898,8774,8898,190,AGF
2012-10-23,8857,9271,8857,9271,100,AGF
2012-10-24,8857,8857,8815,8815,50,AGF
2012-10-25,8401,8401,8401,8401,60,AGF
2012-10-26,8401,8401,8401,8401,0,AGF
2012-10-29,8815,8815,8815,8815,110,AGF
2012-10-30,9105,9105,9105,9105,110,AGF
2012-10-31,8650,9519,8650,9519,380,AGF
2012-11-01,9064,9850,9064,9064,40,AGF
2012-11-02,8650,9229,8650,9229,50,AGF
2012-11-05,8774,9271,8774,9271,20,AGF
2012-11-06,8815,8815,8815,8815,10,AGF
2012-11-07,8443,8443,8443,8443,10,AGF
2012-11-08,8319,8319,8194,8194,80,AGF
2012-11-09,8153,8567,8153,8567,60,AGF
2012-11-12,8567,8567,8236,8236,20,AGF
2012-11-13,8112,8112,8112,8112,40,AGF
2012-11-14,7946,7987,7863,7863,90,AGF
2012-11-15,8236,8236,8194,8236,260,AGF
2012-11-16,8112,8567,8112,8567,20,AGF
2012-11-19,8567,8567,8153,8153,20,AGF
2012-11-20,7905,7905,7905,7905,10,AGF
2012-11-21,8277,8277,8277,8277,30,AGF
2012-11-22,8691,8691,8691,8691,30,AGF
2012-11-23,8567,8567,8567,8567,40,AGF
2012-11-26,8194,8194,8194,8194,10,AGF
2012-11-27,8194,8194,8194,8194,0,AGF
2012-11-28,8194,8194,8194,8194,0,AGF
2012-11-29,8153,8153,7946,7946,80,AGF
2012-11-30,7946,7946,7946,7946,0,AGF
2012-12-03,8194,8194,8194,8194,10,AGF
2012-12-04,7946,8443,7946,8443,20,AGF
2012-12-05,8443,8443,8443,8443,10,AGF
2012-12-06,8443,8443,8443,8443,0,AGF
2012-12-07,8443,8443,8443,8443,370,AGF
2012-12-10,8691,8691,8691,8691,10,AGF
2012-12-11,8691,8691,8691,8691,0,AGF
2012-12-12,8608,8608,8608,8608,10,AGF
2012-12-13,8194,8567,8194,8567,120,AGF
2012-12-14,8567,8567,8567,8567,0,AGF
2012-12-17,8981,8981,8981,8981,10,AGF
2012-12-18,8567,8567,8567,8567,110,AGF
2012-12-19,8567,8567,8567,8567,0,AGF
2012-12-20,8857,8857,8857,8857,10,AGF
2012-12-21,8857,8857,8857,8857,0,AGF
2012-12-24,8443,8443,8443,8443,50,AGF
2012-12-25,8857,8857,8112,8112,320,AGF
