time,open,high,low,close,volume,ticker
2012-03-20,1050,1050,1000,1050,98510,ANV
2012-03-21,1050,1060,1030,1050,78330,ANV
2012-03-22,1060,1060,1020,1040,17940,ANV
2012-03-23,1050,1060,1050,1050,116600,ANV
2012-03-26,1070,1090,1050,1090,176290,ANV
2012-03-27,1140,1140,1110,1110,305920,ANV
2012-03-28,1110,1150,1080,1150,223260,ANV
2012-03-29,1190,1190,1110,1110,129400,ANV
2012-03-30,1110,1110,1060,1060,147660,ANV
2012-04-03,1040,1090,1030,1060,103110,ANV
2012-04-04,1040,1070,1030,1030,67560,ANV
2012-04-05,1060,1070,1030,1070,48910,ANV
2012-04-06,1090,1090,1050,1060,17720,ANV
2012-04-09,1040,1070,1040,1070,25920,ANV
2012-04-10,1090,1120,1090,1120,159660,ANV
2012-04-11,1120,1160,1120,1160,154510,ANV
2012-04-12,1200,1200,1130,1160,59360,ANV
2012-04-13,1130,1160,1130,1140,87370,ANV
2012-04-16,1130,1160,1130,1160,72650,ANV
2012-04-17,1160,1220,1150,1170,184140,ANV
2012-04-18,1170,1200,1160,1160,113310,ANV
2012-04-19,1160,1170,1110,1110,80400,ANV
2012-04-20,1120,1150,1110,1150,84470,ANV
2012-04-23,1140,1200,1140,1200,178730,ANV
2012-04-24,1220,1260,1220,1260,136340,ANV
2012-04-25,1300,1320,1300,1320,111030,ANV
2012-04-26,1340,1340,1280,1280,167070,ANV
2012-04-27,1260,1340,1240,1320,66850,ANV
2012-05-02,1300,1320,1270,1270,109050,ANV
2012-05-03,1240,1280,1240,1280,86060,ANV
2012-05-04,1300,1320,1260,1310,116510,ANV
2012-05-07,1330,1370,1330,1370,297680,ANV
2012-05-08,1430,1430,1410,1430,305570,ANV
2012-05-09,1460,1470,1390,1450,119390,ANV
2012-05-10,1480,1480,1420,1460,224560,ANV
2012-05-11,1420,1450,1390,1390,133410,ANV
2012-05-14,1390,1390,1330,1330,64990,ANV
2012-05-15,1310,1310,1270,1270,102110,ANV
2012-05-16,1270,1300,1220,1270,57210,ANV
2012-05-17,1240,1300,1200,1200,43510,ANV
2012-05-18,1200,1230,1170,1190,66960,ANV
2012-05-21,1200,1240,1200,1240,2840,ANV
2012-05-22,1300,1300,1270,1270,55610,ANV
2012-05-23,1270,1270,1200,1240,45150,ANV
2012-05-24,1240,1240,1180,1180,41660,ANV
2012-05-25,1200,1230,1200,1230,12380,ANV
2012-05-28,1270,1270,1190,1260,20570,ANV
2012-05-29,1200,1240,1200,1240,4580,ANV
2012-05-30,1240,1260,1200,1230,7870,ANV
2012-05-31,1260,1260,1180,1180,22060,ANV
2012-06-01,1190,1190,1170,1170,24980,ANV
2012-06-04,1200,1200,1120,1120,24300,ANV
2012-06-05,1110,1170,1110,1170,14230,ANV
2012-06-06,1200,1200,1160,1200,4560,ANV
2012-06-07,1240,1260,1230,1240,8710,ANV
2012-06-08,1240,1260,1220,1220,38080,ANV
2012-06-11,1190,1220,1180,1180,30190,ANV
2012-06-12,1160,1170,1160,1170,2980,ANV
2012-06-13,1160,1220,1160,1160,3510,ANV
2012-06-14,1160,1190,1160,1190,10190,ANV
2012-06-15,1170,1200,1170,1190,2200,ANV
2012-06-18,1180,1200,1170,1170,8060,ANV
2012-06-19,1180,1180,1160,1180,40,ANV
2012-06-20,1150,1190,1150,1180,5000,ANV
2012-06-21,1170,1180,1160,1180,1040,ANV
2012-06-22,1160,1170,1160,1160,4450,ANV
2012-06-25,1160,1160,1120,1120,10500,ANV
2012-06-26,1100,1110,1070,1070,57450,ANV
2012-06-27,1060,1120,1020,1050,48120,ANV
2012-06-28,1010,1060,1010,1050,15620,ANV
2012-06-29,1020,1060,1020,1050,7290,ANV
2012-07-02,1000,1050,1000,1020,11510,ANV
2012-07-03,1040,1040,980,980,22780,ANV
2012-07-04,980,1020,980,1020,8330,ANV
2012-07-05,1000,1040,1000,1020,12050,ANV
2012-07-06,1040,1040,1020,1040,1410,ANV
2012-07-09,1040,1040,1010,1040,29520,ANV
2012-07-10,1000,1040,1000,1040,13270,ANV
2012-07-11,1000,1040,1000,1040,40,ANV
2012-07-12,1020,1040,1020,1040,6000,ANV
2012-07-13,1050,1080,1050,1070,35250,ANV
2012-07-16,1040,1080,1040,1080,8030,ANV
2012-07-17,1040,1080,1040,1070,13080,ANV
2012-07-18,1080,1080,1050,1050,15190,ANV
2012-07-19,1040,1100,1040,1070,52030,ANV
2012-07-20,1100,1110,1070,1070,39840,ANV
2012-07-23,1110,1110,1040,1040,29330,ANV
2012-07-24,1010,1060,1010,1010,5720,ANV
2012-07-25,1000,1050,1000,1050,6140,ANV
2012-07-26,1070,1070,1020,1020,5090,ANV
2012-07-27,1020,1050,1010,1010,15280,ANV
2012-07-30,1040,1040,1000,1020,3070,ANV
2012-07-31,1010,1060,1000,1010,8660,ANV
2012-08-01,1010,1050,1000,1000,22410,ANV
2012-08-02,1000,1040,1000,1000,3350,ANV
2012-08-03,1010,1010,1000,1010,1100,ANV
2012-08-06,1050,1060,1020,1060,11850,ANV
2012-08-07,1050,1050,1020,1050,17270,ANV
2012-08-08,1040,1050,1020,1040,4590,ANV
2012-08-09,1050,1050,1040,1040,25230,ANV
2012-08-10,1050,1050,1040,1040,1980,ANV
2012-08-13,1020,1040,1010,1040,9440,ANV
2012-08-14,1020,1050,1020,1020,4240,ANV
2012-08-15,1020,1020,1010,1010,3390,ANV
2012-08-16,1010,1040,1010,1040,4090,ANV
2012-08-17,1010,1050,1010,1050,5160,ANV
2012-08-20,1040,1060,1040,1060,4910,ANV
2012-08-21,1040,1040,1010,1010,14390,ANV
2012-08-22,960,1050,960,980,13590,ANV
2012-08-23,960,960,940,940,21160,ANV
2012-08-24,920,980,910,940,65890,ANV
2012-08-27,910,930,910,910,9360,ANV
2012-08-28,870,910,870,900,50140,ANV
2012-08-29,870,930,870,930,10070,ANV
2012-08-30,960,970,930,960,2710,ANV
2012-08-31,980,980,930,960,3820,ANV
2012-09-04,960,970,930,960,4310,ANV
2012-09-05,970,970,920,920,3510,ANV
2012-09-06,930,930,880,910,1900,ANV
2012-09-07,910,930,880,930,380,ANV
