time,open,high,low,close,volume,ticker
2017-06-08,21970,21970,18120,18120,10300,APF
2017-06-09,18120,18120,17980,17980,3200,APF
2017-06-12,18060,18060,18060,18060,0,APF
2017-06-13,17130,17130,16260,16260,6900,APF
2017-06-14,17130,17260,17130,17260,3900,APF
2017-06-15,17130,17130,16850,17130,1400,APF
2017-06-16,16560,16560,16560,16560,1000,APF
2017-06-19,16560,16560,16560,16560,0,APF
2017-06-20,15690,16260,15690,16260,600,APF
2017-06-21,16260,17130,16260,17130,10200,APF
2017-06-22,17050,17050,17050,17050,0,APF
2017-06-23,17050,17050,17050,17050,0,APF
2017-06-26,17130,17130,17130,17130,1000,APF
2017-06-27,17130,17130,17130,17130,0,APF
2017-06-28,16980,16980,16850,16850,6393,APF
2017-06-29,16850,16850,16850,16850,2700,APF
2017-06-30,16850,16850,16850,16850,0,APF
2017-07-03,17070,17070,17070,17070,500,APF
2017-07-04,17130,17130,17130,17130,1700,APF
2017-07-05,17130,17130,17130,17130,50100,APF
2017-07-06,16850,16850,16690,16850,10000,APF
2017-07-07,16790,16790,16790,16790,0,APF
2017-07-10,16790,16790,16790,16790,0,APF
2017-07-11,16860,16860,16790,16860,3000,APF
2017-07-12,16850,16860,16850,16860,5500,APF
2017-07-13,16860,16860,16860,16860,0,APF
2017-07-14,16860,16860,16860,16860,0,APF
2017-07-17,16980,17010,16980,16980,16000,APF
2017-07-18,16980,17070,16980,17070,7000,APF
2017-07-19,17070,17070,17070,17070,0,APF
2017-07-20,17130,17130,17130,17130,8900,APF
2017-07-21,17130,17130,17130,17130,0,APF
2017-07-24,17130,17130,17130,17130,0,APF
2017-07-25,17130,17130,17130,17130,0,APF
2017-07-26,17130,17130,17130,17130,0,APF
2017-07-27,17130,17130,17130,17130,0,APF
2017-07-28,17130,17130,17130,17130,9000,APF
2017-07-31,16850,16850,16850,16850,1000,APF
2017-08-01,16850,17190,17190,16850,0,APF
2017-08-02,17130,17130,17130,17130,2500,APF
2017-08-03,17130,17130,17130,17130,0,APF
2017-08-04,17190,17190,17190,17190,500,APF
2017-08-07,17190,17190,17190,17190,0,APF
2017-08-08,17130,17130,17130,17130,2000,APF
2017-08-09,17130,17130,16980,16980,500,APF
2017-08-10,16850,16850,16850,16850,7000,APF
2017-08-11,16850,16850,16850,16850,9000,APF
2017-08-14,16850,16850,16850,16850,5027,APF
2017-08-15,16850,16980,16850,16850,6000,APF
2017-08-16,16850,16850,16850,16850,2500,APF
2017-08-17,16850,16850,16850,16850,9600,APF
2017-08-18,16850,16850,16850,16850,200,APF
2017-08-21,16850,16850,16560,16560,14300,APF
2017-08-22,16560,16560,16560,16560,6000,APF
2017-08-23,16560,16560,16560,16560,0,APF
2017-08-24,16410,16410,16410,16410,6227,APF
2017-08-25,16410,16440,16440,16410,0,APF
2017-08-28,16560,16560,16560,16560,3500,APF
2017-08-29,16560,16560,16560,16560,4000,APF
2017-08-30,16560,16560,16560,16560,0,APF
2017-08-31,16560,16560,16560,16560,0,APF
2017-09-01,16560,16560,16560,16560,0,APF
2017-09-05,16660,16660,16660,16660,500,APF
2017-09-06,16660,16660,16660,16660,0,APF
2017-09-07,16410,16560,16410,16560,1500,APF
2017-09-08,16560,16560,16560,16560,6000,APF
2017-09-11,16590,16590,16590,16590,1000,APF
2017-09-12,16560,16560,16410,16410,11100,APF
2017-09-13,16260,16260,16260,16260,2200,APF
2017-09-14,16260,16260,16260,16260,200,APF
2017-09-15,16260,16260,16120,16120,4700,APF
2017-09-18,15690,15690,15400,15400,874,APF
2017-09-19,15400,15400,14550,15400,4400,APF
2017-09-20,15400,15400,15400,15400,1000,APF
2017-09-21,15400,15400,15400,15400,0,APF
2017-09-22,15400,15400,14850,14850,1900,APF
2017-09-25,16260,16260,14850,14850,900,APF
2017-09-26,15690,15690,15690,15690,100,APF
2017-09-27,15690,15690,15690,15690,0,APF
2017-09-28,14550,14550,14550,14550,100,APF
2017-09-29,15130,15130,15130,15130,2000,APF
2017-10-02,15130,15130,15130,15130,0,APF
2017-10-03,15130,15130,15130,15130,0,APF
2017-10-04,15130,15130,15130,15130,0,APF
2017-10-05,15130,15130,15130,15130,0,APF
2017-10-06,15130,15130,15130,15130,0,APF
2017-10-09,15130,15130,15130,15130,0,APF
2017-10-10,15130,15130,15130,15130,0,APF
2017-10-11,14550,14550,14550,14550,1000,APF
2017-10-12,14550,14550,14550,14550,0,APF
2017-10-13,14550,14550,14550,14550,0,APF
2017-10-16,16260,16260,16260,16260,101,APF
2017-10-17,15270,15270,15270,15270,0,APF
2017-10-18,14270,14270,14270,14270,1000,APF
2017-10-19,14270,14270,14270,14270,0,APF
2017-10-20,14270,14270,14270,14270,0,APF
2017-10-23,14270,14270,14270,14270,0,APF
2017-10-24,12850,13130,12850,13130,2000,APF
2017-10-25,12980,12850,12850,12980,0,APF
2017-10-26,12850,12850,12850,12850,0,APF
2017-10-27,12850,12850,12560,12850,2300,APF
2017-10-30,12640,12640,12640,12640,0,APF
2017-10-31,14270,14270,14270,14270,200,APF
2017-11-01,14270,14270,14270,14270,0,APF
2017-11-02,14270,14270,14270,14270,0,APF
2017-11-03,14270,14270,14270,14270,0,APF
2017-11-06,14850,14850,13130,14550,1340,APF
2017-11-07,14270,14270,14270,14270,2600,APF
2017-11-08,14270,14270,14270,14270,0,APF
2017-11-09,14270,14270,14270,14270,0,APF
2017-11-10,14270,13980,13980,14270,0,APF
2017-11-13,11980,14270,11980,14270,300,APF
2017-11-14,14850,14850,14850,14850,100,APF
2017-11-15,14850,14850,14850,14850,0,APF
2017-11-16,15130,15130,13420,13420,300,APF
2017-11-17,14850,14850,14270,14270,200,APF
2017-11-20,14850,14850,14850,14850,100,APF
2017-11-21,14850,14850,14850,14850,0,APF
2017-11-22,14420,14420,14380,14380,500,APF
2017-11-23,14380,14380,14380,14380,0,APF
2017-11-24,14380,14380,14380,14380,0,APF
2017-11-27,14350,14350,13130,13130,1600,APF
2017-11-28,14270,14270,14270,14270,204,APF
2017-11-29,13130,13130,13130,13130,1400,APF
2017-11-30,14270,14270,14270,14270,1200,APF
2017-12-01,14550,14550,14550,14550,100,APF
2017-12-04,14550,14550,14550,14550,0,APF
2017-12-05,14550,14550,14550,14550,0,APF
2017-12-06,13130,13250,13130,13250,1900,APF
2017-12-07,13980,13980,13160,13420,700,APF
2017-12-08,13550,13550,13260,13260,1650,APF
2017-12-11,13300,13300,13300,13300,0,APF
2017-12-12,14700,14700,14650,14650,200,APF
2017-12-13,14650,14850,14650,14850,200,APF
2017-12-14,14850,14850,13160,13200,2000,APF
2017-12-15,13130,13200,13130,13200,1100,APF
2017-12-18,13980,13980,13200,13200,300,APF
2017-12-19,13670,13670,13670,13670,100,APF
2017-12-20,13420,13420,13420,13420,100,APF
2017-12-21,13530,13530,13530,13530,100,APF
2017-12-22,13530,13530,13530,13530,0,APF
2017-12-25,13130,13130,13130,13130,100,APF
2017-12-26,13130,13130,13130,13130,0,APF
2017-12-27,12980,12980,12980,12980,100,APF
2017-12-28,12980,12980,12980,12980,0,APF
2017-12-29,13550,13550,12260,12260,1100,APF
2018-01-02,13700,13700,11980,11980,600,APF
2018-01-03,13390,13530,11420,13530,3200,APF
2018-01-04,13420,13420,13130,13130,400,APF
2018-01-05,13320,13320,11470,13320,1400,APF
2018-01-08,11710,13130,11710,13130,300,APF
2018-01-09,13130,13130,13130,13130,100,APF
2018-01-10,13100,13130,13100,13100,300,APF
2018-01-11,13100,13100,13100,13100,0,APF
2018-01-12,12850,12850,12850,12850,200,APF
2018-01-15,12850,12850,12560,12560,1301,APF
2018-01-16,12850,12850,12850,12850,100,APF
2018-01-17,12850,12850,12850,12850,0,APF
2018-01-18,12850,12850,12850,12850,0,APF
2018-01-19,12560,12710,12560,12710,2000,APF
2018-01-22,12570,12570,12570,12570,0,APF
2018-01-23,12570,12570,12570,12570,0,APF
2018-01-24,12500,12500,12500,12500,100,APF
2018-01-25,11980,11980,11980,11980,2800,APF
2018-01-26,12260,12260,11420,11710,1900,APF
2018-01-29,12560,13130,11980,11980,3200,APF
2018-01-30,12710,12850,12100,12100,900,APF
2018-01-31,12560,12710,12560,12710,310,APF
2018-02-01,12260,12500,12260,12260,1800,APF
