time,open,high,low,close,volume,ticker
2020-07-28,30160,30160,30160,30160,275200,APH
2020-07-29,32219,32219,32219,32219,193780,APH
2020-07-30,34460,34460,34460,34460,370550,APH
2020-07-31,36761,36822,33612,36519,328950,APH
2020-08-03,33975,36882,33975,34520,290720,APH
2020-08-04,34217,36882,33915,36882,434910,APH
2020-08-05,36882,39365,36761,39365,520410,APH
2020-08-06,39365,41182,38457,41122,525700,APH
2020-08-07,41061,41667,40758,41485,504240,APH
2020-08-10,41485,41485,38760,39062,413640,APH
2020-08-11,38760,39668,38033,39426,403850,APH
2020-08-12,39426,40576,39426,40334,423970,APH
2020-08-13,40455,41788,40455,41606,524120,APH
2020-08-14,41727,42999,41727,42817,536830,APH
2020-08-17,42817,42999,41182,41182,315400,APH
2020-08-18,41182,42393,41000,42393,415720,APH
2020-08-19,42393,44816,42333,43907,530760,APH
2020-08-20,44089,44755,43907,43907,434060,APH
2020-08-21,44089,45421,43907,45179,481230,APH
2020-08-24,45300,45724,45179,45240,358550,APH
2020-08-25,45240,45421,44150,45119,323070,APH
2020-08-26,45119,45421,44331,44574,402650,APH
2020-08-27,43907,45119,43726,44816,393330,APH
2020-08-28,44998,45300,44452,44574,337940,APH
2020-08-31,44452,45119,44271,44392,314520,APH
2020-09-01,44392,44998,44392,44695,335240,APH
2020-09-03,44816,45240,44695,44816,252350,APH
2020-09-04,44816,44937,44089,44452,214910,APH
2020-09-07,44452,44755,44392,44574,242810,APH
2020-09-08,44574,44816,44392,44634,238060,APH
2020-09-09,44634,44634,44089,44210,208670,APH
2020-09-10,44210,44210,43605,44210,212090,APH
2020-09-11,43907,45421,43907,44876,284190,APH
2020-09-14,44998,45724,44998,45664,317130,APH
2020-09-15,45664,45906,45240,45482,204520,APH
2020-09-16,45482,45724,45240,45421,212890,APH
2020-09-17,45300,45421,44695,45421,232380,APH
2020-09-18,45421,45421,45119,45300,204480,APH
2020-09-21,45421,45724,45361,45361,215940,APH
2020-09-22,45361,45482,45179,45421,244710,APH
2020-09-23,45421,46027,45421,45543,288610,APH
2020-09-24,45543,45845,45361,45421,316050,APH
2020-09-25,45421,45543,45119,45179,246560,APH
2020-09-28,45179,45543,45119,45361,266240,APH
2020-09-29,45361,45482,44816,44937,340880,APH
2020-09-30,44816,45361,44816,45058,293790,APH
2020-10-01,45058,45421,44998,45240,264660,APH
2020-10-02,45240,45361,44816,44876,227290,APH
2020-10-05,44876,45058,44755,44937,358150,APH
2020-10-06,44937,45058,44755,44998,292970,APH
2020-10-07,44998,44998,44634,44816,242560,APH
2020-10-08,44816,44998,44574,44695,322770,APH
2020-10-09,44695,44998,44150,44513,266880,APH
2020-10-12,44513,44755,43968,44089,215630,APH
2020-10-13,44089,44331,43665,43726,334730,APH
2020-10-14,43726,44210,43726,44089,253810,APH
2020-10-15,44089,44210,43362,43605,282950,APH
2020-10-16,43605,43907,42393,43544,345160,APH
2020-10-19,43544,44210,43544,44089,405950,APH
2020-10-20,44089,44089,43665,43907,225660,APH
2020-10-21,43907,44150,43605,43665,357560,APH
2020-10-22,43665,44029,43362,44029,437230,APH
2020-10-23,44029,44695,44029,44513,461180,APH
2020-10-26,44513,45058,44513,44574,384310,APH
2020-10-27,44452,44452,43786,43968,338750,APH
2020-10-28,43847,44089,43241,43544,368740,APH
2020-10-29,43423,43847,42757,42757,308900,APH
2020-10-30,45724,45724,43120,45119,851700,APH
2020-11-02,45119,45543,45058,45543,463500,APH
2020-11-03,45421,45664,44998,45179,408710,APH
2020-11-04,45058,45603,44876,44876,468240,APH
2020-11-05,44876,45300,44634,44816,368900,APH
2020-11-06,44816,45421,44574,44937,389310,APH
2020-11-09,44937,45664,44876,45482,407990,APH
2020-11-10,45482,45664,45240,45421,304120,APH
2020-11-11,45724,48571,45724,48571,566220,APH
2020-11-12,48752,49782,48692,49540,475780,APH
2020-11-13,49600,50266,49176,49358,369970,APH
2020-11-16,49237,49721,48510,49116,420030,APH
2020-11-17,49116,49358,48510,48692,384540,APH
2020-11-18,48692,49358,48510,49237,3001870,APH
