time,open,high,low,close,volume,ticker
2020-09-24,27240,27240,27240,27240,2010,ASG
2020-09-25,29140,29140,29140,29140,4260,ASG
2020-09-28,31140,31140,31140,31140,91910,ASG
2020-09-29,33300,33300,33300,33300,152000,ASG
2020-09-30,35610,35610,35610,35610,86000,ASG
2020-10-01,38070,38070,37840,38070,137410,ASG
2020-10-02,40710,40710,40110,40710,195430,ASG
2020-10-05,38290,40640,37910,37910,78970,ASG
2020-10-06,35270,35270,35270,35270,24970,ASG
2020-10-07,32810,32810,32810,32810,18770,ASG
2020-10-08,30540,34960,30540,33300,181260,ASG
2020-10-09,33300,33300,31560,32540,32000,ASG
2020-10-12,30570,32090,30570,31260,24370,ASG
2020-10-13,31710,31780,30350,30730,27690,ASG
2020-10-14,30730,31030,29890,30880,33750,ASG
2020-10-15,30270,30880,29740,30730,53710,ASG
2020-10-16,30040,30880,30040,30880,16690,ASG
2020-10-19,31030,31030,30120,30880,18310,ASG
2020-10-20,30800,30950,30270,30950,14390,ASG
2020-10-21,30380,30650,28910,28910,45310,ASG
2020-10-22,28760,29890,28760,29440,18330,ASG
2020-10-23,29820,30200,29510,29510,7420,ASG
2020-10-26,29510,29890,28980,28980,10150,ASG
2020-10-27,28980,29060,28610,29060,13570,ASG
2020-10-28,29060,29060,27620,27620,16330,ASG
2020-10-29,26870,28150,26640,27850,21600,ASG
2020-10-30,28110,28270,27240,27240,4960,ASG
2020-11-02,27020,28000,27020,27400,9800,ASG
2020-11-03,27470,27930,27470,27620,3390,ASG
2020-11-04,28000,28000,27620,27620,4900,ASG
2020-11-05,27620,27930,27550,27770,6410,ASG
2020-11-06,28000,28000,27960,28000,1780,ASG
2020-11-09,28080,28150,26870,26870,23670,ASG
2020-11-10,28270,28270,26870,27850,14890,ASG
2020-11-11,27850,27850,27470,27620,4610,ASG
2020-11-12,27400,27850,27240,27620,22210,ASG
2020-11-13,27620,27620,27020,27090,21520,ASG
2020-11-16,26640,27090,26640,27090,26620,ASG
2020-11-17,27620,27620,26870,26870,8720,ASG
2020-11-18,27620,27620,27020,27240,7050,ASG
2020-11-19,27240,27240,26870,27170,10150,ASG
2020-11-20,26870,27240,26870,27090,6270,ASG
2020-11-23,27090,27240,26870,26870,17290,ASG
2020-11-24,27170,27240,26940,27240,20870,ASG
2020-11-25,27240,27240,26870,27240,18240,ASG
2020-11-26,26870,27170,26790,26940,13970,ASG
2020-11-27,26940,27090,26830,27020,3660,ASG
2020-11-30,27020,27280,26940,27020,22420,ASG
2020-12-01,27210,27700,27020,27320,20050,ASG
2020-12-02,27360,27700,27360,27620,12880,ASG
2020-12-03,28380,29550,28300,29550,29660,ASG
2020-12-04,31410,31410,29890,29890,31430,ASG
2020-12-07,29890,30270,28760,29140,6030,ASG
2020-12-08,29140,29890,28610,28610,6820,ASG
2020-12-09,30270,30270,28000,28150,15570,ASG
2020-12-10,28080,28760,28080,28680,7660,ASG
2020-12-11,28000,28760,28000,28080,5730,ASG
2020-12-14,28230,28910,28000,28150,10680,ASG
2020-12-15,28150,28980,28150,28230,13480,ASG
2020-12-16,28760,29510,28300,28300,37240,ASG
2020-12-17,28380,28910,28230,28380,33210,ASG
2020-12-18,28760,29210,28380,28530,23940,ASG
2020-12-21,28530,28760,28380,28530,14200,ASG
2020-12-22,28680,29890,28680,29740,39180,ASG
2020-12-23,30270,30270,29360,29890,12320,ASG
2020-12-24,29890,31940,28380,31940,41340,ASG
2020-12-25,30270,32009,30270,31710,92280,ASG
2020-12-28,31780,31780,29890,31030,13370,ASG
2020-12-29,30950,31480,30270,31030,16380,ASG
2020-12-30,30270,30650,29890,29890,3090,ASG
2020-12-31,29890,30270,29140,29890,7250,ASG
2021-01-04,29890,29890,29510,29510,15200,ASG
2021-01-05,29510,29820,28980,29140,9200,ASG
2021-01-06,29140,29440,29060,29060,6900,ASG
2021-01-07,29140,29140,28830,28910,11100,ASG
2021-01-08,28910,29140,28610,28680,33500,ASG
2021-01-11,28680,28910,28300,28300,29600,ASG
2021-01-12,28300,29510,28300,29510,24600,ASG
2021-01-13,29140,29290,29060,29210,31400,ASG
2021-01-14,29250,29290,29060,29060,8100,ASG
2021-01-15,29060,29290,29060,29060,5100,ASG
2021-01-18,29060,29140,28460,28680,53900,ASG
2021-01-19,28760,28760,28000,28150,37900,ASG
2021-01-20,28150,28150,27930,28000,5500,ASG
2021-01-21,29140,29140,28000,28910,600,ASG
2021-01-22,28910,28910,28080,28230,7200,ASG
2021-01-25,28000,28300,27850,27850,29700,ASG
2021-01-26,28300,28680,27930,27930,7500,ASG
2021-01-27,27850,27930,27470,27470,16100,ASG
2021-01-28,27240,27930,25580,25650,20600,ASG
2021-01-29,25650,27430,25650,27400,1700,ASG
2021-02-01,27400,27400,26490,26870,5500,ASG
2021-02-02,26530,26870,26340,26870,7100,ASG
2021-02-03,26640,26640,26410,26410,7200,ASG
2021-02-04,26410,26490,26410,26410,8200,ASG
2021-02-05,26410,26410,26410,26410,0,ASG
2021-02-08,26410,26410,26180,26180,1600,ASG
2021-02-09,26180,27240,26180,27240,1600,ASG
2021-02-17,26560,27930,26560,26560,4500,ASG
2021-02-18,26560,27320,26560,27320,4000,ASG
2021-02-19,26940,27550,26940,27550,11600,ASG
2021-02-22,27240,27550,27240,27320,6700,ASG
2021-02-23,27320,27470,26870,26870,1600,ASG
2021-02-24,27020,27400,26870,26900,2300,ASG
2021-02-25,26870,27240,26750,26750,1000,ASG
2021-02-26,26750,26750,26750,26750,1300,ASG
2021-03-01,26560,26870,26560,26640,2500,ASG
2021-03-02,26870,27240,26640,27020,9500,ASG
2021-03-03,28680,28680,27090,27770,6300,ASG
2021-03-04,28380,28380,27620,27770,3600,ASG
2021-03-05,27770,27850,27700,27770,6300,ASG
2021-03-08,28000,28760,28000,28150,6900,ASG
2021-03-09,28150,28380,28000,28380,4200,ASG
2021-03-10,28080,28380,28080,28080,1100,ASG
2021-03-11,27850,28000,27850,27960,19500,ASG
2021-03-12,27960,28000,27240,27240,24200,ASG
2021-03-15,28610,28610,27470,27470,3200,ASG
2021-03-16,27470,27470,27470,27470,3500,ASG
2021-03-17,27470,27470,27240,27320,2400,ASG
2021-03-18,27320,27320,27170,27170,800,ASG
2021-03-19,27240,27320,27240,27240,3300,ASG
2021-03-22,27240,27320,27240,27320,4000,ASG
2021-03-23,27400,28230,27320,28080,10300,ASG
2021-03-24,28000,28000,27620,27620,1100,ASG
2021-03-25,27240,28000,27170,27700,2100,ASG
2021-03-26,27240,27700,26940,26940,2000,ASG
2021-03-29,28190,28190,27090,27620,17300,ASG
2021-03-30,27320,27320,26870,26870,18800,ASG
2021-03-31,26870,27620,26870,26940,600,ASG
2021-04-01,27620,27620,26940,27470,3200,ASG
2021-04-02,27470,27620,27240,27240,3100,ASG
2021-04-05,27090,27320,27020,27320,14700,ASG
2021-04-06,27170,27240,27130,27130,20100,ASG
2021-04-07,27170,27170,27170,27170,2900,ASG
2021-04-08,27090,27400,27090,27400,3900,ASG
2021-04-09,27090,27240,27090,27240,5400,ASG
2021-04-12,27240,27240,27020,27170,11500,ASG
2021-04-13,27170,27170,26900,26940,6000,ASG
2021-04-14,26940,27240,26940,27020,1600,ASG
2021-04-15,27170,27170,26640,26940,1700,ASG
2021-04-16,26790,26940,26640,26710,4200,ASG
2021-04-19,26710,26710,26640,26640,400,ASG
2021-04-20,26490,26490,25880,26490,4700,ASG
2021-04-22,26490,26490,25730,26410,500,ASG
2021-04-23,26410,26490,25960,26180,9200,ASG
2021-04-26,26490,26490,26110,26110,8000,ASG
2021-04-27,26180,26560,26180,26180,21100,ASG
2021-04-28,26180,26940,26180,26640,29100,ASG
2021-04-29,26560,26940,26560,26710,36100,ASG
2021-05-07,24520,26790,24520,26790,31200,ASG
2021-05-10,26710,27240,26710,27240,50610,ASG
2021-05-11,27320,27850,27240,27850,32030,ASG
2021-05-12,27930,28080,27850,28080,30393,ASG
2021-05-13,28080,28150,27240,28000,32221,ASG
2021-05-14,27850,29510,27850,29510,54069,ASG
2021-05-17,29210,29510,28980,29360,31900,ASG
2021-05-18,29360,29360,28760,29210,33031,ASG
2021-05-19,29210,29440,29140,29440,30320,ASG
2021-05-20,29360,29360,28300,29060,31053,ASG
2021-05-21,29210,29440,28000,28760,30383,ASG
2021-05-24,28830,28980,27850,28760,30500,ASG
2021-05-25,28760,28980,28000,28760,34570,ASG
2021-05-26,28150,28680,28150,28610,34400,ASG
2021-05-27,28380,29210,28230,28610,30110,ASG
2021-05-28,28830,28980,28080,28680,30835,ASG
2021-05-31,28760,28980,28000,28610,30795,ASG
2021-06-01,28080,28680,28000,28680,31322,ASG
2021-06-02,28830,28980,28380,28760,27700,ASG
2021-06-03,28460,29590,27930,29590,61230,ASG
2021-06-04,29510,29740,28610,29740,39000,ASG
2021-06-07,29740,29890,28980,29740,22270,ASG
2021-06-08,29740,29890,28760,29510,30200,ASG
2021-06-09,29740,29740,29140,29510,23400,ASG
2021-06-10,29510,29510,28980,29510,32730,ASG
2021-06-11,29740,29740,29060,29590,26000,ASG
2021-06-14,29360,29440,28380,29440,21700,ASG
2021-06-15,29440,29670,29210,29510,40501,ASG
2021-06-16,29510,29510,28380,29510,31500,ASG
2021-06-17,29510,29590,28380,29510,32747,ASG
2021-06-18,28080,29510,27930,29510,28740,ASG
2021-06-21,29140,29440,28380,29440,32200,ASG
2021-06-22,28380,29590,28380,29440,39820,ASG
