time,open,high,low,close,volume,ticker
2012-03-20,6810,6930,6750,6860,229800,ASM
2012-03-21,6860,7200,6860,7200,527790,ASM
2012-03-22,7230,7320,7080,7170,569350,ASM
2012-03-23,7080,7380,7080,7290,454840,ASM
2012-03-26,7380,7380,7020,7230,476770,ASM
2012-03-27,7110,7170,6900,6900,414320,ASM
2012-03-28,6860,6860,6620,6810,369410,ASM
2012-03-29,6750,6930,6620,6680,191140,ASM
2012-03-30,6560,6680,6530,6680,303040,ASM
2012-04-03,6770,6770,6680,6680,457300,ASM
2012-04-04,6560,6840,6560,6680,118560,ASM
2012-04-05,6620,6810,6590,6770,293840,ASM
2012-04-06,6840,7020,6750,6930,622060,ASM
2012-04-09,6950,7050,6930,7050,432460,ASM
2012-04-10,7170,7320,7080,7170,610620,ASM
2012-04-11,7230,7470,7170,7450,1295210,ASM
2012-04-12,7680,7680,7380,7380,506140,ASM
2012-04-13,7290,7350,7140,7200,476860,ASM
2012-04-16,7140,7380,7110,7230,510870,ASM
2012-04-17,7290,7410,7230,7320,550220,ASM
2012-04-18,7320,7320,6990,6990,490890,ASM
2012-04-19,6990,6990,6770,6770,476700,ASM
2012-04-20,6770,6930,6710,6810,517250,ASM
2012-04-23,6810,6900,6750,6810,371310,ASM
2012-04-24,6810,6860,6710,6860,437110,ASM
2012-04-25,6860,7200,6860,7200,914020,ASM
2012-04-26,7470,7540,7410,7540,1241910,ASM
2012-04-27,7590,7900,7540,7900,1152930,ASM
2012-05-02,8050,8200,7540,7680,617600,ASM
2012-05-03,7470,7590,7320,7470,1565290,ASM
2012-05-04,7450,7500,7110,7500,2020740,ASM
2012-05-07,7590,7840,7140,7840,6565640,ASM
2012-05-08,7840,7930,7470,7560,1487400,ASM
2012-05-09,7290,7590,7200,7290,1917870,ASM
2012-05-10,7290,7320,6930,7020,2213530,ASM
2012-05-11,6840,7020,6680,6680,2591250,ASM
2012-05-14,6560,6770,6350,6350,1390370,ASM
2012-05-15,6050,6160,6050,6050,2272720,ASM
2012-05-16,6020,6070,5770,5770,2110300,ASM
2012-05-17,5500,5800,5500,5500,2068050,ASM
2012-05-18,5230,5230,5230,5230,429600,ASM
2012-05-21,4980,5320,4980,5320,3187780,ASM
2012-05-22,5320,5320,5070,5070,1756580,ASM
2012-05-23,4830,4890,4830,4830,1513670,ASM
2012-05-24,4680,4770,4620,4620,1053710,ASM
2012-05-25,4800,4830,4500,4830,1625870,ASM
2012-05-28,5050,5050,4860,5050,2226340,ASM
2012-05-29,4860,5050,4830,4920,1442000,ASM
2012-05-30,4920,5010,4770,4800,1268240,ASM
2012-05-31,4710,4770,4590,4590,1584070,ASM
2012-06-01,4590,4650,4370,4370,1714790,ASM
