time,open,high,low,close,volume,ticker
2012-03-20,2680,2730,2570,2730,69960,ASP
2012-03-21,2780,2840,2680,2730,66680,ASP
2012-03-22,2680,2730,2620,2680,176480,ASP
2012-03-23,2680,2780,2570,2780,193200,ASP
2012-03-26,2840,2840,2680,2730,115050,ASP
2012-03-27,2680,2730,2620,2620,103370,ASP
2012-03-28,2620,2680,2570,2680,55970,ASP
2012-03-29,2620,2680,2570,2570,50040,ASP
2012-03-30,2460,2570,2460,2570,81780,ASP
2012-04-03,2620,2680,2570,2620,21290,ASP
2012-04-04,2680,2680,2520,2570,51430,ASP
2012-04-05,2460,2620,2460,2570,26890,ASP
2012-04-06,2620,2680,2520,2680,107570,ASP
2012-04-09,2620,2680,2620,2680,59010,ASP
2012-04-10,2620,2680,2570,2620,121990,ASP
2012-04-11,2680,2680,2570,2620,38910,ASP
2012-04-12,2620,2680,2520,2620,194680,ASP
2012-04-13,2620,2680,2520,2570,87520,ASP
2012-04-16,2570,2680,2570,2680,231080,ASP
2012-04-17,2780,2780,2780,2780,164750,ASP
2012-04-18,2840,2890,2730,2890,220430,ASP
2012-04-19,2840,2890,2780,2780,65300,ASP
2012-04-20,2680,2730,2680,2680,101560,ASP
2012-04-23,2570,2680,2570,2570,158340,ASP
2012-04-24,2570,2680,2570,2680,63470,ASP
2012-04-25,2780,2780,2780,2780,245880,ASP
2012-04-26,2890,2890,2840,2890,344250,ASP
2012-04-27,2950,3000,2950,3000,352200,ASP
2012-05-02,3110,3110,3110,3110,168480,ASP
2012-05-03,3210,3210,3160,3210,480290,ASP
2012-05-04,3370,3370,3370,3370,86360,ASP
2012-05-07,3530,3530,3530,3530,16330,ASP
2012-05-08,3690,3690,3690,3690,21470,ASP
2012-05-09,3860,3860,3690,3860,996420,ASP
2012-05-10,4019,4019,3690,3750,476090,ASP
2012-05-11,3750,3750,3590,3590,336000,ASP
2012-05-14,3590,3640,3430,3430,266150,ASP
2012-05-15,3270,3320,3270,3270,142650,ASP
2012-05-16,3110,3270,3110,3110,470070,ASP
2012-05-17,3110,3210,3110,3210,229520,ASP
2012-05-18,3370,3370,3160,3370,382380,ASP
2012-05-21,3480,3530,3210,3530,102490,ASP
2012-05-22,3480,3480,3370,3370,106200,ASP
2012-05-23,3210,3210,3210,3210,2950,ASP
2012-05-24,3050,3160,3050,3050,151090,ASP
2012-05-25,3110,3160,2950,3160,286870,ASP
2012-05-28,3110,3160,3050,3050,203060,ASP
2012-05-29,3110,3110,2950,3050,119230,ASP
2012-05-30,3000,3110,2950,2950,49310,ASP
2012-05-31,2890,2950,2840,2840,212000,ASP
2012-06-01,2840,2950,2730,2890,315720,ASP
2012-06-04,2780,2840,2780,2780,92820,ASP
2012-06-05,2680,2840,2680,2840,254860,ASP
2012-06-06,2730,2890,2730,2890,153120,ASP
2012-06-07,2890,3000,2890,3000,328640,ASP
2012-06-08,3050,3110,2890,2890,220990,ASP
2012-06-11,2890,3000,2840,2890,90690,ASP
2012-06-12,2950,2950,2780,2780,76390,ASP
2012-06-13,2730,2840,2730,2730,125810,ASP
2012-06-14,2730,2780,2680,2780,65000,ASP
2012-06-15,2730,2890,2730,2890,77650,ASP
2012-06-18,2890,3000,2890,3000,269280,ASP
2012-06-19,2890,3000,2890,2890,117550,ASP
2012-06-20,2890,2950,2840,2890,7260,ASP
2012-06-21,2950,2950,2840,2890,60240,ASP
2012-06-22,2840,2890,2780,2840,123920,ASP
2012-06-25,2780,2840,2730,2730,127300,ASP
2012-06-26,2680,2680,2620,2620,159330,ASP
2012-06-27,2570,2730,2570,2730,75610,ASP
2012-06-28,2730,2730,2620,2730,16940,ASP
2012-06-29,2730,2730,2680,2680,25550,ASP
2012-07-02,2570,2680,2570,2570,13970,ASP
2012-07-03,2570,2570,2460,2460,120430,ASP
2012-07-04,2410,2570,2410,2520,29810,ASP
2012-07-05,2520,2620,2460,2620,85550,ASP
2012-07-06,2680,2730,2620,2730,113410,ASP
2012-07-09,2620,2680,2620,2620,18060,ASP
2012-07-10,2620,2680,2570,2680,4210,ASP
2012-07-11,2570,2680,2570,2620,49930,ASP
2012-07-12,2680,2680,2620,2620,24130,ASP
2012-07-13,2570,2730,2570,2730,93060,ASP
2012-07-16,2680,2780,2680,2680,58030,ASP
2012-07-17,2680,2780,2680,2680,48970,ASP
2012-07-18,2780,2780,2730,2730,69210,ASP
2012-07-19,2730,2840,2680,2780,89550,ASP
2012-07-20,2840,2890,2780,2840,146380,ASP
2012-07-23,2840,2890,2730,2730,40090,ASP
2012-07-24,2730,2730,2620,2620,21410,ASP
2012-07-25,2620,2730,2620,2620,18350,ASP
2012-07-26,2730,2730,2620,2620,78260,ASP
2012-07-27,2620,2730,2620,2620,16520,ASP
2012-07-30,2620,2730,2570,2680,78900,ASP
2012-07-31,2680,2680,2680,2680,4580,ASP
2012-08-01,2680,2680,2620,2680,2220,ASP
2012-08-02,2730,2730,2620,2730,41650,ASP
2012-08-03,2620,2730,2620,2730,5320,ASP
2012-08-06,2680,2840,2680,2840,70760,ASP
2012-08-07,2840,2950,2780,2950,182590,ASP
2012-08-08,3000,3050,2840,2890,64180,ASP
2012-08-09,2840,3000,2840,2950,93380,ASP
2012-08-10,2890,3000,2840,2840,72770,ASP
2012-08-13,2730,2890,2730,2730,36320,ASP
2012-08-14,2680,2780,2680,2730,12190,ASP
2012-08-15,2730,2780,2680,2730,10710,ASP
2012-08-16,2680,2730,2680,2730,20760,ASP
2012-08-17,2680,2730,2680,2680,17380,ASP
2012-08-20,2680,2780,2680,2730,21130,ASP
2012-08-21,2680,2730,2620,2620,164360,ASP
2012-08-22,2520,2680,2520,2520,80270,ASP
2012-08-23,2410,2460,2410,2410,36560,ASP
2012-08-24,2300,2460,2300,2360,75340,ASP
2012-08-27,2360,2410,2250,2250,78240,ASP
2012-08-28,2300,2300,2140,2140,51610,ASP
2012-08-29,2250,2250,2140,2250,10160,ASP
2012-08-30,2250,2360,2250,2300,4650,ASP
2012-08-31,2300,2360,2250,2250,29820,ASP
2012-09-04,2250,2360,2250,2250,6860,ASP
2012-09-05,2250,2300,2200,2300,22650,ASP
2012-09-06,2250,2360,2200,2200,18520,ASP
2012-09-07,2200,2250,2140,2200,60440,ASP
2012-09-10,2200,2200,2090,2090,29220,ASP
2012-09-11,2029,2140,2029,2090,14930,ASP
2012-09-12,2029,2140,2029,2029,13040,ASP
2012-09-13,2090,2090,1980,2090,38130,ASP
2012-09-14,2140,2140,2090,2140,50160,ASP
2012-09-17,2200,2200,2090,2090,18660,ASP
2012-09-18,2090,2140,2029,2029,10850,ASP
2012-09-19,1980,2090,1980,1980,22350,ASP
2012-09-20,2029,2029,1980,1980,13070,ASP
2012-09-21,2029,2029,1980,2029,8180,ASP
2012-09-24,2029,2090,1980,1980,12820,ASP
2012-09-25,2029,2029,1980,1980,18780,ASP
2012-09-26,1980,1980,1930,1930,6050,ASP
2012-09-27,1980,1980,1870,1980,36880,ASP
2012-09-28,1980,2029,1930,1930,110940,ASP
2012-10-01,1980,1980,1870,1980,35750,ASP
2012-10-02,1980,2029,1930,2029,41910,ASP
2012-10-03,1980,2090,1980,2090,22420,ASP
2012-10-04,2029,2090,2029,2029,5240,ASP
2012-10-05,1980,2029,1980,1980,10530,ASP
2012-10-08,1930,1980,1930,1930,37840,ASP
2012-10-09,1980,1980,1870,1980,46530,ASP
2012-10-10,2029,2029,1930,2029,43230,ASP
2012-10-11,2029,2090,2029,2029,92420,ASP
2012-10-12,1980,2090,1980,1980,39320,ASP
2012-10-15,2029,2029,1930,1980,3300,ASP
2012-10-16,1980,2029,1980,2029,15910,ASP
2012-10-17,2029,2029,1980,1980,6290,ASP
2012-10-18,1980,2029,1980,2029,34740,ASP
2012-10-19,1980,2029,1980,1980,51080,ASP
2012-10-22,1980,2029,1930,2029,30660,ASP
2012-10-23,1980,2029,1980,1980,14330,ASP
2012-10-24,2029,2029,2029,2029,28380,ASP
2012-10-25,2090,2090,2090,2090,88180,ASP
2012-10-26,2140,2140,2029,2140,62720,ASP
2012-10-29,2140,2140,2090,2140,25920,ASP
2012-10-30,2140,2140,2029,2029,49510,ASP
2012-10-31,2029,2090,1980,2090,28120,ASP
2012-11-01,2090,2090,2090,2090,5240,ASP
2012-11-02,2029,2029,2029,2029,6560,ASP
2012-11-05,1980,2029,1980,1980,20840,ASP
2012-11-06,1980,2029,1930,1980,17630,ASP
2012-11-07,2029,2029,1980,2029,4330,ASP
2012-11-08,2029,2029,1980,1980,30820,ASP
2012-11-09,1980,2029,1980,2029,35470,ASP
2012-11-12,2029,2029,1980,2029,52660,ASP
2012-11-13,2029,2029,1980,2029,6860,ASP
2012-11-14,2029,2029,1980,2029,133170,ASP
2012-11-15,2090,2090,2090,2090,160560,ASP
2012-11-16,2140,2140,2140,2140,39960,ASP
2012-11-19,2250,2250,2250,2250,9100,ASP
2012-11-20,2360,2360,2300,2360,244580,ASP
2012-11-21,2410,2460,2360,2460,149570,ASP
2012-11-22,2410,2460,2360,2460,94970,ASP
2012-11-23,2460,2460,2360,2360,106290,ASP
2012-11-26,2300,2300,2250,2250,65270,ASP
2012-11-27,2250,2360,2250,2360,60180,ASP
2012-11-28,2410,2460,2410,2460,224620,ASP
2012-11-29,2520,2520,2410,2460,50240,ASP
2012-11-30,2410,2460,2360,2360,58700,ASP
2012-12-03,2360,2460,2360,2410,76270,ASP
2012-12-04,2460,2520,2410,2460,40610,ASP
2012-12-05,2520,2570,2410,2520,114020,ASP
2012-12-06,2520,2520,2460,2460,62450,ASP
2012-12-07,2410,2460,2410,2460,37950,ASP
2012-12-10,2460,2520,2410,2520,102510,ASP
2012-12-11,2520,2570,2520,2570,46780,ASP
2012-12-12,2460,2570,2460,2520,116570,ASP
2012-12-13,2520,2570,2460,2520,69580,ASP
2012-12-14,2520,2570,2460,2520,27650,ASP
2012-12-17,2460,2520,2460,2460,40020,ASP
2012-12-18,2460,2460,2410,2460,30210,ASP
2012-12-19,2460,2520,2410,2520,50180,ASP
2012-12-20,2460,2460,2410,2410,26050,ASP
2012-12-21,2410,2410,2300,2360,46850,ASP
2012-12-24,2360,2410,2360,2410,32800,ASP
2012-12-25,2410,2460,2360,2410,19390,ASP
2012-12-26,2460,2520,2410,2460,51990,ASP
2012-12-27,2460,2520,2410,2410,77910,ASP
2012-12-28,2460,2460,2410,2410,19310,ASP
2013-01-02,2520,2520,2460,2520,67220,ASP
2013-01-03,2570,2620,2460,2460,80560,ASP
2013-01-04,2570,2570,2410,2460,41790,ASP
2013-01-07,2520,2570,2410,2520,199920,ASP
2013-01-08,2460,2570,2460,2570,116260,ASP
2013-01-09,2570,2680,2460,2620,211190,ASP
2013-01-10,2570,2570,2520,2520,39090,ASP
2013-01-11,2570,2570,2460,2520,55220,ASP
2013-01-14,2520,2570,2460,2570,140400,ASP
