time,open,high,low,close,volume,ticker
2012-03-20,7918,7918,7548,7770,9510,AVF
2012-03-21,7770,8066,7400,7400,79150,AVF
2012-03-22,7474,7622,7104,7104,53620,AVF
2012-03-23,7400,7400,6956,6956,78050,AVF
2012-03-26,7252,7252,7252,7252,14110,AVF
2012-03-27,7548,7548,7548,7548,20310,AVF
2012-03-28,7622,7918,7548,7918,50030,AVF
2012-03-29,8214,8214,7844,7918,75040,AVF
2012-03-30,7844,8214,7844,7992,28320,AVF
2012-04-03,8140,8140,7992,8140,21480,AVF
2012-04-04,8140,8214,8140,8214,69510,AVF
2012-04-05,8140,8214,8066,8214,40600,AVF
2012-04-06,8214,8584,7918,8214,35140,AVF
2012-04-09,8140,8584,8066,8584,161410,AVF
2012-04-10,8954,8954,8954,8954,87430,AVF
2012-04-11,9398,9398,9398,9398,139300,AVF
2012-04-12,9842,9842,9842,9842,123060,AVF
2012-04-13,9916,10286,9916,10286,372430,AVF
2012-04-16,10657,10731,10435,10731,658360,AVF
2012-04-17,11249,11249,10953,10953,641330,AVF
2012-04-18,10879,11471,10805,11323,437880,AVF
2012-04-19,11841,11841,11619,11841,401840,AVF
2012-04-20,11545,12211,11471,11841,229910,AVF
2012-04-23,11693,12211,11545,11545,326980,AVF
2012-04-24,11471,11841,11027,11471,730310,AVF
2012-04-25,11841,11989,11619,11989,170080,AVF
2012-04-26,12433,12581,12285,12581,343610,AVF
2012-04-27,12433,12433,11989,11989,896300,AVF
2012-05-02,11619,11841,11397,11397,607080,AVF
2012-05-03,11397,11545,11175,11397,189540,AVF
2012-05-04,11619,11915,11397,11915,311420,AVF
2012-05-07,12507,12507,12507,12507,130550,AVF
2012-05-08,13099,13099,12507,12507,764090,AVF
2012-05-09,12285,12581,11989,12359,328620,AVF
2012-05-10,12359,12359,11767,11767,1638620,AVF
2012-05-11,11767,11841,11249,11249,576360,AVF
2012-05-14,11397,11693,10731,10731,210880,AVF
2012-05-15,10879,11027,10212,10360,282720,AVF
2012-05-16,10657,10805,9990,10064,267950,AVF
2012-05-17,10360,10509,10138,10286,349010,AVF
