time,open,high,low,close,volume,ticker
2021-12-03,9200,9200,9200,9200,100,BAF
2021-12-06,9840,9840,9840,9840,200,BAF
2021-12-07,10510,10510,10510,10510,400,BAF
2021-12-08,11240,11240,11240,11240,2400,BAF
2021-12-09,12030,12030,12030,12030,2200,BAF
2021-12-10,12850,12850,12850,12850,33200,BAF
2021-12-13,13740,13740,13740,13740,5200,BAF
2021-12-14,14700,14700,14700,14700,156800,BAF
2021-12-15,15710,15710,15350,15710,914200,BAF
2021-12-16,16800,16800,16730,16800,888600,BAF
2021-12-17,17950,17970,16500,16500,2709700,BAF
2021-12-20,16420,16650,15960,16420,1388900,BAF
2021-12-21,16500,16730,15920,16090,1237100,BAF
2021-12-22,16120,16340,16000,16190,1718000,BAF
2021-12-23,16120,16690,16120,16230,970700,BAF
2021-12-24,16690,16880,16230,16400,1133100,BAF
2021-12-27,16500,17530,16500,17070,880900,BAF
2021-12-28,17720,17720,16710,16880,1241200,BAF
2021-12-29,16960,17070,16309,16309,690500,BAF
2021-12-30,16379,16650,16230,16260,1026400,BAF
2021-12-31,16460,16530,15770,15770,1539000,BAF
2022-01-04,15800,16860,15350,16860,17419300,BAF
2022-01-05,18030,18030,18030,18030,122800,BAF
2022-01-06,19260,19260,18610,19260,3017500,BAF
2022-01-07,19380,20600,19110,20600,1781200,BAF
2022-01-10,20830,21250,20330,20720,1351900,BAF
2022-01-11,20870,21020,20330,20450,1317000,BAF
2022-01-12,20450,21870,20330,21870,2089800,BAF
2022-01-13,22250,23370,22250,23370,3293400,BAF
2022-01-14,23370,23480,22790,23050,2041400,BAF
2022-01-17,23050,23250,21830,22830,2034300,BAF
2022-01-18,22640,23520,22250,23020,1882500,BAF
2022-01-19,23400,23790,23020,23400,2827500,BAF
2022-01-20,23210,23590,22480,22860,1812100,BAF
2022-01-21,22440,22830,22250,22360,1385500,BAF
2022-01-24,22210,22210,20830,20830,1098500,BAF
2022-01-25,19950,21180,19380,21100,3022400,BAF
2022-01-26,21290,21560,20530,20870,1282600,BAF
2022-01-27,20720,20990,20060,20680,925900,BAF
2022-01-28,20490,20640,19570,20640,888400,BAF
2022-02-07,20750,21100,20750,21100,909900,BAF
2022-02-08,21250,21640,20720,21290,1541700,BAF
2022-02-09,21410,21520,20800,20910,1148500,BAF
2022-02-10,20910,21290,20720,21250,1010000,BAF
2022-02-11,21410,21410,20720,21100,948400,BAF
2022-02-14,20720,21250,20720,21020,993200,BAF
2022-02-15,21290,21330,20750,20750,730700,BAF
2022-02-16,20870,21790,20720,21790,2275600,BAF
2022-02-17,21870,22860,21870,22600,1763900,BAF
2022-02-18,22600,23020,21950,22250,1412800,BAF
2022-02-21,22250,22330,21640,21870,1033000,BAF
2022-02-22,21680,21680,21060,21100,985400,BAF
2022-02-23,21100,21900,20870,21680,1353700,BAF
2022-02-24,21560,21680,21100,21600,1402100,BAF
2022-02-25,21710,22360,21640,22210,1958200,BAF
2022-02-28,22290,22290,21790,21870,950600,BAF
2022-03-01,21760,21900,21480,21760,839500,BAF
2022-03-02,22020,22250,21870,22060,1075300,BAF
2022-03-03,22090,23590,22090,23590,2938400,BAF
2022-03-04,23790,24280,23560,24060,1663500,BAF
2022-03-07,23860,24360,23630,23860,1372700,BAF
2022-03-08,23590,23590,22710,22710,1567000,BAF
2022-03-09,22440,22790,21950,22670,1673500,BAF
2022-03-10,22980,23900,21830,22750,2118800,BAF
2022-03-11,22830,23860,22640,23710,2110900,BAF
2022-03-14,23980,24280,23670,23980,1281400,BAF
2022-03-15,23980,24940,23790,24520,2000200,BAF
2022-03-16,24550,24740,23900,23980,1007600,BAF
2022-03-17,23940,24780,23710,24670,1976700,BAF
2022-03-18,24710,25550,24400,24440,1931000,BAF
2022-03-21,24440,24550,23790,23940,1021500,BAF
2022-03-22,23940,23940,23520,23710,849500,BAF
2022-03-23,23750,23900,23440,23820,745300,BAF
2022-03-24,23860,24360,23670,24010,1253900,BAF
2022-03-25,24130,24280,23940,24130,667400,BAF
2022-03-28,23980,24130,23590,23790,731000,BAF
2022-03-29,23670,24090,23320,23710,1284600,BAF
2022-03-30,23400,23670,23020,23020,635900,BAF
2022-03-31,23130,23980,23100,23790,1447300,BAF
2022-04-01,23710,23980,23630,23980,791000,BAF
2022-04-04,23790,24360,23520,23980,1086300,BAF
2022-04-05,24090,24170,23630,23940,764600,BAF
2022-04-06,23790,24130,23630,23630,777300,BAF
2022-04-07,23590,23940,23130,23210,1044000,BAF
2022-04-08,23290,23560,22940,22940,895800,BAF
2022-04-12,23050,23250,22940,22940,890800,BAF
2022-04-13,22790,23900,22440,23900,1982800,BAF
2022-04-14,23940,23980,23440,23520,958800,BAF
2022-04-15,23400,23670,23210,23370,815100,BAF
2022-04-18,23400,23560,23020,23370,775500,BAF
2022-04-19,23400,23440,22360,23170,1013600,BAF
2022-04-20,23100,23170,21870,21870,750500,BAF
2022-04-21,21680,22140,20370,22090,1967600,BAF
2022-04-22,22090,22520,21330,21870,625600,BAF
2022-04-25,21870,21950,20370,20370,379400,BAF
2022-04-26,20330,20410,19030,20410,926200,BAF
2022-04-27,20800,21830,20800,21830,2148800,BAF
2022-04-28,22250,23170,22140,22330,1096500,BAF
2022-04-29,22440,22480,21710,22290,639800,BAF
2022-05-04,22210,22360,21790,22210,757000,BAF
2022-05-05,22560,22600,21520,21520,615700,BAF
2022-05-06,21680,21900,21020,21180,915400,BAF
2022-05-09,21180,21880,21070,21070,608900,BAF
2022-05-10,20820,22520,19770,22520,2561800,BAF
2022-05-11,22590,23650,22590,23370,1599800,BAF
2022-05-12,23370,23370,22590,22870,1114000,BAF
2022-05-13,22620,22800,22240,22590,622700,BAF
2022-05-16,22590,23720,22590,23440,1760000,BAF
2022-05-17,23580,24640,22940,24640,1924900,BAF
2022-05-18,24490,24990,24000,24280,1428800,BAF
