time,open,high,low,close,volume,ticker
2012-03-20,10840,10840,10620,10840,7910,BBC
2012-03-21,10980,11050,10760,10910,49420,BBC
2012-03-22,10680,10980,10680,10910,23310,BBC
2012-03-23,10910,11050,10910,10980,61480,BBC
2012-03-26,10980,11500,10980,11500,208570,BBC
2012-03-27,12030,12030,11580,12030,172990,BBC
2012-03-28,12330,12630,12330,12630,302970,BBC
2012-03-29,13230,13230,13230,13230,76390,BBC
2012-03-30,13820,13820,13000,13740,757480,BBC
2012-04-03,13740,13740,13230,13440,182520,BBC
2012-04-04,13600,14120,13440,14120,383030,BBC
2012-04-05,14420,14800,14340,14800,405030,BBC
2012-04-06,15170,15470,14950,15470,463670,BBC
2012-04-09,16210,16210,15980,16210,76650,BBC
2012-04-10,16960,16960,16960,16960,54380,BBC
2012-04-11,17790,17790,17790,17790,84380,BBC
2012-04-12,18650,18650,17790,18490,734940,BBC
2012-04-13,18180,19360,17930,19360,755330,BBC
2012-04-16,20140,20140,19750,19830,158550,BBC
2012-04-17,19590,19900,18890,19830,417430,BBC
2012-04-18,19830,19830,18890,18890,352050,BBC
2012-04-19,18100,18890,17930,18100,494470,BBC
2012-04-20,17790,18970,17790,18970,206850,BBC
2012-04-23,19900,19900,19120,19360,290520,BBC
2012-04-24,18890,19520,18810,18890,85410,BBC
2012-04-25,18250,18970,18180,18420,198850,BBC
2012-04-26,18100,19120,17930,18330,134590,BBC
2012-04-27,18330,18890,17790,18810,282570,BBC
2012-05-02,18490,19120,18180,18180,158430,BBC
2012-05-03,18100,19040,17930,19040,590370,BBC
2012-05-04,19670,19990,19670,19990,805310,BBC
2012-05-07,20920,20920,20920,20920,333800,BBC
2012-05-08,21950,21950,20920,21320,662900,BBC
2012-05-09,21240,22340,20920,22340,510070,BBC
2012-05-10,22830,22830,21240,21480,601760,BBC
2012-05-11,21480,21720,20690,20690,244610,BBC
2012-05-14,19830,20140,19670,19670,411990,BBC
2012-05-15,18970,19440,18720,18720,345430,BBC
2012-05-16,18490,18810,17870,18100,368740,BBC
2012-05-17,18650,18810,17790,18100,99370,BBC
2012-05-18,18490,18490,17240,17310,160480,BBC
2012-05-21,17310,18100,17160,18100,106850,BBC
2012-05-22,18250,18250,17310,17550,149420,BBC
2012-05-23,17550,17870,16680,16680,549980,BBC
2012-05-24,16210,17240,15900,15900,171510,BBC
2012-05-25,16600,16680,16280,16680,107660,BBC
2012-05-28,17310,17390,16520,17390,152050,BBC
2012-05-29,17550,17620,17070,17470,49330,BBC
2012-05-30,17700,17700,17160,17160,47290,BBC
2012-05-31,17160,17160,16370,16920,161690,BBC
2012-06-01,16600,17000,16520,16520,16650,BBC
2012-06-04,15900,15970,15730,15730,258070,BBC
2012-06-05,15340,16129,15100,15730,81290,BBC
2012-06-06,15420,16520,15420,16520,92290,BBC
2012-06-07,16680,17310,16680,17310,117610,BBC
2012-06-08,17310,17870,16680,17310,43220,BBC
2012-06-11,17310,17700,16680,17070,38340,BBC
2012-06-12,17070,17160,16370,16370,35890,BBC
2012-06-13,16760,16760,16520,16520,36840,BBC
2012-06-14,16520,16520,15970,15970,28800,BBC
2012-06-15,15970,16760,15970,16760,31480,BBC
2012-06-18,17390,17390,16840,17240,57110,BBC
2012-06-19,16840,17160,16520,17000,13350,BBC
2012-06-20,16520,17000,16280,16450,60890,BBC
2012-06-21,16760,16760,15970,16520,33970,BBC
2012-06-22,16450,16450,15970,16280,19870,BBC
2012-06-25,16280,16520,15730,15730,53750,BBC
2012-06-26,15730,15820,15420,15500,94450,BBC
2012-06-27,15190,15730,15100,15420,90440,BBC
2012-06-28,14950,15420,14870,15420,18740,BBC
2012-06-29,15900,15900,15590,15590,24380,BBC
2012-07-02,15970,15970,15420,15590,46210,BBC
2012-07-03,15590,16050,14950,16050,86910,BBC
2012-07-04,16129,16450,15420,16450,41340,BBC
2012-07-05,15970,16280,15730,15730,15240,BBC
2012-07-06,15590,16210,15590,16210,45510,BBC
2012-07-09,15500,16210,15500,16210,50000,BBC
2012-07-10,15970,15970,15650,15650,29800,BBC
2012-07-11,15590,15730,15590,15650,4000,BBC
2012-07-12,15730,15970,15730,15970,5210,BBC
2012-07-13,16050,16370,16050,16129,39230,BBC
2012-07-16,16129,16370,15650,16129,5460,BBC
2012-07-17,16050,16210,15730,16129,7510,BBC
2012-07-18,16129,16280,16129,16129,33160,BBC
2012-07-19,16129,16450,16129,16370,40490,BBC
2012-07-20,16520,16760,16450,16520,39570,BBC
2012-07-23,16760,16760,15820,16210,51870,BBC
2012-07-24,15820,15820,15420,15420,39670,BBC
2012-07-25,15030,15100,14710,14800,56270,BBC
2012-07-26,14800,15500,14560,14630,23140,BBC
2012-07-27,14480,14560,14000,14000,41840,BBC
2012-07-30,13620,14170,13620,14170,26320,BBC
2012-07-31,14480,14630,14170,14630,20390,BBC
2012-08-01,14560,14560,14250,14560,49380,BBC
2012-08-02,14250,14480,14250,14480,17000,BBC
2012-08-03,14170,14400,13850,14310,97500,BBC
2012-08-06,14310,14630,14310,14630,11920,BBC
2012-08-07,14800,14800,14170,14310,58120,BBC
2012-08-08,14000,14310,14000,14170,8040,BBC
2012-08-09,14170,14400,14170,14170,24810,BBC
2012-08-10,14080,14480,14080,14170,5020,BBC
2012-08-13,13770,14170,13770,14000,21460,BBC
2012-08-14,14170,14170,13690,13850,119710,BBC
2012-08-15,14000,14170,13850,13930,25820,BBC
2012-08-16,14170,14250,13930,14080,18830,BBC
2012-08-17,14080,14170,14000,14170,6240,BBC
2012-08-20,14170,14170,14170,14170,7400,BBC
2012-08-21,14000,14000,13450,13450,163890,BBC
2012-08-22,12980,13380,12830,12830,250230,BBC
2012-08-23,12350,12350,12200,12200,80140,BBC
2012-08-24,11650,12750,11650,12750,63170,BBC
2012-08-27,12280,12280,12110,12280,18500,BBC
2012-08-28,12750,12750,12040,12200,8800,BBC
2012-08-29,12280,12600,12280,12350,13780,BBC
2012-08-30,12350,12600,12350,12350,19200,BBC
2012-08-31,12900,12900,12040,12280,12630,BBC
2012-09-04,11800,12600,11800,12600,100520,BBC
2012-09-05,12350,12750,12200,12600,12030,BBC
2012-09-06,12600,12600,11970,11970,162910,BBC
2012-09-07,11970,12350,11970,12110,25850,BBC
2012-09-10,12110,12110,11880,11880,27100,BBC
2012-09-11,12280,12280,11650,12110,13160,BBC
2012-09-12,11720,12200,11720,12110,2820,BBC
2012-09-13,12040,12280,12040,12280,4090,BBC
2012-09-14,12600,12600,12200,12200,2820,BBC
2012-09-17,11880,12200,11880,12110,13270,BBC
2012-09-18,12110,12200,11880,12200,29380,BBC
2012-09-19,12040,12040,11880,11880,9400,BBC
2012-09-20,11800,12200,11800,11880,370,BBC
2012-09-21,11800,12040,11800,11880,3660,BBC
2012-09-24,11880,12110,11570,11570,11310,BBC
2012-09-25,11880,11880,11180,11800,155390,BBC
2012-09-26,12280,12280,11800,12040,2080,BBC
2012-09-27,11970,11970,11490,11970,105040,BBC
2012-09-28,11720,11720,11650,11650,4340,BBC
2012-10-01,11490,11720,11490,11650,420,BBC
2012-10-02,11490,11490,11490,11490,2380,BBC
2012-10-03,11570,11570,11410,11490,3060,BBC
2012-10-04,11250,11650,11250,11650,7320,BBC
