time,open,high,low,close,volume,ticker
2020-03-16,14830,14830,14830,14830,0,BCF
2020-03-17,14830,14830,14830,14830,0,BCF
2020-03-18,19240,19240,19240,19240,100,BCF
2020-03-19,19240,19240,19240,19240,0,BCF
2020-03-20,21130,21130,21130,21130,100,BCF
2020-03-23,23240,23240,23240,23240,100,BCF
2020-03-24,23240,23240,23240,23240,5,BCF
2020-03-25,23240,23240,23240,23240,0,BCF
2020-03-26,24130,24130,24130,24130,100,BCF
2020-03-27,24130,24130,24130,24130,0,BCF
2020-03-30,24130,24130,24130,24130,0,BCF
2020-03-31,24130,24130,24130,24130,0,BCF
2020-04-01,24130,24130,24130,24130,0,BCF
2020-04-03,24130,24130,24130,24130,0,BCF
2020-04-06,24130,24130,24130,24130,0,BCF
2020-04-07,25430,25430,25430,25430,100,BCF
2020-04-08,25430,25430,25430,25430,100,BCF
2020-04-09,24980,25430,24130,24130,2800,BCF
2020-04-10,24130,24130,24130,24130,0,BCF
2020-04-13,24130,24130,24130,24130,0,BCF
2020-04-14,24130,24130,24130,24130,0,BCF
2020-04-15,24130,24130,24130,24130,0,BCF
2020-04-16,24130,24130,24130,24130,200,BCF
2020-04-17,24130,24130,24130,24130,0,BCF
2020-04-20,24130,24550,24130,24130,1500,BCF
2020-04-21,24130,24130,24130,24130,0,BCF
2020-04-22,24130,24130,24130,24130,0,BCF
2020-04-23,24130,24130,24130,24130,500,BCF
2020-04-24,24130,24130,24130,24130,0,BCF
2020-04-27,24130,24130,24130,24130,0,BCF
2020-04-28,24130,24130,24130,24130,0,BCF
2020-04-29,24130,24130,24130,24130,0,BCF
2020-05-04,24130,24130,24130,24130,0,BCF
2020-05-05,24130,24130,24130,24130,0,BCF
2020-05-06,24130,24130,24130,24130,0,BCF
2020-05-07,24130,24130,24130,24130,0,BCF
2020-05-08,24130,24130,24130,24130,0,BCF
2020-05-11,24130,24130,24130,24130,0,BCF
2020-05-12,24130,24130,24130,24130,0,BCF
2020-05-13,24130,24130,24130,24130,0,BCF
2020-05-14,24130,24130,24130,24130,0,BCF
2020-05-15,24130,24130,24130,24130,0,BCF
2020-05-18,23680,23680,23680,23680,700,BCF
2020-05-19,23680,23680,23680,23680,0,BCF
2020-05-20,23680,23680,23680,23680,0,BCF
2020-05-21,23680,23680,23680,23680,0,BCF
2020-05-22,23680,23680,23680,23680,0,BCF
2020-05-25,23680,23680,23680,23680,0,BCF
2020-05-26,23680,23680,23680,23680,0,BCF
2020-05-27,23680,23680,23680,23680,0,BCF
2020-05-28,23240,23240,23240,23240,2000,BCF
2020-05-29,23240,23240,23240,23240,0,BCF
2020-06-01,23240,23240,23240,23240,0,BCF
2020-06-02,23240,23240,23240,23240,0,BCF
2020-06-03,23240,23240,23240,23240,0,BCF
2020-06-04,23240,23240,23240,23240,0,BCF
2020-06-05,23240,23240,23240,23240,0,BCF
2020-06-08,23240,23240,23240,23240,0,BCF
2020-06-09,23240,23240,23240,23240,0,BCF
2020-06-10,23240,23240,23240,23240,100,BCF
2020-06-11,23240,23240,23240,23240,0,BCF
2020-06-12,23240,23240,23240,23240,0,BCF
2020-06-15,23240,23240,23240,23240,0,BCF
2020-06-16,23240,23240,23240,23240,0,BCF
2020-06-17,23240,23240,23240,23240,0,BCF
2020-06-18,23240,23240,23240,23240,0,BCF
2020-06-19,23240,23240,23240,23240,0,BCF
2020-06-22,23240,23240,23240,23240,0,BCF
2020-06-23,23240,23240,23240,23240,0,BCF
2020-06-24,23240,23240,23240,23240,0,BCF
2020-06-25,23240,23240,23240,23240,200,BCF
2020-06-26,23240,23240,23240,23240,0,BCF
2020-06-29,23240,23240,23240,23240,2800,BCF
2020-06-30,23240,23240,23240,23240,0,BCF
2020-07-01,22790,22790,22790,22790,700,BCF
2020-07-02,22790,22790,22790,22790,0,BCF
2020-07-03,22790,22790,22790,22790,0,BCF
2020-07-06,22790,22790,22790,22790,0,BCF
2020-07-07,22790,22790,22790,22790,0,BCF
2020-07-08,22790,22790,22790,22790,0,BCF
2020-07-09,22790,22790,22790,22790,500,BCF
2020-07-10,22790,22790,22790,22790,0,BCF
2020-07-13,22790,22790,22790,22790,0,BCF
2020-07-14,22790,22790,22790,22790,0,BCF
2020-07-15,22790,22790,22790,22790,0,BCF
2020-07-16,22790,22790,22790,22790,0,BCF
2020-07-17,22530,22530,22530,22530,1600,BCF
2020-07-20,22530,22530,22530,22530,0,BCF
2020-07-21,22530,22530,22530,22530,0,BCF
2020-07-22,22530,22530,22530,22530,0,BCF
2020-07-23,21260,22790,21260,22790,200,BCF
2020-07-24,22790,22790,22790,22790,0,BCF
2020-07-27,22560,22560,22560,22560,300,BCF
2020-07-28,22560,22560,22560,22560,0,BCF
2020-07-29,22560,22560,22560,22560,0,BCF
2020-07-30,22560,22560,22560,22560,0,BCF
2020-07-31,22560,22560,22560,22560,0,BCF
2020-08-03,22560,22560,22560,22560,0,BCF
2020-08-04,20580,22140,20320,22140,1900,BCF
