time,open,high,low,close,volume,ticker
2015-07-16,7820,8530,7670,8480,2201970,BCG
2015-07-17,8480,9050,8340,9000,1585500,BCG
2015-07-20,9000,9620,8950,9470,1404650,BCG
2015-07-21,9430,9430,8810,8810,163790,BCG
2015-07-22,8200,8200,8200,8200,1860,BCG
2015-07-23,7630,7630,7630,7630,42950,BCG
2015-07-24,7110,7110,7110,7110,13570,BCG
2015-07-27,6640,7580,6640,7580,2391150,BCG
2015-07-28,7630,8100,7580,8100,1558070,BCG
2015-07-29,8100,8480,7860,8440,1514120,BCG
2015-07-30,8440,8440,7860,7860,408000,BCG
2015-07-31,7350,7770,7350,7480,1143300,BCG
2015-08-03,7480,7480,7300,7390,533980,BCG
2015-08-04,7390,7580,7250,7580,705690,BCG
2015-08-05,7580,7770,7480,7580,586940,BCG
2015-08-06,7540,7630,7480,7580,557250,BCG
2015-08-07,7580,7630,7390,7540,1098740,BCG
2015-08-10,7540,7670,7440,7480,687310,BCG
2015-08-11,7480,7730,7390,7580,912320,BCG
2015-08-12,7580,7670,7540,7580,518400,BCG
2015-08-13,7540,7630,7440,7580,568170,BCG
2015-08-14,7580,7670,7480,7540,461220,BCG
2015-08-17,7540,7630,7440,7480,448820,BCG
2015-08-18,7480,7580,7440,7540,506950,BCG
2015-08-19,7480,7480,7350,7480,496190,BCG
2015-08-20,7480,7540,7390,7480,444010,BCG
2015-08-21,7480,7480,7250,7390,667530,BCG
2015-08-24,7390,7390,7250,7390,453690,BCG
2015-08-25,7390,7540,7300,7440,478680,BCG
2015-08-26,7440,7580,7390,7540,541340,BCG
2015-08-27,7540,7580,7480,7540,470310,BCG
2015-08-28,7480,7630,7480,7540,458230,BCG
2015-08-31,7540,7580,7480,7540,229710,BCG
2015-09-01,7540,7580,7480,7540,189700,BCG
2015-09-03,7540,7580,7480,7580,153400,BCG
2015-09-04,7540,7580,7540,7580,147730,BCG
2015-09-07,7540,8100,7540,8100,1425810,BCG
2015-09-08,8480,8630,8290,8630,1441980,BCG
2015-09-09,8760,9190,8630,9190,2426490,BCG
2015-09-10,9190,9470,8860,9430,1127060,BCG
2015-09-11,9430,9470,9100,9190,638860,BCG
2015-09-14,9190,9240,9000,9100,529530,BCG
2015-09-15,9100,9240,9000,9150,545260,BCG
2015-09-16,9150,9190,9050,9190,620410,BCG
2015-09-17,9190,9290,9100,9190,706660,BCG
2015-09-18,9190,9340,9190,9290,741730,BCG
2015-09-21,9290,9850,9240,9810,1785330,BCG
2015-09-22,9760,9760,9240,9290,715840,BCG
2015-09-23,9190,9290,9150,9240,604100,BCG
2015-09-24,9190,9290,9050,9240,616750,BCG
2015-09-25,9240,9340,9150,9190,647680,BCG
2015-09-28,9190,9290,9100,9150,722460,BCG
2015-09-29,9150,9240,9000,9190,665180,BCG
2015-09-30,9190,9340,9150,9240,741650,BCG
2015-10-01,9240,9340,9190,9290,729890,BCG
2015-10-02,9290,9900,9190,9900,2616250,BCG
2015-10-05,9760,10560,9760,10560,2513710,BCG
2015-10-06,10560,11270,9850,11180,3469410,BCG
2015-10-07,10430,10900,10430,10430,2289730,BCG
2015-10-08,9710,10280,9710,10190,3130190,BCG
2015-10-09,9950,9950,9470,9660,1021150,BCG
2015-10-12,9620,9760,9530,9570,1643480,BCG
2015-10-13,9570,9570,9150,9190,984930,BCG
2015-10-14,9190,9290,9100,9150,876030,BCG
2015-10-15,9150,9240,9050,9190,939320,BCG
2015-10-16,9190,9290,9100,9190,819850,BCG
2015-10-19,9190,9190,9000,9100,800990,BCG
2015-10-20,9100,9150,9000,9150,834450,BCG
2015-10-21,9150,9190,9050,9150,815910,BCG
2015-10-22,9100,9290,9050,9190,938120,BCG
2015-10-23,9190,9380,9150,9290,970720,BCG
2015-10-26,9290,9430,9190,9190,944760,BCG
2015-10-27,9190,9240,9000,9050,885070,BCG
2015-10-28,9050,9150,9000,9050,822770,BCG
2015-10-29,9050,9150,8950,8950,694850,BCG
2015-10-30,8950,9000,8760,8810,676050,BCG
2015-11-02,8810,8860,8570,8860,1268400,BCG
2015-11-03,8860,8910,8810,8910,719890,BCG
2015-11-04,8910,9190,8860,8860,1039680,BCG
2015-11-05,8860,8910,8760,8860,642420,BCG
2015-11-06,8860,9000,8670,8860,1179060,BCG
2015-11-09,8860,8910,8760,8860,810880,BCG
2015-11-10,8860,8860,8760,8760,688110,BCG
2015-11-11,8760,8910,8630,8810,1032850,BCG
2015-11-12,8810,8860,8760,8860,824530,BCG
2015-11-13,8860,8910,8760,8860,735410,BCG
2015-11-16,8810,8950,8760,8860,773270,BCG
2015-11-17,8860,8950,8810,8860,894500,BCG
2015-11-18,8860,8910,8760,8810,837970,BCG
2015-11-19,8810,9430,8810,9430,1744860,BCG
2015-11-20,9380,9710,9290,9430,1867310,BCG
2015-11-23,9430,9620,9240,9340,1416010,BCG
2015-11-24,9290,9340,9000,9000,1010090,BCG
2015-11-25,9000,9100,8910,9000,1034160,BCG
2015-11-26,9000,9050,8910,9050,976060,BCG
2015-11-27,9050,9100,8950,8950,782120,BCG
2015-11-30,8950,9050,8910,8950,540920,BCG
