time,open,high,low,close,volume,ticker
2018-04-05,7320,7320,7320,7320,0,BHK
2018-04-06,7320,7320,7320,7320,0,BHK
2018-04-09,7320,7320,7320,7320,0,BHK
2018-04-10,7320,7320,7320,7320,0,BHK
2018-04-11,7320,7320,7320,7320,0,BHK
2018-04-12,7320,7320,7320,7320,0,BHK
2018-04-13,7320,7320,7320,7320,0,BHK
2018-04-16,7320,7320,7320,7320,0,BHK
2018-04-17,7320,7320,7320,7320,0,BHK
2018-04-18,7320,7320,7320,7320,0,BHK
2018-04-19,7320,7320,7320,7320,0,BHK
2018-04-20,7320,7320,7320,7320,0,BHK
2018-04-23,7320,7320,7320,7320,0,BHK
2018-04-24,7320,7320,7320,7320,0,BHK
2018-04-26,7320,7320,7320,7320,0,BHK
2018-04-27,8800,8800,8800,8800,300,BHK
2018-05-02,8800,8800,8800,8800,0,BHK
2018-05-03,8800,8800,8800,8800,0,BHK
2018-05-04,8800,8800,8800,8800,0,BHK
2018-05-07,8800,8800,8800,8800,0,BHK
2018-05-08,8800,8800,8800,8800,0,BHK
2018-05-09,8800,8800,8800,8800,0,BHK
2018-05-10,8800,8800,8800,8800,0,BHK
2018-05-11,8800,8800,8800,8800,0,BHK
2018-05-14,8800,8800,8800,8800,0,BHK
2018-05-15,8800,8800,8800,8800,0,BHK
2018-05-16,8800,8800,8800,8800,0,BHK
2018-05-17,8800,8800,8800,8800,0,BHK
2018-05-18,8800,8800,8800,8800,0,BHK
2018-05-21,8800,8800,8800,8800,0,BHK
2018-05-22,8800,8800,8800,8800,0,BHK
2018-05-23,8800,8800,8800,8800,0,BHK
2018-05-24,8800,8800,8800,8800,0,BHK
2018-05-25,8800,8800,8800,8800,0,BHK
2018-05-28,8800,8800,8800,8800,0,BHK
2018-05-29,8800,8800,8800,8800,0,BHK
2018-05-30,8800,8800,8800,8800,0,BHK
2018-05-31,8800,8800,8800,8800,0,BHK
2018-06-01,8800,8800,8800,8800,100,BHK
2018-06-04,8800,8800,8800,8800,0,BHK
2018-06-05,8800,8800,8800,8800,0,BHK
2018-06-06,8800,8800,8800,8800,0,BHK
2018-06-07,8800,8800,8800,8800,0,BHK
2018-06-08,8800,8800,8800,8800,0,BHK
2018-06-11,8800,8800,8800,8800,0,BHK
2018-06-12,8800,8800,8800,8800,0,BHK
2018-06-13,8800,8800,8800,8800,0,BHK
