time,open,high,low,close,volume,ticker
2016-10-28,42720,42720,42720,42720,100,BHN
2016-10-31,49060,49060,49060,49060,100,BHN
2016-11-01,56420,56420,56420,56420,150,BHN
2016-11-02,64870,64870,64870,64870,2400,BHN
2016-11-03,74580,74580,74580,74580,2600,BHN
2016-11-04,85690,85690,85690,85690,13700,BHN
2016-11-07,98520,98520,98520,98520,31570,BHN
2016-11-08,113230,113230,112680,113230,118000,BHN
2016-11-09,130210,130210,96330,109940,83468,BHN
2016-11-10,113460,126370,98670,106190,82870,BHN
2016-11-11,100160,100160,90300,91470,89070,BHN
2016-11-14,78330,95460,78330,83730,81180,BHN
2016-11-15,86190,90420,83840,87830,65796,BHN
2016-11-16,86190,86190,81640,83920,43723,BHN
2016-11-17,79560,80670,78230,79010,69040,BHN
2016-11-18,80430,80740,77680,79170,46670,BHN
2016-11-21,78860,84740,78460,82390,60956,BHN
2016-11-22,85450,89450,84740,86860,82797,BHN
2016-11-23,84740,86310,83960,85450,55428,BHN
2016-11-24,83180,85450,81690,82780,46983,BHN
2016-11-25,80900,85370,80900,83730,40279,BHN
2016-11-28,84740,87090,82780,83800,64102,BHN
2016-11-29,83960,85840,82710,83480,29500,BHN
2016-11-30,83180,83640,82390,83250,17150,BHN
2016-12-01,83250,87090,83180,84350,85775,BHN
2016-12-02,85920,87090,84500,86000,37231,BHN
2016-12-05,86000,86310,84740,85600,46660,BHN
2016-12-06,86310,87730,74540,77290,121360,BHN
2016-12-07,78460,93450,69130,91640,263297,BHN
2016-12-08,91020,97530,82460,96510,203727,BHN
2016-12-09,97530,106480,91570,106400,162449,BHN
2016-12-12,101380,116440,95340,116440,164711,BHN
2016-12-13,112200,126490,112200,126320,129720,BHN
2016-12-14,126320,141780,125540,134170,73344,BHN
2016-12-15,158020,158020,137310,157950,78418,BHN
2016-12-16,164780,177180,141230,177180,78648,BHN
2016-12-19,157000,164780,140920,142020,23511,BHN
2016-12-20,137420,137420,127920,127920,25893,BHN
2016-12-21,125640,133490,108830,128780,26650,BHN
2016-12-22,131920,132870,98310,115590,71900,BHN
2016-12-23,102630,109930,87320,102710,105720,BHN
2016-12-26,87240,100510,87240,98940,37352,BHN
2016-12-27,98940,109930,98160,109930,32320,BHN
2016-12-28,106010,109930,102080,102080,39570,BHN
2016-12-29,101300,104360,97370,98160,19010,BHN
2016-12-30,98160,100510,96270,98630,11102,BHN
2017-01-03,98160,98160,94230,95880,7310,BHN
2017-01-04,97370,97370,92660,94550,12890,BHN
2017-01-05,96190,108360,91400,96040,78810,BHN
2017-01-06,96420,104440,96420,100040,20468,BHN
2017-01-09,103570,113870,98630,98940,7510,BHN
2017-01-10,104910,104910,100120,100510,16873,BHN
2017-01-19,115430,117710,104510,106010,59330,BHN
