time,open,high,low,close,volume,ticker
2013-01-30,11470,11470,11470,11470,0,BHP
2013-01-31,11470,11470,11470,11470,0,BHP
2013-02-01,11470,11470,11470,11470,0,BHP
2013-02-04,11470,11470,11470,11470,0,BHP
2013-02-05,11470,11470,11470,11470,0,BHP
2013-02-06,11470,11470,11470,11470,0,BHP
2013-02-07,11470,11470,11470,11470,0,BHP
2013-02-08,11470,11470,11470,11470,0,BHP
2013-02-18,11470,11470,11470,11470,0,BHP
2013-02-19,11470,11470,11470,11470,0,BHP
2013-02-20,11470,11470,11470,11470,0,BHP
2013-02-21,11470,11470,11470,11470,0,BHP
2013-02-22,11470,11470,11470,11470,0,BHP
2013-02-25,11470,11470,11470,11470,0,BHP
2013-02-26,11470,11470,11470,11470,0,BHP
2013-02-28,11470,11470,11470,11470,0,BHP
2013-03-01,11470,11470,11470,11470,0,BHP
2013-03-04,11470,11470,11470,11470,0,BHP
2013-03-07,11470,11470,11470,11470,0,BHP
2013-03-08,11470,11470,11470,11470,0,BHP
2013-03-11,11470,11470,11470,11470,0,BHP
2013-03-12,11470,11470,11470,11470,0,BHP
2013-03-13,11470,11470,11470,11470,0,BHP
2013-03-14,11470,11470,11470,11470,0,BHP
2013-03-15,11470,11470,11470,11470,0,BHP
2013-03-18,11470,11470,11470,11470,0,BHP
2013-03-19,11470,11470,11470,11470,0,BHP
2013-03-20,11470,11470,11470,11470,0,BHP
2013-03-21,11470,11470,11470,11470,0,BHP
2013-03-22,11470,11470,11470,11470,0,BHP
2013-03-25,11470,11470,11470,11470,0,BHP
2013-03-26,11470,11470,11470,11470,0,BHP
2013-03-27,11470,11470,11470,11470,0,BHP
2013-03-28,11470,11470,11470,11470,0,BHP
2013-03-29,11470,11470,11470,11470,0,BHP
2013-04-01,11470,11470,11470,11470,0,BHP
2013-04-02,11470,11470,11470,11470,0,BHP
2013-04-03,11470,11470,11470,11470,0,BHP
2013-04-04,11470,11470,11470,11470,0,BHP
2013-04-05,11470,11470,11470,11470,0,BHP
2013-04-08,11470,11470,11470,11470,0,BHP
2013-04-09,11470,11470,11470,11470,0,BHP
2013-04-10,11470,11470,11470,11470,0,BHP
2013-04-11,11470,11470,11470,11470,0,BHP
2013-04-12,11470,11470,11470,11470,0,BHP
2013-04-15,11470,11470,11470,11470,0,BHP
2013-04-16,11470,11470,11470,11470,0,BHP
2013-04-17,11470,11470,11470,11470,0,BHP
2013-04-18,11470,11470,11470,11470,0,BHP
2013-04-22,11470,11470,11470,11470,0,BHP
2013-04-23,11470,11470,11470,11470,0,BHP
2013-04-24,11470,11470,11470,11470,0,BHP
2013-04-25,11470,11470,11470,11470,0,BHP
2013-04-26,11470,11470,11470,11470,0,BHP
2013-05-02,11470,11470,11470,11470,0,BHP
2013-05-03,11470,11470,11470,11470,0,BHP
2013-05-06,11470,11470,11470,11470,0,BHP
2013-05-07,11470,11470,11470,11470,0,BHP
2013-05-08,11470,11470,11470,11470,0,BHP
2013-05-09,11470,11470,11470,11470,0,BHP
2013-05-10,11470,11470,11470,11470,0,BHP
2013-05-13,11470,11470,11470,11470,0,BHP
2013-05-14,11470,11470,11470,11470,0,BHP
2013-05-15,11470,11470,11470,11470,0,BHP
2013-05-16,11470,11470,11470,11470,0,BHP
2013-05-17,6910,6910,6910,6910,3000,BHP
2013-05-20,6910,6910,6910,6910,0,BHP
2013-05-21,6910,6910,6910,6910,0,BHP
2013-05-22,6910,6910,6910,6910,0,BHP
2013-05-23,6910,6910,6910,6910,0,BHP
2013-05-24,6910,6910,6910,6910,0,BHP
2013-05-27,6910,6910,6910,6910,0,BHP
2013-05-28,7550,7550,7550,6910,1000,BHP
2013-05-31,8260,8260,8260,8260,5000,BHP
2013-06-03,8260,8260,8260,8260,0,BHP
2013-06-06,8260,8260,8260,8260,0,BHP
2013-06-07,8260,8260,8260,8260,0,BHP
2013-06-20,8260,8260,8260,8260,0,BHP
2013-06-21,8260,8260,8260,8260,0,BHP
2013-06-24,8260,8260,8260,8260,0,BHP
2013-06-25,8260,8260,8260,8260,0,BHP
2013-06-28,8260,8260,8260,8260,0,BHP
2013-07-01,8260,8260,8260,8260,0,BHP
2013-07-10,8260,8260,8260,8260,0,BHP
2013-07-11,8260,8260,8260,8260,0,BHP
2013-07-12,8260,8260,8260,8260,0,BHP
2013-07-15,8260,8260,8260,8260,0,BHP
2013-07-17,8260,8260,8260,8260,0,BHP
2013-07-18,8260,8260,8260,8260,0,BHP
2013-07-19,8260,8260,8260,8260,0,BHP
2013-07-22,8260,8260,8260,8260,0,BHP
2013-07-23,8260,8260,8260,8260,0,BHP
2013-07-24,8260,8260,8260,8260,4900,BHP
2013-07-25,8260,8260,8260,8260,0,BHP
2013-07-26,8260,8260,8260,8260,0,BHP
2013-07-29,8260,8260,8260,8260,0,BHP
2013-07-30,8260,8260,8260,8260,0,BHP
2013-07-31,8260,8260,8260,8260,0,BHP
2013-08-01,8260,8260,8260,8260,0,BHP
2013-08-02,8260,8260,8260,8260,0,BHP
2013-08-05,8260,8260,8260,8260,0,BHP
2013-08-06,8260,8260,8260,8260,0,BHP
2013-08-07,8260,8260,8260,8260,0,BHP
2013-08-08,8260,8260,8260,8260,0,BHP
2013-08-09,8330,8260,8260,8260,100,BHP
2013-08-12,8330,8330,8330,8330,0,BHP
2013-08-13,8330,8330,8330,8330,0,BHP
2013-08-14,8330,8330,8330,8330,0,BHP
2013-08-15,8330,8330,8330,8330,0,BHP
2013-08-16,8330,8330,8330,8330,0,BHP
2013-08-19,8330,8330,8330,8330,0,BHP
2013-08-20,8330,8330,8330,8330,0,BHP
2013-08-21,8330,8330,8330,8330,0,BHP
2013-08-22,8330,8330,8330,8330,0,BHP
2013-08-23,8330,8330,8330,8330,0,BHP
2013-08-26,8330,8330,8330,8330,0,BHP
2013-08-27,8330,8330,8330,8330,0,BHP
2013-08-28,8330,8330,8330,8330,0,BHP
2013-08-29,8330,8330,8330,8330,0,BHP
2013-08-30,8330,8330,8330,8330,0,BHP
2013-09-03,8330,8330,8330,8330,0,BHP
2013-09-04,8330,8330,8330,8330,0,BHP
2013-09-05,8330,8330,8330,8330,0,BHP
2013-09-06,8330,8330,8330,8330,0,BHP
2013-09-09,8330,8330,8330,8330,0,BHP
2013-09-10,8330,8330,8330,8330,0,BHP
2013-09-11,8330,8330,8330,8330,0,BHP
2013-09-12,8330,8330,8330,8330,0,BHP
2013-09-13,8330,8330,8330,8330,0,BHP
2013-09-16,8330,8330,8330,8330,0,BHP
2013-09-17,8330,8330,8330,8330,0,BHP
2013-09-18,8330,8330,8330,8330,0,BHP
2013-09-19,8330,8330,8330,8330,0,BHP
2013-09-20,8330,8330,8330,8330,0,BHP
2013-09-23,8330,8330,8330,8330,0,BHP
2013-09-24,8330,8330,8330,8330,0,BHP
2013-09-25,8330,8330,8330,8330,0,BHP
2013-09-26,8330,8330,8330,8330,0,BHP
2013-09-27,8330,8330,8330,8330,0,BHP
2013-09-30,8330,8330,8330,8330,0,BHP
2013-10-01,8330,8330,8330,8330,0,BHP
2013-10-02,8330,8330,8330,8330,0,BHP
2013-10-03,8330,8330,8330,8330,0,BHP
2013-10-04,8330,8330,8330,8330,0,BHP
2013-10-07,8330,8330,8330,8330,0,BHP
2013-10-08,8330,8330,8330,8330,0,BHP
2013-10-09,8330,8330,8330,8330,0,BHP
2013-10-10,8330,8330,8330,8330,0,BHP
2013-10-11,8330,8330,8330,8330,0,BHP
2013-10-14,8330,8330,8330,8330,0,BHP
2013-10-15,8330,8330,8330,8330,0,BHP
2013-10-16,8330,8330,8330,8330,0,BHP
2013-10-17,8330,8330,8330,8330,0,BHP
2013-10-18,8330,8330,8330,8330,0,BHP
2013-10-21,8330,8330,8330,8330,0,BHP
2013-10-22,8330,8330,8330,8330,0,BHP
2013-10-23,8330,8330,8330,8330,0,BHP
2013-10-24,8330,8330,8330,8330,0,BHP
2013-10-25,8330,8330,8330,8330,0,BHP
2013-10-28,8330,8330,8330,8330,0,BHP
2013-10-29,8330,8330,8330,8330,0,BHP
2013-10-30,8330,8330,8330,8330,0,BHP
2013-10-31,8330,8330,8330,8330,0,BHP
2013-11-01,8330,8330,8330,8330,0,BHP
2013-11-04,8330,8330,8330,8330,0,BHP
