time,open,high,low,close,volume,ticker
2017-07-10,17040,17040,16840,16840,1200,BLT
2017-07-11,16880,16880,16880,16880,0,BLT
2017-07-12,14360,14360,14360,14360,2000,BLT
2017-07-13,15420,15420,14200,14410,3200,BLT
2017-07-14,14970,14970,14970,14970,0,BLT
2017-07-17,14970,14970,14970,14970,0,BLT
2017-07-18,14970,14970,14970,14970,0,BLT
2017-07-19,14970,14970,14970,14970,0,BLT
2017-07-20,14970,14970,14970,14970,0,BLT
2017-07-21,14970,14970,14970,14970,0,BLT
2017-07-24,14970,14970,14970,14970,0,BLT
2017-07-25,14970,14970,14970,14970,0,BLT
2017-07-26,14970,14970,14970,14970,0,BLT
2017-07-27,14970,14970,14970,14970,0,BLT
2017-07-28,14970,14970,14970,14970,0,BLT
2017-07-31,14970,14970,14970,14970,0,BLT
2017-08-01,14970,14970,14970,14970,0,BLT
2017-08-02,12990,12990,12990,12990,2000,BLT
2017-08-03,12990,12990,12990,12990,0,BLT
2017-08-04,12990,12990,12990,12990,0,BLT
2017-08-07,12990,12990,12990,12990,0,BLT
2017-08-08,12990,12990,12990,12990,0,BLT
2017-08-09,12990,12990,12990,12990,0,BLT
2017-08-10,12990,12990,12990,12990,3000,BLT
2017-08-11,12990,12990,12990,12990,0,BLT
2017-08-14,12990,12990,12990,12990,0,BLT
2017-08-15,12990,12990,12990,12990,0,BLT
2017-08-16,12990,12990,12990,12990,0,BLT
2017-08-17,12990,12990,12990,12990,0,BLT
2017-08-18,12990,12990,12990,12990,0,BLT
2017-08-21,12990,12990,12990,12990,0,BLT
2017-08-22,12990,12990,12990,12990,0,BLT
2017-08-23,12990,12990,12990,12990,0,BLT
2017-08-24,12990,12990,12990,12990,0,BLT
2017-08-25,12990,12990,12990,12990,0,BLT
2017-08-28,12990,12990,12990,12990,0,BLT
2017-08-29,12990,12990,12990,12990,0,BLT
2017-08-30,12990,12990,12990,12990,0,BLT
2017-08-31,12990,12990,12990,12990,0,BLT
2017-09-01,12990,12990,12990,12990,0,BLT
2017-09-05,12990,12990,12990,12990,0,BLT
2017-09-06,12990,12990,12990,12990,0,BLT
2017-09-07,12990,12990,12990,12990,0,BLT
2017-09-08,12990,12990,12990,12990,0,BLT
2017-09-11,12990,12990,12990,12990,0,BLT
2017-09-12,12990,12990,12990,12990,0,BLT
2017-09-13,12990,12990,12990,12990,0,BLT
2017-09-14,12990,12990,12990,12990,0,BLT
2017-09-15,12990,12990,12990,12990,0,BLT
2017-09-18,12990,12990,12990,12990,0,BLT
2017-09-19,12990,12990,12990,12990,0,BLT
2017-09-20,12990,12990,12990,12990,0,BLT
2017-09-21,12990,12990,12990,12990,0,BLT
2017-09-22,12990,12990,12990,12990,0,BLT
2017-09-25,12990,12990,12990,12990,0,BLT
2017-09-26,12990,12990,12990,12990,0,BLT
2017-09-27,12990,12990,12990,12990,0,BLT
2017-09-28,12990,12990,12990,12990,0,BLT
2017-09-29,12990,12990,12990,12990,0,BLT
2017-10-02,12990,12990,12990,12990,0,BLT
2017-10-03,12990,12990,12990,12990,0,BLT
2017-10-04,12990,12990,12990,12990,0,BLT
2017-10-05,12990,12990,12990,12990,0,BLT
2017-10-06,12990,12990,12990,12990,0,BLT
2017-10-09,12990,12990,12990,12990,0,BLT
2017-10-10,12990,12990,12990,12990,0,BLT
2017-10-11,12990,12990,12990,12990,0,BLT
2017-10-12,12990,12990,12990,12990,0,BLT
2017-10-13,12990,12990,12990,12990,0,BLT
2017-10-16,12990,12990,12990,12990,0,BLT
2017-10-17,12990,12990,12990,12990,0,BLT
2017-10-18,12990,12990,12990,12990,0,BLT
2017-10-19,12990,12990,12990,12990,0,BLT
2017-10-20,12990,12990,12990,12990,0,BLT
2017-10-23,12990,12990,12990,12990,0,BLT
2017-10-24,12990,12990,12990,12990,0,BLT
2017-10-25,12990,12990,12990,12990,0,BLT
2017-10-26,12990,12990,12990,12990,0,BLT
2017-10-27,12990,12990,12990,12990,0,BLT
2017-10-30,12990,12990,12990,12990,0,BLT
2017-10-31,12990,12990,12990,12990,0,BLT
2017-11-01,12990,12990,12990,12990,0,BLT
2017-11-02,12990,12990,12990,12990,0,BLT
2017-11-03,12990,12990,12990,12990,0,BLT
2017-11-06,12990,12990,12990,12990,0,BLT
2017-11-07,12990,12990,12990,12990,0,BLT
2017-11-08,12990,12990,12990,12990,0,BLT
2017-11-09,12990,12990,12990,12990,0,BLT
2017-11-10,12990,12990,12990,12990,0,BLT
2017-11-13,12990,12990,12990,12990,0,BLT
2017-11-14,12990,12990,12990,12990,0,BLT
2017-11-15,12990,12990,12990,12990,0,BLT
2017-11-16,12990,12990,12990,12990,0,BLT
2017-11-17,12990,12990,12990,12990,0,BLT
2017-11-20,12990,12990,12990,12990,0,BLT
2017-11-21,12990,12990,12990,12990,0,BLT
2017-11-22,12990,12990,12990,12990,0,BLT
2017-11-23,12990,12990,12990,12990,0,BLT
2017-11-24,12990,12990,12990,12990,0,BLT
2017-11-27,12990,12990,12990,12990,0,BLT
2017-11-28,12990,12990,12990,12990,0,BLT
2017-11-29,12990,12990,12990,12990,0,BLT
2017-11-30,12990,12990,12990,12990,0,BLT
2017-12-01,12990,12990,12990,12990,0,BLT
2017-12-04,12990,12990,12990,12990,0,BLT
2017-12-05,12990,12990,12990,12990,0,BLT
2017-12-06,12990,12990,12990,12990,0,BLT
2017-12-07,12990,12990,12990,12990,0,BLT
2017-12-08,12990,12990,12990,12990,0,BLT
2017-12-11,12990,12990,12990,12990,0,BLT
2017-12-12,12990,12990,12990,12990,0,BLT
2017-12-13,12990,12990,12990,12990,0,BLT
2017-12-14,12990,12990,12990,12990,0,BLT
2017-12-15,12990,12990,12990,12990,0,BLT
2017-12-18,12990,12990,12990,12990,0,BLT
2017-12-19,12990,12990,12990,12990,0,BLT
2017-12-20,12990,12990,12990,12990,0,BLT
2017-12-21,12990,12990,12990,12990,0,BLT
2017-12-22,12990,12990,12990,12990,0,BLT
2017-12-25,12990,12990,12990,12990,0,BLT
2017-12-26,12990,12990,12990,12990,0,BLT
2017-12-27,12990,12990,12990,12990,0,BLT
2017-12-28,12990,12990,12990,12990,0,BLT
2017-12-29,12990,12990,12990,12990,0,BLT
2018-01-02,12990,12990,12990,12990,0,BLT
2018-01-03,12990,12990,12990,12990,0,BLT
2018-01-04,12990,12990,12990,12990,0,BLT
2018-01-05,12990,12990,12990,12990,0,BLT
2018-01-08,12990,12990,12990,12990,0,BLT
2018-01-09,12990,12990,12990,12990,0,BLT
2018-01-10,12990,12990,12990,12990,0,BLT
2018-01-11,12990,10140,10140,12990,0,BLT
2018-01-12,10140,10140,10140,10140,0,BLT
2018-01-15,10140,10140,10140,10140,0,BLT
2018-01-16,10140,10140,10140,10140,0,BLT
2018-01-17,10140,10140,10140,10140,0,BLT
2018-01-18,10140,10140,10140,10140,0,BLT
2018-01-19,10140,10140,10140,10140,0,BLT
2018-01-22,10140,10140,10140,10140,0,BLT
2018-01-23,10140,10140,10140,10140,0,BLT
2018-01-24,10140,10140,10140,10140,0,BLT
2018-01-25,10140,10140,10140,10140,0,BLT
2018-01-26,10140,10140,10140,10140,0,BLT
2018-01-29,10140,10140,10140,10140,0,BLT
2018-01-30,10140,10140,10140,10140,0,BLT
2018-01-31,10140,10140,10140,10140,4000,BLT
2018-02-01,10140,10140,10140,10140,1000,BLT
2018-02-02,10140,10140,10140,10140,0,BLT
