time,open,high,low,close,volume,ticker
2020-10-12,8220,8220,8220,8220,168800,BNA
2020-10-13,9040,9040,9040,9040,128000,BNA
2020-10-14,9930,9930,8860,8860,202600,BNA
2020-10-15,8380,8380,8060,8220,130727,BNA
2020-10-16,8189,8220,7680,7840,99900,BNA
2020-10-19,7840,7870,7530,7530,90800,BNA
2020-10-20,7530,7530,7300,7460,145900,BNA
2020-10-21,7460,7620,7430,7560,132800,BNA
2020-10-22,7560,7650,7500,7560,97500,BNA
2020-10-23,7560,7680,7530,7650,129920,BNA
2020-10-26,7650,7740,7650,7740,99930,BNA
2020-10-27,7740,7840,7650,7810,123600,BNA
2020-10-28,7740,7780,7590,7590,119900,BNA
2020-10-29,7590,7590,7400,7460,99900,BNA
2020-10-30,7430,7500,7370,7460,89900,BNA
2020-11-02,7500,7560,7400,7430,98800,BNA
2020-11-03,7430,7530,7270,7500,145100,BNA
2020-11-04,7460,7900,7300,7900,204801,BNA
2020-11-05,7970,8340,7870,8310,249900,BNA
2020-11-06,8340,8820,8340,8760,270631,BNA
2020-11-09,8860,8860,8630,8730,210115,BNA
2020-11-10,8860,9170,8730,9170,190100,BNA
2020-11-11,9260,9260,9040,9070,161130,BNA
2020-11-12,9140,9170,8980,9070,204600,BNA
2020-11-13,9140,9390,9040,9360,228800,BNA
2020-11-16,9390,9670,9330,9620,252400,BNA
2020-11-17,9740,9930,9620,9900,199900,BNA
2020-11-18,9960,10090,9860,9990,207723,BNA
2020-11-19,9990,10020,9900,9900,168800,BNA
2020-11-20,9930,9960,9830,9930,235000,BNA
2020-11-23,9960,9990,9800,9830,222335,BNA
2020-11-24,9800,9900,9700,9740,166600,BNA
2020-11-25,9670,9800,9670,9770,143800,BNA
2020-11-26,9670,9800,9580,9620,119900,BNA
2020-11-27,9620,9930,9520,9900,266300,BNA
2020-11-30,9930,10060,9900,10020,240900,BNA
2020-12-01,10020,10180,9930,10180,211279,BNA
2020-12-02,10180,10250,10180,10250,184700,BNA
2020-12-03,10250,10430,9960,10430,228500,BNA
2020-12-04,10430,10500,10370,10370,231700,BNA
2020-12-07,10370,10590,10300,10560,258915,BNA
2020-12-08,10560,10590,10460,10460,90310,BNA
