time,open,high,low,close,volume,ticker
2017-04-28,21840,21840,21840,21840,100,BSD
2017-05-03,25090,25090,25090,25090,10300,BSD
2017-05-04,25090,25090,25090,25090,0,BSD
2017-05-05,25090,25090,25090,25090,0,BSD
2017-05-08,25090,25090,25090,25090,0,BSD
2017-05-09,25090,25090,25090,25090,0,BSD
2017-05-10,25090,25090,25090,25090,0,BSD
2017-05-11,25090,25090,25090,25090,0,BSD
2017-05-12,25090,25090,25090,25090,0,BSD
2017-05-15,25090,25090,25090,25090,0,BSD
2017-05-16,25090,25090,25090,25090,0,BSD
2017-05-17,25090,25090,25090,25090,0,BSD
2017-05-18,25090,25090,25090,25090,0,BSD
2017-05-19,25090,25090,25090,25090,0,BSD
2017-05-22,25400,25400,25400,25400,100,BSD
2017-05-23,25400,25400,25400,25400,0,BSD
2017-05-24,25400,25400,25400,25400,0,BSD
2017-05-25,25400,25400,25400,25400,0,BSD
2017-05-26,25400,25400,25400,25400,0,BSD
2017-05-29,25400,25400,25400,25400,0,BSD
2017-05-30,25400,25400,25400,25400,0,BSD
2017-05-31,25400,25400,25400,25400,0,BSD
2017-06-01,25400,25400,25400,25400,0,BSD
2017-06-02,25400,25400,25400,25400,0,BSD
2017-06-05,25400,25400,25400,25400,0,BSD
2017-06-06,25400,25400,25400,25400,0,BSD
2017-06-07,25400,25400,25400,25400,100,BSD
2017-06-08,25400,25400,25400,25400,0,BSD
2017-06-09,25400,25400,25400,25400,0,BSD
2017-06-12,25400,25400,25400,25400,0,BSD
2017-06-13,25400,25400,25400,25400,0,BSD
2017-06-14,25400,25400,25400,25400,0,BSD
2017-06-15,25400,25400,25400,25400,0,BSD
2017-06-16,25400,25400,25400,25400,0,BSD
2017-06-19,25400,25400,25400,25400,0,BSD
2017-06-20,28380,28380,28380,28380,100,BSD
2017-06-21,28380,28380,28380,28380,0,BSD
2017-06-22,28380,28380,28380,28380,0,BSD
2017-06-23,28380,28380,28380,28380,0,BSD
2017-06-26,28380,28380,28380,28380,0,BSD
2017-06-27,28380,28380,28380,28380,0,BSD
2017-06-28,28380,28380,28380,28380,0,BSD
2017-06-29,28380,28380,28380,28380,0,BSD
2017-06-30,28380,28380,28380,28380,0,BSD
2017-07-03,28380,28380,28380,28380,0,BSD
2017-07-04,28380,28380,28380,28380,0,BSD
2017-07-05,28380,28380,28380,28380,0,BSD
2017-07-06,28380,28380,28380,28380,0,BSD
2017-07-07,28380,28380,28380,28380,0,BSD
2017-07-10,28380,28380,28380,28380,0,BSD
2017-07-11,28380,28380,28380,28380,0,BSD
2017-07-12,28380,28380,28380,28380,0,BSD
2017-07-13,28380,28380,28380,28380,0,BSD
2017-07-14,28380,28380,28380,28380,0,BSD
2017-07-17,28380,28380,28380,28380,0,BSD
2017-07-18,28380,28380,28380,28380,0,BSD
2017-07-19,28380,28380,28380,28380,0,BSD
2017-07-20,28380,28380,28380,28380,0,BSD
2017-07-21,28380,28380,28380,28380,0,BSD
2017-07-24,28380,28380,28380,28380,0,BSD
2017-07-25,28380,28380,28380,28380,0,BSD
2017-07-26,28380,28380,28380,28380,0,BSD
2017-07-27,28380,28380,28380,28380,0,BSD
2017-07-28,28380,28380,28380,28380,0,BSD
2017-07-31,28380,28380,28380,28380,0,BSD
2017-08-01,28380,28380,28380,28380,0,BSD
2017-08-02,28380,28380,28380,28380,0,BSD
2017-08-03,28380,28380,28380,28380,0,BSD
2017-08-04,28380,28380,28380,28380,0,BSD
2017-08-07,28380,28380,28380,28380,0,BSD
2017-08-08,28380,28380,28380,28380,0,BSD
2017-08-09,28380,28380,28380,28380,0,BSD
2017-08-10,28380,28380,28380,28380,0,BSD
2017-08-11,28380,28380,28380,28380,0,BSD
2017-08-14,28380,28380,28380,28380,0,BSD
2017-08-15,28380,28380,28380,28380,0,BSD
2017-08-16,28380,28380,28380,28380,0,BSD
2017-08-17,28380,28380,28380,28380,0,BSD
2017-08-18,28380,28380,28380,28380,0,BSD
2017-08-21,28380,28380,28380,28380,0,BSD
2017-08-22,28380,28380,28380,28380,0,BSD
2017-08-23,28380,28380,28380,28380,0,BSD
2017-08-24,28380,28380,28380,28380,0,BSD
2017-08-25,28380,28380,28380,28380,0,BSD
2017-08-28,28380,28380,28380,28380,0,BSD
2017-08-29,28380,28380,28380,28380,0,BSD
2017-08-30,28380,28380,28380,28380,0,BSD
2017-08-31,28380,28380,28380,28380,0,BSD
2017-09-01,28380,28380,28380,28380,0,BSD
2017-09-05,28380,28380,28380,28380,0,BSD
2017-09-06,28380,28380,28380,28380,0,BSD
2017-09-07,28380,28380,28380,28380,0,BSD
2017-09-08,28380,28380,28380,28380,0,BSD
2017-09-11,28380,28380,28380,28380,0,BSD
2017-09-12,28380,28380,28380,28380,0,BSD
2017-09-13,28380,28380,28380,28380,0,BSD
2017-09-14,28380,28380,28380,28380,0,BSD
2017-09-15,28380,28380,28380,28380,0,BSD
2017-09-18,28380,28380,28380,28380,0,BSD
2017-09-19,28380,28380,28380,28380,0,BSD
2017-09-20,28380,28380,28380,28380,0,BSD
2017-09-21,28380,28380,28380,28380,0,BSD
2017-09-22,28380,28380,28380,28380,0,BSD
2017-09-25,28380,28380,28380,28380,0,BSD
2017-09-26,28380,28380,28380,28380,0,BSD
2017-09-27,28380,28380,28380,28380,0,BSD
2017-09-28,28380,28380,28380,28380,0,BSD
2017-09-29,28380,28380,28380,28380,0,BSD
2017-10-02,28380,28380,28380,28380,0,BSD
2017-10-03,28380,28380,28380,28380,0,BSD
2017-10-04,28380,28380,28380,28380,0,BSD
2017-10-05,28380,28380,28380,28380,0,BSD
2017-10-06,28380,28380,28380,28380,500,BSD
2017-10-09,28380,28380,28380,28380,0,BSD
2017-10-10,28380,28380,28380,28380,0,BSD
2017-10-11,28380,28380,28380,28380,0,BSD
2017-10-12,28380,28380,28380,28380,0,BSD
2017-10-13,28380,28380,28380,28380,0,BSD
2017-10-16,28380,28380,28380,28380,0,BSD
2017-10-17,28380,28380,28380,28380,0,BSD
2017-10-18,28380,28380,28380,28380,0,BSD
2017-10-19,28380,28380,28380,28380,0,BSD
2017-10-20,28380,28380,28380,28380,0,BSD
