time,open,high,low,close,volume,ticker
2018-07-04,23730,23730,23310,23310,1300,BSH
2018-07-05,21190,21190,20130,20130,1300,BSH
2018-07-06,20570,20570,20570,20570,0,BSH
2018-07-09,21190,21190,21190,21190,200,BSH
2018-07-10,18010,18010,18010,18010,400,BSH
2018-07-11,19140,19140,15480,15530,2000,BSH
2018-07-12,15760,15760,15760,15760,200,BSH
2018-07-13,15760,15760,15760,15760,0,BSH
2018-07-16,15760,15760,15760,15760,0,BSH
2018-07-17,15760,15760,15760,15760,0,BSH
2018-07-18,15760,15760,15760,15760,0,BSH
2018-07-19,15760,15760,15760,15760,0,BSH
2018-07-20,15760,15760,15760,15760,0,BSH
2018-07-23,15760,15760,15760,15760,0,BSH
2018-07-24,15760,15760,15200,15200,300,BSH
2018-07-25,15370,15370,15370,15370,0,BSH
2018-07-26,15370,15370,15370,15370,0,BSH
2018-07-27,15370,15370,15370,15370,0,BSH
2018-07-30,13110,13230,13110,13230,300,BSH
2018-07-31,11260,11260,11260,11260,100,BSH
2018-08-01,11260,11260,11260,11260,0,BSH
2018-08-02,11260,11260,11260,11260,0,BSH
2018-08-03,11260,11260,11260,11260,0,BSH
2018-08-06,11820,11820,11820,11820,200,BSH
2018-08-07,11820,11820,11820,11820,0,BSH
2018-08-08,11820,11820,11820,11820,0,BSH
2018-08-09,11820,11820,11820,11820,0,BSH
2018-08-10,11820,11820,11820,11820,0,BSH
2018-08-13,11820,11820,11820,11820,0,BSH
2018-08-14,12390,12390,12100,12100,700,BSH
2018-08-15,12160,12160,12160,12160,0,BSH
2018-08-16,13960,13960,13960,13960,100,BSH
2018-08-17,16050,16050,16050,16050,100,BSH
2018-08-20,16050,16050,16050,16050,0,BSH
2018-08-21,15200,18350,15200,18350,900,BSH
2018-08-22,18010,18010,18010,18010,0,BSH
2018-08-23,18010,18010,18010,18010,0,BSH
2018-08-24,18010,18010,18010,18010,0,BSH
2018-08-27,18010,18010,18010,18010,0,BSH
2018-08-28,18010,18010,18010,18010,0,BSH
2018-08-29,15760,15760,15760,15760,500,BSH
2018-08-30,15760,15760,15760,15760,0,BSH
2018-08-31,15760,15760,15760,15760,0,BSH
2018-09-04,15760,15760,15760,15760,0,BSH
2018-09-05,15760,15760,15760,15760,0,BSH
2018-09-06,15760,15760,15760,15760,0,BSH
2018-09-07,15760,15760,15760,15760,0,BSH
2018-09-10,18080,18080,18080,18080,100,BSH
2018-09-11,18080,18080,18080,18080,0,BSH
2018-09-12,18080,18080,18080,18080,0,BSH
2018-09-13,18080,18080,18080,18080,0,BSH
2018-09-14,18080,18080,18080,18080,0,BSH
2018-09-17,18080,18080,18080,18080,0,BSH
2018-09-18,18080,18080,18080,18080,0,BSH
2018-09-19,18080,18080,18080,18080,0,BSH
2018-09-20,18080,18080,18080,18080,0,BSH
2018-09-21,18080,18080,18080,18080,0,BSH
2018-09-24,18080,18080,18080,18080,0,BSH
2018-09-25,18080,18080,18080,18080,0,BSH
2018-09-26,18080,18080,18080,18080,0,BSH
2018-09-27,18080,18080,18080,18080,0,BSH
2018-09-28,18080,18080,18080,18080,0,BSH
2018-10-01,18080,18080,18080,18080,0,BSH
2018-10-02,18080,18080,18080,18080,0,BSH
2018-10-03,18080,18080,18080,18080,0,BSH
2018-10-04,20720,20720,20720,20720,200,BSH
2018-10-05,20720,20720,20720,20720,0,BSH
2018-10-08,20720,20720,20720,20720,0,BSH
2018-10-09,20720,20720,20720,20720,0,BSH
2018-10-10,20720,20720,20720,20720,0,BSH
2018-10-11,17620,17620,17620,17620,500,BSH
2018-10-12,17620,17620,17620,17620,0,BSH
2018-10-15,17620,17620,17620,17620,0,BSH
2018-10-16,17460,17460,16440,16440,200,BSH
2018-10-17,17000,17000,17000,17000,100,BSH
2018-10-18,17000,17000,17000,17000,0,BSH
2018-10-19,17000,17000,17000,17000,0,BSH
2018-10-22,17000,17000,17000,17000,0,BSH
2018-10-23,17000,17000,17000,17000,0,BSH
2018-10-24,17000,17000,17000,17000,100,BSH
2018-10-25,17000,17000,17000,17000,0,BSH
2018-10-26,17000,17000,17000,17000,0,BSH
2018-10-29,17000,17000,17000,17000,0,BSH
2018-10-30,17000,17000,17000,17000,0,BSH
2018-10-31,17000,17000,17000,17000,0,BSH
2018-11-01,17000,17000,17000,17000,0,BSH
2018-11-02,17000,17000,17000,17000,0,BSH
2018-11-05,17000,17000,17000,17000,0,BSH
2018-11-06,17000,17000,17000,17000,0,BSH
2018-11-07,17000,17000,17000,17000,0,BSH
2018-11-08,18570,18570,18570,18570,100,BSH
2018-11-09,18570,18570,18570,18570,0,BSH
