time,open,high,low,close,volume,ticker
2017-06-16,13750,13750,13750,13750,500,BSL
2017-06-19,15770,15770,15770,15770,100,BSL
2017-06-20,18080,18080,18080,18080,100,BSL
2017-06-21,20740,20740,17330,17330,41300,BSL
2017-06-22,17330,17330,17160,17160,9500,BSL
2017-06-23,14720,14720,14720,14720,2600,BSL
2017-06-26,12530,14440,12530,14440,8510,BSL
2017-06-27,12590,12590,12590,12590,200,BSL
2017-06-28,10980,10980,10980,10980,300,BSL
2017-06-29,10680,10680,10680,10680,1020,BSL
2017-06-30,10680,10680,10680,10680,0,BSL
2017-07-03,10980,11550,10980,11440,2300,BSL
2017-07-04,12820,12820,12650,12700,14400,BSL
2017-07-05,12700,12700,12140,12140,20220,BSL
2017-07-06,10810,11080,10630,11080,3900,BSL
2017-07-07,10400,10680,10400,10400,23600,BSL
2017-07-10,10510,10570,10510,10570,3300,BSL
2017-07-11,10510,10510,10510,10510,100,BSL
2017-07-12,10120,10120,9820,10120,11100,BSL
2017-07-13,9990,9990,9820,9820,11320,BSL
2017-07-14,9930,9930,9930,9930,12500,BSL
2017-07-17,9990,11270,9990,10400,10400,BSL
2017-07-18,10120,10120,10120,10120,900,BSL
2017-07-19,10400,10680,10400,10680,1200,BSL
2017-07-20,10460,10460,10460,10460,0,BSL
2017-07-21,10680,10680,10680,10680,100,BSL
2017-07-24,10160,10160,9130,9820,4800,BSL
2017-07-25,9990,9990,9990,9990,900,BSL
2017-07-26,9350,9990,9350,9990,3100,BSL
2017-07-27,10120,10120,10120,10120,1500,BSL
2017-07-28,10120,10160,9990,9990,3300,BSL
2017-07-31,10120,10120,10120,10120,0,BSL
2017-08-01,10400,10400,10400,10400,100,BSL
2017-08-02,10400,10400,9870,10400,1400,BSL
2017-08-03,10400,10510,10400,10510,4600,BSL
2017-08-04,10500,10500,10500,10500,0,BSL
2017-08-07,11060,11060,10620,11060,1100,BSL
2017-08-08,11060,11060,11060,11060,1000,BSL
2017-08-09,10750,10750,10750,10750,200,BSL
2017-08-10,10810,10810,10810,10810,1000,BSL
2017-08-11,10810,10810,10810,10810,15000,BSL
2017-08-14,10810,10810,10810,10810,0,BSL
2017-08-15,10810,10810,10810,10810,0,BSL
2017-08-16,10500,10500,10500,10500,200,BSL
2017-08-17,10500,10500,10500,10500,0,BSL
2017-08-18,10500,10500,10500,10500,0,BSL
2017-08-21,10180,10180,10180,10180,100,BSL
2017-08-22,10180,10180,10180,10180,0,BSL
2017-08-23,10180,10180,10180,10180,0,BSL
2017-08-24,9260,9260,9010,9200,6400,BSL
2017-08-25,8960,9260,8960,8960,3100,BSL
2017-08-28,8960,8960,8960,8960,3200,BSL
2017-08-29,8960,8960,8960,8960,0,BSL
2017-08-30,8960,8960,8960,8960,0,BSL
2017-08-31,9260,9260,9260,9260,6200,BSL
2017-09-01,9260,9260,9260,9260,200,BSL
2017-09-05,9870,9870,9820,9820,7400,BSL
2017-09-06,9820,9820,9820,9820,200,BSL
2017-09-07,9820,9820,9820,9820,0,BSL
2017-09-08,9820,9820,9820,9820,0,BSL
2017-09-11,9260,9260,9260,9260,2000,BSL
2017-09-12,9260,9260,9260,9260,0,BSL
2017-09-13,9260,9260,9260,9260,6800,BSL
