time,open,high,low,close,volume,ticker
2016-08-10,7320,7320,7320,7320,0,BSP
2016-08-11,7320,7320,7320,7320,0,BSP
2016-08-12,10250,10250,10250,10250,5000,BSP
2016-08-15,11740,11740,11740,11740,1100,BSP
2016-08-16,11740,11740,11740,11740,0,BSP
2016-08-17,13250,13250,13250,13250,200,BSP
2016-08-18,13250,13250,13250,13250,0,BSP
2016-08-19,13250,13250,13250,13250,0,BSP
2016-08-22,13250,13250,13250,13250,0,BSP
2016-08-23,13250,13250,13250,13250,0,BSP
2016-08-24,11260,11260,11260,11260,400,BSP
2016-08-25,10160,10160,9580,9580,5000,BSP
2016-08-26,9720,9720,9720,9720,0,BSP
2016-08-29,9270,9270,9270,9270,2600,BSP
2016-08-30,9270,9270,9270,9270,2900,BSP
2016-08-31,9270,9270,9270,9270,0,BSP
2016-09-01,10160,10160,9310,9310,5900,BSP
2016-09-05,9580,9580,9490,9490,5500,BSP
2016-09-06,9530,9530,9530,9530,0,BSP
2016-09-07,9310,9580,9310,9580,14200,BSP
2016-09-08,9580,10160,9580,10160,7500,BSP
2016-09-09,9940,9940,9530,9530,4000,BSP
2016-09-12,9660,9660,9660,9660,2000,BSP
2016-09-13,9660,9660,9660,9660,0,BSP
2016-09-14,10070,10070,10070,10070,100,BSP
2016-09-15,10070,10070,10070,10070,0,BSP
2016-09-16,11000,11040,11000,11040,3100,BSP
2016-09-19,12670,12670,11040,11040,600,BSP
2016-09-20,12980,12980,12810,12980,1800,BSP
2016-09-21,14830,14830,14830,14830,5900,BSP
2016-09-22,17040,17040,16780,17000,3310,BSP
2016-09-23,17000,17220,15460,15900,3200,BSP
2016-09-26,15900,15900,15460,15460,1500,BSP
2016-09-27,15420,15420,14580,14580,4300,BSP
2016-09-28,12670,15230,12670,15230,600,BSP
2016-09-29,13120,13120,13120,13120,0,BSP
2016-09-30,13120,13120,13120,13120,0,BSP
2016-10-03,13250,13250,13120,13120,3300,BSP
2016-10-04,13160,13160,13160,13160,0,BSP
2016-10-05,13160,13160,13160,13160,0,BSP
2016-10-06,13160,13160,13160,13160,500,BSP
2016-10-07,13160,13160,13160,13160,0,BSP
2016-10-10,12840,13030,12840,13030,2000,BSP
2016-10-11,12930,12930,12930,12930,0,BSP
2016-10-12,12590,12590,12590,12590,700,BSP
2016-10-13,12370,12590,12370,12590,10600,BSP
2016-10-14,12540,12540,12540,12540,0,BSP
2016-10-17,12150,12150,11920,11920,2600,BSP
2016-10-18,11300,11300,11040,11040,2500,BSP
2016-10-19,11170,11170,11170,11170,0,BSP
2016-10-20,11170,11170,11170,11170,0,BSP
2016-10-21,11480,11920,11040,11040,3100,BSP
2016-10-24,11040,11040,11040,11040,700,BSP
2016-10-25,12630,12630,12630,12630,500,BSP
2016-10-26,12630,12630,11520,11520,4200,BSP
2016-10-27,10550,14000,10550,13690,3700,BSP
2016-10-28,14360,14700,13470,14700,7800,BSP
2016-10-31,15460,15900,14580,15230,13100,BSP
2016-11-01,15460,15500,15460,15460,3700,BSP
2016-11-02,15900,15900,14130,14360,7400,BSP
2016-11-03,14580,14580,13290,13290,5200,BSP
2016-11-04,13250,14580,12630,14130,1200,BSP
2016-11-07,14700,15770,14700,15770,8700,BSP
2016-11-08,15900,17400,15900,17400,84500,BSP
