time,open,high,low,close,volume,ticker
2017-02-28,17560,17560,17560,17560,130000,BSQ
2017-03-01,20160,20160,19450,19780,165600,BSQ
2017-03-02,21110,21110,18340,18340,58300,BSQ
2017-03-03,17390,17780,17220,17720,15970,BSQ
2017-03-06,16120,16379,15000,15000,39950,BSQ
2017-03-07,13390,15340,13050,15280,15500,BSQ
2017-03-08,15000,15340,15000,15340,9930,BSQ
2017-03-09,17560,17560,17330,17510,66750,BSQ
2017-03-10,17510,17510,16670,16720,16710,BSQ
2017-03-13,19170,19170,16670,16670,22100,BSQ
2017-03-14,16670,16670,16170,16450,15540,BSQ
2017-03-15,15620,16120,15620,16059,11250,BSQ
2017-03-16,14440,16059,13670,15440,24050,BSQ
2017-03-17,15620,16379,15560,16120,3800,BSQ
2017-03-20,16120,16379,16000,16000,6130,BSQ
2017-03-21,15840,16450,15840,16120,13700,BSQ
2017-03-22,16000,16000,15280,15560,19941,BSQ
2017-03-23,15560,15840,15560,15560,11200,BSQ
2017-03-24,15620,15620,15000,15160,5950,BSQ
2017-03-27,14440,15560,14440,15000,3700,BSQ
2017-03-28,15510,15510,14780,15000,3600,BSQ
2017-03-29,15440,15440,14440,14720,4200,BSQ
2017-03-30,14780,15230,14780,14940,3600,BSQ
2017-03-31,14280,14280,14110,14220,11900,BSQ
2017-04-03,14830,14830,14830,14830,500,BSQ
2017-04-04,14170,14720,14170,14720,1700,BSQ
2017-04-05,14330,14440,14330,14400,500,BSQ
2017-04-07,14500,14500,14400,14400,2400,BSQ
2017-04-10,14280,14280,14280,14280,3200,BSQ
2017-04-11,14280,14280,14170,14170,1250,BSQ
2017-04-12,14220,14220,14220,14220,0,BSQ
2017-04-13,13890,13890,13050,13610,3600,BSQ
2017-04-14,13390,13390,12330,12330,1000,BSQ
2017-04-17,14170,14170,12950,12950,3300,BSQ
2017-04-18,13330,13330,12780,13050,3900,BSQ
2017-04-19,12780,12900,12780,12780,5000,BSQ
2017-04-20,12830,12830,12670,12670,5000,BSQ
2017-04-21,12830,13610,12830,13050,14000,BSQ
2017-04-24,13610,13610,12900,13050,1800,BSQ
2017-04-25,13280,13280,13000,13170,7300,BSQ
2017-04-26,12780,13000,12390,12950,4200,BSQ
2017-04-27,12780,13050,12780,12830,6700,BSQ
2017-04-28,12830,12900,12780,12900,9500,BSQ
2017-05-03,12900,13050,12900,13050,3700,BSQ
2017-05-04,13050,13050,12780,12780,9300,BSQ
2017-05-05,12780,12900,12780,12780,37200,BSQ
2017-05-08,12780,12830,12720,12830,6500,BSQ
2017-05-09,12720,12720,12720,12720,16300,BSQ
2017-05-10,12830,12830,12780,12780,32600,BSQ
2017-05-11,12780,13050,12780,12950,74400,BSQ
2017-05-12,13050,13050,12780,13050,291500,BSQ
2017-05-15,12900,13050,12780,12830,443900,BSQ
2017-05-16,12830,13770,12830,13000,14700,BSQ
2017-05-17,13930,13930,12910,12960,2200,BSQ
2017-05-18,13620,13620,13380,13380,7800,BSQ
2017-05-19,13140,13140,13020,13020,8900,BSQ
2017-05-22,12960,12960,12960,12960,5500,BSQ
2017-05-23,12960,13090,12960,13090,7200,BSQ
2017-05-24,13090,13090,12670,12790,18200,BSQ
2017-05-25,13090,13090,12960,12960,13640,BSQ
2017-05-26,13020,13020,12960,12960,3600,BSQ
2017-05-29,12960,13140,12960,13140,2500,BSQ
2017-05-30,13090,13380,13090,13380,4400,BSQ
2017-05-31,13680,13680,13450,13450,12500,BSQ
2017-06-01,13380,13450,13380,13450,7200,BSQ
2017-06-02,13380,13380,13380,13380,3700,BSQ
2017-06-05,13860,13860,13380,13450,15450,BSQ
2017-06-06,13680,13680,13560,13680,1110,BSQ
2017-06-07,13680,13680,13680,13680,4200,BSQ
2017-06-08,13680,13680,13090,13090,17400,BSQ
2017-06-09,13680,13680,13680,13680,0,BSQ
2017-06-12,13560,13560,13560,13560,900,BSQ
2017-06-13,13380,13380,13090,13380,4200,BSQ
2017-06-14,13320,13450,13450,13320,0,BSQ
2017-06-15,13500,13500,13450,13500,7400,BSQ
2017-06-16,13380,13380,13380,13380,7100,BSQ
2017-06-19,13380,13380,13380,13380,0,BSQ
2017-06-20,13380,13450,13380,13450,3900,BSQ
2017-06-21,13450,13450,13450,13450,1010,BSQ
2017-06-22,13450,13500,13450,13500,4100,BSQ
2017-06-23,13500,13620,13500,13620,4500,BSQ
2017-06-26,13680,13790,13680,13680,1800,BSQ
2017-06-27,13560,13620,13560,13560,3700,BSQ
2017-06-28,13450,13620,13450,13620,2900,BSQ
2017-06-29,13620,13620,13450,13450,500,BSQ
2017-06-30,13450,13560,13450,13560,1800,BSQ
2017-07-03,13680,13790,13680,13790,9300,BSQ
2017-07-04,13740,13790,13620,13790,182200,BSQ
2017-07-05,13740,13790,13680,13790,127700,BSQ
2017-07-06,14270,14270,13680,13740,27600,BSQ
2017-07-07,13740,13740,13680,13680,24000,BSQ
2017-07-10,13680,13680,13680,13680,4600,BSQ
2017-07-11,13680,13680,13620,13680,5700,BSQ
2017-07-12,13680,13790,13680,13790,300,BSQ
2017-07-13,13740,13790,13740,13790,11400,BSQ
2017-07-14,13860,13930,13860,13930,17500,BSQ
2017-07-17,13930,13930,13930,13930,7200,BSQ
2017-07-18,14040,14040,14040,14040,300,BSQ
2017-07-19,14040,14090,14040,14090,16000,BSQ
2017-07-20,14270,14270,14090,14090,11600,BSQ
2017-07-21,13970,14040,13970,14040,600,BSQ
2017-07-24,13860,14040,13790,14040,4600,BSQ
2017-07-25,14040,14040,13930,13930,900,BSQ
2017-07-26,14090,14510,14090,14510,700,BSQ
2017-07-27,14270,14270,14270,14270,0,BSQ
2017-07-28,14270,14270,14270,14270,0,BSQ
2017-07-31,14270,14160,14160,14270,0,BSQ
2017-08-01,13790,14040,13790,13970,1800,BSQ
2017-08-02,13930,13930,13930,13930,1600,BSQ
2017-08-03,14040,14040,13970,14040,500,BSQ
2017-08-04,13970,14040,13970,14040,5000,BSQ
2017-08-07,14040,14040,14040,14040,0,BSQ
2017-08-08,13970,13970,13970,13970,3300,BSQ
2017-08-09,14090,14090,14090,14090,800,BSQ
2017-08-10,14090,14090,14040,14040,5400,BSQ
2017-08-11,14090,14090,14090,14090,3500,BSQ
2017-08-14,13970,14090,13970,13970,4200,BSQ
2017-08-15,13970,13970,13970,13970,4000,BSQ
2017-08-16,13970,14040,13970,14040,3500,BSQ
2017-08-17,14160,14270,14160,14210,3130,BSQ
2017-08-18,14270,14270,14270,14270,0,BSQ
2017-08-21,14270,14270,14270,14270,0,BSQ
2017-08-22,14270,14400,14270,14270,2200,BSQ
2017-08-23,14270,14270,14210,14270,3300,BSQ
2017-08-24,14210,14210,14210,14210,2000,BSQ
2017-08-25,15160,15160,14880,14880,3400,BSQ
2017-08-28,15050,15050,15050,15050,0,BSQ
2017-08-29,14450,14880,14270,14880,1500,BSQ
2017-08-30,14630,14630,14570,14570,2600,BSQ
2017-08-31,14570,14570,14570,14570,0,BSQ
