time,open,high,low,close,volume,ticker
2017-01-12,10378,10378,10378,10378,0,BTB
2017-01-13,14529,14529,14529,14529,100,BTB
2017-01-16,14529,14529,14529,14529,0,BTB
2017-01-17,16699,16699,16699,16699,4200,BTB
2017-01-18,19152,19152,19152,19152,3500,BTB
2017-01-19,16322,16982,16322,16982,210,BTB
2017-01-20,14246,15095,14246,15095,600,BTB
2017-01-23,12453,13208,12453,13114,2900,BTB
2017-01-24,11699,12736,11510,12736,1100,BTB
2017-01-25,11699,11699,11699,11699,0,BTB
2017-02-02,12453,12548,12453,12548,810,BTB
2017-02-03,13019,13397,12831,12831,700,BTB
2017-02-06,13585,13585,13585,13585,1100,BTB
2017-02-07,13585,13585,13585,13585,0,BTB
2017-02-08,12736,12736,12736,12736,500,BTB
2017-02-09,12736,12736,12736,12736,0,BTB
2017-02-10,13680,13680,13680,13680,100,BTB
2017-02-13,14152,14152,14152,14152,100,BTB
2017-02-14,14152,14152,14152,14152,0,BTB
2017-02-15,14152,14152,14152,14152,0,BTB
2017-02-16,14152,14152,14152,14152,0,BTB
2017-02-17,14152,14152,14152,14152,0,BTB
2017-02-20,12076,12076,12076,12076,800,BTB
2017-02-21,11321,11321,11321,11321,200,BTB
2017-02-22,9717,9812,9623,9812,7700,BTB
2017-02-23,9812,9812,8491,8491,1400,BTB
2017-02-24,9434,9434,9434,9434,300,BTB
2017-02-27,9434,9434,9434,9434,300,BTB
2017-02-28,9434,9434,9434,9434,2000,BTB
2017-03-01,9434,9434,9434,9434,3000,BTB
2017-03-02,9434,9434,9434,9434,0,BTB
2017-03-03,9434,9434,9434,9434,0,BTB
2017-03-06,9434,9434,9434,9434,600,BTB
2017-03-07,9434,9434,9434,9434,0,BTB
2017-03-08,9434,9434,9434,9434,300,BTB
2017-03-09,8962,8962,8962,8962,100,BTB
2017-03-10,9434,9434,9057,9057,14800,BTB
2017-03-13,9434,9434,9434,9434,100,BTB
2017-03-14,9434,9434,9434,9434,200,BTB
2017-03-15,9434,9434,9434,9434,0,BTB
2017-03-16,9434,9434,9434,9434,100,BTB
2017-03-17,10849,10849,10849,10849,100,BTB
2017-03-20,10849,10849,10849,10849,0,BTB
2017-03-21,10849,10849,10849,10849,0,BTB
2017-03-22,10849,10849,10849,10849,0,BTB
2017-03-23,9246,9434,9246,9434,2100,BTB
2017-03-24,9246,9246,9246,9246,0,BTB
2017-03-27,9246,9246,9246,9246,0,BTB
2017-03-28,9246,9246,9246,9246,0,BTB
2017-03-29,9246,9246,9246,9246,0,BTB
2017-03-30,9246,9246,9246,9246,0,BTB
2017-03-31,9246,9246,9246,9246,0,BTB
2017-04-03,9246,9246,9246,9246,0,BTB
2017-04-04,9246,9246,9246,9246,0,BTB
2017-04-05,8962,8962,8962,8962,600,BTB
2017-04-07,8113,8113,8113,8113,800,BTB
2017-04-10,8679,8774,8679,8679,500,BTB
2017-04-11,8774,8774,8774,8774,0,BTB
2017-04-12,8774,7547,7547,8774,0,BTB
2017-04-13,7547,7547,7547,7547,0,BTB
2017-04-14,7547,7547,7547,7547,0,BTB
2017-04-17,8491,8491,8491,8491,100,BTB
2017-04-18,8491,8491,8491,8491,0,BTB
2017-04-19,8491,7264,7264,8491,0,BTB
2017-04-20,8302,8302,8302,8302,100,BTB
2017-04-21,8302,8302,8302,8302,0,BTB
2017-04-24,8302,8302,8302,8302,0,BTB
2017-04-25,9529,9529,9529,9529,100,BTB
2017-04-26,9529,9529,9529,9529,0,BTB
2017-04-27,9529,9529,9529,9529,0,BTB
2017-04-28,9529,9529,9529,9529,0,BTB
2017-05-03,9529,9529,9529,9529,0,BTB
2017-05-04,9529,9529,9529,9529,0,BTB
2017-05-05,9529,9529,9529,9529,0,BTB
2017-05-08,9529,9529,9529,9529,0,BTB
2017-05-09,9529,9529,9529,9529,0,BTB
2017-05-10,9529,9529,9529,9529,0,BTB
2017-05-11,9529,9529,9529,9529,0,BTB
2017-05-12,9529,9529,9529,9529,0,BTB
2017-05-15,9529,9529,9529,9529,0,BTB
2017-05-16,9529,9529,9529,9529,0,BTB
2017-05-17,9529,9529,9529,9529,0,BTB
2017-05-18,9529,9529,9529,9529,0,BTB
2017-05-19,9529,9529,9529,9529,0,BTB
2017-05-22,9529,9529,9529,9529,0,BTB
2017-05-23,8962,8962,8962,8962,100,BTB
2017-05-24,8962,8962,8962,8962,0,BTB
2017-05-25,8679,8679,8679,8679,100,BTB
2017-05-26,8679,8679,8679,8679,0,BTB
2017-05-29,8491,8491,8491,8491,5300,BTB
2017-05-30,9717,9717,9717,9717,100,BTB
2017-05-31,9717,9717,9717,9717,0,BTB
2017-06-01,9717,9717,9717,9717,0,BTB
2017-06-02,9717,9717,9717,9717,0,BTB
2017-06-05,9717,9717,9717,9717,0,BTB
2017-06-06,9717,9717,9717,9717,0,BTB
2017-06-07,9717,9717,9717,9717,0,BTB
2017-06-08,9717,9717,9717,9717,0,BTB
2017-06-09,9717,9717,9717,9717,0,BTB
2017-06-12,9717,9717,9717,9717,0,BTB
2017-06-13,9717,9717,9717,9717,0,BTB
