time,open,high,low,close,volume,ticker
2012-03-20,49080,51280,49080,49080,94690,BVH
2012-03-21,49080,50920,48710,50920,73570,BVH
2012-03-22,49810,53100,49810,50920,67150,BVH
2012-03-23,53100,53100,52740,53100,81240,BVH
2012-03-26,53100,54940,52740,54940,63690,BVH
2012-03-27,53480,54200,52370,52370,65000,BVH
2012-03-28,52740,53480,50170,53480,172250,BVH
2012-03-29,54200,54200,52370,52370,36680,BVH
2012-03-30,54940,54940,53480,54940,108570,BVH
2012-04-03,54940,54940,53840,54200,89600,BVH
2012-04-04,54940,54940,52010,52740,66560,BVH
2012-04-05,52010,54200,51280,53840,39630,BVH
2012-04-06,54200,54200,52740,54200,22710,BVH
2012-04-09,54200,54200,52740,54200,12970,BVH
2012-04-10,53480,54200,52740,52740,39830,BVH
2012-04-11,54200,54200,52370,53100,43750,BVH
2012-04-12,53100,53480,52370,53100,95740,BVH
2012-04-13,54200,54200,53480,54200,33550,BVH
2012-04-16,54940,54940,53100,53100,85690,BVH
2012-04-17,53100,53480,52370,52740,105770,BVH
2012-04-18,53100,53100,52010,52010,95710,BVH
2012-04-19,52010,53480,51650,53480,82580,BVH
2012-04-20,53840,53840,52740,52740,32480,BVH
2012-04-23,53100,53100,52010,52010,23860,BVH
2012-04-24,52010,52010,50530,50920,50540,BVH
2012-04-25,52740,53100,51280,52740,67740,BVH
2012-04-26,51650,52010,50530,50530,113200,BVH
2012-04-27,51650,51650,50170,50920,18430,BVH
2012-05-02,50530,51650,50530,50920,67260,BVH
2012-05-03,49810,50920,49440,50170,54920,BVH
2012-05-04,49810,50920,49810,50170,58300,BVH
2012-05-07,50530,52370,49810,52370,76330,BVH
2012-05-08,52010,52010,50530,50530,41330,BVH
2012-05-09,52010,52010,50170,50170,73500,BVH
2012-05-10,50170,50530,49080,49080,93060,BVH
2012-05-11,49810,49810,48350,48350,93740,BVH
2012-05-14,47250,48350,46150,46150,75250,BVH
2012-05-15,43950,45780,43950,43950,198550,BVH
2012-05-16,44320,44320,41750,41750,517700,BVH
2012-05-17,41750,42480,39920,39920,436240,BVH
2012-05-18,39920,39920,38090,39190,486970,BVH
2012-05-21,41020,41020,39920,41020,996590,BVH
2012-05-22,41750,42110,39920,40290,209070,BVH
2012-05-23,40290,40290,38830,38830,108330,BVH
2012-05-24,38830,39190,36990,37350,371190,BVH
2012-05-25,38450,39190,38090,39190,210970,BVH
2012-05-28,40840,40840,38210,38210,263660,BVH
2012-05-29,38210,38210,36560,36720,382500,BVH
2012-05-30,38210,38210,37090,37240,380280,BVH
2012-05-31,37170,38590,36720,36940,237790,BVH
2012-06-01,37470,38210,37170,37470,205770,BVH
2012-06-04,38210,38210,35970,35970,344760,BVH
2012-06-05,34910,36430,34910,36030,282560,BVH
2012-06-06,35970,37090,35970,37010,117670,BVH
2012-06-07,37310,38590,37170,38590,593680,BVH
2012-06-08,38590,39340,37840,37840,253590,BVH
2012-06-11,37840,38590,37170,37170,248410,BVH
2012-06-12,37090,37840,36560,36560,103780,BVH
2012-06-13,36870,36870,36190,36350,149270,BVH
2012-06-14,36350,37010,36190,36190,216400,BVH
2012-06-15,36190,37840,36190,37840,263650,BVH
2012-06-18,38970,39340,37840,37840,435640,BVH
2012-06-19,37840,38210,37010,37090,124780,BVH
2012-06-20,37390,37390,36870,37240,55510,BVH
2012-06-21,37090,37310,36870,36870,90070,BVH
2012-06-22,36480,37090,36110,36350,170350,BVH
2012-06-25,36350,36560,35210,35210,171770,BVH
2012-06-26,34840,35210,33490,33490,357970,BVH
2012-06-27,33720,33880,32600,32600,183550,BVH
2012-06-28,32220,32369,31390,31700,221250,BVH
2012-06-29,33270,33270,32220,32890,213140,BVH
2012-07-02,33120,33200,32439,32439,79110,BVH
2012-07-03,32220,32369,31320,31390,93290,BVH
2012-07-04,31020,32150,31020,31320,77530,BVH
2012-07-05,30940,32000,30940,32000,85890,BVH
2012-07-06,32000,33270,31920,32670,146790,BVH
2012-07-09,32670,32670,31320,31320,71880,BVH
2012-07-10,31020,32000,30730,30730,121830,BVH
2012-07-11,31250,31250,30730,30870,96650,BVH
2012-07-12,30870,31180,30650,31020,127640,BVH
2012-07-13,31020,32520,31020,32369,199020,BVH
2012-07-16,32299,32369,31550,31550,98250,BVH
2012-07-17,31470,32670,31470,32220,382030,BVH
2012-07-18,32220,32670,32000,32670,534900,BVH
2012-07-19,32670,34250,32600,34250,1753130,BVH
2012-07-20,35900,35900,35740,35900,1055850,BVH
2012-07-23,35970,37240,35070,35070,424380,BVH
2012-07-24,34770,34770,33350,33350,420680,BVH
2012-07-25,32439,32970,31840,31840,521740,BVH
2012-07-26,31840,32520,31320,31620,325910,BVH
2012-07-27,31620,32150,30730,30870,377410,BVH
2012-07-30,30790,31180,30650,30870,273030,BVH
2012-07-31,30870,31620,30870,30940,260230,BVH
2012-08-01,31020,31020,30120,30420,390660,BVH
2012-08-02,30490,30940,30490,30570,195860,BVH
2012-08-03,30570,31100,30490,30570,251280,BVH
2012-08-06,30730,31770,30730,31320,355110,BVH
2012-08-07,31390,31390,30650,30940,361520,BVH
2012-08-08,31320,31320,30730,30790,144110,BVH
2012-08-09,30790,32299,30790,31620,490140,BVH
2012-08-10,31700,32369,31470,31700,304610,BVH
2012-08-13,31550,31620,31180,31250,190240,BVH
2012-08-14,31180,31700,31180,31390,168970,BVH
2012-08-15,31470,31620,31100,31180,264170,BVH
2012-08-16,31100,31320,31020,31100,222650,BVH
2012-08-17,31100,31250,31020,31100,280650,BVH
2012-08-20,31470,31770,31180,31390,196980,BVH
2012-08-21,31100,31100,29900,29900,516090,BVH
2012-08-22,28470,29370,28470,28470,725320,BVH
2012-08-23,27130,27190,27060,27060,234960,BVH
2012-08-24,25700,27650,25700,26300,959400,BVH
2012-08-27,25930,26220,25030,25030,258590,BVH
2012-08-28,23910,24510,23830,23830,677010,BVH
2012-08-29,24350,24650,23830,24200,675580,BVH
2012-08-30,24120,24430,23830,23830,666760,BVH
2012-08-31,24120,24120,22850,22850,616350,BVH
2012-09-04,22850,23600,22850,23150,523210,BVH
2012-09-05,23380,23380,22020,22100,602080,BVH
2012-09-06,21890,22020,21060,21060,640700,BVH
2012-09-07,21200,21440,20310,20610,462430,BVH
2012-09-10,20530,20610,19630,19630,475920,BVH
2012-09-11,18660,19400,18660,18730,538900,BVH
2012-09-12,18960,19630,18960,19630,119080,BVH
2012-09-13,20610,20610,20610,20610,101610,BVH
2012-09-14,21570,21570,21570,21570,98900,BVH
2012-09-17,22630,22630,22630,22630,70300,BVH
2012-09-18,23750,23750,21730,22480,2119060,BVH
2012-09-19,22850,23600,22780,23600,1352460,BVH
2012-09-20,24730,24730,24510,24730,2017460,BVH
2012-09-21,25700,25930,24730,25930,2948320,BVH
2012-09-24,25100,25480,24650,24650,686430,BVH
2012-09-25,24200,24650,23460,23460,528420,BVH
2012-09-26,23150,24570,23150,24350,464820,BVH
2012-09-27,24200,24730,24120,24430,352850,BVH
2012-09-28,24730,24730,24280,24280,347460,BVH
2012-10-01,24280,24280,23080,23080,432260,BVH
2012-10-02,23080,23830,21960,22100,340030,BVH
2012-10-03,22400,23150,22100,22710,212050,BVH
2012-10-04,22340,22710,22100,22100,161650,BVH
2012-10-05,22100,22480,22020,22400,212020,BVH
2012-10-08,22340,23150,22340,23080,184990,BVH
2012-10-09,23080,23670,22850,23460,537280,BVH
2012-10-10,23300,23980,23150,23670,154780,BVH
2012-10-11,23980,24430,23600,23670,170900,BVH
2012-10-12,23600,23600,23300,23300,264330,BVH
2012-10-15,23600,23600,22630,22630,221400,BVH
2012-10-16,23080,23530,22710,23530,137440,BVH
2012-10-17,23750,23750,22930,22930,242960,BVH
2012-10-18,23010,23460,23010,23010,183020,BVH
2012-10-19,23010,23230,22400,22780,268650,BVH
2012-10-22,22780,23380,22550,23300,168230,BVH
2012-10-23,23300,23670,23230,23380,212200,BVH
2012-10-24,23460,23460,23080,23230,122040,BVH
2012-10-25,22930,23080,22710,22710,168710,BVH
2012-10-26,23150,23150,22710,23010,99800,BVH
2012-10-29,22710,23150,22710,22850,60190,BVH
2012-10-30,22850,22850,22480,22480,152930,BVH
2012-10-31,22480,22710,22260,22480,147450,BVH
2012-11-01,22780,22780,22340,22340,48040,BVH
2012-11-02,21360,21510,21280,21280,232990,BVH
2012-11-05,20310,21130,20240,20240,295680,BVH
2012-11-06,20240,20450,19550,19790,233980,BVH
2012-11-07,20160,20750,20000,20750,419970,BVH
2012-11-08,21510,21730,21280,21730,587060,BVH
2012-11-09,21570,22020,21440,21440,175980,BVH
2012-11-12,21440,21570,21060,21360,350640,BVH
2012-11-13,21200,22180,21130,21360,451610,BVH
2012-11-14,21440,21810,21280,21280,111430,BVH
2012-11-15,21440,21440,20680,20750,362580,BVH
2012-11-16,21200,21360,20980,20980,454660,BVH
2012-11-19,20980,21200,20830,20830,173440,BVH
2012-11-20,20830,21060,20680,20830,328630,BVH
2012-11-21,20910,20980,20680,20750,124400,BVH
2012-11-22,20750,20980,20610,20750,178640,BVH
2012-11-23,20830,21360,20750,20830,378170,BVH
2012-11-26,20830,20980,20680,20830,156030,BVH
2012-11-27,20750,20980,20750,20750,97650,BVH
2012-11-28,20750,20750,20530,20530,219890,BVH
2012-11-29,20830,20830,20610,20610,183590,BVH
2012-11-30,20610,20750,20450,20450,190570,BVH
2012-12-03,20530,20530,20000,20530,356890,BVH
2012-12-04,20450,21200,20380,21130,468960,BVH
2012-12-05,21360,21440,21130,21200,247370,BVH
2012-12-06,20910,21200,20910,20980,136540,BVH
2012-12-07,20980,21060,20830,20830,176960,BVH
2012-12-10,20910,21360,20910,21130,224040,BVH
2012-12-11,21200,22100,21130,21890,679860,BVH
2012-12-12,22100,22930,21730,22930,593250,BVH
2012-12-13,23830,24050,23600,23830,699850,BVH
2012-12-14,23750,24570,23750,24050,585350,BVH
2012-12-17,23080,24050,23080,23150,785690,BVH
2012-12-18,23010,23600,22400,23080,366000,BVH
2012-12-19,24200,24200,24200,24200,349340,BVH
2012-12-20,25400,25400,25330,25400,671180,BVH
