time,open,high,low,close,volume,ticker
2018-05-24,15310,15310,15310,15310,1000,C22
2018-05-25,15310,15310,15310,15310,0,C22
2018-05-28,15310,15310,15310,15310,0,C22
2018-05-29,15310,15310,15310,15310,0,C22
2018-05-30,15310,15310,15310,15310,0,C22
2018-05-31,15310,15310,15310,15310,0,C22
2018-06-01,15310,15310,15310,15310,0,C22
2018-06-04,15310,15310,15310,15310,0,C22
2018-06-05,15310,15310,15310,15310,0,C22
2018-06-06,15310,15310,15310,15310,0,C22
2018-06-07,15310,15310,15310,15310,0,C22
2018-06-08,15310,15310,15310,15310,0,C22
2018-06-11,15310,15310,15310,15310,0,C22
2018-06-12,15310,15310,15310,15310,0,C22
2018-06-13,15310,15310,15310,15310,0,C22
2018-06-14,15310,15310,15310,15310,0,C22
2018-06-15,15310,15310,15310,15310,0,C22
2018-06-18,15310,15310,15310,15310,0,C22
2018-06-19,15310,15310,15310,15310,0,C22
2018-06-20,15310,15310,15310,15310,0,C22
2018-06-21,15310,15310,15310,15310,0,C22
2018-06-22,15310,15310,15310,15310,0,C22
2018-06-25,15310,15310,15310,15310,0,C22
2018-06-26,15310,15310,15310,15310,0,C22
2018-06-27,15310,15310,15310,15310,0,C22
2018-06-28,15310,15310,15310,15310,0,C22
2018-06-29,15310,15310,15310,15310,0,C22
2018-07-02,15310,15310,15310,15310,0,C22
2018-07-03,15310,15310,15310,15310,0,C22
2018-07-04,15310,15310,15310,15310,0,C22
2018-07-05,15310,15310,15310,15310,0,C22
2018-07-06,15310,15310,15310,15310,0,C22
2018-07-09,15310,15310,15310,15310,0,C22
2018-07-10,15310,15310,15310,15310,0,C22
2018-07-11,15310,15310,15310,15310,0,C22
2018-07-12,15310,15310,15310,15310,0,C22
2018-07-13,15310,15310,15310,15310,0,C22
2018-07-16,15310,15310,15310,15310,0,C22
2018-07-17,15310,15310,15310,15310,0,C22
2018-07-18,15310,15310,15310,15310,0,C22
2018-07-19,15310,15310,15310,15310,0,C22
2018-07-20,15310,15310,15310,15310,0,C22
2018-07-23,15310,15310,15310,15310,0,C22
2018-07-24,15310,15310,15310,15310,0,C22
2018-07-25,15310,15310,15310,15310,0,C22
2018-07-26,15310,15310,15310,15310,0,C22
2018-07-27,15310,15310,15310,15310,0,C22
2018-07-30,15310,15310,15310,15310,0,C22
2018-07-31,15310,15310,15310,15310,0,C22
2018-08-01,15310,15310,15310,15310,0,C22
2018-08-02,15310,15310,15310,15310,0,C22
2018-08-03,15310,15310,15310,15310,0,C22
2018-08-06,15310,15310,15310,15310,0,C22
2018-08-07,15310,15310,15310,15310,0,C22
2018-08-08,15310,15310,15310,15310,0,C22
2018-08-09,15310,15310,15310,15310,0,C22
2018-08-10,15310,15310,15310,15310,0,C22
2018-08-13,15310,15310,15310,15310,0,C22
2018-08-14,15310,15310,15310,15310,0,C22
2018-08-15,15310,15310,15310,15310,0,C22
2018-08-16,15310,15310,15310,15310,0,C22
2018-08-17,15310,15310,15310,15310,0,C22
2018-08-20,15310,15310,15310,15310,0,C22
2018-08-21,15310,15310,15310,15310,0,C22
2018-08-22,15310,15310,15310,15310,0,C22
2018-08-23,15310,15310,15310,15310,0,C22
2018-08-24,15310,15310,15310,15310,0,C22
2018-08-27,15310,15310,15310,15310,0,C22
2018-08-28,15310,15310,15310,15310,0,C22
2018-08-29,15310,15310,15310,15310,0,C22
2018-08-30,15310,15310,15310,15310,0,C22
2018-08-31,15310,15310,15310,15310,0,C22
2018-09-04,15310,15310,15310,15310,0,C22
2018-09-05,15310,15310,15310,15310,0,C22
2018-09-06,15310,15310,15310,15310,0,C22
2018-09-07,15310,15310,15310,15310,0,C22
2018-09-10,15310,15310,15310,15310,0,C22
2018-09-11,15310,15310,15310,15310,0,C22
2018-09-12,15310,15310,15310,15310,0,C22
2018-09-13,15310,15310,15310,15310,0,C22
2018-09-14,15310,15310,15310,15310,0,C22
2018-09-17,15310,15310,15310,15310,0,C22
2018-09-18,15310,15310,15310,15310,0,C22
2018-09-19,15310,15310,15310,15310,0,C22
2018-09-20,15310,15310,15310,15310,0,C22
2018-09-21,15310,15310,15310,15310,0,C22
2018-09-24,15310,15310,15310,15310,0,C22
2018-09-25,15310,15310,15310,15310,0,C22
2018-09-26,15310,15310,15310,15310,0,C22
2018-09-27,15310,15310,15310,15310,0,C22
2018-09-28,15310,15310,15310,15310,0,C22
2018-10-01,15310,15310,15310,15310,0,C22
2018-10-02,16270,16270,16270,16270,1000,C22
2018-10-03,16270,16270,16270,16270,0,C22
2018-10-04,16270,16270,16270,16270,0,C22
2018-10-05,16270,16270,16270,16270,0,C22
2018-10-08,16270,16270,16270,16270,0,C22
2018-10-09,16270,16270,16270,16270,0,C22
2018-10-10,16270,16270,16270,16270,0,C22
2018-10-11,16270,16270,16270,16270,0,C22
2018-10-12,16270,16270,16270,16270,0,C22
2018-10-15,16270,16270,16270,16270,0,C22
2018-10-16,16270,16270,16270,16270,0,C22
2018-10-17,16270,16270,16270,16270,0,C22
2018-10-18,16270,16270,16270,16270,0,C22
2018-10-19,16270,16270,16270,16270,0,C22
2018-10-22,16270,16270,16270,16270,0,C22
2018-10-23,16270,16270,16270,16270,0,C22
2018-10-24,16270,16270,16270,16270,0,C22
2018-10-25,18700,18700,18700,18700,100,C22
2018-10-26,18700,18700,18700,18700,0,C22
2018-10-29,18700,18700,18700,18700,0,C22
2018-10-30,18700,18700,18700,18700,0,C22
2018-10-31,18700,18700,18700,18700,0,C22
2018-11-01,18700,18700,18700,18700,0,C22
2018-11-02,18700,18700,18700,18700,0,C22
2018-11-05,18700,18700,18700,18700,0,C22
2018-11-06,18700,18700,18700,18700,0,C22
