time,open,high,low,close,volume,ticker
2012-03-20,752,752,752,752,43200,CAD
2012-03-21,752,752,752,752,13650,CAD
2012-03-22,658,658,658,658,4210,CAD
2012-03-23,752,752,752,752,6600,CAD
2012-03-26,847,847,847,847,20900,CAD
2012-03-27,941,941,941,941,102590,CAD
2012-03-28,1035,1035,1035,1035,72720,CAD
2012-03-29,941,941,941,941,28380,CAD
2012-03-30,847,847,847,847,22290,CAD
2012-04-03,941,941,941,941,17640,CAD
2012-04-04,847,847,847,847,3830,CAD
2012-04-05,847,847,847,847,18470,CAD
2012-04-06,752,752,752,752,1320,CAD
2012-04-09,752,752,752,752,43170,CAD
2012-04-10,847,847,847,847,28640,CAD
2012-04-11,941,941,941,941,2470,CAD
2012-04-12,847,847,847,847,7460,CAD
2012-04-13,752,752,752,752,30110,CAD
2012-04-16,847,847,847,847,6210,CAD
2012-04-17,847,847,847,847,18360,CAD
2012-04-18,752,752,752,752,11750,CAD
2012-04-19,752,752,752,752,26480,CAD
2012-04-20,752,752,752,752,17030,CAD
2012-04-23,847,847,847,847,24550,CAD
2012-04-24,752,752,752,752,17030,CAD
2012-04-25,847,847,847,847,57760,CAD
2012-04-26,847,847,847,847,10880,CAD
2012-04-27,847,847,847,847,3760,CAD
2012-05-02,847,847,847,847,18500,CAD
2012-05-03,847,847,847,847,18080,CAD
2012-05-04,752,752,752,752,67630,CAD
2012-05-07,658,658,658,658,99940,CAD
2012-05-08,658,658,658,658,48220,CAD
2012-05-09,658,658,658,658,31700,CAD
2012-05-10,752,752,752,752,35060,CAD
2012-05-11,752,752,752,752,48930,CAD
2012-05-14,752,752,752,752,42520,CAD
2012-05-15,658,658,658,658,14410,CAD
2012-05-16,658,658,658,658,15190,CAD
2012-05-17,658,658,658,658,14000,CAD
2012-05-18,564,564,564,564,43870,CAD
2012-05-21,658,658,658,658,9470,CAD
2012-05-22,658,658,658,658,24860,CAD
2012-05-23,658,658,658,658,4700,CAD
2012-05-24,658,658,658,658,22000,CAD
2012-05-25,658,658,658,658,25190,CAD
2012-05-28,752,752,752,752,80020,CAD
2012-05-29,847,847,847,847,44380,CAD
2012-05-30,941,941,941,941,84620,CAD
2012-05-31,1035,1035,1035,1035,180150,CAD
2012-06-01,1035,1035,1035,1035,179590,CAD
2012-11-01,1317,1411,1317,1317,1800,CAD
2012-11-02,1411,1411,1411,1317,100,CAD
2012-11-05,1505,1505,1505,1411,100,CAD
2012-11-06,1411,1411,1411,1505,922235,CAD
2012-11-07,1317,1317,1317,1411,200,CAD
2012-11-08,1223,1411,1223,1411,11000,CAD
2012-11-09,1411,1411,1411,1317,200,CAD
2012-11-12,1317,1411,1317,1317,10300,CAD
2012-11-13,1317,1411,1317,1317,2200,CAD
2012-11-14,1317,1411,1317,1411,400,CAD
2012-11-15,1317,1317,1317,1317,0,CAD
2012-11-16,1317,1317,1317,1317,0,CAD
2012-11-19,1317,1411,1317,1317,1200,CAD
2012-11-20,1317,1317,1317,1317,0,CAD
2012-11-21,1317,1317,1317,1317,0,CAD
2012-11-22,1317,1317,1317,1317,1200,CAD
2012-11-23,1317,1317,1317,1317,0,CAD
2012-11-26,1317,1317,1317,1317,0,CAD
2012-11-27,1317,1317,1317,1317,0,CAD
2012-11-28,1317,1317,1317,1317,0,CAD
2012-11-29,1317,1317,1317,1317,0,CAD
2012-11-30,1317,1317,1317,1317,0,CAD
2012-12-03,1223,1223,1223,1223,1600,CAD
2012-12-04,1223,1317,1223,1317,1500,CAD
2012-12-05,1223,1223,1223,1223,0,CAD
2012-12-06,1317,1317,1317,1317,200,CAD
2012-12-07,1317,1317,1317,1317,0,CAD
2012-12-10,1223,1317,1223,1317,2500,CAD
2012-12-11,1317,1317,1317,1317,800,CAD
2012-12-12,1223,1317,1223,1317,1900,CAD
2012-12-13,1223,1223,1223,1223,100,CAD
2012-12-14,1223,1223,1223,1223,200,CAD
2012-12-17,1317,1317,1317,1317,200,CAD
2012-12-18,1317,1317,1317,1317,0,CAD
2012-12-19,1317,1317,1317,1317,0,CAD
2012-12-20,1317,1317,1317,1317,0,CAD
2012-12-21,1317,1317,1317,1317,0,CAD
2012-12-24,1411,1411,1411,1411,100,CAD
2012-12-25,1505,1505,1317,1317,300,CAD
2012-12-26,1411,1411,1411,1411,0,CAD
2012-12-27,1411,1411,1411,1411,0,CAD
2012-12-28,1505,1505,1505,1505,100,CAD
2013-01-02,1505,1505,1505,1505,0,CAD
2013-01-03,1505,1505,1505,1505,0,CAD
2013-01-04,1505,1505,1505,1505,0,CAD
2013-01-07,1505,1505,1505,1505,0,CAD
2013-01-08,1505,1505,1505,1505,0,CAD
2013-01-09,1411,1411,1411,1411,100,CAD
2013-01-10,1317,1317,1317,1317,100,CAD
2013-01-11,1411,1411,1223,1223,400,CAD
2013-01-14,1223,1223,1223,1223,300,CAD
2013-01-15,1129,1129,1129,1129,1500,CAD
2013-01-16,1035,1129,1035,1129,2700,CAD
2013-01-17,1129,1129,941,941,3000,CAD
2013-01-18,941,1035,941,1035,400,CAD
