time,open,high,low,close,volume,ticker
2012-03-20,14860,16980,14860,16980,7800,CAN
2012-03-21,14910,16630,14910,16630,24300,CAN
2012-03-22,15910,15910,15910,15910,16000,CAN
2012-03-23,16910,16910,15500,16090,25500,CAN
2012-03-26,16740,16810,16210,16210,1700,CAN
2012-03-27,16570,17330,16500,16500,34300,CAN
2012-03-28,17390,17390,17390,17390,400,CAN
2012-03-29,17390,18220,17100,17150,9100,CAN
2012-03-30,18220,18220,16040,18100,1500,CAN
2012-04-03,18390,18390,17100,18390,400,CAN
2012-04-04,18510,18800,18510,18690,9300,CAN
2012-04-05,18690,18690,18690,18690,0,CAN
2012-04-06,17390,18690,17390,18690,2100,CAN
2012-04-09,17390,18630,17390,18630,400,CAN
2012-04-10,18630,18630,18630,18630,0,CAN
2012-04-11,18630,19920,18280,19920,3700,CAN
2012-04-12,18750,18750,18750,18750,2900,CAN
2012-04-13,18750,19040,17450,19040,2500,CAN
2012-04-16,18800,18800,18800,18800,0,CAN
2012-04-17,19150,19150,19150,19150,100,CAN
2012-04-18,19450,19450,19450,19450,9000,CAN
2012-04-19,18280,19340,18280,19340,600,CAN
2012-04-20,18040,19150,18040,19150,1100,CAN
2012-04-23,18980,18980,18980,18980,700,CAN
2012-04-24,17680,18870,17680,18870,200,CAN
2012-04-25,18870,20040,18870,20040,1700,CAN
2012-04-26,19450,19450,19450,19450,0,CAN
2012-04-27,18570,19450,18570,19450,1100,CAN
2012-05-02,19040,19450,18150,19450,1300,CAN
2012-05-03,18570,19150,17270,17740,5300,CAN
2012-05-04,18570,18570,18280,18340,2900,CAN
2012-05-07,18570,18570,18390,18390,200,CAN
2012-05-08,18510,18570,18510,18570,1200,CAN
2012-05-09,18450,18570,17450,17450,8000,CAN
2012-05-10,18280,18280,18280,18280,100,CAN
2012-05-11,17040,17390,17040,17390,400,CAN
2012-05-14,17100,17100,16500,17100,1900,CAN
2012-05-15,18280,18280,18280,18280,200,CAN
2012-05-16,18280,18280,18280,18280,0,CAN
2012-05-17,18280,18280,18280,18280,200,CAN
2012-05-18,17640,17640,17010,17010,9900,CAN
2012-05-21,17010,17010,17010,17010,0,CAN
2012-05-22,17010,17010,16390,16390,800,CAN
2012-05-23,16129,16129,16129,16129,100,CAN
2012-05-24,17210,17210,17210,17210,100,CAN
2012-05-25,18390,18390,18390,18390,400,CAN
2012-05-28,18900,18900,18900,18900,100,CAN
2012-05-29,19530,19530,19530,19530,100,CAN
2012-05-30,20110,20110,20110,20110,100,CAN
2012-05-31,18970,20110,18900,20110,700,CAN
2012-06-01,20110,20480,20110,20480,500,CAN
2012-06-04,20480,20480,20480,20480,0,CAN
2012-06-05,20480,20480,20480,20480,0,CAN
2012-06-06,19100,19100,19100,19100,100,CAN
2012-06-07,17770,20160,17770,20160,400,CAN
2012-06-08,20160,20160,20160,20160,200,CAN
2012-06-11,20040,20040,20040,20040,2100,CAN
2012-06-12,20040,20040,20040,20040,0,CAN
2012-06-13,20040,20040,20040,20040,0,CAN
2012-06-14,20040,20040,20040,20040,0,CAN
2012-06-15,18650,20110,18650,20110,200,CAN
2012-06-18,20350,20350,20350,20350,100,CAN
2012-06-19,20350,20350,20350,20350,0,CAN
2012-06-20,18970,18970,18970,18970,500,CAN
2012-06-21,19860,19860,17770,19860,300,CAN
2012-06-22,19150,19150,19150,19150,0,CAN
2012-06-25,19150,19150,19150,19150,0,CAN
2012-06-26,19860,19860,17890,17890,10600,CAN
