time,open,high,low,close,volume,ticker
2018-03-23,3360,3360,3360,3360,0,CAT
2018-03-26,4700,4700,2150,2150,24900,CAT
2018-03-27,4180,4180,4180,4180,0,CAT
2018-03-28,3600,3600,3600,3600,13012,CAT
2018-03-29,3600,3600,3600,3600,0,CAT
2018-03-30,3120,3360,3120,3360,22400,CAT
2018-04-02,3320,3320,3320,3320,0,CAT
2018-04-03,3320,3320,3320,3320,0,CAT
2018-04-04,3320,3320,3320,3320,0,CAT
2018-04-05,3320,3320,3320,3320,0,CAT
2018-04-06,3320,3320,3320,3320,0,CAT
2018-04-09,3320,3320,3320,3320,0,CAT
2018-04-10,3320,3320,3320,3320,0,CAT
2018-04-11,3320,3320,3320,3320,2,CAT
2018-04-12,3320,3320,3320,3320,0,CAT
2018-04-13,3320,3320,3320,3320,0,CAT
2018-04-16,3320,3320,3320,3320,0,CAT
2018-04-17,3320,3320,3320,3320,0,CAT
2018-04-18,3320,3320,3320,3320,0,CAT
2018-04-19,3320,3320,3320,3320,0,CAT
2018-04-20,3320,3320,3320,3320,0,CAT
2018-04-23,3320,3320,3320,3320,0,CAT
2018-04-24,3320,3320,3320,3320,0,CAT
2018-04-26,3320,3320,3320,3320,0,CAT
2018-04-27,3320,3320,3320,3320,0,CAT
2018-05-02,3320,3320,3320,3320,0,CAT
2018-05-03,3320,3320,3320,3320,0,CAT
2018-05-04,3320,3320,3320,3320,0,CAT
2018-05-07,3320,3320,3320,3320,0,CAT
2018-05-08,3320,3320,3320,3320,0,CAT
2018-05-09,3320,3320,3320,3320,0,CAT
2018-05-10,3320,3320,3320,3320,0,CAT
2018-05-11,3320,3320,3320,3320,0,CAT
2018-05-14,3320,3320,3320,3320,0,CAT
2018-05-15,3320,3320,3320,3320,0,CAT
2018-05-16,3320,3320,3320,3320,0,CAT
2018-05-17,3320,3320,3320,3320,0,CAT
2018-05-18,3320,3320,3320,3320,0,CAT
2018-05-21,3320,3320,3320,3320,0,CAT
2018-05-22,3320,3320,3320,3320,0,CAT
2018-05-23,3320,3320,3320,3320,0,CAT
2018-05-24,3320,3320,3320,3320,0,CAT
2018-05-25,3320,3320,3320,3320,0,CAT
2018-05-28,3320,3320,3320,3320,0,CAT
2018-05-29,3320,3320,3320,3320,0,CAT
2018-05-30,3320,3320,3320,3320,0,CAT
2018-05-31,3320,3320,3320,3320,0,CAT
2018-06-01,3320,3320,3320,3320,0,CAT
2018-06-04,3320,3320,3320,3320,0,CAT
2018-06-05,3320,3320,3320,3320,0,CAT
2018-06-06,3320,3320,3320,3320,0,CAT
2018-06-07,3320,3320,3320,3320,0,CAT
2018-06-08,3320,3320,3320,3320,0,CAT
2018-06-11,3320,3320,3320,3320,0,CAT
2018-06-12,3320,3320,3320,3320,0,CAT
2018-06-13,3320,3320,3320,3320,0,CAT
2018-06-14,3320,3320,3320,3320,0,CAT
2018-06-15,3320,3320,3320,3320,0,CAT
2018-06-18,3320,3320,3320,3320,0,CAT
2018-06-19,3320,3320,3320,3320,0,CAT
2018-06-20,3320,3320,3320,3320,0,CAT
2018-06-21,3320,3320,3320,3320,0,CAT
2018-06-22,3320,3320,3320,3320,0,CAT
2018-06-25,3320,3320,3320,3320,0,CAT
2018-06-26,3320,3320,3320,3320,0,CAT
2018-06-27,3320,3320,3320,3320,0,CAT
2018-06-28,3320,3320,3320,3320,0,CAT
2018-06-29,3320,3320,3320,3320,0,CAT
2018-07-02,3320,3320,3320,3320,0,CAT
2018-07-03,3320,3320,3320,3320,0,CAT
2018-07-04,3320,3320,3320,3320,0,CAT
2018-07-05,3320,3320,3320,3320,0,CAT
2018-07-06,3320,3320,3320,3320,0,CAT
2018-07-09,3320,3320,3320,3320,0,CAT
2018-07-10,3320,3320,3320,3320,0,CAT
2018-07-11,3320,3320,3320,3320,0,CAT
2018-07-12,3320,3320,3320,3320,0,CAT
2018-07-13,3320,3320,3320,3320,0,CAT
2018-07-16,3320,3320,3320,3320,0,CAT
2018-07-17,3320,3320,3320,3320,0,CAT
2018-07-18,3320,3320,3320,3320,0,CAT
2018-07-19,3320,3320,3320,3320,0,CAT
2018-07-20,3320,3320,3320,3320,0,CAT
2018-07-23,3320,3320,3320,3320,0,CAT
2018-07-24,3320,3320,3320,3320,0,CAT
2018-07-25,3840,3840,3840,3840,15000,CAT
2018-07-26,3840,3840,3840,3840,0,CAT
2018-07-27,3840,3840,3840,3840,0,CAT
2018-07-30,3840,3840,3840,3840,0,CAT
2018-07-31,3840,3840,3840,3840,0,CAT
2018-08-01,3840,3840,3840,3840,0,CAT
2018-08-02,3840,3840,3840,3840,0,CAT
2018-08-03,3360,3360,3360,3360,2800,CAT
2018-08-06,2920,2920,2890,2890,23000,CAT
2018-08-07,2890,2890,2890,2890,0,CAT
2018-08-08,2890,2890,2890,2890,0,CAT
2018-08-09,2890,2890,2890,2890,0,CAT
2018-08-10,2890,2890,2890,2890,0,CAT
2018-08-13,2690,2690,2640,2640,3000,CAT
2018-08-14,2640,2640,2640,2640,0,CAT
2018-08-15,2450,2450,2410,2410,3900,CAT
2018-08-16,2410,2410,2410,2410,0,CAT
2018-08-17,2410,2410,2410,2410,0,CAT
2018-08-20,2410,2410,2410,2410,0,CAT
2018-08-21,2410,2410,2410,2410,0,CAT
2018-08-22,2410,2410,2300,2350,43500,CAT
2018-08-23,2350,2350,2300,2300,4600,CAT
2018-08-24,2410,2410,2410,2410,100,CAT
2018-08-27,2410,2410,2410,2410,0,CAT
2018-08-28,2300,2350,2300,2350,14300,CAT
2018-08-29,2350,2350,2350,2350,22000,CAT
2018-08-30,2350,2350,2350,2350,5000,CAT
2018-08-31,2350,2350,2300,2300,3700,CAT
2018-09-04,2300,2300,2300,2300,5000,CAT
2018-09-05,2300,2300,2300,2300,11100,CAT
2018-09-06,2300,2300,2300,2300,1000,CAT
2018-09-07,2300,2300,2300,2300,0,CAT
2018-09-10,2300,2300,2300,2300,11200,CAT
2018-09-11,2300,2300,2300,2300,500,CAT
2018-09-12,2120,2120,2120,2120,300,CAT
2018-09-13,2300,2300,2300,2300,8000,CAT
2018-09-14,2300,2300,2300,2300,5000,CAT
2018-09-17,2210,2210,2210,2210,100,CAT
2018-09-18,2300,2300,2300,2300,5000,CAT
2018-09-19,2300,2300,2150,2150,9200,CAT
2018-09-20,2300,2300,2300,2300,150,CAT
2018-09-21,2300,2300,2210,2210,3550,CAT
2018-09-24,2300,2490,2300,2490,7900,CAT
2018-09-25,2350,2350,2350,2350,17100,CAT
2018-09-26,2150,2300,2150,2300,5100,CAT
2018-09-27,2260,2350,2260,2300,41700,CAT
2018-09-28,2300,2410,2300,2300,55500,CAT
2018-10-01,2350,2350,2300,2300,27100,CAT
2018-10-02,2300,2410,2300,2410,24400,CAT
2018-10-03,2410,2410,2410,2410,15800,CAT
2018-10-04,2410,2750,2410,2750,24600,CAT
2018-10-05,2890,2890,2890,2890,23000,CAT
2018-10-08,3320,3320,3320,3320,30900,CAT
2018-10-09,3460,3460,2830,2830,9900,CAT
2018-10-10,2830,2830,2640,2640,9100,CAT
2018-10-11,2690,2750,2690,2750,3700,CAT
2018-10-12,2640,2750,2600,2750,2100,CAT
2018-10-15,2690,2780,2690,2780,1100,CAT
2018-10-16,2780,2780,2780,2780,3800,CAT
2018-10-17,2780,2780,2780,2780,1900,CAT
2018-10-18,2780,2780,2780,2780,5400,CAT
2018-10-19,2690,2690,2640,2640,3000,CAT
2018-10-22,2780,2830,2750,2830,8400,CAT
2018-10-23,2490,2490,2490,2490,100,CAT
2018-10-24,2780,2830,2780,2830,4700,CAT
2018-10-25,3170,3170,3170,3170,100,CAT
2018-10-26,3460,3460,3360,3360,16300,CAT
2018-10-29,3360,3360,2890,2890,25800,CAT
2018-10-30,3120,3120,2980,3070,13500,CAT
2018-10-31,3360,3360,3360,3360,100,CAT
2018-11-01,3120,3170,2980,3120,9200,CAT
2018-11-02,3120,3120,3120,3120,12000,CAT
2018-11-05,3220,3220,3220,3220,4700,CAT
2018-11-06,3170,3220,3120,3220,13500,CAT
