time,open,high,low,close,volume,ticker
2017-06-20,7820,7820,7820,7820,0,CBS
2017-06-21,7820,7820,7820,7820,0,CBS
2017-06-22,7820,7820,7820,7820,0,CBS
2017-06-23,7820,7820,7820,7820,0,CBS
2017-06-26,7820,7820,7820,7820,0,CBS
2017-06-27,7820,7820,7820,7820,0,CBS
2017-06-28,7820,7820,7820,7820,0,CBS
2017-06-29,7820,7820,7820,7820,0,CBS
2017-06-30,7820,7820,7820,7820,0,CBS
2017-07-03,7820,7820,7820,7820,0,CBS
2017-07-04,7820,7820,7820,7820,0,CBS
2017-07-05,7820,7820,7820,7820,0,CBS
2017-07-06,7820,7820,7820,7820,0,CBS
2017-07-07,7820,7820,7820,7820,0,CBS
2017-07-10,7820,7820,7820,7820,0,CBS
2017-07-11,7820,7820,7820,7820,0,CBS
2017-07-12,7820,7820,7820,7820,0,CBS
2017-07-13,7820,7820,7820,7820,0,CBS
2017-07-14,7820,7820,7820,7820,0,CBS
2017-07-17,7820,7820,7820,7820,0,CBS
2017-07-18,7820,7820,7820,7820,0,CBS
2017-07-19,7820,7820,7820,7820,0,CBS
2017-07-20,7820,7820,7820,7820,0,CBS
2017-07-21,7820,7820,7820,7820,0,CBS
2017-07-24,7820,7820,7820,7820,0,CBS
2017-07-25,7820,7820,7820,7820,0,CBS
2017-07-26,7820,7820,7820,7820,0,CBS
2017-07-27,7820,7820,7820,7820,0,CBS
2017-07-28,7820,7820,7820,7820,0,CBS
2017-07-31,7820,7820,7820,7820,0,CBS
2017-08-01,7820,7820,7820,7820,0,CBS
2017-08-02,7820,7820,7820,7820,0,CBS
2017-08-03,7820,7820,7820,7820,0,CBS
2017-08-04,7820,7820,7820,7820,0,CBS
2017-08-07,7820,7820,7820,7820,0,CBS
2017-08-08,7820,7820,7820,7820,0,CBS
2017-08-09,7820,7820,7820,7820,0,CBS
2017-08-10,7820,7820,7820,7820,0,CBS
2017-08-11,7820,7820,7820,7820,0,CBS
2017-08-14,7820,7820,7820,7820,0,CBS
2017-08-15,7820,7820,7820,7820,0,CBS
2017-08-16,7820,7820,7820,7820,0,CBS
2017-08-17,7820,7820,7820,7820,0,CBS
2017-08-18,7820,7820,7820,7820,0,CBS
2017-08-21,7820,7820,7820,7820,0,CBS
2017-08-22,7820,7820,7820,7820,0,CBS
2017-08-23,7820,7820,7820,7820,0,CBS
2017-08-24,7820,7820,7820,7820,0,CBS
2017-08-25,7820,7820,7820,7820,0,CBS
2017-08-28,7820,7820,7820,7820,0,CBS
2017-08-29,7820,7820,7820,7820,0,CBS
2017-08-30,7820,7820,7820,7820,0,CBS
2017-08-31,7820,7820,7820,7820,0,CBS
2017-09-01,7820,7820,7820,7820,0,CBS
2017-09-05,7820,7820,7820,7820,0,CBS
2017-09-06,7820,7820,7820,7820,0,CBS
2017-09-07,7820,7820,7820,7820,0,CBS
2017-09-08,7820,7820,7820,7820,0,CBS
2017-09-11,7820,7820,7820,7820,0,CBS
2017-09-12,7820,7820,7820,7820,0,CBS
2017-09-13,7820,7820,7820,7820,0,CBS
2017-09-14,7820,7820,7820,7820,0,CBS
2017-09-15,7820,7820,7820,7820,0,CBS
2017-09-18,7820,7820,7820,7820,0,CBS
2017-09-19,7820,7820,7820,7820,0,CBS
2017-09-20,7820,7820,7820,7820,0,CBS
2017-09-21,7820,7820,7820,7820,0,CBS
2017-09-22,7820,7820,7820,7820,0,CBS
2017-09-25,7820,7820,7820,7820,0,CBS
2017-09-26,7820,7820,7820,7820,0,CBS
2017-09-27,7820,7820,7820,7820,0,CBS
2017-09-28,7820,7820,7820,7820,0,CBS
2017-09-29,7820,7820,7820,7820,0,CBS
2017-10-02,7820,7820,7820,7820,0,CBS
2017-10-03,7820,7820,7820,7820,0,CBS
2017-10-04,7820,7820,7820,7820,0,CBS
2017-10-05,7820,7820,7820,7820,0,CBS
2017-10-06,7820,7820,7820,7820,0,CBS
2017-10-09,7820,7820,7820,7820,0,CBS
2017-10-10,7820,7820,7820,7820,0,CBS
2017-10-11,7820,7820,7820,7820,0,CBS
2017-10-12,7820,7820,7820,7820,0,CBS
2017-10-13,7820,7820,7820,7820,0,CBS
2017-10-16,7820,7820,7820,7820,0,CBS
2017-10-17,7820,7820,7820,7820,0,CBS
2017-10-18,7820,7820,7820,7820,0,CBS
2017-10-19,7820,7820,7820,7820,0,CBS
2017-10-20,7820,7820,7820,7820,0,CBS
2017-10-23,7820,7820,7820,7820,0,CBS
2017-10-24,7820,7820,7820,7820,0,CBS
2017-10-25,7820,7820,7820,7820,0,CBS
2017-10-26,7820,7820,7820,7820,0,CBS
2017-10-27,7820,7820,7820,7820,0,CBS
2017-10-30,7820,7820,7820,7820,0,CBS
2017-10-31,7820,7820,7820,7820,0,CBS
2017-11-01,7820,7820,7820,7820,0,CBS
2017-11-02,7820,7820,7820,7820,0,CBS
2017-11-03,7820,7820,7820,7820,0,CBS
2017-11-06,7820,7820,7820,7820,0,CBS
2017-11-07,7820,7820,7820,7820,0,CBS
2017-11-08,7820,7820,7820,7820,0,CBS
2017-11-09,7820,7820,7820,7820,0,CBS
2017-11-10,7820,7820,7820,7820,0,CBS
2017-11-13,7820,7820,7820,7820,0,CBS
2017-11-14,7820,7820,7820,7820,0,CBS
2017-11-15,7820,7820,7820,7820,0,CBS
2017-11-16,7820,7820,7820,7820,0,CBS
2017-11-17,7820,7820,7820,7820,0,CBS
2017-11-20,7820,7820,7820,7820,0,CBS
2017-11-21,7820,7820,7820,7820,0,CBS
2017-11-22,7820,7820,7820,7820,0,CBS
2017-11-23,7820,7820,7820,7820,0,CBS
2017-11-24,7820,7820,7820,7820,0,CBS
2017-11-27,7820,7820,7820,7820,0,CBS
2017-11-28,7820,7820,7820,7820,0,CBS
2017-11-29,7820,7820,7820,7820,0,CBS
2017-11-30,7820,7820,7820,7820,0,CBS
2017-12-01,7820,7820,7820,7820,0,CBS
2017-12-04,7820,7820,7820,7820,0,CBS
2017-12-05,7820,7820,7820,7820,0,CBS
2017-12-06,7820,7820,7820,7820,0,CBS
2017-12-07,7820,7820,7820,7820,0,CBS
2017-12-08,7820,7820,7820,7820,0,CBS
2017-12-11,7820,7820,7820,7820,0,CBS
2017-12-12,7820,7820,7820,7820,0,CBS
2017-12-13,7820,7820,7820,7820,0,CBS
2017-12-14,7820,7820,7820,7820,0,CBS
2017-12-15,7820,7820,7820,7820,0,CBS
2017-12-18,7820,7820,7820,7820,0,CBS
2017-12-19,7820,7820,7820,7820,0,CBS
2017-12-20,7820,7820,7820,7820,0,CBS
2017-12-21,7820,7820,7820,7820,0,CBS
2017-12-22,8650,8650,8650,8650,10800,CBS
2017-12-25,8650,8650,8650,8650,0,CBS
2017-12-26,8650,8650,8650,8650,0,CBS
2017-12-27,8650,8650,8650,8650,24000,CBS
2017-12-28,8650,8650,8650,8650,15200,CBS
2017-12-29,8650,8650,8650,8650,0,CBS
2018-01-02,8650,8650,8650,8650,0,CBS
2018-01-03,8650,8650,8650,8650,0,CBS
2018-01-04,8130,8130,8130,8130,9200,CBS
2018-01-05,8130,8130,8130,8130,18000,CBS
2018-01-08,8130,8130,8130,8130,38000,CBS
2018-01-09,7860,7860,7860,7860,2000,CBS
2018-01-10,7860,7860,7860,7860,0,CBS
2018-01-11,7860,7860,7860,7860,0,CBS
2018-01-12,7860,7860,7860,7860,0,CBS
2018-01-15,7860,7860,7860,7860,0,CBS
2018-01-16,7860,7860,7860,7860,0,CBS
2018-01-17,7860,7860,7860,7860,9900,CBS
2018-01-18,7860,7860,7860,7860,2900,CBS
2018-01-19,7860,7860,7860,7860,0,CBS
2018-01-22,7860,7860,7860,7860,0,CBS
2018-01-23,7860,7860,7860,7860,0,CBS
2018-01-24,7860,7860,7860,7860,0,CBS
2018-01-25,7860,7860,7860,7860,0,CBS
2018-01-26,7860,7860,7860,7860,0,CBS
2018-01-29,7860,7860,7860,7860,0,CBS
2018-01-30,7860,7860,7860,7860,0,CBS
2018-01-31,7860,7860,7860,7860,100,CBS
2018-02-01,7860,7860,7860,7860,0,CBS
2018-02-02,7860,7860,7860,7860,0,CBS
2018-02-05,7860,7860,7860,7860,0,CBS
2018-02-06,7860,7860,7860,7860,0,CBS
2018-02-07,7860,7860,7860,7860,0,CBS
2018-02-08,7860,7860,7860,7860,0,CBS
2018-02-09,7860,7860,7860,7860,0,CBS
2018-02-12,7860,7860,7860,7860,0,CBS
2018-02-13,7860,7860,7860,7860,0,CBS
2018-02-21,7860,7860,7860,7860,0,CBS
2018-02-22,7860,7860,7860,7860,0,CBS
2018-02-23,7860,7860,7860,7860,0,CBS
2018-02-26,7860,7860,7860,7860,0,CBS
2018-02-27,7860,7860,7860,7860,6400,CBS
2018-02-28,7860,7860,7860,7860,3600,CBS
2018-03-01,7860,7860,7860,7860,0,CBS
2018-03-02,7860,7860,7860,7860,0,CBS
2018-03-05,7860,7860,7860,7860,0,CBS
2018-03-06,7860,7860,7860,7860,0,CBS
2018-03-07,7860,7860,7860,7860,0,CBS
2018-03-08,7860,7860,7860,7860,0,CBS
2018-03-09,7860,7860,7860,7860,0,CBS
2018-03-12,7860,7860,7860,7860,0,CBS
2018-03-13,7860,7860,7860,7860,0,CBS
2018-03-14,7860,7860,7860,7860,0,CBS
2018-03-15,7860,7860,7860,7860,0,CBS
2018-03-16,7860,7860,7860,7860,0,CBS
2018-03-19,7860,7860,7860,7860,0,CBS
2018-03-20,7860,7860,7860,7860,0,CBS
2018-03-21,7860,7860,7860,7860,0,CBS
2018-03-22,7860,7860,7860,7860,0,CBS
2018-03-23,7860,7860,7860,7860,0,CBS
2018-03-26,7860,7860,7860,7860,0,CBS
2018-03-27,7860,7860,7860,7860,0,CBS
2018-03-28,7860,7860,7860,7860,0,CBS
2018-03-29,7860,7860,7860,7860,0,CBS
2018-03-30,7860,7860,7860,7860,0,CBS
2018-04-02,7860,7860,7860,7860,0,CBS
2018-04-03,6810,6810,6810,6810,1000,CBS
2018-04-04,5870,5870,5870,5870,900,CBS
2018-04-05,5870,5870,5870,5870,0,CBS
2018-04-06,5870,5870,5870,5870,0,CBS
2018-04-09,5140,5140,5140,5140,185,CBS
2018-04-10,4410,4460,4410,4410,1400,CBS
2018-04-11,3770,3770,3770,3770,2700,CBS
2018-04-12,3770,3770,3770,3770,0,CBS
2018-04-13,3940,3940,3940,3940,2000,CBS
2018-04-16,4460,4510,4460,4510,2000,CBS
2018-04-17,4990,4990,3990,4990,1400,CBS
2018-04-18,5140,5140,5140,5140,1000,CBS
2018-04-19,5240,5240,5240,5240,3000,CBS
2018-04-20,5240,5240,5240,5240,6300,CBS
2018-04-23,5240,5240,5240,5240,2600,CBS
2018-04-24,5240,5240,5240,5240,2000,CBS
2018-04-26,5240,5240,5240,5240,1810,CBS
2018-04-27,5240,5240,5240,5240,0,CBS
2018-05-02,5240,5240,5240,5240,2800,CBS
2018-05-03,5240,5240,5240,5240,1000,CBS
2018-05-04,5240,5240,5240,5240,0,CBS
2018-05-07,5240,5240,5240,5240,2900,CBS
2018-05-08,5240,5240,5240,5240,2200,CBS
2018-05-09,5240,5240,5240,5240,400,CBS
2018-05-10,5240,5240,5240,5240,0,CBS
2018-05-11,5240,5240,5240,5240,1674,CBS
2018-05-14,4990,4990,4990,4990,600,CBS
2018-05-15,4990,4990,4990,4990,0,CBS
2018-05-16,4990,4990,4990,4990,0,CBS
2018-05-17,4990,4990,4990,4990,0,CBS
2018-05-18,5240,5240,5240,5240,2900,CBS
2018-05-21,5240,5240,5240,5240,5320,CBS
2018-05-22,5240,5240,5240,5240,10060,CBS
2018-05-23,5240,5240,5240,5240,0,CBS
2018-05-24,5240,5240,5240,5240,200,CBS
2018-05-25,5240,5240,5240,5240,1100,CBS
2018-05-28,5240,5240,5240,5240,0,CBS
2018-05-29,5240,5240,5240,5240,100,CBS
2018-05-30,5240,5240,5240,5240,2700,CBS
2018-05-31,5240,5240,5240,5240,2800,CBS
2018-06-01,5240,5240,5240,5240,1800,CBS
2018-06-04,5240,5240,5240,5240,1000,CBS
2018-06-05,5240,5240,5240,5240,2000,CBS
2018-06-06,5240,5240,5240,5240,1600,CBS
2018-06-07,5240,5240,5240,5240,1000,CBS
2018-06-08,5240,5240,5240,5240,0,CBS
2018-06-11,5240,5240,5240,5240,1100,CBS
2018-06-12,5240,5240,5240,5240,0,CBS
2018-06-13,5240,5240,5240,5240,0,CBS
2018-06-14,5240,5240,5240,5240,0,CBS
2018-06-15,5240,5240,5240,5240,1000,CBS
2018-06-18,5240,5240,5240,5240,0,CBS
2018-06-19,5240,5240,5240,5240,800,CBS
2018-06-20,5240,5240,5240,5240,0,CBS
2018-06-21,5240,5240,5240,5240,0,CBS
2018-06-22,5240,5240,5240,5240,0,CBS
2018-06-25,5240,5240,5240,5240,0,CBS
2018-06-26,5240,5240,5240,5240,0,CBS
2018-06-27,5240,5240,5240,5240,0,CBS
2018-06-28,5240,5240,5240,5240,200,CBS
2018-06-29,5240,5240,5240,5240,1000,CBS
2018-07-02,5240,5240,5240,5240,0,CBS
2018-07-03,5240,5240,5240,5240,0,CBS
2018-07-04,5240,5240,5240,5240,0,CBS
2018-07-05,5240,5240,5240,5240,0,CBS
2018-07-06,5240,5240,5240,5240,0,CBS
2018-07-09,5240,5240,5240,5240,0,CBS
2018-07-10,5240,5240,5240,5240,1000,CBS
2018-07-11,5240,5240,5240,5240,0,CBS
2018-07-12,5240,5510,5240,5510,6000,CBS
2018-07-13,5450,5450,5450,5450,0,CBS
2018-07-16,5660,5660,5660,5660,1800,CBS
2018-07-17,5660,5660,5660,5660,0,CBS
2018-07-18,5660,5660,5660,5660,0,CBS
2018-07-19,5660,5660,5660,5660,0,CBS
2018-07-20,5660,5660,5660,5660,0,CBS
2018-07-23,5660,5660,5660,5660,0,CBS
2018-07-24,5660,5660,5660,5660,0,CBS
2018-07-25,5720,5720,5720,5720,1200,CBS
2018-07-26,5660,5660,5660,5660,452,CBS
2018-07-27,5240,5240,5240,5240,1001,CBS
2018-07-30,5240,5240,5240,5240,0,CBS
2018-07-31,5240,5240,5240,5240,0,CBS
2018-08-01,5240,5240,5240,5240,0,CBS
2018-08-02,5240,5240,5240,5240,0,CBS
2018-08-03,5240,5240,5240,5240,0,CBS
2018-08-06,5240,5240,5240,5240,0,CBS
2018-08-07,5240,5240,5240,5240,0,CBS
2018-08-08,5240,5240,5240,5240,0,CBS
2018-08-09,5240,5240,5240,5240,0,CBS
2018-08-10,5240,5240,5240,5240,0,CBS
2018-08-13,5240,5240,5240,5240,0,CBS
2018-08-14,5240,5240,5240,5240,0,CBS
2018-08-15,5240,5240,5240,5240,0,CBS
2018-08-16,5240,5240,5240,5240,0,CBS
2018-08-17,5240,5240,5240,5240,0,CBS
2018-08-20,5240,5240,5240,5240,0,CBS
2018-08-21,5240,5240,5240,5240,0,CBS
2018-08-22,5240,5240,5240,5240,0,CBS
2018-08-23,5240,5240,5240,5240,0,CBS
2018-08-24,5240,5240,5240,5240,2,CBS
2018-08-27,5240,5240,5240,5240,0,CBS
2018-08-28,5240,5240,5240,5240,1000,CBS
2018-08-29,5240,5240,5240,5240,0,CBS
2018-08-30,5240,5240,5240,5240,0,CBS
2018-08-31,5240,5240,5240,5240,0,CBS
2018-09-04,5240,5240,5240,5240,0,CBS
2018-09-05,5240,5240,5240,5240,0,CBS
2018-09-06,5240,5240,5240,5240,0,CBS
2018-09-07,5240,5240,5240,5240,0,CBS
2018-09-10,5240,5240,5240,5240,0,CBS
2018-09-11,5240,5240,5240,5240,0,CBS
2018-09-12,5240,5240,5240,5240,0,CBS
2018-09-13,5240,5240,5240,5240,0,CBS
2018-09-14,5240,5240,5240,5240,0,CBS
2018-09-17,5190,5190,5190,5190,100,CBS
2018-09-18,5190,5190,5190,5190,0,CBS
2018-09-19,5190,5190,5190,5190,0,CBS
2018-09-20,5190,5190,5190,5190,0,CBS
2018-09-21,5190,5190,5190,5190,0,CBS
2018-09-24,5190,5190,5190,5190,0,CBS
2018-09-25,5090,5090,5090,5090,1100,CBS
2018-09-26,5090,5090,5090,5090,0,CBS
2018-09-27,5090,5090,5090,5090,0,CBS
2018-09-28,4350,4350,4350,4350,100,CBS
2018-10-01,3990,3990,3990,3990,100,CBS
2018-10-02,3730,3730,3730,3730,100,CBS
2018-10-03,3250,3250,3250,3250,100,CBS
2018-10-04,2940,2940,2940,2940,100,CBS
2018-10-05,2940,2940,2940,2940,0,CBS
2018-10-08,2940,2940,2940,2940,0,CBS
2018-10-09,3360,3360,2840,2840,200,CBS
2018-10-10,3520,3520,3520,3520,100,CBS
2018-10-11,4040,4040,4040,4040,300,CBS
2018-10-12,4040,4040,4040,4040,0,CBS
2018-10-15,4190,4190,4190,4190,100,CBS
2018-10-16,4820,4820,4820,4820,300,CBS
2018-10-17,5090,5090,5090,5090,300,CBS
2018-10-18,5240,5240,5240,5240,600,CBS
2018-10-19,5240,5620,5240,5620,300,CBS
2018-10-22,5090,5090,5090,5090,103,CBS
2018-10-23,5620,5620,5240,5240,1100,CBS
2018-10-24,5240,5240,5240,5240,3400,CBS
2018-10-25,5240,5240,5240,5240,0,CBS
2018-10-26,5510,5510,5510,5510,100,CBS
2018-10-29,5240,5240,5240,5240,600,CBS
2018-10-30,5240,5240,5240,5240,0,CBS
2018-10-31,5620,5620,5620,5620,100,CBS
2018-11-01,5240,5240,5240,5240,3900,CBS
2018-11-02,4990,5620,4990,5620,1100,CBS
2018-11-05,5040,5040,5040,5040,0,CBS
2018-11-06,5040,5040,5040,5040,0,CBS
2018-11-07,5040,5040,5040,5040,200,CBS
2018-11-08,5040,5040,5040,5040,0,CBS
2018-11-09,5040,5040,5040,5040,0,CBS
2018-11-12,5040,5040,5040,5040,0,CBS
2018-11-13,5040,5040,5040,5040,0,CBS
2018-11-14,5040,5040,5040,5040,0,CBS
2018-11-15,5040,5040,5040,5040,0,CBS
2018-11-16,5040,5040,5040,5040,0,CBS
2018-11-19,5040,5040,5040,5040,0,CBS
2018-11-20,5040,5040,5040,5040,0,CBS
2018-11-21,5040,5040,5040,5040,0,CBS
2018-11-22,5040,5040,5040,5040,0,CBS
2018-11-23,5040,5040,5040,5040,0,CBS
2018-11-26,5040,5040,5040,5040,100,CBS
2018-11-27,5040,5040,5040,5040,0,CBS
2018-11-28,5140,5240,5140,5240,2100,CBS
2018-11-29,5240,5240,5240,5240,1000,CBS
2018-11-30,5240,5240,5240,5240,0,CBS
2018-12-03,5240,5240,5240,5240,0,CBS
2018-12-04,5240,5240,5240,5240,0,CBS
2018-12-05,5240,5240,5240,5240,0,CBS
2018-12-06,5240,5240,5240,5240,2500,CBS
2018-12-07,5240,5240,5240,5240,0,CBS
2018-12-10,5240,5240,5240,5240,4200,CBS
2018-12-11,5240,5240,5240,5240,0,CBS
2018-12-12,5240,5240,5240,5240,2000,CBS
2018-12-13,5240,5240,5240,5240,0,CBS
2018-12-14,5240,5240,5240,5240,0,CBS
2018-12-17,5240,5240,5240,5240,2300,CBS
2018-12-18,5240,5240,5240,5240,1000,CBS
2018-12-19,5240,5240,5240,5240,0,CBS
2018-12-20,5190,5190,5190,5190,100,CBS
2018-12-21,5190,5240,5190,5240,2200,CBS
2018-12-24,5190,5190,5190,5190,0,CBS
2018-12-25,5190,5190,5190,5190,0,CBS
2018-12-26,5190,5190,5190,5190,0,CBS
2018-12-27,5190,5190,5190,5190,0,CBS
2018-12-28,5190,5190,5190,5190,0,CBS
2019-01-02,5190,5190,5190,5190,0,CBS
2019-01-03,5190,5190,5190,5190,0,CBS
2019-01-04,5190,5190,5190,5190,0,CBS
2019-01-07,5190,5190,5190,5190,0,CBS
2019-01-08,5190,5190,5190,5190,0,CBS
2019-01-09,5190,5190,5190,5190,0,CBS
2019-01-10,5190,5190,5190,5190,0,CBS
2019-01-11,5190,5190,5190,5190,0,CBS
2019-01-14,5190,5190,5190,5190,0,CBS
2019-01-15,5190,5190,5190,5190,1000,CBS
2019-01-16,5190,5190,5190,5190,0,CBS
2019-01-17,5190,5190,5190,5190,3000,CBS
2019-01-18,5140,5140,5140,5140,1800,CBS
2019-01-21,5240,5240,5240,5240,1000,CBS
2019-01-22,5240,5240,5240,5240,0,CBS
2019-01-23,5190,5190,5190,5190,1000,CBS
2019-01-24,5190,5240,5190,5240,2100,CBS
2019-01-25,5190,5190,5190,5190,1000,CBS
2019-01-28,5240,5240,5240,5240,100,CBS
2019-01-29,5240,5240,5240,5240,0,CBS
2019-01-30,5240,5240,5240,5240,5900,CBS
2019-01-31,5240,5240,5240,5240,0,CBS
2019-02-01,5240,5240,5240,5240,0,CBS
2019-02-11,5240,5240,5240,5240,2000,CBS
2019-02-12,5240,5240,5240,5240,0,CBS
2019-02-13,5240,5240,5240,5240,0,CBS
2019-02-14,5240,5240,5240,5240,0,CBS
2019-02-15,5240,5240,5240,5240,0,CBS
2019-02-18,5240,5240,5240,5240,0,CBS
2019-02-19,5240,5240,5240,5240,0,CBS
2019-02-20,5240,5240,5240,5240,0,CBS
2019-02-21,5240,5240,5240,5240,0,CBS
2019-02-22,5240,5240,5240,5240,0,CBS
2019-02-25,5240,5240,5240,5240,0,CBS
2019-02-26,5240,5240,5240,5240,0,CBS
2019-02-27,5240,5240,5240,5240,0,CBS
2019-02-28,5240,5240,5240,5240,0,CBS
2019-03-01,5240,5240,5240,5240,0,CBS
2019-03-04,5240,5240,5240,5240,0,CBS
2019-03-05,5240,5240,5240,5240,0,CBS
2019-03-06,5240,5240,5240,5240,0,CBS
2019-03-07,5240,5240,5240,5240,0,CBS
2019-03-08,5240,5240,5240,5240,0,CBS
2019-03-11,5240,5240,5240,5240,0,CBS
2019-03-12,5240,5240,5240,5240,0,CBS
2019-03-13,4710,4710,4710,4710,100,CBS
2019-03-14,4710,4710,4710,4710,0,CBS
2019-03-15,4710,4710,4710,4710,0,CBS
2019-03-18,4710,4710,4710,4710,0,CBS
2019-03-19,4710,4710,4710,4710,0,CBS
2019-03-20,5240,5240,5240,5240,4600,CBS
2019-03-21,5140,5140,5140,5140,1000,CBS
