time,open,high,low,close,volume,ticker
2019-12-26,12510,12510,11980,11980,3000,CCA
2019-12-27,10550,10550,10550,10550,700,CCA
2019-12-30,10550,10550,10550,10550,0,CCA
2019-12-31,9100,9100,9020,9020,700,CCA
2020-01-02,7730,7730,7730,7730,1100,CCA
2020-01-03,6830,6830,6590,6590,2100,CCA
2020-01-06,5690,5690,5690,5690,1300,CCA
2020-01-07,4850,4850,4850,4850,2200,CCA
2020-01-08,4170,4170,4170,4170,2200,CCA
2020-01-09,3790,3790,3580,3720,14800,CCA
2020-01-10,3630,3630,3630,3630,0,CCA
2020-01-13,3720,4170,3720,4170,2500,CCA
2020-01-14,4540,4540,4540,4540,700,CCA
2020-01-15,4630,4630,3880,4540,25600,CCA
2020-01-16,4400,4400,4400,4400,100,CCA
2020-01-17,4400,4700,4400,4700,2400,CCA
2020-01-20,4630,4630,4630,4630,2100,CCA
2020-01-21,5160,5160,5160,5160,300,CCA
2020-01-22,5920,5920,5920,5690,300,CCA
2020-01-30,6060,6440,6060,6300,600,CCA
2020-01-31,7060,7060,7060,7060,100,CCA
2020-02-03,7060,7060,7060,7060,0,CCA
2020-02-04,7650,7650,7650,7650,100,CCA
2020-02-05,7810,7810,6520,7810,1300,CCA
2020-02-06,5830,5830,5830,5830,100,CCA
2020-02-07,5000,5000,5000,5000,100,CCA
2020-02-10,4320,4540,4320,4540,6900,CCA
2020-02-11,4320,4320,4320,4320,300,CCA
2020-02-12,4320,4320,4320,4320,0,CCA
2020-02-13,4320,4320,4320,4320,0,CCA
2020-02-14,3720,3790,3720,3790,2100,CCA
2020-02-17,3790,3790,3790,3790,0,CCA
2020-02-18,3790,3790,3790,3790,0,CCA
2020-02-19,3790,3790,3790,3790,0,CCA
2020-02-20,3790,3790,3790,3790,0,CCA
2020-02-21,4320,4320,4320,4320,1100,CCA
2020-02-24,4320,4320,4320,4320,0,CCA
2020-02-25,4930,4930,4930,4930,100,CCA
2020-02-26,5610,5610,5610,5610,800,CCA
2020-02-27,5610,5610,5610,5610,0,CCA
2020-02-28,6220,6220,6220,6220,500,CCA
2020-03-02,6440,6440,6440,6440,400,CCA
2020-03-03,5530,6830,5530,6830,2800,CCA
2020-03-04,6060,6520,6060,6440,10000,CCA
2020-03-05,6830,7210,6830,7210,1300,CCA
2020-03-06,6980,7590,6980,7590,3500,CCA
2020-03-09,7210,7590,6140,6440,3100,CCA
2020-03-10,6440,7590,6440,7590,4800,CCA
2020-03-11,6440,6440,6440,6440,500,CCA
2020-03-12,6440,6440,6440,6440,0,CCA
2020-03-13,6440,6440,6440,6440,0,CCA
2020-03-16,6440,6440,6440,6440,0,CCA
2020-03-17,6060,6060,6060,6060,1000,CCA
2020-03-18,6060,6060,6060,6060,1100,CCA
2020-03-19,6980,6980,6590,6590,7100,CCA
2020-03-20,6060,6830,6060,6830,4000,CCA
2020-03-23,6060,6830,6060,6060,3400,CCA
2020-03-24,6830,6830,6590,6590,1600,CCA
2020-03-25,6060,6060,6060,6060,1000,CCA
2020-03-26,6060,6060,6060,6060,0,CCA
2020-03-27,5690,6060,5690,6060,1000,CCA
2020-03-30,5920,5920,5920,5920,1000,CCA
2020-03-31,5080,5080,5080,5080,1000,CCA
2020-04-01,5080,5080,5080,5080,0,CCA
2020-04-03,4400,4400,4320,4320,7300,CCA
2020-04-06,4320,4320,4320,4320,0,CCA
2020-04-07,4320,4320,4320,4320,0,CCA
2020-04-08,4320,4320,4320,4320,0,CCA
2020-04-09,4320,4320,4320,4320,0,CCA
2020-04-10,4320,4320,4320,4320,0,CCA
2020-04-13,4930,4930,4930,4930,100,CCA
2020-04-14,5610,5610,5610,5610,100,CCA
2020-04-15,6220,6440,6220,6440,200,CCA
2020-04-16,6360,7280,6360,7210,2200,CCA
2020-04-17,7960,8260,7210,8260,12310,CCA
2020-04-20,8189,8189,8189,8189,0,CCA
2020-04-21,7590,7590,7590,7590,1000,CCA
2020-04-22,7590,7590,7590,7590,3500,CCA
2020-04-23,7590,7590,7590,7590,0,CCA
2020-04-24,8260,8260,7590,7590,2000,CCA
2020-04-27,7960,7960,7960,7960,0,CCA
2020-04-28,7960,7960,7960,7960,0,CCA
2020-04-29,7960,7960,7960,7960,0,CCA
2020-05-04,8340,8340,8340,8340,2500,CCA
2020-05-05,8340,8340,8340,8340,0,CCA
2020-05-06,8340,8340,8340,8340,4000,CCA
2020-05-07,8260,8260,8260,8260,1400,CCA
2020-05-08,8260,8260,8260,8260,0,CCA
2020-05-11,8260,8260,8260,8260,0,CCA
2020-05-12,8260,8260,8260,8260,0,CCA
2020-05-13,7210,7210,7210,7210,5010,CCA
2020-05-14,6830,6830,6140,6830,2200,CCA
2020-05-15,6830,6830,6830,6830,0,CCA
2020-05-18,7210,7210,7210,7210,2000,CCA
2020-05-19,7210,7210,7210,7210,2000,CCA
2020-05-20,6680,6830,6680,6750,8100,CCA
