time,open,high,low,close,volume,ticker
2017-03-01,12390,12390,12390,12390,83100,CLX
2017-03-02,14220,14220,14220,14220,27700,CLX
2017-03-03,16309,16309,16309,16309,41100,CLX
2017-03-06,18750,18750,13870,13870,43210,CLX
2017-03-07,13440,13520,13440,13440,40890,CLX
2017-03-08,11430,14830,11430,12910,28898,CLX
2017-03-09,12910,12910,11340,12390,49300,CLX
2017-03-10,12990,12990,12210,12470,12300,CLX
2017-03-13,12560,12560,12210,12470,11659,CLX
2017-03-14,12130,12210,11430,12210,17600,CLX
2017-03-15,11430,11600,11430,11510,8000,CLX
2017-03-16,11510,11950,11170,11170,5129,CLX
2017-03-17,11340,11770,11240,11340,4828,CLX
2017-03-20,11510,11510,10990,11170,9900,CLX
2017-03-21,11240,11600,11240,11430,20200,CLX
2017-03-22,11770,11950,11510,11510,8100,CLX
2017-03-23,11770,11770,11340,11340,3300,CLX
2017-03-24,11340,11340,11340,11340,2000,CLX
2017-03-27,11340,11860,11340,11430,10200,CLX
2017-03-28,11690,11690,11240,11340,11700,CLX
2017-03-29,11340,11340,10990,10990,2488,CLX
2017-03-30,11170,11170,11170,11170,1020,CLX
2017-03-31,10990,11340,10990,11240,2266,CLX
2017-04-03,11430,11430,11240,11240,300,CLX
2017-04-04,10990,11080,10900,10990,6734,CLX
2017-04-05,10990,11080,10900,10990,3600,CLX
2017-04-07,10900,10990,10900,10900,5200,CLX
2017-04-10,10990,10990,10900,10990,2525,CLX
2017-04-11,10900,10990,10900,10990,7200,CLX
2017-04-12,10990,10990,10810,10900,3500,CLX
2017-04-13,10810,10810,10650,10650,1200,CLX
2017-04-14,10030,10720,10030,10720,5700,CLX
2017-04-17,10460,10550,10290,10290,8500,CLX
2017-04-18,10030,10120,10030,10030,5300,CLX
2017-04-19,10290,10460,10290,10460,6000,CLX
2017-04-20,10460,10460,10290,10290,22500,CLX
2017-04-21,10030,10380,9600,9770,14000,CLX
2017-04-24,10290,10290,10120,10120,8100,CLX
2017-04-25,9600,10030,9600,10030,1000,CLX
2017-04-26,10030,10030,9770,9850,5700,CLX
2017-04-27,9940,9940,9940,9940,0,CLX
2017-04-28,9940,9940,9940,9940,300,CLX
2017-05-03,9770,10030,9770,10030,7200,CLX
2017-05-04,9940,9940,9770,9770,10000,CLX
2017-05-05,9850,9850,9600,9770,6100,CLX
2017-05-08,10290,10290,9770,9770,14800,CLX
2017-05-09,9600,9600,9160,9600,10500,CLX
2017-05-10,9500,9600,9160,9500,7800,CLX
2017-05-11,10030,10030,9600,9600,2200,CLX
2017-05-12,9600,9600,9600,9600,0,CLX
2017-05-15,9850,9850,9690,9690,17800,CLX
2017-05-16,9690,9690,9690,9690,100,CLX
2017-05-17,9690,9940,9600,9940,2400,CLX
2017-05-18,9600,9940,9600,9600,7400,CLX
2017-05-19,9600,9850,9600,9600,11000,CLX
2017-05-22,9690,9690,9600,9600,1500,CLX
2017-05-23,9600,9690,9600,9690,9200,CLX
2017-05-24,9600,9600,9600,9600,0,CLX
2017-05-25,9600,9600,9600,9600,0,CLX
2017-05-26,8900,9600,8720,9600,6300,CLX
2017-05-29,9420,9500,9420,9500,5200,CLX
2017-05-30,9250,9250,9160,9160,1200,CLX
2017-05-31,9160,9160,9160,9160,10,CLX
2017-06-01,9420,9600,9420,9600,400,CLX
2017-06-02,9160,9160,9160,9160,140,CLX
2017-06-05,9160,9160,9160,9160,0,CLX
2017-06-06,9160,9160,9160,9160,100,CLX
2017-06-07,9250,9330,9250,9330,1000,CLX
2017-06-08,9330,9330,9330,9330,300,CLX
2017-06-09,9160,9160,8980,9160,2300,CLX
2017-06-12,9070,9070,9070,9070,0,CLX
2017-06-13,9160,9160,9160,9160,900,CLX
2017-06-14,9250,9330,9250,9330,1600,CLX
2017-06-15,9420,9420,9420,9420,700,CLX
2017-06-16,9250,9600,8720,8980,6900,CLX
2017-06-19,8109,8109,8109,8109,100,CLX
2017-06-20,9250,9250,9250,9250,100,CLX
2017-06-21,9070,9600,9070,9600,6000,CLX
2017-06-22,9250,9250,9070,9070,1100,CLX
2017-06-23,9250,9250,9250,9250,100,CLX
2017-06-26,9250,9250,9250,9250,0,CLX
2017-06-27,9330,9330,9330,9330,100,CLX
2017-06-28,9330,9330,9330,9330,2000,CLX
2017-06-29,9330,9330,9330,9330,0,CLX
2017-06-30,9330,9330,9330,9330,0,CLX
2017-07-03,9420,9420,9420,9420,100,CLX
2017-07-04,9500,9500,9500,9500,1400,CLX
2017-07-05,9420,9420,9420,9420,1100,CLX
2017-07-06,9420,9420,9420,9420,310,CLX
2017-07-07,9420,9420,9420,9420,0,CLX
2017-07-10,9420,9420,9420,9420,0,CLX
2017-07-11,10550,10550,10550,10550,120,CLX
2017-07-12,9160,9160,9160,9160,100,CLX
2017-07-13,9160,9160,9160,9160,0,CLX
2017-07-14,9160,9160,9160,9160,0,CLX
2017-07-17,9160,9250,9160,9250,3900,CLX
2017-07-18,9160,9160,9160,9160,2000,CLX
2017-07-19,9160,9160,9160,9160,0,CLX
2017-07-20,9160,9160,9160,9160,1500,CLX
2017-07-21,10030,10460,10030,10460,5000,CLX
2017-07-24,9250,9250,9160,9160,1500,CLX
2017-07-25,9160,10200,9160,10200,4000,CLX
2017-07-26,9770,9770,9770,9770,0,CLX
2017-07-27,9770,9770,9770,9770,0,CLX
2017-07-28,9770,9770,9770,9770,0,CLX
2017-07-31,9770,9770,9770,9770,0,CLX
2017-08-01,9600,9600,9160,9160,1900,CLX
2017-08-02,9330,9330,9330,9330,1200,CLX
2017-08-03,8020,9330,8020,9330,1100,CLX
2017-08-04,9600,9600,9600,9600,1000,CLX
2017-08-07,8290,9600,8290,9600,2100,CLX
2017-08-08,9940,10030,9940,10030,2000,CLX
2017-08-09,9600,9600,9600,9600,2600,CLX
2017-08-10,9600,9600,9600,9600,0,CLX
2017-08-11,9600,9600,9160,9160,15800,CLX
2017-08-14,9600,9600,9600,9600,0,CLX
2017-08-15,9600,9600,9600,9600,100,CLX
2017-08-16,9600,9600,9600,9600,0,CLX
2017-08-17,9600,9600,9600,9600,100,CLX
2017-08-18,9600,9600,9600,9600,0,CLX
2017-08-21,9600,9600,9600,9600,100,CLX
2017-08-22,9600,9690,9600,9690,4000,CLX
2017-08-23,9690,9690,9690,9690,2200,CLX
2017-08-24,9690,9690,9690,9690,0,CLX
2017-08-25,8720,9600,8720,9600,300,CLX
2017-08-28,8980,8980,8980,8980,0,CLX
2017-08-29,9160,9160,9160,9160,5000,CLX
2017-08-30,9160,9160,9160,9160,11200,CLX
2017-08-31,9160,9160,9160,9160,0,CLX
2017-09-01,9160,9160,9160,9160,15000,CLX
2017-09-05,9160,9330,9160,9250,10100,CLX
2017-09-06,9160,9160,9160,9160,0,CLX
2017-09-07,9160,9160,9160,9160,14800,CLX
2017-09-08,9160,9160,9160,9160,12300,CLX
2017-09-11,9160,9160,9160,9160,0,CLX
2017-09-12,9160,9160,9160,9160,0,CLX
2017-09-13,9160,9160,9160,9160,0,CLX
2017-09-14,10460,10460,10460,10460,100,CLX
2017-09-15,8980,10460,8980,10290,300,CLX
2017-09-18,9940,9940,9940,9940,0,CLX
2017-09-19,9160,9160,9160,9160,15000,CLX
2017-09-20,10380,10380,10380,10380,100,CLX
2017-09-21,10380,10380,10380,10380,0,CLX
2017-09-22,10380,10380,10380,10380,10,CLX
2017-09-25,9500,9500,9500,9500,100,CLX
2017-09-26,9600,9600,8980,8980,2100,CLX
2017-09-27,9250,9250,9250,9250,100,CLX
2017-09-28,9420,9420,9420,9420,2000,CLX
2017-09-29,9420,9420,9420,9420,0,CLX
2017-10-02,9420,9420,9420,9420,0,CLX
2017-10-03,8720,9600,8020,9600,16000,CLX
2017-10-04,9160,9160,9160,9160,13000,CLX
2017-10-05,9160,9160,9160,9160,10000,CLX
2017-10-06,9160,9160,9160,9160,700,CLX
2017-10-09,9600,10030,9600,10030,6900,CLX
2017-10-10,9600,9600,9600,9600,1000,CLX
2017-10-11,9420,9420,9420,9420,500,CLX
2017-10-12,9330,9330,9160,9160,16000,CLX
2017-10-13,9160,9160,8109,8109,10100,CLX
2017-10-16,9600,9600,9600,9600,200,CLX
2017-10-17,9250,9250,9160,9160,40500,CLX
2017-10-18,9160,9160,9160,9160,10000,CLX
2017-10-19,9160,9160,9160,9160,400,CLX
2017-10-20,9600,9600,9600,9600,9900,CLX
2017-10-23,10380,10380,10380,10380,100,CLX
2017-10-24,8900,9160,8900,9160,600,CLX
2017-10-25,8810,8810,8810,8810,100,CLX
2017-10-26,9160,9160,9160,9160,10000,CLX
2017-10-27,9160,9160,9160,9160,0,CLX
2017-10-30,9160,9160,9160,9160,0,CLX
2017-10-31,9160,9250,9160,9160,20000,CLX
2017-11-01,9250,9250,9250,9250,0,CLX
2017-11-02,9250,9250,9250,9250,0,CLX
2017-11-03,9160,9160,9160,9160,6400,CLX
2017-11-06,9160,9160,9160,9160,0,CLX
2017-11-07,9160,9160,9160,9160,0,CLX
2017-11-08,9160,9160,9160,9160,3000,CLX
2017-11-09,9160,9160,9160,9160,0,CLX
2017-11-10,10380,10380,10380,10380,100,CLX
2017-11-13,9420,9420,9330,9330,6100,CLX
2017-11-14,9330,9330,9330,9330,0,CLX
2017-11-15,9330,9330,9330,9330,700,CLX
2017-11-16,10290,10290,8720,9250,5300,CLX
2017-11-17,9250,9250,9250,9250,0,CLX
2017-11-20,9160,9160,9160,9160,7100,CLX
