time,open,high,low,close,volume,ticker
2016-11-30,100770,100770,100770,100770,100,CMF
2016-12-01,115880,115880,115880,115880,100,CMF
2016-12-02,133240,133240,129560,133240,3200,CMF
2016-12-05,111970,111970,111330,111330,500,CMF
2016-12-06,100770,100770,100770,100770,200,CMF
2016-12-07,95970,95970,95970,95970,110,CMF
2016-12-08,95970,95970,95970,95970,100,CMF
2016-12-09,95970,95970,95970,95970,100,CMF
2016-12-12,88780,103890,83970,103890,600,CMF
2016-12-13,82380,82380,82380,82380,3800,CMF
2016-12-14,79970,79970,79970,79970,318,CMF
2016-12-15,79970,79970,79970,79970,932,CMF
2016-12-16,79970,79970,79970,79970,70,CMF
2016-12-19,79970,79970,79970,79970,100,CMF
2016-12-20,79970,79970,79970,79970,10,CMF
2016-12-21,79970,79970,79970,79970,110,CMF
2016-12-22,78380,78380,78380,78380,146,CMF
2016-12-23,78380,78380,78380,78380,10,CMF
2016-12-26,78380,78380,78380,78380,204,CMF
2016-12-27,78380,78380,78380,78380,18,CMF
2016-12-28,78380,78380,78380,78380,0,CMF
2016-12-29,78380,78380,78380,78380,100,CMF
2016-12-30,78380,78380,78380,78380,220,CMF
2017-01-03,78380,78380,78380,78380,0,CMF
2017-01-04,78380,78380,78380,78380,0,CMF
2017-01-05,78380,78380,78380,78380,200,CMF
2017-01-06,78380,78380,78380,78380,0,CMF
2017-01-09,78380,78380,78380,78380,0,CMF
2017-01-10,75980,75980,75980,75980,500,CMF
2017-01-11,75980,75980,75980,75980,0,CMF
2017-01-12,75980,75980,75980,75980,0,CMF
2017-01-13,75980,75980,75980,75980,0,CMF
2017-01-16,73580,73580,73580,73580,300,CMF
2017-01-17,73580,73580,73580,73580,0,CMF
2017-01-18,71980,71980,71180,71180,905,CMF
2017-01-19,71820,71820,71820,71820,5,CMF
2017-01-20,71820,71820,71820,71820,0,CMF
2017-01-23,71820,71820,71820,71820,0,CMF
2017-01-24,71820,71820,71820,71820,0,CMF
2017-01-25,71820,71820,71820,71820,0,CMF
2017-02-02,71820,71820,71820,71820,10,CMF
2017-02-03,71820,71820,71820,71820,0,CMF
2017-02-06,71820,71820,71820,71820,0,CMF
2017-02-07,71820,71820,71820,71820,0,CMF
2017-02-08,71820,71820,71820,71820,0,CMF
2017-02-09,71820,71820,71820,71820,0,CMF
2017-02-10,71820,71820,71820,71820,2,CMF
2017-02-13,71820,71820,71820,71820,0,CMF
2017-02-14,71820,71820,71820,71820,0,CMF
2017-02-15,71820,71820,71820,71820,0,CMF
2017-02-16,71820,71820,71820,71820,10,CMF
2017-02-17,71820,71820,71820,71820,0,CMF
2017-02-20,73580,73580,73580,73580,1300,CMF
2017-02-21,73580,73580,73580,73580,0,CMF
2017-02-22,73580,73580,73580,73580,0,CMF
2017-02-23,73580,73580,73580,73580,0,CMF
2017-02-24,73580,73580,73580,73580,0,CMF
2017-02-27,73580,73580,73580,73580,0,CMF
2017-02-28,62540,62540,62540,62540,100,CMF
2017-03-01,62540,62540,62540,62540,0,CMF
2017-03-02,62540,62540,62540,62540,0,CMF
2017-03-03,62540,62540,62540,62540,0,CMF
2017-03-06,62540,62540,62540,62540,0,CMF
2017-03-07,62540,62540,62540,62540,0,CMF
2017-03-08,62540,62540,62540,62540,0,CMF
2017-03-09,62540,62540,62540,62540,0,CMF
2017-03-10,62540,62540,62540,62540,10,CMF
2017-03-13,62540,62540,62540,62540,0,CMF
2017-03-14,61580,61580,61580,61580,410,CMF
2017-03-15,61580,61580,61580,61580,10,CMF
2017-03-16,61580,61580,61580,61580,30,CMF
2017-03-17,61580,61580,61580,61580,0,CMF
2017-03-20,61580,61580,61580,61580,0,CMF
2017-03-21,61580,61580,61580,61580,0,CMF
2017-03-22,61580,61580,61580,61580,500,CMF
2017-03-23,61580,61580,61580,61580,0,CMF
2017-03-24,61580,61580,61580,61580,1,CMF
2017-03-27,61580,61580,61580,61580,29,CMF
2017-03-28,61580,61580,61580,61580,10,CMF
2017-03-29,61580,61580,61580,61580,0,CMF
2017-03-30,61580,61580,61580,61580,1,CMF
2017-03-31,61580,61580,61580,61580,0,CMF
2017-04-03,61580,61580,61580,61580,9,CMF
2017-04-04,61580,61580,61580,61580,1,CMF
2017-04-05,61580,61580,61580,61580,0,CMF
2017-04-07,61580,61580,61580,61580,0,CMF
2017-04-10,70780,70780,70780,70780,100,CMF
2017-04-11,81280,81280,61580,61580,200,CMF
2017-04-12,71430,71430,71430,71430,0,CMF
2017-04-13,71430,71430,71430,71430,0,CMF
2017-04-14,61170,61170,61170,61170,100,CMF
2017-04-17,70290,70290,70290,70290,100,CMF
2017-04-18,70290,70290,70290,70290,0,CMF
2017-04-19,70290,70290,70290,70290,0,CMF
2017-04-20,80790,80790,80790,80790,100,CMF
2017-04-21,80470,80470,80470,80470,100,CMF
2017-04-24,91970,92530,91970,92530,1100,CMF
2017-04-25,92460,92460,92460,92460,0,CMF
2017-04-26,92460,92460,92460,92460,0,CMF
2017-04-27,92460,92460,92460,92460,0,CMF
2017-04-28,92460,92460,92460,92460,0,CMF
2017-05-03,92460,92460,92460,92460,0,CMF
2017-05-04,92460,92460,92460,92460,0,CMF
2017-05-05,92460,92460,92460,92460,0,CMF
2017-05-08,106250,106250,78660,78660,1200,CMF
2017-05-09,103950,103950,103950,103950,0,CMF
2017-05-10,103950,103950,103950,103950,1,CMF
2017-05-11,103950,103950,103950,103950,0,CMF
2017-05-12,103950,103950,103950,103950,10,CMF
2017-05-15,98530,98530,98530,98530,5300,CMF
2017-05-16,97390,98530,97390,98530,1800,CMF
2017-05-17,98040,98040,98040,98040,0,CMF
2017-05-18,98040,98040,98040,98040,0,CMF
2017-05-19,98040,98040,98040,98040,1,CMF
2017-05-22,98040,98040,98040,98040,0,CMF
2017-05-23,98040,98040,98040,98040,50,CMF
2017-05-24,98040,98040,98040,98040,0,CMF
2017-05-25,83340,83340,83340,83340,100,CMF
2017-05-26,83340,83340,83340,83340,0,CMF
2017-05-29,83340,83340,83340,83340,0,CMF
2017-05-30,83340,83340,83340,83340,0,CMF
2017-05-31,83340,83340,83340,83340,0,CMF
2017-06-01,83340,83340,83340,83340,0,CMF
2017-06-02,95820,95820,95820,95820,2100,CMF
2017-06-05,95820,95820,95820,95820,0,CMF
2017-06-06,95820,95820,95820,95820,10,CMF
2017-06-07,95820,95820,95820,95820,0,CMF
2017-06-08,95820,95820,95820,95820,0,CMF
2017-06-09,95820,95820,95820,95820,0,CMF
2017-06-12,95820,95820,95820,95820,0,CMF
2017-06-13,95820,95820,95820,95820,0,CMF
2017-06-14,95820,95820,95820,95820,0,CMF
2017-06-15,95820,95820,95820,95820,0,CMF
2017-06-16,95820,95820,95820,95820,0,CMF
2017-06-19,95820,95820,95820,95820,0,CMF
2017-06-20,95820,95820,95820,95820,0,CMF
2017-06-21,95820,95820,95820,95820,0,CMF
2017-06-22,95820,95820,95820,95820,0,CMF
2017-06-23,95820,95820,95820,95820,0,CMF
2017-06-26,95820,95820,95820,95820,0,CMF
2017-06-27,95820,95820,95820,95820,0,CMF
2017-06-28,95820,95820,95820,95820,0,CMF
2017-06-29,95820,95820,95820,95820,0,CMF
2017-06-30,95820,95820,95820,95820,0,CMF
2017-07-03,95820,95820,95820,95820,0,CMF
2017-07-04,95820,95820,95820,95820,0,CMF
2017-07-05,95820,95820,95820,95820,0,CMF
2017-07-06,95820,95820,95820,95820,0,CMF
2017-07-07,95820,95820,95820,95820,0,CMF
2017-07-10,95820,95820,95820,95820,0,CMF
2017-07-11,95820,95820,95820,95820,0,CMF
2017-07-12,95820,95820,95820,95820,0,CMF
2017-07-13,95820,95820,95820,95820,0,CMF
2017-07-14,95820,95820,95820,95820,0,CMF
2017-07-17,95820,95820,95820,95820,0,CMF
2017-07-18,95820,95820,95820,95820,0,CMF
2017-07-19,95820,95820,95820,95820,0,CMF
2017-07-20,95820,95820,95820,95820,0,CMF
2017-07-21,95820,95820,95820,95820,0,CMF
2017-07-24,95820,95820,95820,95820,0,CMF
2017-07-25,95820,95820,95820,95820,0,CMF
2017-07-26,95820,95820,95820,95820,0,CMF
2017-07-27,95820,95820,95820,95820,0,CMF
2017-07-28,95820,95820,95820,95820,0,CMF
2017-07-31,95820,95820,95820,95820,0,CMF
2017-08-01,95820,95820,95820,95820,0,CMF
2017-08-02,95820,95820,95820,95820,0,CMF
2017-08-03,95820,95820,95820,95820,0,CMF
2017-08-04,95820,95820,95820,95820,0,CMF
2017-08-07,95820,95820,95820,95820,0,CMF
2017-08-08,95820,95820,95820,95820,0,CMF
2017-08-09,95820,95820,95820,95820,0,CMF
2017-08-10,95820,95820,95820,95820,0,CMF
2017-08-11,95820,95820,95820,95820,0,CMF
2017-08-14,95820,95820,95820,95820,0,CMF
2017-08-15,95820,95820,95820,95820,0,CMF
2017-08-16,95820,95820,95820,95820,0,CMF
2017-08-17,95820,95820,95820,95820,0,CMF
2017-08-18,95820,95820,95820,95820,0,CMF
2017-08-21,95820,95820,95820,95820,0,CMF
2017-08-22,73900,73900,73900,73900,500,CMF
2017-08-23,73900,73900,73900,73900,0,CMF
2017-08-24,73900,73900,73900,73900,0,CMF
2017-08-25,73900,73900,73900,73900,0,CMF
2017-08-28,73900,73900,73900,73900,0,CMF
2017-08-29,73900,73900,73900,73900,1,CMF
2017-08-30,73900,73900,73900,73900,0,CMF
2017-08-31,73900,73900,73900,73900,0,CMF
2017-09-01,73900,73900,73900,73900,0,CMF
2017-09-05,73900,73900,73900,73900,10000,CMF
2017-09-06,73900,73900,73900,73900,0,CMF
2017-09-07,73900,73900,73900,73900,0,CMF
2017-09-08,73900,73900,73900,73900,43,CMF
2017-09-11,73900,73900,73900,73900,0,CMF
2017-09-12,73900,73900,73900,73900,0,CMF
2017-09-13,73900,73900,73900,73900,0,CMF
2017-09-14,73900,73900,73900,73900,0,CMF
2017-09-15,73900,73900,73900,73900,0,CMF
2017-09-18,73900,73900,73900,73900,0,CMF
2017-09-19,73900,73900,73900,73900,50,CMF
2017-09-20,73900,73900,73900,73900,0,CMF
2017-09-21,73900,73900,73900,73900,0,CMF
2017-09-22,73900,73900,73900,73900,0,CMF
2017-09-25,73900,73900,73900,73900,0,CMF
2017-09-26,73900,73900,73900,73900,0,CMF
2017-09-27,73900,73900,73900,73900,0,CMF
2017-09-28,73900,73900,73900,73900,0,CMF
2017-09-29,73900,73900,73900,73900,0,CMF
2017-10-02,73900,73900,73900,73900,0,CMF
2017-10-03,73900,73900,73900,73900,0,CMF
2017-10-04,73900,73900,73900,73900,0,CMF
2017-10-05,73900,73900,73900,73900,0,CMF
2017-10-06,73900,73900,73900,73900,0,CMF
2017-10-09,73900,73900,73900,73900,10,CMF
2017-10-10,73900,73900,73900,73900,0,CMF
2017-10-11,73900,73900,73900,73900,0,CMF
2017-10-12,73900,73900,73900,73900,0,CMF
2017-10-13,45980,45980,45980,45980,100,CMF
2017-10-16,45980,45980,45980,45980,0,CMF
2017-10-17,45980,45980,45980,45980,0,CMF
2017-10-18,45980,45980,45980,45980,0,CMF
2017-10-19,45980,45980,45980,45980,0,CMF
2017-10-20,45980,45980,45980,45980,20,CMF
2017-10-23,45980,45980,45980,45980,0,CMF
2017-10-24,45980,45980,45980,45980,0,CMF
2017-10-25,45980,45980,45980,45980,0,CMF
2017-10-26,45980,45980,45980,45980,30,CMF
2017-10-27,52880,52880,52880,52880,100,CMF
2017-10-30,52880,52880,52880,52880,0,CMF
2017-10-31,52880,52880,52880,52880,0,CMF
2017-11-01,52880,52880,52880,52880,0,CMF
2017-11-02,60760,60760,60760,60760,100,CMF
2017-11-03,60760,60760,60760,60760,0,CMF
2017-11-06,60760,60760,60760,60760,0,CMF
2017-11-07,60760,60760,60760,60760,0,CMF
2017-11-08,60760,60760,60760,60760,0,CMF
2017-11-09,60760,60760,60760,60760,0,CMF
2017-11-10,60760,60760,60760,60760,0,CMF
2017-11-13,60760,60760,60760,60760,0,CMF
2017-11-14,60760,60760,60760,60760,0,CMF
2017-11-15,60760,60760,60760,60760,0,CMF
2017-11-16,60760,60760,60760,60760,0,CMF
2017-11-17,60760,60760,60760,60760,0,CMF
2017-11-20,60760,60760,60760,60760,0,CMF
2017-11-21,69790,69790,51640,51640,1100,CMF
2017-11-22,78330,78330,57970,57970,200,CMF
2017-11-23,68160,68160,68160,68160,0,CMF
2017-11-24,68160,68160,68160,68160,0,CMF
2017-11-27,68160,68160,68160,68160,0,CMF
2017-11-28,57970,78330,57970,57970,2800,CMF
2017-11-29,64700,64700,64700,64700,110,CMF
2017-11-30,55840,55840,55840,55840,100,CMF
2017-12-01,55840,55840,55840,55840,0,CMF
2017-12-04,55840,55840,55840,55840,0,CMF
2017-12-05,55840,55840,55840,55840,0,CMF
2017-12-06,55840,55840,55840,55840,0,CMF
2017-12-07,55840,55840,55840,55840,10,CMF
2017-12-08,55840,55840,55840,55840,0,CMF
2017-12-11,55840,55840,55840,55840,0,CMF
2017-12-12,64209,64209,47540,47540,200,CMF
2017-12-13,55920,55920,55920,55920,0,CMF
2017-12-14,48440,48440,48440,48440,100,CMF
2017-12-15,41880,41880,41880,41880,100,CMF
2017-12-18,41880,41880,41880,41880,0,CMF
2017-12-19,41880,41880,41880,41880,0,CMF
2017-12-20,48120,48120,48120,48120,104,CMF
2017-12-21,55260,55260,55260,55260,102,CMF
2017-12-22,63470,63470,63470,63470,100,CMF
2017-12-25,72910,72910,54030,54030,303,CMF
2017-12-26,69380,69380,53450,53450,712,CMF
2017-12-27,66590,66590,66590,66590,100,CMF
2017-12-28,76530,76530,76530,76530,108,CMF
2017-12-29,87940,87940,87940,87940,100,CMF
2018-01-02,101070,101070,101070,101070,100,CMF
2018-01-03,101070,101070,101070,101070,10,CMF
2018-01-04,101070,101070,101070,101070,0,CMF
2018-01-05,101070,101070,101070,101070,0,CMF
2018-01-08,101070,101070,101070,101070,0,CMF
2018-01-09,101070,101070,101070,101070,0,CMF
2018-01-10,101070,101070,101070,101070,0,CMF
2018-01-11,101070,101070,101070,101070,0,CMF
2018-01-12,101070,101070,101070,101070,0,CMF
2018-01-15,101070,101070,101070,101070,0,CMF
2018-01-16,101070,101070,101070,101070,0,CMF
2018-01-17,101070,101070,101070,101070,0,CMF
2018-01-18,101070,101070,101070,101070,0,CMF
2018-01-19,101070,101070,101070,101070,0,CMF
2018-01-22,101070,101070,101070,101070,0,CMF
2018-01-23,101070,101070,101070,101070,0,CMF
2018-01-24,101070,101070,101070,101070,0,CMF
2018-01-25,101070,101070,101070,101070,30,CMF
2018-01-26,101070,101070,101070,101070,0,CMF
2018-01-29,101070,101070,101070,101070,0,CMF
2018-01-30,101070,101070,101070,101070,0,CMF
2018-01-31,101070,101070,101070,101070,0,CMF
2018-02-01,101070,101070,101070,101070,0,CMF
2018-02-02,101070,101070,101070,101070,5,CMF
2018-02-05,101070,101070,101070,101070,0,CMF
2018-02-06,101070,101070,101070,101070,0,CMF
2018-02-07,101070,101070,101070,101070,0,CMF
2018-02-08,101070,101070,101070,101070,0,CMF
2018-02-09,101070,101070,101070,101070,0,CMF
2018-02-12,101070,101070,101070,101070,0,CMF
2018-02-13,101070,101070,101070,101070,0,CMF
2018-02-21,101070,101070,101070,101070,0,CMF
2018-02-22,101070,101070,101070,101070,0,CMF
2018-02-23,101070,101070,101070,101070,0,CMF
2018-02-26,101070,101070,101070,101070,0,CMF
2018-02-27,101070,101070,101070,101070,0,CMF
2018-02-28,101070,101070,101070,101070,0,CMF
2018-03-01,101070,101070,101070,101070,0,CMF
2018-03-02,101070,101070,101070,101070,0,CMF
2018-03-05,101070,101070,101070,101070,0,CMF
2018-03-06,101070,101070,101070,101070,0,CMF
2018-03-07,101070,101070,101070,101070,0,CMF
2018-03-08,101070,101070,101070,101070,0,CMF
2018-03-09,101070,101070,101070,101070,0,CMF
2018-03-12,101070,101070,101070,101070,0,CMF
2018-03-13,101070,101070,101070,101070,0,CMF
2018-03-14,101070,101070,101070,101070,0,CMF
2018-03-15,101070,101070,101070,101070,0,CMF
2018-03-16,101070,101070,101070,101070,0,CMF
2018-03-19,101070,101070,101070,101070,0,CMF
2018-03-20,101070,101070,101070,101070,0,CMF
2018-03-21,101070,101070,101070,101070,0,CMF
2018-03-22,101070,101070,101070,101070,0,CMF
2018-03-23,101070,101070,101070,101070,0,CMF
2018-03-26,101070,101070,101070,101070,0,CMF
2018-03-27,101070,101070,101070,101070,0,CMF
2018-03-28,101070,101070,101070,101070,0,CMF
2018-03-29,101070,101070,101070,101070,0,CMF
2018-03-30,101070,101070,101070,101070,0,CMF
2018-04-02,101070,101070,101070,101070,0,CMF
2018-04-03,101070,101070,101070,101070,0,CMF
2018-04-04,101070,101070,101070,101070,0,CMF
2018-04-05,101070,101070,101070,101070,0,CMF
2018-04-06,101070,101070,101070,101070,0,CMF
2018-04-09,101070,101070,101070,101070,0,CMF
2018-04-10,101070,101070,101070,101070,0,CMF
2018-04-11,101070,101070,101070,101070,0,CMF
2018-04-12,101070,101070,101070,101070,0,CMF
2018-04-13,101070,101070,101070,101070,0,CMF
2018-04-16,105580,105580,105580,105580,1400,CMF
2018-04-17,105580,105580,105580,105580,0,CMF
2018-04-18,105580,105580,105580,105580,0,CMF
2018-04-19,105580,105580,105580,105580,0,CMF
2018-04-20,105580,105580,105580,105580,0,CMF
2018-04-23,105580,105580,105580,105580,0,CMF
2018-04-24,105580,105580,105580,105580,0,CMF
2018-04-26,105580,105580,105580,105580,0,CMF
2018-04-27,105580,105580,105580,105580,0,CMF
2018-05-02,105580,105580,105580,105580,0,CMF
2018-05-03,105580,105580,105580,105580,0,CMF
2018-05-04,105580,105580,105580,105580,0,CMF
2018-05-07,105580,105580,105580,105580,0,CMF
2018-05-08,105580,105580,105580,105580,0,CMF
2018-05-09,105580,105580,105580,105580,0,CMF
2018-05-10,105580,105580,105580,105580,0,CMF
2018-05-11,105580,105580,105580,105580,0,CMF
2018-05-14,105580,105580,105580,105580,0,CMF
2018-05-15,105580,105580,105580,105580,0,CMF
2018-05-16,105580,105580,105580,105580,0,CMF
2018-05-17,105580,105580,105580,105580,0,CMF
2018-05-18,105580,105580,105580,105580,0,CMF
2018-05-21,105580,105580,105580,105580,0,CMF
2018-05-22,105580,105580,105580,105580,0,CMF
2018-05-23,105580,105580,105580,105580,1,CMF
2018-05-24,105580,105580,105580,105580,0,CMF
2018-05-25,105580,105580,105580,105580,2,CMF
2018-05-28,105580,105580,105580,105580,0,CMF
2018-05-29,105580,105580,105580,105580,0,CMF
2018-05-30,105580,105580,105580,105580,0,CMF
2018-05-31,105580,105580,105580,105580,0,CMF
2018-06-01,105580,105580,105580,105580,0,CMF
2018-06-04,105580,105580,105580,105580,0,CMF
2018-06-05,105580,105580,105580,105580,0,CMF
2018-06-06,105580,105580,105580,105580,0,CMF
2018-06-07,105580,105580,105580,105580,0,CMF
2018-06-08,105580,105580,105580,105580,0,CMF
2018-06-11,105580,105580,105580,105580,0,CMF
2018-06-12,105580,105580,105580,105580,0,CMF
2018-06-13,105580,105580,105580,105580,0,CMF
2018-06-14,105580,105580,105580,105580,0,CMF
2018-06-15,105580,105580,105580,105580,0,CMF
2018-06-18,105580,105580,105580,105580,0,CMF
2018-06-19,105580,105580,105580,105580,0,CMF
2018-06-20,105580,105580,105580,105580,0,CMF
2018-06-21,105580,105580,105580,105580,0,CMF
2018-06-22,105580,105580,105580,105580,0,CMF
2018-06-25,105580,105580,105580,105580,0,CMF
2018-06-26,105580,105580,105580,105580,0,CMF
2018-06-27,105580,105580,105580,105580,0,CMF
2018-06-28,105580,105580,105580,105580,0,CMF
2018-06-29,105580,105580,105580,105580,0,CMF
2018-07-02,105580,105580,105580,105580,0,CMF
2018-07-03,105580,105580,105580,105580,0,CMF
2018-07-04,105580,105580,105580,105580,0,CMF
2018-07-05,105580,105580,105580,105580,0,CMF
2018-07-06,105580,105580,105580,105580,0,CMF
2018-07-09,105580,105580,105580,105580,0,CMF
2018-07-10,105580,105580,105580,105580,0,CMF
2018-07-11,105580,105580,105580,105580,0,CMF
2018-07-12,105580,105580,105580,105580,0,CMF
2018-07-13,105580,105580,105580,105580,0,CMF
2018-07-16,105580,105580,105580,105580,0,CMF
2018-07-17,105580,105580,105580,105580,0,CMF
2018-07-18,105580,105580,105580,105580,0,CMF
2018-07-19,105580,105580,105580,105580,0,CMF
2018-07-20,105580,105580,105580,105580,0,CMF
2018-07-23,105580,105580,105580,105580,0,CMF
2018-07-24,105580,105580,105580,105580,0,CMF
2018-07-25,105580,105580,105580,105580,0,CMF
2018-07-26,105580,105580,105580,105580,0,CMF
2018-07-27,105580,105580,105580,105580,0,CMF
2018-07-30,105580,105580,105580,105580,0,CMF
2018-07-31,105580,105580,105580,105580,0,CMF
2018-08-01,105580,105580,105580,105580,0,CMF
2018-08-02,105580,105580,105580,105580,0,CMF
2018-08-03,105580,105580,105580,105580,0,CMF
2018-08-06,105580,105580,105580,105580,0,CMF
2018-08-07,105580,105580,105580,105580,0,CMF
2018-08-08,105580,105580,105580,105580,0,CMF
