time,open,high,low,close,volume,ticker
2012-03-20,2500,2500,2460,2500,8610,CMG
2012-03-21,2500,2540,2460,2540,24650,CMG
2012-03-22,2460,2500,2430,2430,15890,CMG
2012-03-23,2460,2540,2460,2540,42040,CMG
2012-03-26,2650,2650,2500,2610,17120,CMG
2012-03-27,2650,2650,2540,2610,11820,CMG
2012-03-28,2610,2610,2540,2570,5630,CMG
2012-03-29,2570,2570,2460,2570,13720,CMG
2012-03-30,2540,2540,2460,2460,65000,CMG
2012-04-03,2540,2540,2500,2500,500,CMG
2012-04-04,2540,2540,2460,2540,29670,CMG
2012-04-05,2540,2540,2540,2540,10210,CMG
2012-04-06,2540,2570,2540,2570,12250,CMG
2012-04-09,2570,2570,2500,2570,1440,CMG
2012-04-10,2570,2570,2500,2570,16820,CMG
2012-04-11,2570,2570,2540,2540,9540,CMG
2012-04-12,2540,2570,2500,2540,13080,CMG
2012-04-13,2540,2610,2540,2610,22250,CMG
2012-04-16,2610,2650,2610,2610,16880,CMG
2012-04-17,2570,2680,2570,2680,39300,CMG
2012-04-18,2610,2680,2570,2680,10670,CMG
2012-04-19,2680,2680,2570,2650,7400,CMG
2012-04-20,2610,2650,2570,2570,9710,CMG
2012-04-23,2500,2540,2460,2540,19010,CMG
2012-04-24,2570,2570,2540,2540,8420,CMG
2012-04-25,2570,2650,2540,2610,51860,CMG
2012-04-26,2570,2570,2570,2570,160,CMG
2012-04-27,2610,2610,2540,2610,21720,CMG
2012-05-02,2650,2720,2610,2720,134790,CMG
2012-05-03,2720,2760,2650,2720,18840,CMG
2012-05-04,2720,2720,2650,2720,53920,CMG
2012-05-07,2720,2840,2720,2840,130750,CMG
2012-05-08,2950,2950,2880,2950,205600,CMG
2012-05-09,3070,3070,2990,3070,68650,CMG
2012-05-10,3180,3220,3070,3220,180840,CMG
2012-05-11,3260,3260,3110,3140,73520,CMG
2012-05-14,3110,3110,2990,2990,77090,CMG
2012-05-15,2880,2880,2880,2880,12410,CMG
2012-05-16,2760,2760,2760,2760,22850,CMG
2012-05-17,2650,2760,2650,2650,80900,CMG
2012-05-18,2570,2610,2540,2540,73610,CMG
2012-05-21,2650,2650,2650,2650,18060,CMG
2012-05-22,2650,2650,2540,2540,52410,CMG
2012-05-23,2500,2500,2430,2430,41670,CMG
2012-05-24,2460,2460,2310,2310,36100,CMG
2012-05-25,2390,2430,2270,2430,32930,CMG
2012-05-28,2460,2460,2310,2310,51380,CMG
2012-05-29,2200,2200,2200,2200,35250,CMG
2012-05-30,2120,2200,2120,2200,98230,CMG
2012-05-31,2200,2200,2120,2120,12520,CMG
2012-06-01,2200,2200,2040,2040,20850,CMG
2012-06-04,1970,2000,1970,1970,44680,CMG
2012-06-05,1930,2040,1930,2040,10530,CMG
