time,open,high,low,close,volume,ticker
2017-07-10,23090,23090,23090,23090,200,CMN
2017-07-11,26530,26530,26210,26530,22500,CMN
2017-07-12,30500,30500,30500,30500,4000,CMN
2017-07-13,30500,30500,30500,30500,50,CMN
2017-07-14,32610,32610,30500,30680,8300,CMN
2017-07-17,30750,30750,30750,30750,1000,CMN
2017-07-18,26150,26600,26150,26600,400,CMN
2017-07-19,26210,26210,26210,26210,100,CMN
2017-07-20,26210,26860,26210,26860,2800,CMN
2017-07-21,27490,27490,26860,26860,1600,CMN
2017-07-24,26860,26860,26860,26860,400,CMN
2017-07-25,26860,26860,26860,26860,510,CMN
2017-07-26,26910,27180,26860,26860,1800,CMN
2017-07-27,26860,26860,26860,26860,100,CMN
2017-07-28,26210,26210,26210,26210,500,CMN
2017-07-31,26280,26280,26280,26280,300,CMN
2017-08-01,26280,26280,26280,26280,0,CMN
2017-08-02,26280,26280,26280,26280,0,CMN
2017-08-03,26280,26280,26280,26280,0,CMN
2017-08-04,22380,23020,22380,22690,2120,CMN
2017-08-07,22570,22570,22570,22570,10,CMN
2017-08-08,23330,23330,22250,22250,1100,CMN
2017-08-09,23020,23020,22380,22380,800,CMN
2017-08-10,22760,22760,22760,22760,0,CMN
2017-08-11,22760,22760,22760,22760,0,CMN
2017-08-14,22760,22760,22760,22760,0,CMN
2017-08-15,23020,24300,23020,24300,6400,CMN
2017-08-16,24100,24100,24100,24100,0,CMN
2017-08-17,24100,24100,24100,24100,0,CMN
2017-08-18,24100,24100,24100,24100,0,CMN
2017-08-21,21740,21740,21740,21740,700,CMN
2017-08-22,19240,19240,19240,19240,100,CMN
2017-08-23,19240,19240,19240,19240,0,CMN
2017-08-24,19240,19240,19240,19240,0,CMN
2017-08-25,19240,19240,19240,19240,0,CMN
2017-08-28,19240,19240,19240,19240,0,CMN
2017-08-29,22120,22120,22050,22120,3100,CMN
2017-08-30,22120,22120,22120,22120,0,CMN
2017-08-31,22120,22120,22120,22120,0,CMN
2017-09-01,22120,22120,22120,22120,0,CMN
2017-09-05,22380,22380,22120,22120,11100,CMN
2017-09-06,22120,22120,22120,22120,0,CMN
2017-09-07,22120,22120,22120,22120,0,CMN
2017-09-08,22120,22120,22120,22120,0,CMN
2017-09-11,22120,22120,22120,22120,0,CMN
2017-09-12,22120,22120,22120,22120,0,CMN
2017-09-13,23020,23020,23020,23020,1000,CMN
2017-09-14,23020,23020,23020,23020,0,CMN
2017-09-15,24100,24100,24100,24100,200,CMN
