time,open,high,low,close,volume,ticker
2012-03-20,2870,2870,2870,2870,0,CMX
2012-03-21,2750,2750,2750,2750,70,CMX
2012-03-22,2810,2810,2810,2810,1060,CMX
2012-03-23,2750,2810,2690,2810,7330,CMX
2012-03-26,2750,2930,2690,2930,5860,CMX
2012-03-27,2930,3050,2810,3050,31110,CMX
2012-03-28,3050,3050,2930,3050,10070,CMX
2012-03-29,2930,2930,2930,2930,60,CMX
2012-03-30,2810,2810,2810,2810,3930,CMX
2012-04-03,2750,2750,2750,2750,3000,CMX
2012-04-04,2750,2750,2750,2750,0,CMX
2012-04-05,2810,2810,2810,2810,100,CMX
2012-04-06,2690,2690,2690,2690,4500,CMX
2012-04-09,2570,2690,2570,2690,11800,CMX
2012-04-10,2630,2630,2570,2570,7400,CMX
2012-04-11,2690,2690,2570,2690,7000,CMX
2012-04-12,2690,2690,2570,2570,20180,CMX
2012-04-13,2570,2570,2450,2450,47310,CMX
2012-04-16,2450,2510,2450,2510,4800,CMX
2012-04-17,2570,2570,2450,2510,7040,CMX
2012-04-18,2510,2510,2390,2510,105490,CMX
2012-04-19,2570,2630,2570,2570,24650,CMX
2012-04-20,2570,2690,2570,2690,40170,CMX
2012-04-23,2570,2810,2570,2810,1290,CMX
2012-04-24,2690,2690,2690,2690,12330,CMX
2012-04-25,2690,2750,2630,2630,6870,CMX
2012-04-26,2570,2630,2570,2630,7700,CMX
2012-04-27,2570,2750,2570,2750,38850,CMX
2012-05-02,2870,2870,2810,2810,36050,CMX
2012-05-03,2810,2930,2810,2930,84260,CMX
2012-05-04,3050,3050,3050,3050,35490,CMX
2012-05-07,3170,3170,3170,3170,32600,CMX
2012-05-08,3280,3280,3280,3280,320,CMX
2012-05-09,3400,3400,3400,3400,30940,CMX
2012-05-10,3520,3520,3520,3520,18020,CMX
2012-05-11,3640,3640,3640,3640,26180,CMX
2012-05-14,3820,3820,3460,3460,64960,CMX
2012-05-15,3340,3460,3340,3340,30130,CMX
2012-05-16,3220,3460,3220,3460,25500,CMX
2012-05-17,3580,3580,3580,3580,15810,CMX
2012-05-18,3700,3700,3580,3640,23310,CMX
2012-05-21,3700,3700,3580,3700,22960,CMX
2012-05-22,3580,3580,3520,3520,10810,CMX
2012-05-23,3580,3580,3400,3400,110,CMX
2012-05-24,3400,3400,3280,3280,9070,CMX
2012-05-25,3170,3280,3170,3170,28050,CMX
