time,open,high,low,close,volume,ticker
2020-08-18,9490,9490,9490,9490,0,CQN
2020-08-19,13200,13200,13200,13200,1100,CQN
2020-08-20,15160,15160,15160,15160,500,CQN
2020-08-21,17400,17400,17400,17400,700,CQN
2020-08-24,19970,19970,19970,19970,4081,CQN
2020-08-25,22920,22920,22920,22920,12200,CQN
2020-08-26,26340,26340,26340,26340,5700,CQN
2020-08-27,30230,30230,30230,30230,16839,CQN
2020-08-28,34730,34730,25720,25720,13883,CQN
2020-08-31,25020,25020,25020,25020,2436,CQN
2020-09-01,25020,25020,25020,25020,347,CQN
2020-09-03,25020,25020,25020,25020,122,CQN
2020-09-04,21300,21300,21300,21300,2708,CQN
2020-09-07,18110,18110,18110,18110,800,CQN
2020-09-08,15460,18110,15460,15460,28893,CQN
2020-09-09,15460,17950,15460,17950,7221,CQN
2020-09-10,18810,18810,18810,18810,8193,CQN
2020-09-11,19270,19270,17100,18580,15372,CQN
2020-09-14,17880,18640,16320,16630,13191,CQN
2020-09-15,16790,19040,16320,18260,44378,CQN
2020-09-16,18020,18640,17880,17880,22200,CQN
2020-09-17,18110,18410,17880,17880,33150,CQN
2020-09-18,17170,18180,17100,17480,6836,CQN
2020-09-21,17100,17170,17100,17100,3443,CQN
2020-09-22,18260,18260,16400,16710,1647,CQN
2020-09-23,16710,17880,16710,17100,4374,CQN
2020-09-24,17330,17330,16320,16400,8735,CQN
2020-09-25,17100,17100,16090,16090,1920,CQN
2020-09-28,16710,17790,15620,17400,9989,CQN
2020-09-29,17100,17170,16090,16630,4907,CQN
2020-09-30,15920,17170,15920,17170,5492,CQN
2020-10-01,16940,19430,16940,19430,32581,CQN
2020-10-02,18410,19040,18340,18410,17824,CQN
2020-10-05,18490,18810,18260,18340,40124,CQN
2020-10-06,17880,18260,17480,18260,6337,CQN
2020-10-07,18260,19430,17880,18640,25556,CQN
2020-10-08,18640,18720,18410,18640,4749,CQN
2020-10-09,17560,18580,17100,17880,2828,CQN
2020-10-12,17480,17560,17100,17100,11826,CQN
2020-10-13,17250,17250,16320,16320,5100,CQN
2020-10-14,16400,16480,15920,16480,1000,CQN
2020-10-15,17100,17100,16320,16320,800,CQN
2020-10-16,16940,17100,16710,16710,3500,CQN
2020-10-19,15690,16480,15690,16480,1710,CQN
2020-10-20,16320,16320,16320,16320,2670,CQN
2020-10-21,16320,16320,16320,16320,3884,CQN
2020-10-22,16320,16320,16320,16320,0,CQN
2020-10-23,15920,15920,15920,15920,1471,CQN
2020-10-26,15920,15920,15540,15540,999,CQN
2020-10-27,15540,15540,15540,15540,208,CQN
2020-10-28,15160,15160,14070,14070,670,CQN
2020-10-29,15540,15540,15540,15540,624,CQN
2020-10-30,15540,15540,15540,15540,0,CQN
2020-11-02,14760,14760,14760,14760,1500,CQN
2020-11-03,14070,14370,13600,13600,12920,CQN
2020-11-04,14760,14760,13990,14760,2970,CQN
2020-11-05,14450,14450,14450,14450,0,CQN
2020-11-06,14070,14070,14070,14070,520,CQN
2020-11-09,14370,15160,14370,15160,600,CQN
2020-11-10,15920,15920,15920,15920,100,CQN
2020-11-11,16710,16710,14070,15860,400,CQN
2020-11-12,15920,15920,14300,14370,2342,CQN
2020-11-13,14070,14070,14070,14070,701,CQN
2020-11-16,14070,14070,14070,14070,100,CQN
2020-11-17,14220,15160,14070,14370,5573,CQN
2020-11-18,12510,15540,12510,15390,2298,CQN
2020-11-19,15230,15230,14450,15230,3878,CQN
2020-11-20,14760,14760,14370,14450,3196,CQN
2020-11-23,14450,14760,14450,14450,5870,CQN
2020-11-24,16070,16070,16070,16070,100,CQN
2020-11-25,15900,15980,15900,15980,702,CQN
2020-11-26,15900,15980,15900,15980,611,CQN
2020-11-27,15900,15900,15900,15900,100,CQN
2020-11-30,14440,15470,14440,15470,881,CQN
2020-12-01,15030,15290,15030,15290,3928,CQN
2020-12-02,15900,17180,15900,17180,4400,CQN
2020-12-03,16760,17180,16760,17180,2250,CQN
2020-12-04,16920,16920,16920,16920,202,CQN
2020-12-07,16920,16920,16920,16920,2238,CQN
2020-12-08,16920,16920,16329,16329,6165,CQN
2020-12-09,16490,16490,16160,16160,310,CQN
2020-12-10,16239,16239,16239,16239,0,CQN
2020-12-11,16239,16239,16239,16239,0,CQN
2020-12-14,16239,16239,16239,16239,0,CQN
2020-12-15,15900,15900,15640,15640,570,CQN
2020-12-16,15470,15470,15030,15030,2500,CQN
2020-12-17,15130,15130,15130,15130,0,CQN
2020-12-18,15130,15130,15130,15130,100,CQN
2020-12-21,15130,15130,15130,15130,0,CQN
2020-12-22,15130,15130,15130,15130,0,CQN
2020-12-23,14950,14950,14780,14780,214,CQN
2020-12-24,14010,14010,14010,14010,600,CQN
2020-12-25,15130,15130,15130,15130,112,CQN
2020-12-28,15130,15130,15130,15130,0,CQN
2020-12-29,15130,15130,14780,14870,871,CQN
2020-12-30,15030,15030,15030,15030,0,CQN
2020-12-31,13930,13930,13930,13930,1370,CQN
2021-01-04,15030,15030,15030,15030,110,CQN
2021-01-05,15030,15030,15030,15030,200,CQN
