time,open,high,low,close,volume,ticker
2015-11-05,8590,8590,8590,8590,27900,DAT
2015-11-06,9140,9140,9140,9140,110,DAT
2015-11-09,9750,9750,9750,9750,94040,DAT
2015-11-10,10410,10410,10070,10070,115370,DAT
2015-11-11,10740,10740,9910,9960,31980,DAT
2015-11-12,9960,10520,9850,9960,10980,DAT
2015-11-13,10130,10130,9750,9910,29830,DAT
2015-11-16,9910,10020,9850,9960,20050,DAT
2015-11-17,9960,10020,9960,9960,32150,DAT
2015-11-18,9960,10020,9800,10020,37360,DAT
2015-11-19,9960,10190,9960,10130,25310,DAT
2015-11-20,10130,10250,10130,10190,35200,DAT
2015-11-23,10250,10850,10190,10850,75120,DAT
2015-11-24,11010,11560,11010,11560,21250,DAT
2015-11-25,11560,12340,11400,12340,21120,DAT
2015-11-26,13160,13160,12450,13110,6680,DAT
2015-11-27,12940,13760,12830,12830,43610,DAT
2015-11-30,12660,12880,12610,12610,49430,DAT
2015-12-01,12610,12770,12610,12660,26970,DAT
2015-12-02,12660,13550,12340,13550,47220,DAT
2015-12-03,13710,14480,13380,14480,47470,DAT
2015-12-04,14540,14860,14430,14700,51060,DAT
2015-12-07,14750,14750,14590,14700,35320,DAT
2015-12-08,14750,15690,14540,15690,29550,DAT
2015-12-09,16740,16740,16570,16630,39860,DAT
2015-12-10,17620,17780,16680,17560,54160,DAT
2015-12-11,18550,18770,17560,18770,32580,DAT
2015-12-14,19830,20050,19330,20050,24550,DAT
2015-12-15,21420,21420,21420,21420,4230,DAT
2015-12-16,22910,22910,22910,22910,4100,DAT
2015-12-17,24500,24500,21580,23240,73820,DAT
2015-12-18,24840,24840,23680,24500,25310,DAT
2015-12-21,24500,26210,24500,26210,16470,DAT
2015-12-22,26210,27360,26210,26760,24110,DAT
2015-12-23,26430,27250,25880,26050,35030,DAT
2015-12-24,25880,25990,25220,25880,30300,DAT
2015-12-25,25880,25880,24780,25880,38380,DAT
2015-12-28,25880,26430,25770,26430,31400,DAT
2015-12-29,26480,28080,26430,28080,18930,DAT
2015-12-30,30010,30010,29740,30010,16910,DAT
2015-12-31,31940,31940,30280,30280,3550,DAT
2016-01-04,28350,31940,28350,28350,480,DAT
2016-01-05,26370,26710,26370,26430,19240,DAT
2016-01-06,26430,26430,24840,25000,25880,DAT
2016-01-07,25000,25000,23290,23350,32740,DAT
2016-01-08,23350,23450,23290,23350,38400,DAT
2016-01-11,23350,23450,23290,23400,13660,DAT
2016-01-12,23450,23900,23400,23900,31520,DAT
2016-01-13,23900,24010,23850,23900,33330,DAT
2016-01-14,23900,23900,23680,23680,25470,DAT
2016-01-15,23620,23680,23350,23510,30190,DAT
2016-01-18,23450,23450,23400,23450,17240,DAT
2016-01-19,23450,23900,23450,23900,42010,DAT
2016-01-20,23950,23950,23850,23900,16310,DAT
2016-01-21,23790,23950,23680,23850,32360,DAT
2016-01-22,23850,23950,23620,23950,36870,DAT
2016-01-25,23950,24230,23950,24230,12800,DAT
2016-01-26,24230,24230,23510,23620,37250,DAT
2016-01-27,23400,23740,23020,23020,12290,DAT
2016-01-28,23020,23400,23020,23400,33470,DAT
2016-01-29,23560,23560,23400,23450,14770,DAT
2016-02-01,23510,23680,23510,23560,20260,DAT
2016-02-02,23560,23620,23290,23400,22910,DAT
2016-02-03,23400,23510,23290,23510,22310,DAT
2016-02-04,23560,23850,23560,23790,24730,DAT
2016-02-05,23790,23950,23740,23900,39600,DAT
2016-02-15,23900,23950,23740,23950,31320,DAT
2016-02-16,23950,24280,23900,24230,29540,DAT
2016-02-17,24280,24340,24230,24280,29920,DAT
2016-02-18,24280,24280,24120,24230,31080,DAT
2016-02-19,24230,24280,24060,24060,27380,DAT
2016-02-22,24010,24120,23950,24010,22160,DAT
2016-02-23,24010,24170,23740,24170,31870,DAT
2016-02-24,24170,24280,24120,24280,30470,DAT
2016-02-25,24230,24340,24170,24170,6210,DAT
2016-02-26,24230,24280,24170,24230,18080,DAT
2016-02-29,24230,24280,24060,24060,16830,DAT
2016-03-01,24120,24170,24060,24170,22430,DAT
2016-03-02,24230,24500,24230,24390,22850,DAT
2016-03-03,24450,24550,24390,24500,22110,DAT
2016-03-04,24550,24550,24280,24340,11240,DAT
2016-03-07,24390,24500,24280,24390,17690,DAT
2016-03-08,24390,24390,24230,24280,11210,DAT
2016-03-09,24280,24280,24060,24120,8940,DAT
2016-03-10,24060,24230,24060,24170,11640,DAT
2016-03-11,24170,24230,24010,24230,11130,DAT
2016-03-14,24170,24280,24120,24230,14850,DAT
2016-03-15,24170,24280,24170,24230,7150,DAT
2016-03-16,24280,24390,24170,24340,15940,DAT
2016-03-17,24390,24610,24340,24550,20350,DAT
2016-03-18,24670,24670,24450,24500,11090,DAT
2016-03-21,24500,24500,24340,24340,12120,DAT
2016-03-22,24280,24390,24280,24340,15430,DAT
2016-03-23,24340,24450,24340,24450,7790,DAT
2016-03-24,24500,24550,24390,24450,18460,DAT
2016-03-25,24450,24550,24340,24390,20090,DAT
2016-03-28,24390,24450,24280,24340,12300,DAT
2016-03-29,24280,24280,24010,24060,16250,DAT
2016-03-30,24010,24120,23950,23950,11850,DAT
2016-03-31,23950,23950,23790,23790,7940,DAT
2016-04-01,23790,23850,23620,23790,17920,DAT
2016-04-04,23790,23850,23740,23740,9210,DAT
2016-04-05,23740,23850,23680,23680,15410,DAT
2016-04-06,23620,23740,23560,23620,12030,DAT
2016-04-07,23560,23680,23560,23680,8580,DAT
2016-04-08,23680,23680,23450,23450,18450,DAT
2016-04-11,23400,23450,23290,23290,16140,DAT
2016-04-12,23130,23240,21690,21690,16070,DAT
2016-04-13,21690,21690,21360,21360,14180,DAT
2016-04-14,21310,21530,21310,21420,11720,DAT
2016-04-15,21420,21530,21360,21360,10870,DAT
2016-04-19,21360,21360,19880,19880,18240,DAT
2016-04-20,19880,19880,18500,18500,14440,DAT
2016-04-21,18550,18660,18550,18660,11710,DAT
2016-04-22,18660,18890,18610,18890,17080,DAT
2016-04-25,18890,18950,18610,18610,20390,DAT
2016-04-26,18660,18660,18450,18450,10250,DAT
2016-04-27,18450,18500,18060,18060,17020,DAT
2016-04-28,18060,18060,17840,17950,29550,DAT
2016-04-29,17950,18060,17950,18060,14170,DAT
2016-05-04,18060,18120,17950,17950,15860,DAT
2016-05-05,17950,18010,17780,17780,18890,DAT
2016-05-06,17780,17780,17620,17620,12760,DAT
2016-05-09,17620,17900,17510,17900,21930,DAT
2016-05-10,17950,18010,17670,17670,19070,DAT
2016-05-11,17730,18450,17670,18450,33130,DAT
2016-05-12,18500,18550,18450,18450,23090,DAT
2016-05-13,18450,18610,18340,18340,23190,DAT
2016-05-16,18340,18390,18280,18390,9830,DAT
2016-05-17,18340,18390,17130,17130,34820,DAT
2016-05-18,17130,17130,16960,17020,19240,DAT
2016-05-19,17020,17020,15850,16680,34900,DAT
2016-05-20,16740,16790,16630,16740,21540,DAT
2016-05-23,16790,16850,16630,16630,15770,DAT
2016-05-24,16680,16680,16350,16410,19190,DAT
2016-05-25,16410,16680,16300,16630,24350,DAT
2016-05-26,16740,16900,16740,16740,15960,DAT
2016-05-27,16790,16900,16740,16790,24160,DAT
2016-05-30,16790,16790,16680,16740,7670,DAT
2016-05-31,16740,16740,16250,16250,7270,DAT
2016-06-01,15690,15690,15150,15150,11590,DAT
2016-06-02,15150,15150,14150,14150,10460,DAT
2016-06-03,14150,14150,13870,13870,10900,DAT
2016-06-06,13870,13870,13650,13650,3420,DAT
2016-06-07,13550,13650,13550,13650,3930,DAT
2016-06-08,13650,13870,13650,13760,4190,DAT
2016-06-09,13760,13760,13650,13650,1820,DAT
2016-06-10,13650,13710,13650,13650,1590,DAT
2016-06-13,13650,13650,13550,13600,1740,DAT
2016-06-14,13600,13600,13490,13490,1650,DAT
2016-06-15,13490,13490,13330,13440,2480,DAT
2016-06-16,13440,13490,13440,13490,1460,DAT
2016-06-17,13490,13490,13380,13380,2120,DAT
2016-06-20,13380,13440,13380,13440,1750,DAT
2016-06-21,13440,13490,13050,13050,3240,DAT
2016-06-22,12940,12940,12830,12830,2190,DAT
2016-06-23,12830,12880,12830,12880,1700,DAT
2016-06-24,12880,12880,12770,12770,1690,DAT
2016-06-27,12770,12770,12550,12720,2190,DAT
2016-06-28,12660,12720,12660,12660,1380,DAT
2016-06-29,12720,12720,12720,12720,70,DAT
2016-06-30,12720,12720,12720,12720,0,DAT
2016-07-01,12720,12720,12720,12720,0,DAT
2016-07-04,12720,12720,12660,12660,120,DAT
2016-07-05,12660,12660,12660,12660,0,DAT
2016-07-06,11780,11780,11780,11780,10,DAT
2016-07-07,11780,11780,11780,11780,0,DAT
2016-07-08,11010,11010,11010,11010,50,DAT
2016-07-11,11060,11060,11010,11010,680,DAT
2016-07-12,11010,11010,10250,10250,340,DAT
2016-07-13,10250,10250,10250,10250,100,DAT
2016-07-14,10250,10250,9910,9910,300,DAT
2016-07-15,9910,9910,9910,9910,0,DAT
2016-07-18,9250,9250,9250,9250,340,DAT
2016-07-19,9250,9250,9250,9250,0,DAT
2016-07-20,9250,9250,9250,9250,0,DAT
2016-07-21,9250,9250,9250,9250,0,DAT
2016-07-22,9250,9250,9250,9250,0,DAT
2016-07-25,9250,9250,9250,9250,0,DAT
2016-07-26,9250,9250,9250,9250,0,DAT
2016-07-27,9250,9250,9250,9250,0,DAT
2016-07-28,9250,9250,9250,9250,0,DAT
2016-07-29,8650,8650,8650,8650,10,DAT
2016-08-01,8650,8650,8650,8650,0,DAT
2016-08-02,8650,8650,8650,8650,0,DAT
2016-08-03,8090,8650,8090,8650,200,DAT
2016-08-04,8650,8700,8650,8700,520,DAT
2016-08-05,8700,8700,8700,8700,0,DAT
2016-08-08,8700,8700,8700,8700,0,DAT
2016-08-09,8700,8700,8700,8700,220,DAT
2016-08-10,8700,8700,8700,8700,0,DAT
2016-08-11,8700,8700,8700,8700,100,DAT
2016-08-12,8700,8700,8700,8700,0,DAT
2016-08-15,8700,8700,8700,8700,0,DAT
2016-08-16,8700,8700,8700,8700,80,DAT
2016-08-17,8700,8700,8700,8700,0,DAT
2016-08-18,8700,8700,8700,8700,0,DAT
2016-08-19,8700,8700,8700,8700,0,DAT
2016-08-22,8750,8750,8750,8750,200,DAT
2016-08-23,8750,8750,8750,8750,1500,DAT
2016-08-24,8750,8750,8750,8750,500,DAT
2016-08-25,8750,8750,8750,8750,0,DAT
2016-08-26,8750,8750,8750,8750,0,DAT
2016-08-29,8750,8750,8750,8750,100,DAT
2016-08-30,8540,8540,8260,8260,30,DAT
2016-08-31,8260,8260,8260,8260,0,DAT
