time,open,high,low,close,volume,ticker
2012-03-20,2820,2850,2800,2840,220300,DBC
2012-03-21,2850,2900,2840,2850,358900,DBC
2012-03-22,2840,2900,2800,2860,145600,DBC
2012-03-23,2860,3010,2860,2960,295100,DBC
2012-03-26,2940,3090,2940,3040,298200,DBC
2012-03-27,3050,3070,2850,2880,474700,DBC
2012-03-28,2900,2940,2860,2930,392500,DBC
2012-03-29,2920,3110,2920,3110,863900,DBC
2012-03-30,3240,3240,3020,3020,149700,DBC
2012-04-03,3020,3090,2960,3090,142700,DBC
2012-04-04,3090,3090,3010,3010,169600,DBC
2012-04-05,2980,3040,2940,2980,183900,DBC
2012-04-06,2960,2990,2940,2960,158800,DBC
2012-04-09,2960,3170,2960,3170,349800,DBC
2012-04-10,3340,3360,3180,3260,158200,DBC
2012-04-11,3360,3440,3360,3440,329800,DBC
2012-04-12,3510,3630,3490,3510,129300,DBC
2012-04-13,3580,3580,3270,3360,428700,DBC
2012-04-16,3360,3510,3300,3490,417100,DBC
2012-04-17,3650,3650,3610,3650,3188600,DBC
2012-04-18,3900,3900,3820,3900,1495700,DBC
2012-04-19,4150,4150,3850,3900,919200,DBC
2012-04-20,3900,3900,3660,3730,498100,DBC
2012-04-23,3700,3730,3550,3600,901800,DBC
2012-04-24,3580,3610,3420,3550,531200,DBC
2012-04-25,3550,3710,3550,3660,482900,DBC
2012-04-26,3730,3730,3550,3570,378700,DBC
2012-04-27,3540,3630,3510,3570,312300,DBC
2012-05-02,3570,3610,3510,3550,742000,DBC
2012-05-03,3510,3580,3440,3580,745400,DBC
2012-05-04,3580,3790,3580,3790,1020000,DBC
2012-05-07,3820,4010,3790,3940,652200,DBC
2012-05-08,3970,3970,3770,3800,752900,DBC
2012-05-09,3750,3990,3730,3880,621100,DBC
2012-05-10,3900,3970,3750,3850,714400,DBC
2012-05-11,3850,3850,3660,3710,839400,DBC
2012-05-14,3710,3730,3460,3460,526400,DBC
2012-05-15,3320,3540,3320,3440,428700,DBC
2012-05-16,3460,3570,3420,3570,362200,DBC
2012-05-17,3610,3630,3420,3480,237500,DBC
2012-05-18,3440,3440,3260,3360,342600,DBC
2012-05-21,3270,3540,3270,3540,270000,DBC
2012-05-22,3570,3630,3490,3540,274400,DBC
2012-05-23,3510,3750,3510,3580,1200700,DBC
2012-05-24,3610,3660,3510,3600,404900,DBC
2012-05-25,3580,3730,3580,3710,629000,DBC
2012-05-28,3730,3880,3630,3650,631400,DBC
2012-05-29,3630,3650,3550,3580,300800,DBC
2012-05-30,3630,3660,3580,3580,94200,DBC
2012-05-31,3550,3570,3480,3510,443600,DBC
2012-06-01,3550,3600,3530,3570,193800,DBC
2012-06-04,3570,3820,3540,3570,396200,DBC
2012-06-05,3570,3650,3550,3630,139900,DBC
2012-06-06,3600,3650,3550,3600,132600,DBC
2012-06-07,3610,3790,3580,3710,406500,DBC
2012-06-08,3820,3820,3650,3650,187100,DBC
2012-06-11,3730,3730,3600,3600,183500,DBC
2012-06-12,3610,3610,3540,3570,180900,DBC
2012-06-13,3570,3660,3550,3550,125900,DBC
2012-06-14,3550,3630,3550,3570,160700,DBC
2012-06-15,3570,3610,3570,3610,67700,DBC
2012-06-18,3680,3680,3610,3630,123900,DBC
2012-06-19,3610,3610,3580,3580,142300,DBC
2012-06-20,3600,3600,3570,3600,87100,DBC
2012-06-21,3610,3610,3580,3580,120500,DBC
2012-06-22,3600,3610,3580,3600,142400,DBC
2012-06-25,3600,3600,3510,3530,231200,DBC
2012-06-26,3530,3530,3480,3530,237300,DBC
2012-06-27,3540,3570,3530,3530,101100,DBC
2012-06-28,3540,3550,3510,3540,28800,DBC
2012-06-29,3540,3600,3540,3570,99500,DBC
2012-07-02,3630,3650,3550,3550,31700,DBC
2012-07-03,3550,3570,3460,3490,117700,DBC
2012-07-04,3510,3510,3400,3400,53500,DBC
