time,open,high,low,close,volume,ticker
2014-08-26,4930,5500,4930,5500,22700,DGC
2014-08-27,6050,6050,6050,6050,22100,DGC
2014-08-28,6630,6630,6630,6630,34603,DGC
2014-08-29,7300,7300,5980,6650,27929,DGC
2014-09-03,6370,7060,6210,6290,7700,DGC
2014-09-04,6290,6290,5670,5670,4251,DGC
2014-09-05,5160,5670,5110,5150,16729,DGC
2014-09-08,5160,5500,5160,5500,400,DGC
2014-09-09,5210,5450,5160,5450,7900,DGC
2014-09-10,5000,5000,4930,4970,4500,DGC
2014-09-11,4930,4930,4860,4930,2500,DGC
2014-09-12,4860,4860,4710,4710,900,DGC
2014-09-15,4840,5180,4680,5160,6000,DGC
2014-09-16,4790,4790,4790,4790,1200,DGC
2014-09-17,4810,5080,4810,4930,1000,DGC
2014-09-18,5080,5150,4930,5150,2200,DGC
2014-09-19,5150,5290,5150,5290,12400,DGC
2014-09-22,5210,5570,5210,5430,13200,DGC
2014-09-23,5340,5380,5230,5350,7600,DGC
2014-09-24,5350,5430,5350,5430,2500,DGC
2014-09-25,5470,5470,5320,5320,3500,DGC
2014-09-26,5350,5380,5230,5320,6300,DGC
2014-09-29,5340,5350,5320,5350,6400,DGC
2014-09-30,5340,5340,5290,5290,900,DGC
2014-10-01,5340,5340,5340,5340,6800,DGC
2014-10-02,5340,5340,5210,5290,7000,DGC
2014-10-03,5290,5340,5280,5290,8100,DGC
2014-10-06,5260,5260,5230,5230,3800,DGC
2014-10-07,5180,5180,5160,5160,600,DGC
2014-10-08,5150,5150,5150,5150,300,DGC
2014-10-09,5150,5150,5150,5150,2400,DGC
2014-10-10,5080,5100,5080,5080,2700,DGC
2014-10-13,5080,5080,5080,5080,600,DGC
2014-10-14,5590,5590,5000,5080,2700,DGC
2014-10-15,5080,5080,4930,4950,5100,DGC
2014-10-16,5080,5120,5080,5120,6800,DGC
2014-10-17,5080,5110,5080,5110,1000,DGC
2014-10-20,5080,5100,4830,5100,18000,DGC
2014-10-21,4930,5080,4930,5000,1380,DGC
2014-10-22,4950,4950,4880,4930,11600,DGC
2014-10-23,5080,5080,4930,5070,1600,DGC
2014-10-24,4970,5080,4950,5070,6400,DGC
2014-10-27,4660,5070,4660,5050,4100,DGC
2014-10-28,5050,5050,5050,5050,1400,DGC
2014-10-29,4710,5070,4710,5070,3100,DGC
2014-10-30,4930,5020,4930,5000,2600,DGC
2014-10-31,4710,5050,4710,5050,1100,DGC
2014-11-03,4930,5150,4930,5050,12400,DGC
2014-11-04,5080,5080,5080,5080,4500,DGC
2014-11-05,5050,5050,5020,5020,2100,DGC
2014-11-06,5000,5000,5000,5000,500,DGC
2014-11-07,5050,5120,4990,4990,4700,DGC
2014-11-10,4930,4930,4930,4930,100,DGC
2014-11-11,4950,4950,4950,4950,500,DGC
2014-11-12,4950,4990,4950,4970,1300,DGC
2014-11-13,4970,5000,4950,5000,3500,DGC
2014-11-14,4930,4970,4930,4930,1300,DGC
2014-11-17,5000,5000,5000,5000,1100,DGC
2014-11-18,5000,5000,4990,4990,1500,DGC
2014-11-19,5000,5020,4990,5000,4900,DGC
2014-11-20,5000,5000,5000,5000,2000,DGC
2014-11-21,5000,5080,5000,5020,2100,DGC
2014-11-24,5020,5020,5020,5020,0,DGC
2014-11-25,4930,4930,4930,4930,1100,DGC
2014-11-26,4930,4930,4930,4930,0,DGC
2014-11-27,4650,5000,4650,5000,1600,DGC
2014-11-28,5080,5080,5080,5080,2200,DGC
2014-12-01,5080,5080,5080,5080,0,DGC
2014-12-02,4910,4910,4910,4910,500,DGC
2014-12-03,5000,5000,4930,4970,4100,DGC
2014-12-04,4930,4930,4930,4930,300,DGC
2014-12-05,4910,4910,4910,4910,100,DGC
2014-12-08,4910,4910,4910,4910,200,DGC
2014-12-09,4830,5020,4830,4860,5800,DGC
2014-12-10,4860,4860,4860,4860,0,DGC
2014-12-11,4860,4860,4860,4860,0,DGC
2014-12-12,4830,4830,4830,4830,100,DGC
2014-12-15,4520,4860,4520,4860,700,DGC
2014-12-16,4860,4860,4830,4830,700,DGC
2014-12-17,4830,4830,4710,4710,400,DGC
2014-12-18,5000,5030,5000,5030,400,DGC
2014-12-19,5080,5150,5080,5150,2300,DGC
2014-12-22,4950,4950,4910,4930,2300,DGC
2014-12-23,4930,4930,4930,4930,100,DGC
2014-12-24,4880,4880,4860,4860,300,DGC
2014-12-25,4520,4930,4520,4930,200,DGC
2014-12-26,4520,4520,4520,4520,100,DGC
2014-12-29,4790,4790,4730,4730,300,DGC
2014-12-30,4730,4730,4730,4730,0,DGC
2014-12-31,4970,4970,4790,4920,3700,DGC
2015-01-05,4860,4970,4860,4970,5400,DGC
2015-01-06,4980,4990,4990,4990,100,DGC
2015-01-07,4910,4910,4790,4790,1700,DGC
2015-01-08,4820,4930,4830,4930,10700,DGC
2015-01-09,4940,4950,4950,4950,5600,DGC
2015-01-12,4940,4950,4950,4950,5300,DGC
2015-01-13,4940,4950,4950,4950,2900,DGC
2015-01-14,4950,4950,4950,4950,0,DGC
2015-01-15,4950,4950,4950,4950,6900,DGC
2015-01-16,4950,4950,4950,4950,8000,DGC
2015-01-19,4950,4950,4950,4950,0,DGC
2015-01-20,4940,4950,4950,4950,4400,DGC
2015-01-21,4950,4950,4950,4950,4300,DGC
2015-01-22,4950,4950,4950,4950,1600,DGC
2015-01-23,4950,4950,4950,4950,0,DGC
2015-01-26,4940,4950,4950,4950,200,DGC
2015-01-27,4460,4470,4470,4470,100,DGC
2015-01-28,4910,4910,4910,4910,100,DGC
2015-01-29,5030,5040,5040,5040,100,DGC
2015-01-30,5040,5040,5040,5040,0,DGC
2015-02-02,5030,5040,5040,5040,800,DGC
2015-02-03,5040,5040,5040,5040,0,DGC
2015-02-04,5040,5040,5040,5040,0,DGC
2015-02-05,5030,5040,5040,5040,200,DGC
2015-02-06,5530,5530,5040,5040,400,DGC
2015-02-09,5280,5280,5280,5280,100,DGC
2015-02-10,5030,5040,5040,5040,300,DGC
2015-02-11,5160,5170,5170,5170,100,DGC
2015-02-12,5170,5170,5170,5170,0,DGC
2015-02-13,5170,5170,5170,5170,0,DGC
2015-02-24,5170,5170,5170,5170,0,DGC
2015-02-25,5170,5170,5170,5170,0,DGC
2015-02-26,4670,4670,4670,4670,1100,DGC
