time,open,high,low,close,volume,ticker
2021-12-08,14500,14500,14500,14500,300,DMN
2021-12-09,16600,16600,16600,16600,9400,DMN
2021-12-10,19000,19000,19000,19000,8300,DMN
2021-12-13,21800,21800,21800,21800,1300,DMN
2021-12-14,25000,25000,25000,25000,7500,DMN
2021-12-15,28700,28700,25000,25000,4600,DMN
2021-12-22,23800,23800,23800,23800,800,DMN
2021-12-29,20300,20300,20300,20300,100,DMN
2021-12-31,17300,17300,17300,17300,200,DMN
2022-01-04,14800,17300,14800,14800,10100,DMN
2022-01-05,14800,14800,12600,12800,2400,DMN
2022-01-06,12700,14700,12700,14700,1500,DMN
2022-01-07,12000,12100,12000,12100,3100,DMN
2022-01-10,12100,12100,12000,12100,400,DMN
2022-01-11,12000,12100,10500,12100,1600,DMN
2022-01-12,11100,11200,11000,11000,1100,DMN
2022-01-13,10500,11100,10000,11100,1600,DMN
2022-01-14,10000,10000,10000,10000,100,DMN
2022-01-17,10100,10100,10100,10100,1800,DMN
2022-01-18,11000,11000,11000,11000,100,DMN
2022-01-19,12000,12000,12000,12000,100,DMN
2022-01-20,12800,12800,12000,12000,300,DMN
2022-01-21,12800,12800,12800,12800,100,DMN
2022-02-07,11200,11200,10900,10900,6900,DMN
2022-02-08,10900,10900,9300,9400,11900,DMN
2022-02-09,9400,9400,9000,9000,300,DMN
2022-02-10,8900,9000,8100,8100,3400,DMN
2022-02-11,8400,8600,8400,8600,400,DMN
2022-02-14,8500,8900,8500,8900,200,DMN
2022-02-15,8500,8900,8500,8900,800,DMN
2022-02-16,9900,9900,9400,9400,800,DMN
2022-02-17,9600,9600,8700,8800,1100,DMN
2022-02-21,8900,9000,8800,9000,1100,DMN
2022-02-22,8900,9000,8900,8900,1100,DMN
2022-02-23,8600,9000,8600,9000,1700,DMN
2022-02-24,8600,8600,8600,8600,1000,DMN
2022-02-25,8500,8500,8500,8500,200,DMN
2022-02-28,9400,9400,9300,9300,200,DMN
2022-03-03,8300,8600,8300,8500,3900,DMN
2022-03-04,8500,9500,8500,9200,6400,DMN
2022-03-07,9200,10000,9200,9500,3500,DMN
2022-03-08,9500,9500,9300,9300,900,DMN
2022-03-09,9300,9300,9000,9200,4200,DMN
2022-03-10,9300,9400,9100,9400,6000,DMN
2022-03-11,9400,10000,9400,9900,7000,DMN
2022-03-14,9700,10000,9700,10000,9500,DMN
2022-03-15,9500,9900,9500,9900,3400,DMN
2022-03-16,10000,11200,10000,11200,6100,DMN
2022-03-17,12500,12500,11900,12500,6300,DMN
2022-03-18,14000,14300,14000,14300,5100,DMN
2022-03-21,16400,16400,14900,15000,21700,DMN
