time,open,high,low,close,volume,ticker
2017-01-12,1230,1230,1230,1230,100,DPG
2017-01-13,1230,1230,1230,1230,0,DPG
2017-01-16,1420,1420,1050,1420,123022,DPG
2017-01-17,1620,1620,1620,1620,900,DPG
2017-01-18,1870,1870,1870,1870,1300,DPG
2017-01-19,2140,2140,1890,2140,21800,DPG
2017-01-20,2270,2470,2270,2470,1350,DPG
2017-01-23,2830,2830,2180,2830,65086,DPG
2017-01-24,3120,3250,2480,3250,38500,DPG
2017-01-25,3730,3740,3730,3740,16900,DPG
2017-02-02,3760,3760,3740,3740,1200,DPG
2017-02-03,3500,3870,3320,3690,4600,DPG
2017-02-06,3720,3720,3720,3720,2600,DPG
2017-02-07,3420,3420,3310,3340,11600,DPG
2017-02-08,3380,3420,3100,3290,33320,DPG
2017-02-09,3160,3290,2830,3190,29200,DPG
2017-02-10,3280,3280,3240,3240,10300,DPG
2017-02-13,3040,3200,2830,3060,61008,DPG
2017-02-14,2970,3210,2890,3160,56350,DPG
2017-02-15,3290,3580,3290,3450,30020,DPG
2017-02-16,3430,3460,3170,3420,59418,DPG
2017-02-17,3420,3540,3420,3480,46000,DPG
2017-02-20,3540,3760,3120,3500,99800,DPG
2017-02-21,3540,3760,2990,3670,58920,DPG
2017-02-22,3720,4010,3160,3960,58195,DPG
2017-02-23,3720,3990,3720,3890,10366,DPG
2017-02-24,3900,3900,3860,3900,13800,DPG
2017-02-27,3860,4110,3860,3990,28200,DPG
2017-02-28,3900,3930,3900,3910,12767,DPG
2017-03-01,3920,3920,3830,3830,11110,DPG
2017-03-02,3740,3810,3710,3760,16100,DPG
2017-03-03,3780,3960,3750,3860,30196,DPG
2017-03-06,3960,3980,3920,3970,40393,DPG
2017-03-07,3990,4090,3990,4040,44820,DPG
2017-03-08,3990,4059,3990,4019,11913,DPG
2017-03-09,4050,4050,4019,4040,21111,DPG
2017-03-10,4070,4350,4070,4280,73548,DPG
2017-03-13,4380,4910,4380,4910,87634,DPG
2017-03-14,5330,5450,5120,5260,30300,DPG
2017-03-15,5420,5420,5140,5190,36398,DPG
2017-03-16,5080,5410,5080,5350,31129,DPG
2017-03-17,5520,5520,5260,5260,6982,DPG
2017-03-20,5310,5310,4970,5210,40854,DPG
2017-03-21,5250,5460,5250,5340,59214,DPG
2017-03-22,5360,5360,4550,5020,61827,DPG
2017-03-23,5150,5430,5070,5290,55000,DPG
2017-03-24,5340,5460,5340,5420,42710,DPG
2017-03-27,5360,5620,5180,5600,67497,DPG
2017-03-28,5700,6180,5700,6100,41381,DPG
2017-03-29,6210,6360,6210,6330,35561,DPG
2017-03-30,6490,6510,5390,6470,60937,DPG
2017-03-31,6450,6450,5560,5650,153754,DPG
2017-04-03,5650,5790,5460,5510,44910,DPG
2017-04-04,5560,5690,5530,5690,20700,DPG
2017-04-05,5820,5820,5170,5310,82626,DPG
2017-04-07,5450,5640,5290,5330,18082,DPG
2017-04-10,5360,5690,5360,5560,78968,DPG
2017-04-11,5460,5580,5360,5410,16250,DPG
2017-04-12,5470,5470,4740,4990,27300,DPG
2017-04-13,5030,5070,4570,4640,93947,DPG
2017-04-14,4590,4590,4170,4310,31180,DPG
2017-04-17,4540,4590,3700,4330,64200,DPG
2017-04-18,4310,4350,4170,4260,53140,DPG
2017-04-19,4480,4480,3630,4480,27150,DPG
2017-04-20,4630,5120,4550,4880,47778,DPG
2017-04-21,5020,5070,4790,4830,24400,DPG
2017-04-24,4830,4920,4540,4560,26300,DPG
2017-04-25,4630,4810,4059,4540,143300,DPG
2017-04-26,4640,4700,4460,4610,5610,DPG
2017-04-27,4620,4860,4580,4610,44200,DPG
2017-04-28,4620,4620,4520,4520,6600,DPG
2017-05-03,4520,4520,4450,4520,4700,DPG
2017-05-04,4420,4540,4410,4490,13400,DPG
2017-05-05,4460,4460,4390,4450,26010,DPG
2017-05-08,4430,4520,4380,4490,14917,DPG
2017-05-09,4460,4470,4370,4370,25010,DPG
2017-05-10,4410,4570,4410,4470,25100,DPG
2017-05-11,4480,4510,4410,4460,19753,DPG
2017-05-12,4490,4490,3790,4450,17720,DPG
2017-05-15,4410,4460,4410,4440,10113,DPG
2017-05-16,4420,4420,4380,4380,21815,DPG
2017-05-17,4350,4440,4310,4400,12025,DPG
2017-05-18,4410,4410,4380,4380,1567,DPG
2017-05-19,4340,4340,4230,4300,6100,DPG
2017-05-22,4280,4280,4180,4180,20503,DPG
2017-05-23,4330,4400,4230,4330,9502,DPG
2017-05-24,4160,4310,4059,4110,13380,DPG
2017-05-25,4190,4280,4170,4260,19276,DPG
2017-05-26,4230,4280,4220,4270,13100,DPG
2017-05-29,4340,4680,4310,4620,41267,DPG
2017-05-30,4770,4810,4690,4710,26040,DPG
2017-05-31,4770,4790,4710,4790,9500,DPG
2017-06-01,4820,4850,4670,4820,22400,DPG
2017-06-02,4820,4880,4790,4880,16135,DPG
2017-06-05,4880,5020,4150,4930,51900,DPG
2017-06-06,4880,5020,4860,5020,13100,DPG
2017-06-07,5070,5150,5070,5120,9000,DPG
2017-06-08,5160,5190,5130,5130,9000,DPG
2017-06-09,5120,5120,5060,5060,9100,DPG
2017-06-12,5070,5070,5070,5070,6600,DPG
2017-06-13,5070,5070,5040,5040,11100,DPG
2017-06-14,5030,5030,5000,5000,12600,DPG
2017-06-15,5010,5010,5010,5010,100,DPG
2017-06-16,4990,4990,4980,4980,10900,DPG
2017-06-19,4990,4990,4990,4990,3200,DPG
2017-06-20,4950,4960,4950,4960,4840,DPG
2017-06-21,4950,4950,4890,4940,9800,DPG
2017-06-22,4900,4920,4790,4900,9715,DPG
