time,open,high,low,close,volume,ticker
2012-03-20,2080,2180,2080,2160,49470,DXG
2012-03-21,2180,2260,2160,2230,82840,DXG
2012-03-22,2260,2280,2230,2260,64170,DXG
2012-03-23,2310,2360,2310,2360,123160,DXG
2012-03-26,2460,2460,2430,2460,99840,DXG
2012-03-27,2540,2540,2380,2380,246180,DXG
2012-03-28,2380,2380,2280,2360,63480,DXG
2012-03-29,2360,2360,2260,2260,158980,DXG
2012-03-30,2230,2230,2160,2160,75660,DXG
2012-04-03,2210,2260,2180,2230,30750,DXG
2012-04-04,2210,2310,2130,2310,101090,DXG
2012-04-05,2280,2310,2210,2310,44420,DXG
2012-04-06,2260,2330,2230,2260,65320,DXG
2012-04-09,2360,2360,2310,2360,72740,DXG
2012-04-10,2410,2460,2360,2410,96550,DXG
2012-04-11,2510,2510,2490,2510,149840,DXG
2012-04-12,2640,2640,2640,2640,37800,DXG
2012-04-13,2760,2760,2710,2760,298570,DXG
2012-04-16,2890,2890,2760,2890,115420,DXG
2012-04-17,3010,3010,3010,3010,234380,DXG
2012-04-18,3160,3160,3160,3160,104620,DXG
2012-04-19,3310,3310,3010,3010,401660,DXG
2012-04-20,2860,3160,2860,3140,417110,DXG
2012-04-23,3140,3160,2990,2990,161870,DXG
2012-04-24,2990,3110,2860,3110,317270,DXG
2012-04-25,3260,3260,3140,3260,187350,DXG
2012-04-26,3310,3410,3240,3360,294790,DXG
2012-04-27,3240,3440,3240,3290,138220,DXG
2012-05-02,3260,3260,3140,3140,206200,DXG
2012-05-03,3040,3290,3010,3290,562930,DXG
2012-05-04,3290,3440,3190,3440,277270,DXG
2012-05-07,3590,3590,3560,3590,92130,DXG
2012-05-08,3770,3770,3770,3770,41430,DXG
2012-05-09,3940,3940,3920,3940,276960,DXG
2012-05-10,4120,4120,4019,4120,720070,DXG
2012-05-11,4140,4140,3940,3990,386670,DXG
2012-05-14,3990,4019,3820,3820,174110,DXG
2012-05-15,3770,3920,3640,3640,213770,DXG
2012-05-16,3510,3660,3460,3640,104670,DXG
2012-05-17,3640,3640,3460,3460,97050,DXG
2012-05-18,3310,3310,3310,3310,84240,DXG
2012-05-21,3160,3460,3160,3340,266310,DXG
2012-05-22,3210,3340,3190,3240,81950,DXG
2012-05-23,3140,3140,3090,3090,59420,DXG
2012-05-24,2940,3010,2940,2940,94700,DXG
2012-05-25,2940,3060,2810,3060,115850,DXG
2012-05-28,3210,3210,3060,3210,168550,DXG
2012-05-29,3210,3260,3110,3260,179710,DXG
2012-05-30,3190,3290,3190,3260,121790,DXG
2012-05-31,3210,3210,3110,3110,167000,DXG
2012-06-01,3140,3190,3010,3010,48710,DXG
2012-06-04,3110,3110,2860,2860,86760,DXG
2012-06-05,2790,2990,2740,2990,69970,DXG
2012-06-06,3040,3110,2990,3110,258070,DXG
2012-06-07,3260,3260,3260,3260,250780,DXG
2012-06-08,3390,3410,3310,3310,348620,DXG
2012-06-11,3340,3390,3310,3390,76960,DXG
2012-06-12,3290,3410,3240,3310,170940,DXG
2012-06-13,3210,3310,3160,3290,119480,DXG
2012-06-14,3260,3260,3140,3140,107140,DXG
2012-06-15,3190,3240,3040,3110,86160,DXG
2012-06-18,3210,3210,3110,3110,98340,DXG
2012-06-19,3010,3040,2960,2960,117830,DXG
2012-06-20,3040,3040,2960,2990,46720,DXG
2012-06-21,2960,3040,2960,2990,27430,DXG
2012-06-22,2990,2990,2890,2890,100500,DXG
2012-06-25,2840,2960,2760,2760,76630,DXG
2012-06-26,2660,2690,2640,2640,110860,DXG
2012-06-27,2540,2690,2510,2510,71190,DXG
2012-06-28,2410,2490,2380,2490,127640,DXG
2012-06-29,2430,2510,2380,2380,84860,DXG
2012-07-02,2430,2490,2330,2330,24350,DXG
2012-07-03,2330,2380,2230,2230,61410,DXG
2012-07-04,2230,2230,2130,2130,123190,DXG
2012-07-05,2060,2130,2029,2130,78160,DXG
2012-07-06,2180,2230,2160,2230,121150,DXG
2012-07-09,2160,2160,2130,2130,29460,DXG
2012-07-10,2130,2130,2060,2060,31640,DXG
2012-07-11,2009,2160,2009,2130,57770,DXG
2012-07-12,2130,2180,2130,2160,45780,DXG
2012-07-13,2160,2260,2160,2260,152010,DXG
2012-07-16,2360,2360,2280,2280,232100,DXG
2012-07-17,2310,2380,2310,2380,16110,DXG
2012-07-18,2490,2490,2410,2490,255940,DXG
2012-07-19,2560,2590,2490,2590,261720,DXG
2012-07-20,2710,2710,2660,2660,295480,DXG
2012-07-23,2640,2690,2540,2560,160820,DXG
2012-07-24,2490,2510,2430,2430,103080,DXG
2012-07-25,2360,2460,2330,2330,112480,DXG
2012-07-26,2330,2380,2280,2380,38050,DXG
2012-07-27,2310,2430,2280,2280,144610,DXG
2012-07-30,2260,2310,2230,2280,82590,DXG
2012-07-31,2330,2380,2280,2360,86780,DXG
2012-08-01,2330,2330,2280,2310,41970,DXG
2012-08-02,2360,2360,2280,2280,61730,DXG
2012-08-03,2360,2360,2310,2310,30220,DXG
2012-08-06,2330,2410,2330,2410,105070,DXG
2012-08-07,2460,2510,2410,2510,279180,DXG
2012-08-08,2510,2540,2460,2490,112290,DXG
2012-08-09,2490,2590,2490,2590,194220,DXG
2012-08-10,2640,2710,2610,2610,222900,DXG
2012-08-13,2540,2660,2540,2660,72190,DXG
2012-08-14,2590,2790,2590,2790,264260,DXG
2012-08-15,2840,2890,2690,2860,233380,DXG
2012-08-16,2860,2860,2740,2810,217500,DXG
2012-08-17,2740,2840,2710,2840,133090,DXG
2012-08-20,2860,2960,2860,2910,130870,DXG
2012-08-21,2810,2810,2790,2790,90150,DXG
2012-08-22,2790,2790,2660,2660,32920,DXG
2012-08-23,2540,2540,2540,2540,140,DXG
2012-08-24,2410,2560,2410,2410,480950,DXG
2012-08-27,2330,2330,2310,2310,53160,DXG
2012-08-28,2210,2230,2210,2210,250370,DXG
2012-08-29,2180,2280,2180,2280,211130,DXG
2012-08-30,2280,2380,2280,2380,132280,DXG
2012-08-31,2380,2410,2310,2360,51760,DXG
2012-09-04,2360,2410,2330,2330,100960,DXG
2012-09-05,2360,2360,2230,2230,249030,DXG
2012-09-06,2180,2230,2130,2130,145400,DXG
2012-09-07,2110,2230,2080,2230,92700,DXG
2012-09-10,2260,2310,2130,2210,194400,DXG
2012-09-11,2230,2230,2130,2130,61460,DXG
2012-09-12,2210,2210,2060,2060,22020,DXG
2012-09-13,2060,2160,2060,2160,39090,DXG
2012-09-14,2260,2260,2180,2230,65290,DXG
2012-09-17,2230,2230,2160,2180,11400,DXG
2012-09-18,2130,2130,2080,2080,63240,DXG
2012-09-19,2029,2080,2009,2029,31190,DXG
2012-09-20,2009,2009,1930,2009,40300,DXG
2012-09-21,2080,2110,2009,2110,48090,DXG
2012-09-24,2029,2110,2009,2029,9450,DXG
2012-09-25,2060,2060,2009,2060,1000,DXG
2012-09-26,2060,2080,2029,2080,33240,DXG
2012-09-27,2060,2060,1980,1980,14090,DXG
2012-09-28,1910,2009,1910,1910,54950,DXG
2012-10-01,1860,1880,1830,1830,75370,DXG
2012-10-02,1760,1780,1760,1760,62800,DXG
2012-10-03,1810,1830,1760,1830,63610,DXG
2012-10-04,1810,1830,1780,1830,16680,DXG
2012-10-05,1830,1910,1830,1910,28610,DXG
2012-10-08,1910,1980,1910,1980,97830,DXG
2012-10-09,1980,2029,1980,1980,38720,DXG
2012-10-10,1980,2060,1980,2009,50710,DXG
2012-10-11,2060,2080,2009,2009,70450,DXG
2012-10-12,1960,2060,1960,2029,26670,DXG
2012-10-15,2060,2110,1960,2029,190120,DXG
2012-10-16,2060,2130,2060,2130,51250,DXG
2012-10-17,2210,2210,2110,2130,42910,DXG
2012-10-18,2110,2160,2080,2130,42100,DXG
2012-10-19,2160,2160,2029,2029,96140,DXG
2012-10-22,1960,2009,1930,2009,59110,DXG
2012-10-23,2009,2110,2009,2110,63290,DXG
2012-10-24,2080,2160,2060,2160,52470,DXG
2012-10-25,2060,2130,2060,2060,51210,DXG
2012-10-26,2060,2130,2060,2130,31540,DXG
2012-10-29,2160,2230,2130,2230,93550,DXG
2012-10-30,2330,2330,2330,2330,297390,DXG
2012-10-31,2330,2330,2230,2230,120850,DXG
2012-11-01,2180,2280,2160,2260,83610,DXG
2012-11-02,2180,2180,2160,2160,10400,DXG
2012-11-05,2060,2110,2060,2060,153460,DXG
2012-11-06,2080,2110,2009,2110,20770,DXG
2012-11-07,2160,2160,2080,2130,79680,DXG
2012-11-08,2110,2130,2080,2130,27100,DXG
2012-11-09,2130,2130,2080,2130,32760,DXG
2012-11-12,2160,2230,2160,2230,133110,DXG
2012-11-13,2310,2310,2230,2280,80710,DXG
2012-11-14,2180,2280,2180,2180,51590,DXG
2012-11-15,2230,2230,2110,2110,18720,DXG
2012-11-16,2110,2180,2110,2180,10180,DXG
2012-11-19,2130,2210,2130,2160,51890,DXG
2012-11-20,2210,2230,2160,2230,54920,DXG
2012-11-21,2260,2260,2180,2180,32790,DXG
2012-11-22,2230,2280,2210,2280,214440,DXG
2012-11-23,2360,2360,2280,2280,53640,DXG
2012-11-26,2310,2310,2230,2280,11730,DXG
2012-11-27,2260,2280,2180,2230,64970,DXG
2012-11-28,2280,2280,2230,2230,41600,DXG
2012-11-29,2280,2280,2230,2280,10350,DXG
2012-11-30,2260,2330,2230,2330,73460,DXG
2012-12-03,2280,2360,2260,2310,26350,DXG
2012-12-04,2280,2410,2280,2410,253070,DXG
2012-12-05,2490,2510,2460,2490,263180,DXG
2012-12-06,2490,2490,2410,2460,32390,DXG
2012-12-07,2430,2460,2380,2380,85060,DXG
2012-12-10,2380,2490,2380,2430,115300,DXG
2012-12-11,2490,2490,2410,2410,70680,DXG
2012-12-12,2410,2490,2380,2430,123490,DXG
2012-12-13,2410,2540,2410,2460,209960,DXG
2012-12-14,2490,2490,2410,2430,153480,DXG
2012-12-17,2380,2460,2380,2430,86610,DXG
2012-12-18,2430,2430,2410,2410,62320,DXG
2012-12-19,2460,2510,2460,2510,319950,DXG
2012-12-20,2560,2640,2540,2590,325600,DXG
2012-12-21,2640,2710,2560,2690,179710,DXG
2012-12-24,2740,2740,2640,2660,105150,DXG
2012-12-25,2660,2710,2660,2660,112020,DXG
2012-12-26,2690,2760,2640,2740,80500,DXG
2012-12-27,2760,2860,2710,2740,108860,DXG
2012-12-28,2790,2810,2660,2710,68530,DXG
2013-01-02,2710,2840,2710,2810,162150,DXG
2013-01-03,2760,2760,2690,2690,112440,DXG
2013-01-04,2660,2740,2590,2660,98380,DXG
2013-01-07,2660,2690,2540,2540,164600,DXG
2013-01-08,2510,2590,2510,2510,67240,DXG
2013-01-09,2540,2610,2410,2510,206210,DXG
2013-01-10,2510,2510,2430,2510,40690,DXG
2013-01-11,2590,2640,2510,2510,148780,DXG
2013-01-14,2490,2640,2460,2640,97660,DXG
2013-01-15,2710,2760,2660,2760,131750,DXG
2013-01-16,2790,2940,2790,2940,215150,DXG
2013-01-17,3140,3140,3060,3110,461020,DXG
2013-01-18,3110,3110,2960,2960,186250,DXG
2013-01-21,2960,3040,2890,2890,83990,DXG
2013-01-22,2890,3060,2860,2860,221760,DXG
2013-01-23,2990,2990,2760,2760,146080,DXG
2013-01-24,2760,2940,2710,2940,137920,DXG
2013-01-25,3060,3060,2910,3010,67750,DXG
2013-01-28,3110,3210,3060,3060,453610,DXG
2013-01-29,3090,3260,3090,3260,402940,DXG
2013-01-30,3190,3440,3190,3210,149580,DXG
2013-01-31,3190,3240,3110,3190,177930,DXG
2013-02-01,3140,3240,3090,3240,177660,DXG
2013-02-04,3240,3390,3160,3390,207830,DXG
2013-02-05,3440,3560,3310,3510,362840,DXG
2013-02-06,3560,3640,3490,3490,252790,DXG
2013-02-07,3460,3690,3410,3690,410000,DXG
2013-02-08,3540,3660,3490,3660,183320,DXG
2013-02-18,3660,3660,3510,3510,162340,DXG
2013-02-19,3540,3610,3340,3510,319210,DXG
2013-02-20,3510,3510,3440,3510,365060,DXG
2013-02-21,3510,3720,3290,3290,591530,DXG
2013-02-22,3340,3440,3060,3260,233400,DXG
2013-02-25,3360,3440,3290,3310,205470,DXG
2013-02-26,3310,3340,3090,3090,227700,DXG
