time,open,high,low,close,volume,ticker
2012-03-20,2130,2150,2110,2150,36140,FMC
2012-03-21,2170,2180,2150,2170,34180,FMC
2012-03-22,2170,2180,2130,2130,9610,FMC
2012-03-23,2080,2180,2080,2150,36410,FMC
2012-03-26,2150,2200,2110,2200,41190,FMC
2012-03-27,2200,2200,2170,2170,33340,FMC
2012-03-28,2130,2170,2130,2150,16770,FMC
2012-03-29,2170,2180,2130,2130,17750,FMC
2012-03-30,2130,2180,2110,2180,18910,FMC
2012-04-03,2170,2170,2110,2110,11170,FMC
2012-04-04,2110,2130,2080,2080,28200,FMC
2012-04-05,2060,2080,2050,2060,13370,FMC
2012-04-06,2080,2130,2050,2050,5160,FMC
2012-04-09,1970,2060,1970,2060,61590,FMC
2012-04-10,2130,2130,2060,2130,41510,FMC
2012-04-11,2130,2170,2130,2170,50620,FMC
2012-04-12,2170,2170,2080,2150,106250,FMC
2012-04-13,2130,2170,2130,2170,122740,FMC
2012-04-16,2170,2250,2150,2220,92720,FMC
2012-04-17,2220,2290,2220,2290,199400,FMC
2012-04-18,2250,2310,2250,2270,114650,FMC
2012-04-19,2220,2270,2220,2240,49970,FMC
2012-04-20,2250,2290,2240,2240,97800,FMC
2012-04-23,2270,2270,2250,2270,45100,FMC
2012-04-24,2250,2290,2200,2270,44060,FMC
2012-04-25,2270,2330,2250,2330,47140,FMC
2012-04-26,2350,2350,2270,2330,24470,FMC
2012-04-27,2350,2350,2270,2330,31660,FMC
2012-05-02,2220,2220,2220,2220,13350,FMC
2012-05-03,2130,2180,2130,2150,511160,FMC
2012-05-04,2240,2240,2240,2240,51310,FMC
2012-05-07,2330,2330,2330,2330,164300,FMC
2012-05-08,2440,2440,2440,2440,99570,FMC
2012-05-09,2560,2560,2560,2560,216650,FMC
2012-05-10,2680,2680,2680,2680,108560,FMC
2012-05-11,2730,2810,2680,2680,1105880,FMC
2012-05-14,2680,2750,2560,2690,265370,FMC
2012-05-15,2660,2770,2660,2710,301490,FMC
2012-05-16,2770,2820,2750,2770,125330,FMC
2012-05-17,2690,2750,2670,2690,179480,FMC
2012-05-18,2620,2820,2620,2750,160420,FMC
2012-05-21,2800,2880,2770,2880,76840,FMC
2012-05-22,2980,2980,2750,2850,69000,FMC
2012-05-23,2770,2770,2710,2730,423360,FMC
2012-05-24,2630,2770,2630,2710,186280,FMC
2012-05-25,2710,2820,2710,2800,241520,FMC
2012-05-28,2750,2800,2730,2750,94420,FMC
2012-05-29,2730,2750,2730,2730,21000,FMC
2012-05-30,2730,2770,2730,2770,78270,FMC
2012-05-31,2800,2800,2730,2730,174640,FMC
2012-06-01,2750,2750,2730,2750,27110,FMC
2012-06-04,2730,2770,2690,2690,54000,FMC
2012-06-05,2590,2730,2590,2730,17720,FMC
2012-06-06,2730,2750,2710,2750,34060,FMC
2012-06-07,2750,2770,2750,2770,81540,FMC
2012-06-08,2770,2770,2730,2730,53390,FMC
2012-06-11,2730,2850,2730,2800,77670,FMC
