time,open,high,low,close,volume,ticker
2012-03-20,6000,6000,5960,5960,94310,FPT
2012-03-21,5960,6000,5910,5960,145260,FPT
2012-03-22,5960,5960,5860,5860,90050,FPT
2012-03-23,5910,5910,5860,5910,71320,FPT
2012-03-26,5910,5910,5860,5910,112360,FPT
2012-03-27,5800,5910,5800,5860,185140,FPT
2012-03-28,5750,5910,5750,5910,227840,FPT
2012-03-29,5910,5960,5860,5910,188180,FPT
2012-03-30,5960,6000,5860,5910,227480,FPT
2012-04-03,5910,5960,5910,5910,77770,FPT
2012-04-04,5960,6000,5910,5910,229600,FPT
2012-04-05,5960,6170,5910,6050,522960,FPT
2012-04-06,6110,6110,6050,6050,46820,FPT
2012-04-09,6170,6170,6050,6110,86600,FPT
2012-04-10,6170,6170,6050,6110,97870,FPT
2012-04-11,6170,6360,6110,6360,401940,FPT
2012-04-12,6420,6470,6360,6420,181420,FPT
2012-04-13,6420,6420,6220,6220,129430,FPT
2012-04-16,6310,6420,6270,6310,128380,FPT
2012-04-17,6420,6420,6270,6360,123760,FPT
2012-04-18,6420,6420,6310,6310,113720,FPT
2012-04-19,6310,6360,6050,6050,301330,FPT
2012-04-20,6110,6270,6000,6000,240320,FPT
2012-04-23,6050,6220,5960,5960,139090,FPT
2012-04-24,6050,6110,6000,6110,81550,FPT
2012-04-25,6270,6270,6110,6170,79440,FPT
2012-04-26,6270,6270,6050,6050,180500,FPT
2012-04-27,6110,6170,6050,6050,108790,FPT
2012-05-02,6310,6310,6270,6310,425310,FPT
2012-05-03,6620,6620,6520,6620,550510,FPT
2012-05-04,6620,6770,6620,6720,388650,FPT
2012-05-07,6770,6820,6670,6820,284350,FPT
2012-05-08,6820,6870,6720,6770,311770,FPT
2012-05-09,6720,6770,6670,6720,264470,FPT
2012-05-10,6770,6770,6670,6670,290000,FPT
2012-05-11,6770,6770,6570,6570,284390,FPT
2012-05-14,6620,6670,6520,6520,213220,FPT
2012-05-15,6720,6720,6390,6400,350530,FPT
2012-05-16,6450,6470,6370,6370,110580,FPT
2012-05-17,6400,6470,6400,6440,160230,FPT
2012-05-18,6440,6440,6210,6280,264100,FPT
2012-05-21,6470,6530,6340,6530,167520,FPT
2012-05-22,6600,6600,6430,6440,89520,FPT
2012-05-23,6400,6440,6280,6300,127830,FPT
2012-05-24,6300,6340,6290,6290,99980,FPT
2012-05-25,6410,6410,6340,6410,103830,FPT
2012-05-28,6400,6470,6400,6410,124200,FPT
2012-05-29,6400,6410,6360,6400,64910,FPT
2012-05-30,6470,6470,6370,6410,65430,FPT
2012-05-31,6370,6400,6370,6390,140030,FPT
2012-06-01,6390,6400,6370,6370,38050,FPT
2012-06-04,6370,6370,6340,6340,99040,FPT
2012-06-05,6300,6350,6300,6340,146830,FPT
2012-06-06,6390,6390,6320,6370,53290,FPT
2012-06-07,6410,6410,6370,6370,32200,FPT
2012-06-08,6400,6470,6340,6340,82110,FPT
2012-06-11,6390,6390,6300,6350,41690,FPT
2012-06-12,6350,6360,6320,6340,85420,FPT
2012-06-13,6360,6360,6320,6340,71920,FPT
2012-06-14,6360,6360,6300,6300,70750,FPT
2012-06-15,6350,6350,6300,6320,108970,FPT
2012-06-18,6410,6410,6320,6350,34490,FPT
2012-06-19,6340,6360,6320,6350,103760,FPT
2012-06-20,6400,6400,6350,6370,89720,FPT
2012-06-21,6360,6370,6340,6360,50360,FPT
2012-06-22,6350,6360,6340,6340,67350,FPT
2012-06-25,6320,6370,6320,6340,42840,FPT
2012-06-26,6290,6300,6290,6290,31110,FPT
2012-06-27,6340,6340,6290,6290,73780,FPT
2012-06-28,6300,6300,6090,6090,36470,FPT
2012-06-29,6140,6190,6090,6090,4970,FPT
2012-07-02,6170,6260,6080,6090,131390,FPT
2012-07-03,6180,6180,6080,6080,12120,FPT
2012-07-04,6140,6140,6080,6110,18440,FPT
2012-07-05,6140,6160,6110,6140,35790,FPT
2012-07-06,6180,6180,6140,6140,26770,FPT
2012-07-09,6010,6140,6010,6090,14410,FPT
2012-07-10,6080,6110,6080,6080,27540,FPT
2012-07-11,6080,6090,6050,6090,40600,FPT
2012-07-12,6080,6090,6080,6090,20870,FPT
2012-07-13,6110,6210,6080,6180,30930,FPT
2012-07-16,6240,6240,6110,6110,23050,FPT
2012-07-17,6110,6110,6080,6110,38870,FPT
2012-07-18,6130,6130,6080,6090,54300,FPT
2012-07-19,6080,6110,6050,6110,62810,FPT
2012-07-20,6170,6190,6090,6090,83160,FPT
2012-07-23,6090,6090,6060,6090,61190,FPT
2012-07-24,6090,6390,6090,6360,297120,FPT
2012-07-25,6340,6340,6140,6140,178060,FPT
2012-07-26,6110,6180,6110,6180,88280,FPT
2012-07-27,6240,6240,6180,6210,116650,FPT
2012-07-30,6210,6340,6210,6300,188880,FPT
2012-07-31,6140,6210,6140,6160,142000,FPT
2012-08-01,6110,6140,6090,6110,134550,FPT
2012-08-02,6080,6160,6080,6110,89910,FPT
2012-08-03,6080,6110,6080,6110,159240,FPT
2012-08-06,6080,6140,6080,6110,148440,FPT
2012-08-07,6090,6110,6080,6110,144950,FPT
2012-08-08,6090,6110,6080,6090,71270,FPT
2012-08-09,6090,6110,6030,6060,324860,FPT
2012-08-10,6090,6090,5930,5930,461230,FPT
2012-08-13,6090,6090,5930,6010,155720,FPT
2012-08-14,5930,6060,5930,5990,223310,FPT
2012-08-15,5970,5990,5950,5970,398780,FPT
2012-08-16,5990,6050,5930,5930,324050,FPT
2012-08-17,5820,5950,5820,5880,219300,FPT
2012-08-20,5950,5980,5880,5970,87130,FPT
2012-08-21,5950,5950,5670,5690,424710,FPT
2012-08-22,5690,5820,5670,5690,175470,FPT
2012-08-23,5690,5690,5410,5410,306220,FPT
2012-08-24,5170,5560,5160,5450,166690,FPT
2012-08-27,5570,5570,5180,5180,327330,FPT
2012-08-28,5200,5300,5020,5040,387150,FPT
2012-08-29,5160,5160,5030,5060,516890,FPT
2012-08-30,5060,5100,5030,5060,556380,FPT
2012-08-31,5060,5310,5040,5310,490150,FPT
2012-09-04,5430,5570,5380,5540,196570,FPT
2012-09-05,5540,5540,5360,5360,172150,FPT
2012-09-06,5300,5360,5180,5220,146150,FPT
2012-09-07,5220,5230,5160,5210,105620,FPT
2012-09-10,5220,5220,5040,5090,94970,FPT
2012-09-11,4920,5130,4920,5100,91990,FPT
2012-09-12,5090,5200,5090,5130,55010,FPT
2012-09-13,5150,5150,5080,5130,142710,FPT
2012-09-14,5200,5200,5130,5130,143660,FPT
2012-09-17,5130,5150,5080,5110,98290,FPT
2012-09-18,5090,5110,5000,5000,168920,FPT
2012-09-19,4850,4970,4820,4850,486130,FPT
2012-09-20,4870,4920,4830,4850,138350,FPT
2012-09-21,4880,4920,4850,4870,49890,FPT
2012-09-24,4870,4870,4830,4840,104050,FPT
2012-09-25,4870,4870,4830,4840,126430,FPT
2012-09-26,4870,4910,4830,4900,129510,FPT
2012-09-27,4930,5150,4910,5030,254170,FPT
2012-09-28,5030,5090,5000,5020,94180,FPT
2012-10-01,4950,4980,4850,4880,74140,FPT
2012-10-02,4880,4910,4850,4880,110610,FPT
2012-10-03,4880,4920,4880,4880,65800,FPT
2012-10-04,4880,4910,4870,4870,93060,FPT
2012-10-05,4900,4900,4870,4870,46100,FPT
2012-10-08,4840,4910,4840,4880,64880,FPT
2012-10-09,4900,5030,4880,4920,143640,FPT
2012-10-10,4970,4970,4930,4970,42760,FPT
2012-10-11,5000,5000,4950,4950,160130,FPT
2012-10-12,4950,4980,4910,4910,45680,FPT
2012-10-15,4900,4920,4880,4880,63990,FPT
2012-10-16,4870,4920,4870,4910,67270,FPT
2012-10-17,4900,4930,4900,4910,26680,FPT
2012-10-18,4910,4910,4850,4850,60410,FPT
