time,open,high,low,close,volume,ticker
2022-12-20,14240,14240,14240,14240,51400,GCF
2022-12-21,16360,16360,16360,16360,20500,GCF
2022-12-22,18800,18800,18800,18800,5300,GCF
2022-12-23,21600,21600,21600,21600,44800,GCF
2022-12-26,24800,24800,23500,23800,30400,GCF
2022-12-27,24500,24500,20700,20700,13700,GCF
2022-12-28,20300,20300,20300,20300,2900,GCF
2022-12-29,17400,19800,17300,17300,50800,GCF
2022-12-30,16000,17000,16000,17000,1300,GCF
2023-01-03,16900,19400,16900,17900,13500,GCF
2023-01-04,17600,17900,17000,17700,8300,GCF
2023-01-05,15800,17300,15800,17000,1200,GCF
2023-01-06,14500,16800,14500,15000,5700,GCF
2023-01-09,14800,16900,14700,16900,1600,GCF
2023-01-10,16300,16300,14200,14400,3700,GCF
2023-01-11,16000,16000,13900,15900,3200,GCF
2023-01-12,15400,15500,15400,15500,5200,GCF
2023-01-13,15400,15400,14000,14000,700,GCF
2023-01-16,14400,15200,14400,14900,6400,GCF
2023-01-17,14500,14900,14100,14900,5400,GCF
2023-01-18,16000,16000,15900,16000,3100,GCF
2023-01-19,15200,16300,14200,16300,15400,GCF
2023-01-27,16900,16900,14500,15600,6200,GCF
2023-01-30,15800,16400,15800,16000,3400,GCF
2023-01-31,15900,16900,15800,16000,4400,GCF
2023-02-01,16400,16400,15500,16300,1200,GCF
2023-02-02,17800,17800,15100,16500,2900,GCF
2023-02-03,15500,16100,15000,16100,3900,GCF
2023-02-06,15800,16400,15800,15800,700,GCF
2023-02-07,16600,16600,14300,15900,2800,GCF
2023-02-08,14700,15800,14700,15800,3800,GCF
2023-02-09,14100,15700,13900,15700,9100,GCF
2023-02-10,15600,15600,15600,15600,100,GCF
2023-02-13,13600,14500,13300,14500,4900,GCF
2023-02-14,15200,15200,15200,15200,100,GCF
2023-02-15,14800,14800,14400,14500,800,GCF
2023-02-16,15000,15000,14500,14500,3200,GCF
2023-02-17,14000,14700,13300,14700,1200,GCF
2023-02-20,14500,14800,13000,14400,6100,GCF
2023-02-21,15900,15900,15500,15500,700,GCF
2023-02-22,15200,15200,15200,15200,100,GCF
2023-02-23,14900,15400,14100,14600,1800,GCF
2023-02-24,13000,15000,13000,15000,900,GCF
2023-02-27,13200,14800,13200,14800,900,GCF
2023-02-28,14000,14900,13400,14500,3100,GCF
2023-03-01,14900,14900,13300,14700,9400,GCF
2023-03-02,13500,14900,13400,14700,1400,GCF
2023-03-03,12800,13600,12800,13300,2900,GCF
2023-03-06,13500,13500,13300,13400,1700,GCF
2023-03-07,14000,14200,13900,14000,900,GCF
2023-03-08,13400,13900,13300,13900,2600,GCF
2023-03-09,14200,14200,13400,13900,3600,GCF
2023-03-10,14100,14100,13400,14000,2000,GCF
2023-03-13,13300,14000,12800,14000,1800,GCF
2023-03-14,12500,12900,12500,12900,1100,GCF
2023-03-15,12700,14400,12700,14200,5900,GCF
2023-03-16,12900,14000,12700,14000,1300,GCF
2023-03-17,13500,14500,13500,14500,2500,GCF
2023-03-20,14500,15500,14300,15500,4400,GCF
2023-03-21,13300,15200,13300,15200,1000,GCF
2023-03-22,14400,14400,14400,14400,100,GCF
2023-03-23,15100,15100,15100,15100,100,GCF
2023-03-24,14600,14600,14600,14600,100,GCF
2023-03-27,15100,15100,14200,15100,1200,GCF
2023-03-28,14900,14900,14900,14900,200,GCF
2023-03-29,15000,15000,15000,15000,100,GCF
2023-03-30,15000,15000,15000,15000,100,GCF
2023-03-31,14900,14900,14900,14900,400,GCF
2023-04-03,14200,14200,14200,14200,300,GCF
2023-04-04,14900,14900,14900,14900,600,GCF
2023-04-06,14800,14800,14800,14800,100,GCF
2023-04-07,14400,14400,14400,14400,100,GCF
2023-04-10,14800,14900,14600,14800,4600,GCF
2023-04-11,14700,14700,14100,14700,4000,GCF
2023-04-12,14200,14200,14200,14200,800,GCF
