time,open,high,low,close,volume,ticker
2015-10-26,1130,1130,960,1100,18200,GEX
2015-10-27,1040,1040,1040,1040,3500,GEX
2015-10-28,980,980,890,900,31900,GEX
2015-10-29,900,980,890,910,20300,GEX
2015-10-30,910,990,910,960,19500,GEX
2015-11-02,960,980,900,930,8200,GEX
2015-11-03,950,990,940,960,56900,GEX
2015-11-04,990,1090,990,1020,70000,GEX
2015-11-05,1120,1170,1120,1160,20812,GEX
2015-11-09,1260,1260,1070,1160,135200,GEX
2015-11-10,1260,1260,1050,1110,133600,GEX
2015-11-11,1000,1110,1000,1070,65707,GEX
2015-11-12,1090,1170,1080,1130,84303,GEX
2015-11-13,1140,1180,1120,1140,148800,GEX
2015-11-16,1150,1180,1070,1120,214000,GEX
2015-11-17,1140,1160,1120,1140,30300,GEX
2015-11-18,1120,1140,1040,1070,178600,GEX
2015-11-19,1100,1100,1040,1050,94000,GEX
2015-11-20,1040,1070,990,1030,126700,GEX
2015-11-23,1050,1090,1040,1070,66850,GEX
2015-11-24,1040,1120,1040,1080,140402,GEX
2015-11-25,1080,1120,1070,1100,109200,GEX
2015-11-26,1100,1140,1100,1120,77008,GEX
2015-11-27,1120,1120,1100,1110,59100,GEX
2015-11-30,1100,1100,1080,1090,96200,GEX
2015-12-01,1100,1120,1080,1080,29100,GEX
2015-12-02,1080,1080,1050,1060,103300,GEX
2015-12-03,1060,1070,1060,1060,45600,GEX
2015-12-04,1060,1060,1040,1050,58300,GEX
2015-12-07,1050,1050,1030,1030,57400,GEX
2015-12-08,1030,1040,1010,1030,114600,GEX
2015-12-09,1030,1070,1020,1050,133103,GEX
2015-12-10,1050,1070,1040,1050,72700,GEX
2015-12-11,1040,1050,1040,1040,84500,GEX
2015-12-14,1040,1050,1040,1040,79200,GEX
2015-12-15,1040,1050,1030,1040,59900,GEX
2015-12-16,1050,1090,1040,1060,97600,GEX
2015-12-17,1060,1070,1050,1060,469200,GEX
2015-12-18,1060,1060,990,1030,143102,GEX
2015-12-21,1030,1030,960,1000,340600,GEX
2015-12-22,990,1000,950,970,377300,GEX
2015-12-23,940,950,830,900,569600,GEX
2015-12-24,870,1030,830,900,1135600,GEX
2015-12-25,1020,1040,920,920,122574700,GEX
2015-12-28,1050,1060,1000,1030,1884100,GEX
2015-12-29,1090,1090,1030,1060,1055500,GEX
2015-12-30,1040,1120,1000,1070,5716150,GEX
2015-12-31,1140,1200,1120,1170,1996310,GEX
2016-01-04,1220,1220,1120,1170,4515450,GEX
2016-01-05,1160,1170,1130,1150,1693845,GEX
2016-01-06,1150,1250,1150,1210,1517316,GEX
2016-01-07,1240,1290,1210,1250,1717369,GEX
2016-01-08,1260,1270,1230,1260,1093280,GEX
2016-01-11,1250,1250,1170,1190,2196300,GEX
2016-01-12,1190,1220,1160,1190,817620,GEX
2016-01-13,1190,1220,1190,1210,1098024,GEX
2016-01-14,1190,1200,1170,1180,1583200,GEX
2016-01-15,1190,1200,1180,1190,534600,GEX
2016-01-18,1170,1170,1130,1150,1165082,GEX
2016-01-19,1150,1180,1150,1170,430000,GEX
2016-01-20,1190,1200,1160,1180,1278100,GEX
2016-01-21,1180,1220,1170,1200,814030,GEX
2016-01-22,1220,1280,1220,1260,1088160,GEX
2016-01-25,1280,1360,1270,1310,1299888,GEX
2016-01-26,1300,1370,1300,1340,946060,GEX
2016-01-27,1340,1360,1310,1330,852380,GEX
2016-01-28,1330,1330,1280,1300,728330,GEX
2016-01-29,1280,1280,1250,1270,986380,GEX
2016-02-01,1270,1270,1230,1250,740100,GEX
2016-02-02,1220,1250,1200,1220,1130300,GEX
2016-02-03,1220,1220,1200,1210,381100,GEX
2016-02-04,1230,1250,1220,1230,135400,GEX
2016-02-05,1230,1260,1230,1240,142900,GEX
2016-02-15,1280,1290,1260,1270,255708,GEX
2016-02-16,1260,1300,1260,1280,371000,GEX
2016-02-17,1300,1320,1280,1290,502800,GEX
2016-02-18,1320,1370,1310,1350,628848,GEX
2016-02-19,1350,1360,1310,1340,470100,GEX
2016-02-22,1330,1340,1300,1310,454800,GEX
2016-02-23,1310,1310,1270,1290,748210,GEX
2016-02-24,1310,1320,1280,1300,313800,GEX
2016-02-25,1310,1310,1270,1280,521700,GEX
2016-02-26,1270,1280,1260,1270,376900,GEX
2016-02-29,1280,1280,1270,1280,242300,GEX
2016-03-01,1280,1310,1270,1290,771600,GEX
2016-03-02,1290,1330,1290,1310,563500,GEX
