time,open,high,low,close,volume,ticker
2012-03-20,5240,5240,5240,5240,100,HAD
2012-03-21,5590,5590,5590,5590,1100,HAD
2012-03-22,5210,5210,5210,5210,500,HAD
2012-03-23,5120,5560,5120,5560,2000,HAD
2012-03-26,5190,5910,5190,5910,800,HAD
2012-03-27,5910,5910,5910,5910,0,HAD
2012-03-28,5910,6240,5910,6170,500,HAD
2012-03-29,5940,5940,5820,5820,200,HAD
2012-03-30,5820,5820,5820,5820,100,HAD
2012-04-03,5820,5820,5820,5820,0,HAD
2012-04-04,5430,5430,5430,5430,200,HAD
2012-04-05,5120,5120,5120,5120,200,HAD
2012-04-06,5120,5120,5120,5120,0,HAD
2012-04-09,5120,5120,5120,5120,0,HAD
2012-04-10,5470,5470,5470,5470,100,HAD
2012-04-11,5470,5470,5470,5470,0,HAD
2012-04-12,5820,5840,5820,5840,200,HAD
2012-04-13,5800,5800,5800,5800,100,HAD
2012-04-16,6050,6190,6050,6190,1000,HAD
2012-04-17,5770,5770,5770,5770,1100,HAD
2012-04-18,5430,5430,5430,5430,100,HAD
2012-04-19,5800,5800,5800,5800,100,HAD
2012-04-20,6190,6190,6190,6190,200,HAD
2012-04-23,6490,6610,6490,6610,500,HAD
2012-04-24,6610,6610,6610,6610,0,HAD
2012-04-25,6610,6610,6610,6610,0,HAD
2012-04-26,6990,7050,6750,7050,500,HAD
2012-04-27,7050,7050,7050,7050,0,HAD
2012-05-02,7050,7050,7050,7050,0,HAD
2012-05-03,7050,7050,7050,7050,0,HAD
2012-05-04,7050,7050,7050,7050,0,HAD
2012-05-07,7050,7050,7050,7050,0,HAD
2012-05-08,6570,6570,6570,6570,100,HAD
2012-05-09,6570,6570,6570,6570,0,HAD
2012-05-10,6430,6430,6120,6120,300,HAD
2012-05-11,6210,6210,6210,6210,0,HAD
2012-05-14,6210,6210,6210,6210,0,HAD
2012-05-15,6290,6290,6290,6290,100,HAD
2012-05-16,6290,6290,6290,6290,0,HAD
2012-05-17,6410,6410,6410,6410,1000,HAD
2012-05-18,6410,6410,6410,6410,0,HAD
2012-05-21,6040,6040,6040,6040,100,HAD
2012-05-22,6040,6040,6040,6040,0,HAD
2012-05-23,5620,5620,5620,5620,100,HAD
2012-05-24,5250,5250,5250,5250,100,HAD
2012-05-25,5250,5250,5250,5250,0,HAD
2012-05-28,5600,5600,5600,5600,100,HAD
2012-05-29,5250,5250,5250,5250,100,HAD
2012-05-30,5600,5600,5600,5600,2200,HAD
2012-05-31,5600,5600,5600,5600,0,HAD
2012-06-01,5600,5600,5600,5600,0,HAD
2012-06-04,5600,5600,5600,5600,0,HAD
2012-06-05,5250,5250,5250,5250,100,HAD
2012-06-06,5250,5250,5250,5250,0,HAD
2012-06-07,5250,5250,5250,5250,0,HAD
2012-06-08,5250,5250,5250,5250,0,HAD
2012-06-11,5250,5250,5250,5250,0,HAD
2012-06-12,5180,5180,5180,5180,800,HAD
2012-06-13,5180,5180,5180,5180,0,HAD
2012-06-14,5180,5180,5180,5180,0,HAD
2012-06-15,5180,5180,5180,5180,0,HAD
2012-06-18,5520,5520,5520,5520,100,HAD
2012-06-19,5520,5520,5520,5520,0,HAD
2012-06-20,5550,5550,5550,5550,500,HAD
2012-06-21,5550,5550,5550,5550,0,HAD
2012-06-22,5550,5550,5550,5550,0,HAD
2012-06-25,5550,5550,5550,5550,0,HAD
2012-06-26,5570,5640,5570,5640,300,HAD
2012-06-27,5640,5640,5640,5640,0,HAD
2012-06-28,5640,5640,5640,5640,0,HAD
2012-06-29,5430,5430,5430,5430,200,HAD
2012-07-02,5620,5620,5620,5620,400,HAD
2012-07-03,5620,5620,5620,5620,0,HAD
2012-07-04,5620,5620,5620,5620,0,HAD
2012-07-05,5620,5620,5620,5620,0,HAD
2012-07-06,5620,5620,5620,5620,0,HAD
2012-07-09,5620,5620,5620,5620,0,HAD
2012-07-10,5280,5280,5280,5280,100,HAD
2012-07-11,5620,5620,5620,5620,100,HAD
2012-07-12,5620,5620,5620,5620,0,HAD
2012-07-13,5890,5920,5890,5920,300,HAD
2012-07-16,5920,5920,5920,5920,0,HAD
2012-07-17,5920,5920,5920,5920,0,HAD
2012-07-18,5920,5920,5920,5920,0,HAD
2012-07-19,5920,5920,5920,5920,0,HAD
2012-07-20,5940,5940,5940,5940,200,HAD
2012-07-23,5940,5940,5940,5940,0,HAD
2012-07-24,5940,5940,5940,5940,0,HAD
2012-07-25,5940,5940,5940,5940,100,HAD
2012-07-26,5920,5920,5870,5870,400,HAD
2012-07-27,5920,5920,5920,5920,1000,HAD
2012-07-30,5920,5920,5920,5920,0,HAD
2012-07-31,5920,5920,5920,5920,0,HAD
2012-08-01,5920,5920,5920,5920,0,HAD
2012-08-02,5920,5920,5920,5920,0,HAD
2012-08-03,5840,5840,5790,5790,700,HAD
2012-08-06,5790,6170,5790,6170,400,HAD
2012-08-07,6170,6290,6170,6290,800,HAD
2012-08-08,6290,6290,6290,6290,0,HAD
2012-08-09,6360,6410,6340,6410,1300,HAD
2012-08-10,6860,6860,6860,6860,500,HAD
2012-08-13,6860,6860,6860,6860,0,HAD
2012-08-14,6860,6860,6860,6860,100,HAD
2012-08-15,7140,7140,7140,7140,200,HAD
2012-08-16,6660,7650,6660,6660,7700,HAD
2012-08-17,6660,6660,6660,6660,0,HAD
2012-08-20,6660,6660,6660,6660,0,HAD
2012-08-21,6660,6660,6210,6210,2200,HAD
2012-08-22,6210,6210,6210,6210,0,HAD
2012-08-23,6170,6170,6170,6170,2900,HAD
2012-08-24,6170,6170,6170,6170,0,HAD
2012-08-27,6170,6170,6170,6170,0,HAD
2012-08-28,6170,6170,6170,6170,0,HAD
2012-08-29,6170,6170,6170,6170,0,HAD
2012-08-30,6170,6170,6170,6170,0,HAD
2012-08-31,6170,6170,6170,6170,0,HAD
2012-09-04,6170,6170,6170,6170,0,HAD
2012-09-05,6170,6170,6170,6170,0,HAD
2012-09-06,6170,6170,6170,6170,0,HAD
2012-09-07,6410,6410,6410,6410,12800,HAD
2012-09-10,6660,6660,6660,6660,1000,HAD
2012-09-11,6410,6410,6210,6210,2600,HAD
2012-09-12,6290,6290,5820,5820,5100,HAD
2012-09-13,5820,5820,5820,5820,0,HAD
2012-09-14,5820,5820,5820,5820,0,HAD
2012-09-17,6040,6040,6040,6040,4100,HAD
2012-09-18,6040,6040,6040,6040,0,HAD
2012-09-19,5670,5670,5670,5670,100,HAD
2012-09-20,6070,6070,6070,6070,100,HAD
2012-09-21,6070,6070,6070,6070,0,HAD
2012-09-24,6480,6480,6480,6480,100,HAD
2012-09-25,6480,6480,6480,6480,0,HAD
2012-09-26,6170,6170,6170,6170,1000,HAD
2012-09-27,6290,6290,6290,6290,1000,HAD
2012-09-28,6410,6410,6410,6410,100,HAD
2012-10-01,6410,6410,6410,6410,0,HAD
2012-10-02,6410,6410,6410,6410,0,HAD
2012-10-03,6410,6410,6410,6410,0,HAD
2012-10-04,6410,6410,6410,6410,0,HAD
2012-10-05,6410,6410,6410,6410,0,HAD
2012-10-08,6410,6410,6410,6410,0,HAD
2012-10-09,6410,6410,6410,6410,0,HAD
2012-10-10,6410,6410,6410,6410,0,HAD
2012-10-11,6410,6410,6410,6410,0,HAD
2012-10-12,6410,6410,6410,6410,0,HAD
2012-10-15,6410,6410,6410,6410,0,HAD
2012-10-16,6410,6410,6410,6410,0,HAD
2012-10-17,6410,6410,6410,6410,0,HAD
2012-10-18,6410,6410,6410,6410,0,HAD
2012-10-19,6410,6410,6410,6410,0,HAD
2012-10-22,5960,5960,5960,5960,100,HAD
2012-10-23,5960,5960,5960,5960,0,HAD
2012-10-24,5960,5960,5960,5960,0,HAD
2012-10-25,5960,5960,5960,5960,0,HAD
2012-10-26,6040,6040,6040,6040,1000,HAD
2012-10-29,6040,6040,6040,6040,0,HAD
2012-10-30,6040,6040,6040,6040,0,HAD
2012-10-31,6040,6040,6040,6040,0,HAD
2012-11-01,6460,6460,6460,6460,200,HAD
2012-11-02,6460,6460,6460,6460,0,HAD
2012-11-05,6460,6460,6460,6460,0,HAD
2012-11-06,6460,6460,6460,6460,0,HAD
2012-11-07,6480,6480,6480,6480,1700,HAD
2012-11-08,6510,6510,6510,6510,2000,HAD
2012-11-09,6560,6560,6560,6560,2000,HAD
2012-11-12,6560,6560,6560,6560,0,HAD
2012-11-13,6780,6780,6780,6780,100,HAD
2012-11-14,6780,7140,6780,7140,4200,HAD
2012-11-15,6960,7140,6900,7140,700,HAD
2012-11-16,7140,7390,7140,7390,5700,HAD
2012-11-19,7390,7390,7390,7390,0,HAD
2012-11-20,7390,7520,7140,7520,17600,HAD
2012-11-21,7520,7520,7520,7520,0,HAD
2012-11-22,7520,7520,7520,7520,0,HAD
2012-11-23,7140,7390,7140,7390,1500,HAD
2012-11-26,7130,7390,7130,7390,1400,HAD
2012-11-27,6910,7390,6880,7390,12400,HAD
2012-11-28,7390,7390,7390,7390,0,HAD
2012-11-29,7390,7390,7390,7390,0,HAD
2012-11-30,7030,7650,6880,7650,24400,HAD
2012-12-03,7000,7000,7000,7000,0,HAD
2012-12-04,7470,7470,7470,7470,100,HAD
2012-12-05,7470,7470,7470,7470,100,HAD
2012-12-06,7470,7470,7470,7470,100,HAD
2012-12-07,7470,7470,7470,7470,0,HAD
2012-12-10,7520,7520,7520,7520,100,HAD
2012-12-11,7520,7520,7520,7520,100,HAD
2012-12-12,7520,7520,7520,7520,0,HAD
2012-12-13,7520,7520,7520,7520,0,HAD
2012-12-14,7520,7520,7520,7520,0,HAD
2012-12-17,7520,7520,7520,7520,0,HAD
2012-12-18,7520,7520,7520,7520,0,HAD
2012-12-19,7520,7520,7520,7520,0,HAD
2012-12-20,8010,8039,7780,7780,1500,HAD
2012-12-21,7780,7780,7780,7780,0,HAD
2012-12-24,8160,8160,7290,7290,200,HAD
2012-12-25,7440,7800,7390,7800,1100,HAD
2012-12-26,8130,8160,8130,8160,1300,HAD
2012-12-27,8160,8520,8160,8520,300,HAD
2012-12-28,8470,8700,8470,8700,300,HAD
2013-01-02,8420,8700,8420,8700,800,HAD
2013-01-03,9250,9250,9250,9250,100,HAD
2013-01-04,8670,9160,8670,9160,6900,HAD
2013-01-07,8930,9660,8930,9660,1400,HAD
2013-01-08,9660,9660,9660,9660,0,HAD
2013-01-09,9440,9560,9000,9560,400,HAD
2013-01-10,9560,9560,9560,9560,0,HAD
2013-01-11,9440,9590,9440,9590,200,HAD
2013-01-14,9590,9590,9590,9590,0,HAD
2013-01-15,9590,9590,9590,9590,0,HAD
2013-01-16,8650,9850,8650,9850,200,HAD
2013-01-17,9850,9850,9850,9850,0,HAD
2013-01-18,9190,9190,8870,9190,7700,HAD
2013-01-21,9190,9380,9190,9380,400,HAD
2013-01-22,8540,9310,8540,9310,300,HAD
2013-01-23,9310,9310,9310,9310,100,HAD
2013-01-24,9060,9380,9060,9380,8100,HAD
2013-01-25,8930,8950,8930,8930,4700,HAD
2013-01-28,8700,8800,8670,8700,37100,HAD
2013-01-29,8670,8800,8670,8800,17500,HAD
2013-01-30,8670,8670,8670,8670,700,HAD
2013-01-31,8700,8930,8670,8930,1000,HAD
2013-02-01,8700,8700,8670,8670,24000,HAD
2013-02-04,8670,8670,8670,8670,0,HAD
2013-02-05,8670,8670,8670,8670,0,HAD
2013-02-06,8670,8670,8670,8670,5000,HAD
2013-02-07,8750,9030,8750,9030,200,HAD
2013-02-08,9030,9030,9030,9030,0,HAD
2013-02-18,9250,9250,9250,9250,100,HAD
2013-02-19,9250,9250,9250,9250,0,HAD
2013-02-20,8720,8840,8720,8840,10100,HAD
2013-02-21,8840,8840,8840,8840,0,HAD
2013-02-22,8670,8780,8670,8780,18800,HAD
2013-02-25,8800,8830,8800,8800,10200,HAD
2013-02-26,9030,9030,9030,9030,100,HAD
2013-02-27,8160,8840,8160,8840,2500,HAD
2013-02-28,8840,8840,8840,8840,0,HAD
2013-03-01,9130,9130,9130,9130,100,HAD
2013-03-04,9130,9130,9130,9130,0,HAD
