time,open,high,low,close,volume,ticker
2012-03-20,1540,1570,1510,1570,158200,HAP
2012-03-21,1570,1620,1540,1570,302160,HAP
2012-03-22,1570,1600,1510,1540,487770,HAP
2012-03-23,1540,1600,1540,1600,594180,HAP
2012-03-26,1660,1660,1620,1660,366880,HAP
2012-03-27,1720,1720,1660,1690,742150,HAP
2012-03-28,1620,1720,1620,1690,397140,HAP
2012-03-29,1690,1690,1620,1620,303830,HAP
2012-03-30,1570,1600,1570,1570,378530,HAP
2012-04-03,1570,1600,1540,1570,162110,HAP
2012-04-04,1600,1600,1510,1510,301230,HAP
2012-04-05,1490,1570,1490,1540,131250,HAP
2012-04-06,1540,1600,1540,1570,232650,HAP
2012-04-09,1600,1620,1540,1620,241620,HAP
2012-04-10,1600,1660,1600,1620,259030,HAP
2012-04-11,1660,1690,1660,1690,416410,HAP
2012-04-12,1740,1740,1720,1740,422580,HAP
2012-04-13,1800,1830,1740,1830,1237240,HAP
2012-04-16,1850,1920,1830,1920,474000,HAP
2012-04-17,2000,2000,2000,2000,221670,HAP
2012-04-18,2090,2090,2090,2090,436180,HAP
2012-04-19,2120,2170,2090,2140,1515230,HAP
2012-04-20,2090,2170,2090,2090,917140,HAP
2012-04-23,2050,2170,2050,2090,346780,HAP
2012-04-24,2090,2170,2050,2170,417920,HAP
2012-04-25,2230,2250,2230,2250,318100,HAP
2012-04-26,2350,2350,2280,2350,109510,HAP
2012-04-27,2450,2450,2450,2450,131630,HAP
2012-05-02,2570,2570,2430,2430,862170,HAP
2012-05-03,2480,2550,2350,2480,675910,HAP
2012-05-04,2570,2600,2550,2600,981440,HAP
2012-05-07,2600,2710,2570,2660,434730,HAP
2012-05-08,2600,2660,2550,2550,788460,HAP
2012-05-09,2550,2550,2430,2430,640150,HAP
2012-05-10,2450,2550,2370,2480,765250,HAP
2012-05-11,2480,2480,2370,2400,445550,HAP
2012-05-14,2320,2400,2280,2280,426120,HAP
2012-05-15,2200,2250,2170,2170,466810,HAP
2012-05-16,2140,2200,2090,2090,521130,HAP
2012-05-17,2090,2170,2029,2029,477460,HAP
2012-05-18,1940,2000,1940,1940,321150,HAP
2012-05-21,2029,2029,1970,2029,258830,HAP
2012-05-22,2120,2120,2120,2120,45980,HAP
2012-05-23,2200,2200,2140,2170,925940,HAP
2012-05-24,2140,2200,2090,2090,305770,HAP
2012-05-25,2170,2170,2140,2170,279770,HAP
2012-05-28,2250,2250,2090,2200,394200,HAP
