time,open,high,low,close,volume,ticker
2012-03-20,7290,7290,7290,7290,300,HAT
2012-03-21,7770,7770,7770,7770,100,HAT
2012-03-22,8300,8300,8200,8200,1100,HAT
2012-03-23,8250,8250,8250,8250,0,HAT
2012-03-26,8300,8300,8300,8300,200,HAT
2012-03-27,8300,8300,8300,8300,0,HAT
2012-03-28,8680,8680,8680,8680,200,HAT
2012-03-29,8680,8680,8680,8680,0,HAT
2012-03-30,8680,8680,8680,8680,0,HAT
2012-04-03,9220,9220,9220,9220,100,HAT
2012-04-04,9220,9220,9220,9220,0,HAT
2012-04-05,9220,9220,9220,9220,0,HAT
2012-04-06,9600,9600,9600,9600,2500,HAT
2012-04-09,10260,10260,10040,10040,3800,HAT
2012-04-10,10040,10040,10040,10040,0,HAT
2012-04-11,9830,9830,9830,9830,1500,HAT
2012-04-12,10480,10480,9830,10480,2700,HAT
2012-04-13,9830,10650,9830,10650,1100,HAT
2012-04-16,10040,10040,10040,10040,1700,HAT
2012-04-17,10040,10040,9600,9600,5000,HAT
2012-04-18,10260,10260,9600,9600,6600,HAT
2012-04-19,10570,10570,10000,10480,5700,HAT
2012-04-20,10480,10480,10480,10480,1500,HAT
2012-04-23,10570,10570,10040,10040,1900,HAT
2012-04-24,10090,10170,10090,10170,3200,HAT
2012-04-25,10140,10300,10140,10300,7000,HAT
2012-04-26,10450,10500,10450,10500,3000,HAT
2012-04-27,10450,10450,10450,10450,500,HAT
2012-05-02,10500,10500,9960,9960,1200,HAT
2012-05-03,9570,9570,9270,9330,4200,HAT
2012-05-04,9040,9380,9040,9380,4600,HAT
2012-05-07,10010,10010,10010,10010,1400,HAT
2012-05-08,10700,10700,10700,10700,5300,HAT
2012-05-09,11430,11430,10750,10930,4100,HAT
2012-05-10,10990,11040,10990,11040,10300,HAT
2012-05-11,11040,11230,10900,10900,7000,HAT
2012-05-14,10840,10840,10840,10840,200,HAT
2012-05-15,10150,10150,10110,10110,2000,HAT
2012-05-16,9420,10700,9420,9420,2200,HAT
2012-05-17,8890,8890,8790,8890,2900,HAT
2012-05-18,8890,8890,8890,8890,0,HAT
2012-05-21,9420,9420,9420,9420,200,HAT
2012-05-22,9420,9420,9420,9420,0,HAT
2012-05-23,8790,8790,8790,8790,200,HAT
2012-05-24,9380,9380,9240,9240,400,HAT
2012-05-25,9530,9860,9530,9860,300,HAT
2012-05-28,9860,9860,9860,9860,0,HAT
2012-05-29,9240,9240,9240,9240,100,HAT
2012-05-30,9240,9240,9240,9240,0,HAT
2012-05-31,9240,9240,9240,9240,0,HAT
2012-06-01,9240,9240,9240,9240,0,HAT
2012-06-04,9080,9080,9040,9040,600,HAT
2012-06-05,9040,9040,9040,9040,1200,HAT
2012-06-06,9040,9040,9040,9040,0,HAT
2012-06-07,9130,9130,9130,9130,500,HAT
2012-06-08,9130,9130,9130,9130,0,HAT
2012-06-11,9130,9130,9130,9130,0,HAT
2012-06-12,9130,9130,9130,9130,0,HAT
2012-06-13,9130,9130,9130,9130,0,HAT
2012-06-14,9270,9270,9270,9270,100,HAT
2012-06-15,9270,9270,9270,9270,0,HAT
2012-06-18,8840,8840,8640,8640,1000,HAT
2012-06-19,9040,9040,9040,9040,1000,HAT
2012-06-20,9040,9040,9040,9040,0,HAT
2012-06-21,9040,9040,9040,9040,0,HAT
2012-06-22,9040,9040,9040,9040,0,HAT
2012-06-25,9040,9040,9040,9040,0,HAT
2012-06-26,8790,8790,8790,8790,700,HAT
2012-06-27,8790,8790,8790,8790,800,HAT
2012-06-28,8200,8200,8200,8200,100,HAT
2012-06-29,8200,8200,8200,8200,0,HAT
2012-07-02,8550,8550,8550,8550,200,HAT
2012-07-03,8550,8550,8550,8550,0,HAT
2012-07-04,8550,8550,8550,8550,0,HAT
2012-07-05,8550,8550,8550,8550,0,HAT
2012-07-06,8550,8550,8550,8550,1400,HAT
2012-07-09,8550,8550,8550,8550,0,HAT
2012-07-10,8550,8550,8550,8550,0,HAT
2012-07-11,8790,9130,8790,9130,3400,HAT
2012-07-12,9270,9270,9270,9270,2000,HAT
2012-07-13,9270,9270,9270,9270,0,HAT
2012-07-16,9270,9270,9270,9270,0,HAT
2012-07-17,9270,9270,9270,9270,0,HAT
2012-07-18,9270,9270,9270,9270,500,HAT
2012-07-19,9270,9270,9270,9270,0,HAT
2012-07-20,9270,9270,9270,9270,500,HAT
2012-07-23,9180,9270,9180,9270,2100,HAT
2012-07-24,9270,9420,9270,9420,3000,HAT
2012-07-25,9420,9420,9420,9420,0,HAT
2012-07-26,9420,9420,9420,9420,0,HAT
2012-07-27,9420,9420,9420,9420,0,HAT
2012-07-30,9420,9420,9420,9420,0,HAT
2012-07-31,9860,9860,9860,9860,100,HAT
2012-08-01,9530,9530,9530,9530,1900,HAT
2012-08-02,9270,9270,9270,9270,2600,HAT
2012-08-03,9530,9530,9530,9530,100,HAT
2012-08-06,9530,9530,9530,9530,900,HAT
2012-08-07,9530,9860,9530,9860,700,HAT
2012-08-08,9860,9860,9860,9860,0,HAT
2012-08-09,9860,9860,9860,9860,0,HAT
2012-08-10,9760,9760,9760,9760,200,HAT
