time,open,high,low,close,volume,ticker
2012-03-20,2220,2300,2220,2300,5610,HBC
2012-03-21,2310,2320,2290,2300,90040,HBC
2012-03-22,2300,2300,2190,2270,77570,HBC
2012-03-23,2270,2290,2260,2290,23210,HBC
2012-03-26,2300,2310,2240,2240,98310,HBC
2012-03-27,2270,2270,2180,2220,74110,HBC
2012-03-28,2220,2220,2140,2220,13570,HBC
2012-03-29,2220,2220,2190,2220,31360,HBC
2012-03-30,2210,2240,2140,2240,114050,HBC
2012-04-03,2240,2240,2210,2210,39250,HBC
2012-04-04,2250,2250,2180,2220,76810,HBC
2012-04-05,2210,2220,2140,2220,32140,HBC
2012-04-06,2220,2220,2200,2200,25710,HBC
2012-04-09,2220,2290,2210,2290,71890,HBC
2012-04-10,2290,2310,2270,2310,126950,HBC
2012-04-11,2350,2350,2320,2350,147950,HBC
2012-04-12,2390,2410,2350,2410,77300,HBC
2012-04-13,2430,2530,2430,2530,246990,HBC
2012-04-16,2410,2640,2410,2550,500020,HBC
2012-04-17,2550,2680,2550,2680,408560,HBC
2012-04-18,2800,2810,2720,2810,579590,HBC
2012-04-19,2950,2950,2940,2950,483280,HBC
2012-04-20,2850,2950,2840,2840,267250,HBC
2012-04-23,2980,2980,2920,2980,789620,HBC
2012-04-24,3040,3130,2970,3130,503750,HBC
2012-04-25,3250,3290,3160,3290,623230,HBC
2012-04-26,3430,3440,3400,3440,567370,HBC
2012-04-27,3540,3580,3390,3440,199910,HBC
2012-05-02,3460,3470,3280,3290,363570,HBC
2012-05-03,3270,3440,3150,3440,442520,HBC
2012-05-04,3530,3610,3470,3610,419940,HBC
2012-05-07,3670,3740,3660,3690,417030,HBC
2012-05-08,3690,3710,3510,3620,366600,HBC
2012-05-09,3540,3710,3520,3630,344200,HBC
2012-05-10,3750,3750,3620,3650,465260,HBC
2012-05-11,3620,3690,3470,3470,237990,HBC
2012-05-14,3300,3420,3290,3290,586700,HBC
2012-05-15,3150,3340,3130,3130,462550,HBC
2012-05-16,3160,3200,2970,2970,431200,HBC
2012-05-17,2970,3110,2970,2970,281840,HBC
2012-05-18,2920,2970,2830,2830,298020,HBC
2012-05-21,2920,2970,2840,2970,201950,HBC
2012-05-22,3050,3120,2980,3090,212120,HBC
2012-05-23,2970,3240,2970,3240,601260,HBC
2012-05-24,3330,3360,3200,3230,340860,HBC
2012-05-25,3290,3340,3250,3290,294590,HBC
2012-05-28,3290,3290,3130,3130,208630,HBC
2012-05-29,2990,3090,2970,2970,242510,HBC
2012-05-30,2970,3060,2950,2980,264100,HBC
2012-05-31,2980,3050,2930,2940,298340,HBC
