time,open,high,low,close,volume,ticker
2012-03-20,1630,1680,1630,1680,140030,HDG
2012-03-21,1670,1750,1630,1700,315220,HDG
2012-03-22,1680,1750,1670,1730,102950,HDG
2012-03-23,1710,1790,1700,1770,268250,HDG
2012-03-26,1840,1840,1740,1750,136060,HDG
2012-03-27,1740,1750,1670,1670,121450,HDG
2012-03-28,1630,1670,1590,1630,65360,HDG
2012-03-29,1630,1630,1580,1580,157600,HDG
2012-03-30,1580,1630,1580,1630,89490,HDG
2012-04-03,1580,1670,1580,1650,49060,HDG
2012-04-04,1690,1690,1580,1580,63390,HDG
2012-04-05,1580,1620,1560,1600,62210,HDG
2012-04-06,1650,1680,1630,1670,139690,HDG
2012-04-09,1650,1740,1650,1730,265060,HDG
2012-04-10,1770,1800,1750,1800,607040,HDG
2012-04-11,1890,1890,1890,1890,176360,HDG
2012-04-12,1980,1980,1980,1980,114390,HDG
2012-04-13,2070,2070,1990,2020,758690,HDG
2012-04-16,2020,2130,2020,2130,484460,HDG
2012-04-17,2210,2220,2170,2220,217790,HDG
2012-04-18,2340,2340,2220,2340,756420,HDG
2012-04-19,2270,2340,2220,2220,405720,HDG
2012-04-20,2130,2210,2110,2170,333130,HDG
2012-04-23,2090,2270,2090,2270,188380,HDG
2012-04-24,2300,2380,2220,2380,548920,HDG
2012-04-25,2450,2510,2380,2510,492320,HDG
2012-04-26,2600,2610,2490,2490,440340,HDG
2012-04-27,2530,2610,2450,2600,495770,HDG
2012-05-02,2670,2670,2470,2470,408310,HDG
2012-05-03,2380,2460,2350,2380,559470,HDG
2012-05-04,2460,2490,2420,2490,286650,HDG
2012-05-07,2490,2610,2430,2610,297770,HDG
2012-05-08,2600,2740,2580,2710,440400,HDG
2012-05-09,2630,2810,2580,2670,342930,HDG
2012-05-10,2740,2800,2610,2710,550200,HDG
2012-05-11,2760,2760,2600,2600,246400,HDG
2012-05-14,2600,2600,2470,2470,272980,HDG
2012-05-15,2430,2450,2350,2350,564740,HDG
2012-05-16,2340,2430,2250,2350,208300,HDG
2012-05-17,2350,2380,2250,2250,308170,HDG
2012-05-18,2130,2190,2130,2130,348680,HDG
2012-05-21,2130,2240,2130,2240,159920,HDG
2012-05-22,2320,2340,2210,2240,159110,HDG
2012-05-23,2220,2220,2130,2130,132580,HDG
2012-05-24,2130,2170,2020,2020,551410,HDG
2012-05-25,2110,2130,2060,2130,131180,HDG
2012-05-28,2210,2220,2130,2170,119160,HDG
2012-05-29,2170,2170,2060,2070,125640,HDG
2012-05-30,2040,2130,2040,2060,66840,HDG
2012-05-31,2090,2090,2009,2009,52580,HDG
2012-06-01,2020,2100,2020,2020,55840,HDG
2012-06-04,2040,2040,1930,2000,57370,HDG
2012-06-05,2000,2090,1950,2090,40260,HDG
2012-06-06,2090,2180,2020,2170,80720,HDG
2012-06-07,2190,2270,2170,2270,258690,HDG
2012-06-08,2350,2350,2200,2290,104890,HDG
2012-06-11,2180,2340,2180,2250,153450,HDG
2012-06-12,2170,2250,2150,2150,45650,HDG
2012-06-13,2100,2130,2070,2090,86150,HDG
2012-06-14,2060,2190,2060,2110,125020,HDG
2012-06-15,2210,2210,2200,2210,193250,HDG
2012-06-18,2320,2320,2270,2320,228600,HDG
2012-06-19,2320,2320,2210,2210,146550,HDG
2012-06-20,2210,2270,2170,2250,56530,HDG
2012-06-21,2180,2260,2180,2190,36790,HDG
2012-06-22,2180,2180,2110,2130,54780,HDG
2012-06-25,2130,2130,2020,2020,177130,HDG
2012-06-26,2009,2009,1930,1940,79680,HDG
2012-06-27,1940,2009,1920,1920,28420,HDG
2012-06-28,1920,1950,1900,1920,68850,HDG
2012-06-29,1920,2000,1920,2000,38010,HDG
2012-07-02,1950,1990,1920,1950,30050,HDG
2012-07-03,2000,2000,1940,1950,95480,HDG
2012-07-04,1950,1990,1940,1940,59460,HDG
2012-07-05,1960,1980,1930,1960,24210,HDG
2012-07-06,2020,2060,1960,2060,182200,HDG
2012-07-09,1980,2000,1960,1960,39140,HDG
2012-07-10,1960,1990,1920,1990,17130,HDG
2012-07-11,2040,2040,1990,2020,6510,HDG
2012-07-12,2020,2040,2020,2040,43710,HDG
2012-07-13,2060,2110,2050,2060,62290,HDG
2012-07-16,2060,2060,1990,1990,34180,HDG
2012-07-17,2009,2060,1990,2050,46220,HDG
2012-07-18,2150,2150,2060,2090,131430,HDG
2012-07-19,2120,2170,2090,2170,48070,HDG
2012-07-20,2200,2200,2160,2160,21490,HDG
2012-07-23,2130,2130,2060,2130,34920,HDG
2012-07-24,2080,2080,2029,2029,93270,HDG
2012-07-25,2020,2020,1940,1940,77570,HDG
2012-07-26,2000,2000,1880,1920,27600,HDG
2012-07-27,1920,1920,1900,1920,29490,HDG
2012-07-30,1920,1920,1890,1890,3020,HDG
2012-07-31,1900,1920,1880,1920,12190,HDG
2012-08-01,1920,1920,1860,1880,16150,HDG
2012-08-02,1890,1890,1860,1860,19040,HDG
2012-08-03,1860,1880,1840,1880,7740,HDG
2012-08-06,1890,1940,1890,1940,39790,HDG
2012-08-07,1940,1940,1900,1920,7010,HDG
2012-08-08,1860,1920,1860,1920,3010,HDG
2012-08-09,1920,1950,1920,1940,14140,HDG
2012-08-10,1940,1940,1920,1940,8700,HDG
2012-08-13,1940,1940,1880,1900,11880,HDG
2012-08-14,1900,1950,1900,1900,9150,HDG
2012-08-15,1900,1920,1900,1920,16950,HDG
2012-08-16,1920,1920,1880,1880,11420,HDG
2012-08-17,1900,1900,1860,1890,16710,HDG
2012-08-20,1920,1940,1880,1940,65210,HDG
2012-08-21,2000,2000,1840,1840,119280,HDG
2012-08-22,1840,1840,1770,1820,58770,HDG
2012-08-23,1820,1820,1740,1740,80580,HDG
2012-08-24,1670,1770,1660,1660,214570,HDG
2012-08-27,1600,1730,1580,1580,112190,HDG
2012-08-28,1530,1580,1500,1560,67190,HDG
2012-08-29,1580,1630,1580,1630,135240,HDG
2012-08-30,1640,1680,1620,1620,44730,HDG
2012-08-31,1620,1630,1600,1600,13060,HDG
2012-09-04,1590,1660,1590,1660,3260,HDG
2012-09-05,1590,1640,1580,1580,97500,HDG
2012-09-06,1600,1600,1520,1530,9200,HDG
2012-09-07,1530,1560,1500,1520,28830,HDG
2012-09-10,1520,1520,1450,1450,86250,HDG
2012-09-11,1410,1450,1410,1440,28080,HDG
2012-09-12,1490,1490,1420,1490,36660,HDG
2012-09-13,1530,1550,1520,1550,92250,HDG
