time,open,high,low,close,volume,ticker
2012-03-20,6977,7475,6977,7475,19300,HHC
2012-03-21,7824,7824,7824,7824,17500,HHC
2012-03-22,8272,8322,8223,8322,15500,HHC
2012-03-23,8621,8871,8621,8871,13700,HHC
2012-03-26,9469,9469,9070,9469,22000,HHC
2012-03-27,9967,10116,9469,10116,12300,HHC
2012-03-28,9867,10814,9867,10814,19300,HHC
2012-03-29,10715,11562,10715,11562,10400,HHC
2012-03-30,10964,12110,10764,12110,16200,HHC
2012-04-03,11063,11960,11063,11960,15300,HHC
2012-04-04,11711,11711,11462,11661,12700,HHC
2012-04-05,10864,10864,10864,10864,400,HHC
2012-04-06,10216,10864,10116,10864,4600,HHC
2012-04-09,9967,10465,9817,10465,13500,HHC
2012-04-10,9668,10964,9668,10964,12700,HHC
2012-04-11,11612,11661,11113,11661,35300,HHC
2012-04-12,12210,12459,11462,12210,14200,HHC
2012-04-13,11412,12459,11412,12309,3500,HHC
2012-04-16,12409,12708,12409,12409,15000,HHC
2012-04-17,12010,12060,11562,11562,11700,HHC
2012-04-18,11512,11512,10764,10764,9100,HHC
2012-04-19,10216,10216,10017,10017,6100,HHC
2012-04-20,10017,10665,10017,10665,600,HHC
2012-04-23,10216,10814,10216,10814,1000,HHC
2012-04-24,10266,10266,10116,10116,1000,HHC
2012-04-25,9718,10465,9618,10465,5100,HHC
2012-04-26,10216,10964,10216,10964,3800,HHC
2012-04-27,10216,10964,10216,10964,200,HHC
2012-05-02,10465,10914,10316,10316,6100,HHC
2012-05-03,10216,10216,10216,10216,300,HHC
2012-05-04,10216,10216,10216,10216,1400,HHC
2012-05-07,10316,10715,10316,10715,600,HHC
2012-05-08,10715,11163,10565,10864,3000,HHC
2012-05-09,10316,10964,10316,10964,200,HHC
2012-05-10,10465,10864,10465,10864,600,HHC
2012-05-11,10864,10864,10864,10864,0,HHC
2012-05-14,10216,10216,10216,10216,500,HHC
2012-05-15,10415,10465,9518,9518,5500,HHC
2012-05-16,9867,9867,9867,9867,100,HHC
2012-05-17,9319,9319,9219,9219,11900,HHC
2012-05-18,8871,8871,8871,8871,100,HHC
2012-05-21,8970,9070,8970,8970,1200,HHC
2012-05-22,8472,8472,8372,8372,24800,HHC
2012-05-23,7824,8073,7824,8073,19900,HHC
2012-05-24,7724,7924,7425,7924,10100,HHC
2012-05-25,8223,8223,7475,7475,1000,HHC
2012-05-28,7973,8073,7973,8073,400,HHC
