time,open,high,low,close,volume,ticker
2017-02-08,12890,12890,12890,12890,0,HLB
2017-02-09,12890,12890,12890,12890,0,HLB
2017-02-10,12890,12890,12890,12890,0,HLB
2017-02-13,12890,12890,12890,12890,0,HLB
2017-02-14,12890,12890,12890,12890,0,HLB
2017-02-15,12890,12890,12890,12890,0,HLB
2017-02-16,12890,12890,12890,12890,0,HLB
2017-02-17,12890,12890,12890,12890,0,HLB
2017-02-20,12890,12890,12890,12890,0,HLB
2017-02-21,12890,12890,12890,12890,0,HLB
2017-02-22,12890,12890,12890,12890,0,HLB
2017-02-23,12890,12890,12890,12890,0,HLB
2017-02-24,12890,12890,12890,12890,0,HLB
2017-02-27,12890,12890,12890,12890,0,HLB
2017-02-28,18040,18040,18040,18040,300,HLB
2017-03-01,20710,20710,20710,20710,200,HLB
2017-03-02,23790,23790,23790,23790,200,HLB
2017-03-03,27320,27320,27320,27320,200,HLB
2017-03-06,31410,31410,31410,31410,100,HLB
2017-03-07,36070,36070,36070,36070,100,HLB
2017-03-08,36070,36070,36070,36070,0,HLB
2017-03-09,36070,36070,36070,36070,500,HLB
2017-03-10,30710,30710,30710,30710,100,HLB
2017-03-13,30710,30710,26140,26140,600,HLB
2017-03-14,29200,29200,29200,29200,0,HLB
2017-03-15,29200,29200,29200,29200,0,HLB
2017-03-16,29200,29200,29200,29200,0,HLB
2017-03-17,29200,29200,29200,29200,0,HLB
2017-03-20,29200,29200,29200,29200,0,HLB
2017-03-21,29200,29200,29200,29200,0,HLB
2017-03-22,29200,29200,29200,29200,0,HLB
2017-03-23,29200,29200,29200,29200,0,HLB
2017-03-24,29200,29200,29200,29200,0,HLB
2017-03-27,24860,24860,24860,24860,1100,HLB
2017-03-28,24860,24860,24860,24860,0,HLB
2017-03-29,24860,24860,24860,24860,0,HLB
2017-03-30,24860,24860,24860,24860,0,HLB
2017-03-31,24860,24860,24860,24860,0,HLB
2017-04-03,24860,24860,24860,24860,0,HLB
2017-04-04,24860,24860,24860,24860,0,HLB
2017-04-05,21160,21160,21160,21160,100,HLB
2017-04-07,17980,17980,17980,17980,100,HLB
2017-04-10,15300,15300,15300,15300,100,HLB
2017-04-11,15300,15300,15300,15300,0,HLB
2017-04-12,15300,15300,15300,15300,0,HLB
2017-04-13,13040,13040,13040,13040,100,HLB
2017-04-14,11110,11110,11110,11110,100,HLB
2017-04-17,11110,11110,11110,11110,0,HLB
2017-04-18,11110,11110,11110,11110,0,HLB
2017-04-19,11110,11110,11110,11110,0,HLB
2017-04-20,11110,11110,11110,11110,0,HLB
2017-04-21,11110,11110,11110,11110,0,HLB
2017-04-24,11110,11110,11110,11110,0,HLB
2017-04-25,11110,11110,11110,11110,0,HLB
2017-04-26,11110,11110,11110,11110,0,HLB
2017-04-27,11110,11110,11110,11110,0,HLB
2017-04-28,11110,11110,11110,11110,0,HLB
2017-05-03,11110,11110,11110,11110,0,HLB
2017-05-04,11110,11110,11110,11110,0,HLB
2017-05-05,12780,12780,12780,12780,100,HLB
2017-05-08,12780,12780,12780,12780,0,HLB
2017-05-09,14660,14660,11010,11010,200,HLB
2017-05-10,14710,14710,14710,14710,100,HLB
2017-05-11,16910,16910,16910,16910,100,HLB
2017-05-12,19430,19430,19430,19430,100,HLB
2017-05-15,22330,22330,22330,22330,900,HLB
2017-05-16,25670,25670,24690,24690,300,HLB
2017-05-17,28720,28720,28720,28720,100,HLB
2017-05-18,28720,28720,28720,28720,0,HLB
2017-05-19,28720,28720,28720,28720,0,HLB
2017-05-22,28720,28720,28720,28720,0,HLB
2017-05-23,28720,28720,28720,28720,0,HLB
2017-05-24,28720,28720,28720,28720,0,HLB
2017-05-25,28720,28720,28720,28720,0,HLB
2017-05-26,28720,28720,28720,28720,0,HLB
2017-05-29,28720,28720,28720,28720,0,HLB
2017-05-30,28720,28720,28720,28720,0,HLB
2017-05-31,28720,28720,28720,28720,0,HLB
2017-06-01,28720,28720,28720,28720,0,HLB
2017-06-02,28720,28720,28720,28720,0,HLB
2017-06-05,28720,28720,28720,28720,0,HLB
2017-06-06,28720,28720,28720,28720,0,HLB
2017-06-07,24450,24450,24450,24450,100,HLB
2017-06-08,20790,21330,20790,21330,300,HLB
2017-06-09,24070,24070,17830,21880,500,HLB
2017-06-12,23740,23740,23740,23740,100,HLB
2017-06-13,27240,27240,20240,20240,500,HLB
2017-06-14,18440,18440,18440,18440,100,HLB
