time,open,high,low,close,volume,ticker
2015-11-03,4750,8580,4750,6130,24200,HNF
2015-11-04,6130,6130,6130,6130,0,HNF
2015-11-05,6130,6130,6130,6130,0,HNF
2015-11-09,6650,6650,6650,6650,0,HNF
2015-11-10,6650,6650,6650,6650,0,HNF
2015-11-11,6650,6650,6650,6650,0,HNF
2015-11-12,6650,6650,6650,6650,0,HNF
2015-11-13,5650,5650,5650,5650,100,HNF
2015-11-16,5650,5650,5650,5650,0,HNF
2015-11-17,5650,5650,5650,5650,0,HNF
2015-11-18,5650,5650,5650,5650,0,HNF
2015-11-19,4900,4900,4900,4900,100,HNF
2015-11-20,4900,4900,4900,4900,0,HNF
2015-11-23,4900,4900,4900,4900,0,HNF
2015-11-24,4900,4900,4900,4900,0,HNF
2015-11-25,4900,4900,4900,4900,0,HNF
2015-11-26,4900,4900,4900,4900,0,HNF
2015-11-27,4240,4240,4240,4240,100,HNF
2015-11-30,4240,4240,4240,4240,0,HNF
2015-12-01,4240,4240,4240,4240,0,HNF
2015-12-02,4240,4240,4240,4240,0,HNF
2015-12-03,4240,4240,4240,4240,0,HNF
2015-12-04,4240,4240,4240,4240,0,HNF
2015-12-07,4240,4240,4240,4240,0,HNF
2015-12-08,4240,4240,4240,4240,0,HNF
2015-12-09,4240,4240,4240,4240,0,HNF
2015-12-10,4860,4860,4860,4860,100,HNF
2015-12-11,4860,4860,4860,4860,0,HNF
2015-12-14,4860,4860,4860,4860,0,HNF
2015-12-15,4860,4860,4860,4860,0,HNF
2015-12-16,4960,4960,4960,4960,200,HNF
2015-12-17,4960,4960,4960,4960,0,HNF
2015-12-18,4960,4960,4960,4960,0,HNF
2015-12-21,4960,4960,4960,4960,0,HNF
2015-12-22,4960,4960,4960,4960,0,HNF
2015-12-23,4960,4960,4960,4960,0,HNF
2015-12-24,4960,4960,4960,4960,0,HNF
2015-12-25,4960,4960,4960,4960,0,HNF
2015-12-28,4960,4960,4960,4960,0,HNF
2015-12-29,4960,4960,4960,4960,0,HNF
2015-12-30,4960,4960,4960,4960,0,HNF
2015-12-31,4960,4960,4960,4960,0,HNF
2016-01-04,4960,4960,4960,4960,0,HNF
2016-01-05,4960,4960,4960,4960,0,HNF
2016-01-06,4960,4960,4960,4960,0,HNF
2016-01-07,4960,4960,4960,4960,0,HNF
2016-01-08,4960,4960,4960,4960,0,HNF
2016-01-11,4960,4960,4960,4960,0,HNF
2016-01-12,4960,4960,4960,4960,0,HNF
2016-01-13,4960,4960,4960,4960,0,HNF
2016-01-14,4960,4960,4960,4960,0,HNF
2016-01-15,4750,4750,4750,4750,1900,HNF
2016-01-18,4750,4750,4750,4750,0,HNF
2016-01-19,4750,4750,4750,4750,0,HNF
2016-01-20,4750,4750,4750,4750,0,HNF
2016-01-21,4750,4750,4750,4750,0,HNF
2016-01-22,4750,4750,4750,4750,0,HNF
2016-01-25,4750,4750,4750,4750,0,HNF
2016-01-26,4750,4750,4750,4750,0,HNF
2016-01-27,4750,4750,4750,4750,0,HNF
2016-01-28,4750,4750,4750,4750,0,HNF
2016-01-29,4750,4750,4750,4750,0,HNF
2016-02-01,4750,4750,4750,4750,0,HNF
2016-02-02,4750,4750,4750,4750,0,HNF
2016-02-03,4750,4750,4750,4750,0,HNF
2016-02-04,4750,4750,4750,4750,0,HNF
2016-02-05,4750,4750,4750,4750,0,HNF
2016-02-15,4750,4750,4750,4750,0,HNF
