time,open,high,low,close,volume,ticker
2012-03-20,6793,6793,6596,6793,14600,HNM
2012-03-21,6892,6892,6596,6596,19000,HNM
2012-03-22,6892,6892,6596,6793,21300,HNM
2012-03-23,6892,7187,6596,7187,73500,HNM
2012-03-26,7384,7581,6892,7384,70600,HNM
2012-03-27,7384,7384,6892,6892,11100,HNM
2012-03-28,6596,6990,6596,6990,10000,HNM
2012-03-29,6793,6892,6596,6892,9600,HNM
2012-03-30,6498,6695,6498,6596,6900,HNM
2012-04-03,6695,6793,6695,6793,3500,HNM
2012-04-04,6695,6793,6498,6596,10900,HNM
2012-04-05,6399,6892,6399,6596,35300,HNM
2012-04-06,6596,6596,6498,6498,2600,HNM
2012-04-09,6793,6892,6793,6892,42000,HNM
2012-04-10,7089,7286,7089,7286,115600,HNM
2012-04-11,7483,7778,7384,7778,87700,HNM
2012-04-12,8073,8172,7876,7876,63800,HNM
2012-04-13,7876,7876,7483,7483,73600,HNM
2012-04-16,7483,7679,7384,7679,54000,HNM
2012-04-17,7581,7876,7384,7384,41200,HNM
2012-04-18,7384,7679,7384,7679,23800,HNM
2012-04-19,7679,7679,7286,7581,26700,HNM
2012-04-20,7384,7679,7384,7581,12500,HNM
2012-04-23,7286,7581,7187,7581,11100,HNM
2012-04-24,7384,7384,7187,7384,29200,HNM
2012-04-25,7384,7581,7286,7483,119300,HNM
2012-04-26,7483,7975,7384,7975,108000,HNM
2012-04-27,8467,8467,8467,8467,91300,HNM
2012-05-02,8959,9058,8959,9058,21500,HNM
2012-05-03,9649,9649,9156,9550,423500,HNM
2012-05-04,9156,9846,9058,9747,384700,HNM
2012-05-07,9353,10338,9255,10338,119700,HNM
2012-05-08,10830,10830,10043,10239,60100,HNM
2012-05-09,9649,10141,9550,10141,142600,HNM
2012-05-10,9846,9846,9255,9452,55400,HNM
2012-05-11,9255,9452,8763,8763,96000,HNM
2012-05-14,8959,8959,8172,8172,40400,HNM
2012-05-15,7975,7975,7679,7679,104900,HNM
2012-05-16,7286,8172,7286,8172,103500,HNM
2012-05-17,8664,8664,7679,7778,230400,HNM
2012-05-18,7384,8172,7384,8172,15800,HNM
2012-05-21,7975,8566,7876,8566,45400,HNM
2012-05-22,8073,8467,7975,8369,57700,HNM
2012-05-23,7679,7679,7581,7581,100700,HNM
2012-05-24,7286,7384,7089,7187,58800,HNM
2012-05-25,7286,7679,7286,7679,48300,HNM
2012-05-28,7679,7975,7286,7975,44700,HNM
2012-05-29,7384,7483,7384,7384,13700,HNM
2012-05-30,7384,7581,7286,7581,13200,HNM
2012-05-31,7483,7483,7089,7089,35100,HNM
2012-06-01,7286,7286,6990,7286,4100,HNM
2012-06-04,6990,7187,6793,6892,18600,HNM
2012-06-05,6892,7089,6695,7089,20300,HNM
2012-06-06,7089,7089,6793,7089,17100,HNM
2012-06-07,7286,7581,7187,7581,44500,HNM
2012-06-08,7876,7876,7286,7384,16600,HNM
2012-06-11,7384,7384,7089,7384,12000,HNM
2012-06-12,7384,7384,7187,7187,3100,HNM
2012-06-13,7187,7187,6892,7187,10800,HNM
2012-06-14,6892,6990,6695,6990,38100,HNM
2012-06-15,6990,7089,6892,6892,13300,HNM
2012-06-18,7089,7286,6892,7089,33600,HNM
2012-06-19,6990,7089,6990,7089,16800,HNM
2012-06-20,6990,7089,6990,7089,1400,HNM
2012-06-21,7089,7089,6990,7089,10900,HNM
2012-06-22,7089,7089,6892,6892,25300,HNM
2012-06-25,6892,6892,6695,6695,3400,HNM
2012-06-26,6695,6695,6498,6695,1300,HNM
2012-06-27,6695,6695,6301,6695,18700,HNM
2012-06-28,6399,6498,6301,6498,20200,HNM
2012-06-29,6399,6596,6399,6399,4200,HNM
2012-07-02,6596,6596,6203,6399,2700,HNM
2012-07-03,6104,6203,6006,6104,9200,HNM
2012-07-04,6203,6203,5907,6203,6100,HNM
2012-07-05,6104,6104,5809,6104,25900,HNM
2012-07-06,6006,6203,6006,6104,9100,HNM
2012-07-09,5907,6006,5710,5710,22100,HNM
2012-07-10,5809,5809,5513,5710,5600,HNM
2012-07-11,5809,5809,5809,5809,3500,HNM
2012-07-12,5809,5907,5809,5907,2900,HNM
2012-07-13,5907,6104,5710,6104,16900,HNM
2012-07-16,5809,5809,5710,5809,12300,HNM
2012-07-17,5809,6006,5809,6006,12000,HNM
2012-07-18,6104,6104,5907,6104,3400,HNM
2012-07-19,5907,6399,5907,6399,21900,HNM
2012-07-20,6399,6498,6104,6203,35800,HNM
2012-07-23,6006,6006,5907,5907,1400,HNM
2012-07-24,5907,5907,5710,5907,14100,HNM
2012-07-25,5809,5809,5710,5710,14700,HNM
2012-07-26,5809,5809,5710,5809,12900,HNM
2012-07-27,5907,5907,5710,5710,19200,HNM
2012-07-30,5710,5710,5710,5710,5300,HNM
2012-07-31,5809,5809,5612,5809,5400,HNM
2012-08-01,5809,5809,5710,5809,2500,HNM
2012-08-02,5809,5809,5513,5710,11100,HNM
2012-08-03,5612,5710,5612,5710,1500,HNM
2012-08-06,5513,5907,5513,5907,43800,HNM
2012-08-07,5710,5809,5710,5809,2100,HNM
2012-08-08,5809,5809,5710,5809,13900,HNM
2012-08-09,5907,5907,5710,5809,7300,HNM
2012-08-10,5809,5809,5710,5809,4800,HNM
2012-08-13,5710,5809,5513,5809,8000,HNM
2012-08-14,5612,5612,5415,5612,14300,HNM
2012-08-15,5415,5710,5415,5612,8500,HNM
2012-08-16,5612,5612,5316,5612,14500,HNM
2012-08-17,5612,5710,5612,5710,10000,HNM
2012-08-20,5710,5809,5710,5809,10900,HNM
2012-08-21,5513,5513,5316,5316,50600,HNM
2012-08-22,5218,5316,5021,5021,20800,HNM
2012-08-23,4923,4923,4726,4726,17300,HNM
2012-08-24,4430,5021,4430,4923,15000,HNM
2012-08-27,4726,4824,4627,4627,13600,HNM
2012-08-28,4430,4529,4332,4529,21200,HNM
2012-08-29,4529,4726,4430,4726,32700,HNM
2012-08-30,4529,4824,4529,4824,5400,HNM
2012-08-31,4824,5119,4824,4923,17100,HNM
2012-09-04,4726,4923,4726,4824,3300,HNM
2012-09-05,4726,4726,4529,4726,12700,HNM
2012-09-06,4726,4726,4430,4529,3500,HNM
2012-09-07,4627,4627,4233,4233,18600,HNM
2012-09-10,4233,4233,4036,4036,50500,HNM
