time,open,high,low,close,volume,ticker
2012-03-26,1200,1200,1180,1180,412710,HPG
2012-03-27,1170,1190,1170,1170,964010,HPG
2012-03-28,1160,1170,1160,1170,282250,HPG
2012-03-29,1160,1180,1160,1170,438730,HPG
2012-03-30,1180,1200,1170,1180,685020,HPG
2012-04-03,1200,1200,1180,1200,359930,HPG
2012-04-04,1210,1210,1170,1180,383960,HPG
2012-04-05,1170,1240,1170,1210,682420,HPG
2012-04-06,1230,1230,1190,1190,338470,HPG
2012-04-09,1210,1230,1180,1190,644600,HPG
2012-04-10,1180,1230,1180,1210,841980,HPG
2012-04-11,1230,1260,1220,1260,2889250,HPG
2012-04-12,1330,1330,1310,1330,2040120,HPG
2012-04-13,1350,1350,1330,1330,1362440,HPG
2012-04-16,1320,1380,1310,1380,661150,HPG
2012-04-17,1370,1400,1350,1360,1531390,HPG
2012-04-18,1360,1370,1310,1320,2177160,HPG
2012-04-19,1290,1330,1280,1280,1440650,HPG
2012-04-20,1280,1320,1260,1280,548020,HPG
2012-04-23,1280,1320,1270,1280,490140,HPG
2012-04-24,1280,1310,1260,1300,631540,HPG
2012-04-25,1330,1360,1310,1350,590810,HPG
2012-04-26,1350,1350,1320,1320,743100,HPG
2012-04-27,1330,1340,1310,1340,446260,HPG
2012-05-02,1330,1340,1290,1290,630860,HPG
2012-05-03,1290,1300,1260,1290,506800,HPG
2012-05-04,1290,1340,1290,1330,394020,HPG
2012-05-07,1340,1360,1330,1350,892230,HPG
2012-05-08,1350,1410,1340,1380,1415140,HPG
2012-05-09,1390,1410,1360,1380,660830,HPG
2012-05-10,1370,1410,1370,1380,630680,HPG
2012-05-11,1380,1420,1380,1390,1034400,HPG
2012-05-14,1390,1390,1330,1330,771150,HPG
2012-05-15,1330,1340,1280,1280,1008300,HPG
2012-05-16,1300,1300,1260,1260,822540,HPG
2012-05-17,1240,1290,1240,1250,549650,HPG
2012-05-18,1260,1260,1210,1230,888210,HPG
2012-05-21,1230,1280,1230,1260,407080,HPG
2012-05-22,1260,1280,1250,1260,196600,HPG
2012-05-23,1280,1280,1250,1260,535500,HPG
2012-05-24,1230,1250,1220,1240,601740,HPG
2012-05-25,1250,1290,1250,1280,408890,HPG
2012-05-28,1280,1310,1260,1260,95030,HPG
2012-05-29,1270,1270,1240,1250,239680,HPG
2012-05-30,1240,1280,1230,1240,139860,HPG
2012-05-31,1240,1240,1220,1230,394430,HPG
2012-06-01,1240,1240,1220,1230,317420,HPG
2012-06-04,1190,1220,1180,1180,582860,HPG
2012-06-05,1170,1200,1170,1180,653590,HPG
2012-06-06,1210,1210,1180,1210,336910,HPG
2012-06-07,1200,1250,1200,1240,331110,HPG
2012-06-08,1260,1260,1230,1230,153760,HPG
2012-06-11,1250,1250,1230,1230,117550,HPG
2012-06-12,1230,1240,1230,1230,185410,HPG
2012-06-13,1230,1230,1220,1220,279680,HPG
2012-06-14,1230,1230,1210,1210,308650,HPG
2012-06-15,1240,1260,1220,1260,845890,HPG
2012-06-18,1260,1300,1260,1280,145550,HPG
2012-06-19,1250,1280,1250,1250,195360,HPG
2012-06-20,1250,1250,1250,1250,82290,HPG
2012-06-21,1220,1250,1220,1250,78090,HPG
2012-06-22,1230,1250,1230,1250,79400,HPG
2012-06-25,1250,1250,1230,1250,131080,HPG
2012-06-26,1230,1240,1230,1230,126200,HPG
2012-06-27,1230,1250,1230,1250,109420,HPG
2012-06-28,1230,1250,1230,1230,60440,HPG
2012-06-29,1250,1250,1230,1230,49580,HPG
2012-07-02,1230,1250,1230,1230,117160,HPG
2012-07-03,1230,1230,1200,1210,476550,HPG
2012-07-04,1210,1230,1210,1210,65050,HPG
2012-07-05,1200,1210,1200,1200,59950,HPG
2012-07-06,1230,1230,1180,1190,91850,HPG
2012-07-09,1190,1210,1170,1180,268460,HPG
2012-07-10,1150,1180,1150,1160,346170,HPG
2012-07-11,1140,1180,1140,1160,127600,HPG
2012-07-12,1160,1200,1160,1170,62700,HPG
2012-07-13,1180,1210,1170,1200,269300,HPG
2012-07-16,1200,1200,1180,1180,213750,HPG
2012-07-17,1170,1200,1170,1180,701590,HPG
2012-07-18,1210,1210,1170,1180,84750,HPG
2012-07-19,1180,1210,1180,1200,338040,HPG
2012-07-20,1220,1220,1180,1180,330880,HPG
2012-07-23,1200,1210,1180,1190,207600,HPG
2012-07-24,1180,1200,1170,1180,266470,HPG
2012-07-25,1180,1180,1170,1180,252010,HPG
2012-07-26,1180,1200,1180,1180,225560,HPG
2012-07-27,1200,1200,1170,1180,92930,HPG
2012-07-30,1150,1180,1150,1180,98300,HPG
2012-07-31,1200,1200,1180,1180,133480,HPG
2012-08-01,1180,1180,1160,1170,54290,HPG
2012-08-02,1160,1180,1160,1160,11870,HPG
2012-08-03,1170,1170,1170,1170,9490,HPG
2012-08-06,1160,1200,1160,1170,107190,HPG
2012-08-07,1170,1180,1170,1170,38190,HPG
2012-08-08,1180,1180,1170,1170,168220,HPG
2012-08-09,1170,1190,1170,1190,63950,HPG
2012-08-10,1180,1180,1170,1170,33770,HPG
2012-08-13,1160,1170,1160,1170,31610,HPG
2012-08-14,1170,1180,1160,1170,65340,HPG
2012-08-15,1170,1170,1170,1170,74550,HPG
2012-08-16,1160,1170,1160,1160,36230,HPG
2012-08-17,1160,1170,1160,1170,111290,HPG
2012-08-20,1170,1170,1170,1170,92110,HPG
2012-08-21,1170,1170,1120,1120,528250,HPG
2012-08-22,1070,1100,1060,1070,236680,HPG
2012-08-23,1030,1070,1020,1020,416590,HPG
2012-08-24,970,1060,970,1050,262930,HPG
2012-08-27,1010,1020,990,990,363490,HPG
2012-08-28,990,1030,990,1020,113780,HPG
