time,open,high,low,close,volume,ticker
2012-03-20,1350,1400,1340,1390,471570,HSG
2012-03-21,1400,1430,1380,1390,662090,HSG
2012-03-22,1380,1410,1380,1400,305900,HSG
2012-03-23,1400,1420,1380,1400,700300,HSG
2012-03-26,1420,1420,1390,1390,499190,HSG
2012-03-27,1390,1390,1330,1350,852730,HSG
2012-03-28,1330,1360,1330,1340,306990,HSG
2012-03-29,1340,1350,1330,1330,426850,HSG
2012-03-30,1330,1330,1300,1320,385830,HSG
2012-04-03,1340,1350,1320,1350,244930,HSG
2012-04-04,1350,1350,1320,1330,269400,HSG
2012-04-05,1340,1390,1320,1360,318660,HSG
2012-04-06,1380,1430,1380,1430,1280440,HSG
2012-04-09,1460,1490,1460,1490,1176320,HSG
2012-04-10,1570,1570,1540,1550,768920,HSG
2012-04-11,1630,1630,1590,1630,518920,HSG
2012-04-12,1700,1710,1670,1710,555880,HSG
2012-04-13,1760,1780,1710,1760,2471910,HSG
2012-04-16,1820,1840,1800,1840,522240,HSG
2012-04-17,1930,1930,1930,1930,200220,HSG
2012-04-18,2029,2029,1990,2029,989070,HSG
2012-04-19,2110,2110,1930,1930,2779810,HSG
2012-04-20,1870,1980,1840,1850,1285570,HSG
2012-04-23,1940,1940,1930,1940,167060,HSG
2012-04-24,2040,2040,2040,2040,149020,HSG
2012-04-25,2120,2120,2120,2120,131920,HSG
2012-04-26,2220,2230,2180,2230,2270300,HSG
2012-04-27,2310,2320,2190,2320,626720,HSG
2012-05-02,2340,2340,2200,2200,863600,HSG
2012-05-03,2110,2310,2100,2290,1913500,HSG
2012-05-04,2290,2350,2240,2250,797480,HSG
2012-05-07,2290,2310,2230,2260,798700,HSG
2012-05-08,2260,2260,2150,2180,914450,HSG
2012-05-09,2130,2180,2120,2170,518450,HSG
2012-05-10,2170,2280,2170,2280,1627660,HSG
2012-05-11,2380,2380,2290,2360,1267550,HSG
2012-05-14,2290,2310,2240,2240,791790,HSG
2012-05-15,2150,2240,2130,2130,1028850,HSG
2012-05-16,2130,2130,2040,2040,828700,HSG
2012-05-17,1970,2080,1940,1940,1032720,HSG
2012-05-18,1900,1930,1850,1860,750420,HSG
2012-05-21,1940,1960,1930,1960,350710,HSG
2012-05-22,2050,2050,2050,2050,362350,HSG
2012-05-23,2130,2130,2050,2090,1948420,HSG
2012-05-24,2110,2110,1980,1980,868170,HSG
2012-05-25,2080,2080,2070,2080,262940,HSG
2012-05-28,2170,2170,2120,2170,1144340,HSG
2012-05-29,2110,2230,2090,2150,527280,HSG
2012-05-30,2260,2260,2220,2260,534910,HSG
2012-05-31,2260,2370,2220,2300,960190,HSG
2012-06-01,2300,2340,2180,2190,1547590,HSG
2012-06-04,2190,2190,2090,2110,875040,HSG
2012-06-05,2140,2220,2090,2220,667550,HSG
2012-06-06,2170,2250,2140,2220,461950,HSG
2012-06-07,2230,2310,2190,2250,1175900,HSG
2012-06-08,2260,2360,2250,2300,2916180,HSG
2012-06-11,2310,2420,2290,2420,1466970,HSG
2012-06-12,2460,2510,2400,2400,1139520,HSG
2012-06-13,2400,2400,2310,2310,1336070,HSG
