time,open,high,low,close,volume,ticker
2018-05-10,11640,11640,11640,11640,100,HSL
2018-05-11,12440,12440,12440,12440,500,HSL
2018-05-14,13290,13290,13290,13290,500,HSL
2018-05-15,14110,14200,14110,14200,300,HSL
2018-05-16,15170,15170,15150,15170,178780,HSL
2018-05-17,15350,15760,15170,15290,195340,HSL
2018-05-18,15000,15290,14400,14470,32250,HSL
2018-05-21,14110,14380,13820,14110,29590,HSL
2018-05-22,14150,14260,14110,14260,26050,HSL
2018-05-23,14260,14290,14260,14290,8580,HSL
2018-05-24,14290,14320,14200,14290,8410,HSL
2018-05-25,14290,14290,14170,14230,6350,HSL
2018-05-28,14230,14260,14170,14230,4410,HSL
2018-05-29,14230,14290,14230,14290,8960,HSL
2018-05-30,14150,14320,14110,14320,7460,HSL
2018-05-31,14320,14320,14110,14320,17630,HSL
2018-06-01,14320,14350,14320,14350,5570,HSL
2018-06-04,14290,14400,14290,14400,6140,HSL
2018-06-05,14400,14400,14350,14400,4490,HSL
2018-06-06,14400,14400,14350,14400,5090,HSL
2018-06-07,14380,14440,14380,14400,4070,HSL
2018-06-08,14400,14440,14380,14440,6910,HSL
2018-06-11,14400,14440,14380,14380,4580,HSL
2018-06-12,14380,14380,14320,14320,6120,HSL
2018-06-13,14320,14350,14290,14350,3440,HSL
2018-06-14,14350,14440,14320,14440,8660,HSL
2018-06-15,14440,14470,14400,14440,6250,HSL
2018-06-18,14440,14640,14400,14610,71940,HSL
2018-06-19,14640,15290,14610,15290,399690,HSL
2018-06-20,15320,16350,15290,16350,741720,HSL
2018-06-21,16400,16700,15470,15590,294350,HSL
2018-06-22,14500,14710,14500,14500,66970,HSL
2018-06-25,13500,13500,13500,13500,20,HSL
2018-06-26,12560,12560,12560,12560,30,HSL
2018-06-27,11710,12350,11710,12290,497570,HSL
2018-06-28,12290,12640,12170,12610,236030,HSL
2018-06-29,12640,12820,11730,12110,193730,HSL
2018-07-02,12110,12110,11710,11760,59740,HSL
2018-07-03,11760,11960,11730,11850,148070,HSL
2018-07-04,11820,12060,11760,12060,187520,HSL
2018-07-05,12060,12200,12000,12170,113120,HSL
2018-07-06,12170,12410,12150,12350,289980,HSL
2018-07-09,12380,12640,12350,12640,935220,HSL
2018-07-10,12670,12880,12640,12820,735980,HSL
2018-07-11,12850,12880,11940,12230,464540,HSL
2018-07-12,12230,12350,11760,11880,466160,HSL
2018-07-13,11880,12060,11760,12060,534530,HSL
2018-07-16,12060,12080,11820,11880,116850,HSL
2018-07-17,11880,12060,11760,11820,122270,HSL
2018-07-18,11820,11910,11760,11820,75780,HSL
2018-07-19,11850,12060,11760,12030,117340,HSL
2018-07-20,12030,12230,11960,12230,100410,HSL
2018-07-23,12270,12320,12060,12110,107300,HSL
2018-07-24,12110,12200,12030,12080,86310,HSL
2018-07-25,12080,12290,12080,12230,110440,HSL
2018-07-26,12230,12270,12060,12110,86270,HSL
2018-07-27,12110,12170,12030,12110,71790,HSL
2018-07-30,12150,12230,12060,12150,59350,HSL
2018-07-31,12170,12230,12080,12170,58250,HSL
2018-08-01,12200,12270,12150,12270,115740,HSL
2018-08-02,12290,13110,12270,13110,706130,HSL
2018-08-03,13260,13520,13170,13500,205510,HSL
2018-08-06,13520,13710,12640,12940,212560,HSL
2018-08-07,12470,12940,12230,12350,96290,HSL
2018-08-08,12350,12640,12230,12640,270360,HSL
2018-08-09,12640,12710,12470,12520,86500,HSL
2018-08-10,12520,12610,12410,12470,91060,HSL
2018-08-13,12520,12640,12470,12590,108390,HSL
2018-08-14,12590,12710,12350,12410,119360,HSL
2018-08-15,12350,12520,12230,12350,85220,HSL
2018-08-16,12350,12470,12080,12110,68060,HSL
2018-08-17,12110,12350,12030,12110,86930,HSL
2018-08-20,12110,12350,12060,12350,113770,HSL
2018-08-21,12410,12560,12350,12520,130550,HSL
2018-08-22,12520,12710,12410,12470,90080,HSL
2018-08-23,12520,12710,12470,12640,203110,HSL
2018-08-24,12640,12820,12500,12590,67970,HSL
2018-08-27,12520,12710,12470,12520,75670,HSL
2018-08-28,12520,12760,12470,12760,236660,HSL
2018-08-29,12710,12820,12520,12590,105480,HSL
2018-08-30,12520,12640,12470,12520,88760,HSL
2018-08-31,12520,12590,12470,12520,65510,HSL
2018-09-04,12560,12710,12520,12670,119520,HSL
2018-09-05,12710,12710,12520,12590,118750,HSL
2018-09-06,12520,12590,12320,12350,117950,HSL
2018-09-07,12230,12710,12110,12670,240260,HSL
2018-09-10,12670,12670,12230,12410,105250,HSL
2018-09-11,12350,12410,12060,12110,87450,HSL
2018-09-12,12110,12110,11880,11940,74000,HSL
2018-09-13,11880,11940,11820,11880,71020,HSL
2018-09-14,11940,12170,11880,12110,172270,HSL
2018-09-17,12110,12150,12000,12060,77130,HSL
2018-09-18,12110,12150,11940,12060,64020,HSL
2018-09-19,12200,12570,12130,12420,209370,HSL
2018-09-20,12420,12500,12200,12350,70960,HSL
