time,open,high,low,close,volume,ticker
2015-07-30,7037,9135,7034,7034,190300,HVA
2015-07-31,6398,6394,6394,6394,87200,HVA
2015-08-03,5757,5937,5755,5755,92300,HVA
2015-08-04,5209,6303,5207,6029,265700,HVA
2015-08-05,6032,6577,5755,6577,255600,HVA
2015-08-06,6489,6759,6303,6668,313100,HVA
2015-08-07,6398,7308,6211,6759,395900,HVA
2015-08-10,6489,6668,6120,6485,150700,HVA
2015-08-11,6398,6485,6120,6303,65400,HVA
2015-08-12,6214,6394,6029,6211,275400,HVA
2015-08-13,6214,6303,5937,6029,222300,HVA
2015-08-14,6031,6303,5937,6029,236900,HVA
2015-08-17,5940,6394,5937,6120,204200,HVA
2015-08-18,5940,6211,5937,6029,178200,HVA
2015-08-19,6032,6029,5481,5481,268500,HVA
2015-08-20,5393,5389,4932,4932,57600,HVA
2015-08-21,4478,4476,4476,4476,306500,HVA
2015-08-24,4113,4110,4110,4110,23800,HVA
2015-08-25,3839,3928,3745,3836,362900,HVA
2015-08-26,3473,4202,3471,4202,185200,HVA
2015-08-27,4203,4476,4110,4384,188300,HVA
2015-08-28,4296,4384,4019,4110,221500,HVA
2015-08-31,4113,4110,3745,3745,176400,HVA
2015-09-01,3747,4110,3745,4110,253400,HVA
2015-09-03,4203,4476,3928,4476,287200,HVA
2015-09-04,4386,4658,4293,4567,274200,HVA
2015-09-07,4203,4658,4110,4476,231200,HVA
2015-09-08,4478,4476,4202,4476,335600,HVA
2015-09-09,4296,4750,4293,4750,419100,HVA
2015-09-10,4752,4932,4567,4841,316000,HVA
2015-09-11,4844,4932,4658,4932,329900,HVA
2015-09-14,4844,5024,4750,4932,209100,HVA
2015-09-15,4661,4932,4658,4658,279900,HVA
2015-09-16,4296,4841,4293,4658,316700,HVA
2015-09-17,4570,4750,4293,4567,328600,HVA
2015-09-18,4478,5024,4476,5024,285600,HVA
2015-09-21,4844,5115,4750,4932,323600,HVA
2015-09-22,4661,5024,4658,5024,572400,HVA
2015-09-23,4934,5298,4841,5207,402900,HVA
2015-09-24,4934,5298,4841,5207,416500,HVA
2015-09-25,4934,5115,4750,5024,346000,HVA
2015-09-28,4935,5115,4932,4932,332600,HVA
2015-09-29,4844,4932,4658,4932,296800,HVA
2015-09-30,4935,5024,4841,4932,125000,HVA
2015-10-01,4844,5389,4841,5115,425500,HVA
2015-10-02,4934,5115,4841,5115,351900,HVA
2015-10-05,4934,5115,4932,5024,236900,HVA
2015-10-06,4934,5207,4932,5115,364200,HVA
2015-10-07,5027,5115,4932,5024,276300,HVA
2015-10-08,4935,5024,4750,4841,295500,HVA
2015-10-09,4844,4932,4750,4841,242700,HVA
2015-10-12,4661,5024,4658,5024,363200,HVA
2015-10-13,4934,5024,4841,5024,297200,HVA
2015-10-14,4844,5115,4841,5115,330900,HVA
2015-10-15,4934,5115,4750,5024,249100,HVA
2015-10-16,4844,5024,4750,5024,269300,HVA
2015-10-19,4844,5115,4841,5024,296700,HVA
2015-10-20,5027,5024,4841,4932,271900,HVA
2015-10-21,5027,5024,4841,5024,305700,HVA
2015-10-22,4844,5024,4841,5024,218400,HVA
2015-10-23,4844,5024,4841,4932,284900,HVA
2015-10-26,4752,4841,4658,4750,229600,HVA
2015-10-27,4661,4841,4658,4841,276900,HVA
2015-10-28,4661,4932,4567,4841,356300,HVA
2015-10-29,4844,5298,4841,5298,398800,HVA
2015-10-30,5393,5755,5389,5755,456700,HVA
2015-11-02,6305,6303,5755,6303,625900,HVA
2015-11-03,6398,6851,5846,6211,307700,HVA
2015-11-04,6306,6485,5846,5937,116800,HVA
2015-11-05,5757,5937,5663,5755,205100,HVA
2015-11-06,5757,6120,5755,5755,74100,HVA
