time,open,high,low,close,volume,ticker
2012-03-20,2360,2360,2270,2360,626280,IDI
2012-03-21,2310,2440,2310,2360,576170,IDI
2012-03-22,2310,2470,2310,2470,1069110,IDI
2012-03-23,2570,2570,2520,2570,995790,IDI
2012-03-26,2490,2650,2470,2520,843630,IDI
2012-03-27,2440,2490,2410,2410,704580,IDI
2012-03-28,2310,2380,2310,2380,882910,IDI
2012-03-29,2330,2380,2270,2270,596430,IDI
2012-03-30,2200,2250,2170,2170,452800,IDI
2012-04-03,2170,2220,2120,2200,400660,IDI
2012-04-04,2200,2270,2170,2250,514120,IDI
2012-04-05,2250,2360,2220,2360,574100,IDI
2012-04-06,2440,2440,2310,2310,479920,IDI
2012-04-09,2310,2360,2270,2330,358700,IDI
2012-04-10,2360,2360,2250,2250,468560,IDI
2012-04-11,2270,2360,2220,2310,645640,IDI
2012-04-12,2310,2410,2270,2410,831400,IDI
2012-04-13,2490,2520,2440,2520,1384690,IDI
2012-04-16,2570,2620,2490,2620,829150,IDI
2012-04-17,2650,2730,2620,2730,971660,IDI
2012-04-18,2730,2730,2600,2600,1217040,IDI
2012-04-19,2540,2620,2490,2570,1544330,IDI
2012-04-20,2650,2670,2620,2670,1052950,IDI
2012-04-23,2780,2810,2730,2760,745240,IDI
2012-04-24,2670,2730,2620,2700,1213940,IDI
2012-04-25,2700,2830,2700,2830,1581040,IDI
2012-04-26,2860,2970,2830,2970,1260020,IDI
2012-04-27,3050,3100,3050,3100,571750,IDI
2012-05-02,3180,3230,3050,3120,1764180,IDI
2012-05-03,3100,3150,2990,3120,1568030,IDI
2012-05-04,3070,3260,3050,3230,1335790,IDI
2012-05-07,3230,3390,3230,3390,942830,IDI
2012-05-08,3420,3520,3280,3340,1488570,IDI
2012-05-09,3310,3500,3280,3500,1911580,IDI
2012-05-10,3500,3550,3390,3420,1040890,IDI
2012-05-11,3470,3550,3420,3440,1307200,IDI
2012-05-14,3470,3550,3280,3280,1321840,IDI
2012-05-15,3390,3440,3280,3440,1773880,IDI
2012-05-16,3520,3520,3340,3470,777830,IDI
2012-05-17,3500,3500,3310,3310,788880,IDI
2012-05-18,3150,3150,3150,3150,1155150,IDI
2012-05-21,3020,3180,3020,3150,1561300,IDI
2012-05-22,3150,3150,3020,3020,937900,IDI
2012-05-23,2890,2890,2890,2890,188960,IDI
2012-05-24,2760,2780,2760,2760,225700,IDI
2012-05-25,2860,2890,2780,2890,1231730,IDI
2012-05-28,2970,2970,2760,2830,1054700,IDI
2012-05-29,2700,2810,2700,2700,735930,IDI
